昆明机场飞行动态,,,,,
,,,,,2017年07月05日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8033,B6778,昆明/0655,/,丽江
2,3U8034,B6778,丽江/0855,/,昆明
3,3U8201,B6772,昆明/1610,/,上海
4,3U8202,B6772,上海/2025,/,昆明
5,3U8205,B1881,昆明/1700,/,广州
6,3U8227,B1887,昆明/1120,/,南京
7,3U8228,B1887,南京/2255,/,昆明
8,3U8245,B1822,昆明/1800,/,合肥
9,3U8246,B1822,合肥/2120,/,昆明
10,3U8513,B8500,昆明/0715,/,重庆
11,3U8514,B8500,重庆/1545,/,昆明
12,3U8527,B6719,昆明/2320,/,西安
13,3U8528,B6732,西安/1950,/,昆明
14,3U8638,B1881,广州/0615,/,昆明
15,3U8661,B1887,成都/0720,/,昆明
16,3U8662,B6953,昆明/2300,/,成都
17,3U8667,B8329,成都/2125,/,昆明
18,3U8668,B8329,昆明/1830,/,成都
19,3U8669,B6955,昆明/0710,/,成都
20,3U8670,B1819,成都/1720,/,昆明
21,3U8724,B1819,昆明/2150,/,北京
22,3U8767,B6719,昆明/0700,/,南宁
23,3U8768,B6719,南宁/1440,/,昆明
24,3U8817,B6433,昆明/0730,/,丽江
25,3U8818,B6433,丽江/1510,/,昆明
26,3U8837,B8656,昆明/1415,/,万州
27,3U8838,B8656,万州/1140,/,昆明
28,3U8853,B9967,昆明/1615,/,徐州
29,3U8854,B9967,徐州/1205,/,昆明
30,3U8901,B6956,昆明/0645,/,珠海
31,3U8902,B6956,珠海/1010,/,昆明
32,3U8917,B6322,昆明/0625,/,厦门
33,3U8918,B6322,厦门/1005,/,昆明
34,3U8957,B6322,昆明/1520,/,台北
35,3U8958,B6322,台北/1910,/,昆明
36,3U8967,B6778,昆明/1255,/,重庆
37,3U8968,B6778,重庆/2355,/,昆明
38,8L9503,B5971,昆明/1040,/,莫斯科
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,8L9504,B5971,莫斯科/2205,/,昆明
40,8L9519,B5810,昆明/1105,/,芒市
41,8L9520,B5810,芒市/1245,/,昆明
42,8L9534,B8732,海口/0610,/,昆明
43,8L9555,B5407,昆明/2310,/,海口
44,8L9556,B8446,海口/0700,/,昆明
45,8L9595,B8732,昆明/0900,/,吉隆坡
46,8L9596,B8732,吉隆坡/1335,/,昆明
47,8L9597,B7992,昆明/2350,/,曼谷
48,8L9633,B7167,昆明/1340,/,沙巴
49,8L9634,B7167,沙巴/1910,/,昆明
50,8L9647,B6943,昆明/0710,/,淮安
51,8L9648,B6943,淮安/1515,/,昆明
52,8L9651,B1587,昆明/0950,/,郑州
53,8L9652,B7167,郑州/0705,/,昆明
54,8L9655,B6016,昆明/0610,/,忻州
55,8L9656,B6016,忻州/1805,/,昆明
56,8L9677,B8732,昆明/1830,/,芽庄
57,8L9678,B8732,芽庄/2300,/,昆明
58,8L9689,B6221,昆明/1900,/,合肥
59,8L9690,B6221,合肥/2230,/,昆明
