昆明机场飞行动态,,,,,
,,,,,2017年07月07日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8033,B6453,昆明/0655,/,丽江
2,3U8034,B6453,丽江/0855,/,昆明
3,3U8107,B1887,昆明/1405,/,常州
4,3U8108,B1887,常州/2235,/,昆明
5,3U8129,B6448,昆明/1735,/,版纳
6,3U8130,B6448,版纳/1955,/,昆明
7,3U8201,B1819,昆明/1610,/,上海
8,3U8202,B1819,上海/2025,/,昆明
9,3U8205,B6955,昆明/1700,/,广州
10,3U8221,B6322,昆明/1155,/,南宁
11,3U8222,B6322,南宁/1935,/,昆明
12,3U8227,B6388,昆明/1120,/,南京
13,3U8228,B6388,南京/2255,/,昆明
14,3U8245,B8500,昆明/1800,/,合肥
15,3U8246,B8500,合肥/2120,/,昆明
16,3U8513,B1886,昆明/0715,/,重庆
17,3U8514,B1886,重庆/1545,/,昆明
18,3U8527,B1822,昆明/2320,/,西安
19,3U8528,B1822,西安/1950,/,昆明
20,3U8529,B6905,杭州/0900,/,昆明
21,3U8530,B6905,昆明/1305,/,杭州
22,3U8553,B8331,昆明/0845,/,重庆
23,3U8554,B8331,重庆/2235,/,昆明
24,3U8638,B6322,广州/0615,/,昆明
25,3U8661,B6388,成都/0720,/,昆明
26,3U8662,B1881,昆明/2300,/,成都
27,3U8667,B6956,成都/2200,/,昆明
28,3U8668,B6956,昆明/1830,/,成都
29,3U8669,B6843,昆明/0730,/,成都
30,3U8670,B6779,成都/1720,/,昆明
31,3U8723,B1819,北京/0720,/,昆明
32,3U8724,B6772,昆明/2150,/,北京
33,3U8761,B8329,昆明/1510,/,无锡
34,3U8762,B8329,无锡/1925,/,昆明
35,3U8767,B6956,昆明/0700,/,南宁
36,3U8768,B6956,南宁/1440,/,昆明
37,3U8817,B6448,昆明/0730,/,丽江
38,3U8818,B6448,丽江/1510,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8823,B6779,昆明/2000,/,南昌
40,3U8824,B6779,南昌/2305,/,昆明
41,3U8837,B8499,昆明/1415,万州/1600,北京
42,3U8838,B8499,万州/1140,昆明/1150,昆明
43,3U8847,B1881,昆明/0750,/,郑州
44,3U8848,B1881,郑州/1905,/,昆明
45,3U8853,B1886,昆明/1615,/,徐州
46,3U8854,B6906,徐州/1205,/,昆明
47,3U8865,B6955,昆明/0720,/,宁波
48,3U8866,B6955,宁波/1110,/,昆明
49,3U8901,B8500,昆明/0645,/,珠海
50,3U8902,B8500,珠海/1010,/,昆明
51,3U8917,B6772,昆明/0625,/,厦门
52,3U8918,B6772,厦门/1005,/,昆明
53,3U8929,B6732,昆明/0805,/,长沙
54,3U8930,B6732,长沙/1855,/,昆明
55,3U8947,B8329,昆明/0655,/,济南
56,3U8948,B8329,济南/1050,/,昆明
57,3U8957,B6772,昆明/1520,/,台北
58,3U8958,B6772,台北/1910,/,昆明
59,3U8967,B6453,昆明/1255,/,重庆
60,3U8968,B6453,重庆/2355,/,昆明
61,8L9503,B5971,昆明/1040,/,莫斯科
62,8L9504,B5971,莫斯科/2205,/,昆明
63,8L9519,B5268,昆明/1045,/,芒市
64,8L9520,B5268,芒市/1245,/,昆明
65,8L9555,B5268,昆明/2310,/,海口
66,8L9556,B8732,海口/0700,/,昆明
67,8L9584,B6800,马尼拉/0440,/,昆明
68,8L9595,B8445,昆明/0855,/,吉隆坡
69,8L9596,B8445,吉隆坡/1335,/,昆明
70,8L9597,B7167,昆明/1745,/,曼谷
71,8L9598,B7167,曼谷/2210,/,昆明
72,8L9633,B6800,昆明/1340,/,沙巴
73,8L9634,B6800,沙巴/1910,/,昆明
74,8L9647,B6943,昆明/0710,/,淮安
75,8L9648,B6943,淮安/1515,/,昆明
76,8L9651,B6015,昆明/0950,/,郑州
77,8L9652,B7993,郑州/0705,/,昆明
78,8L9655,B7988,昆明/0610,/,忻州
79,8L9656,B7988,忻州/1805,/,昆明
80,8L9677,B8445,昆明/1830,/,芽庄
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9678,B8445,芽庄/2300,/,昆明
82,8L9689,B7990,昆明/2005,/,合肥
83,8L9690,B7990,合肥/2320,/,昆明
84,8L9709,B6016,昆明/0640,/,连城
85,8L9710,B6016,连城/1435,/,昆明
86,8L9801,B5292,昆明/2355,/,丽江
87,8L9802,B6959,丽江/0655,/,昆明
88,8L9803,B6947,昆明/0715,/,丽江
89,8L9804,B5249,丽江/2130,/,昆明
90,8L9845,B6959,昆明/0915,/,赣州
91,8L9846,B6959,赣州/1815,/,昆明
92,8L9849,B5825,昆明/0705,/,迪庆
93,8L9850,B5825,迪庆/0850,/,昆明
94,8L9851,B5248,昆明/1555,/,腾冲
95,8L9855,B7989,昆明/1645,/,绵阳
96,8L9856,B6015,绵阳/0705,/,昆明
97,8L9861,B5359,昆明/0645,/,合肥
98,8L9862,B5359,合肥/1015,/,昆明
99,8L9863,B2677,昆明/0700,/,重庆
100,8L9864,B2677,重庆/1550,/,昆明
101,8L9865,B5449,昆明/0710,/,济南
102,8L9866,B5449,济南/1130,/,昆明
103,8L9869,B7993,昆明/1420,/,武汉
104,8L9870,B7993,武汉/2325,/,昆明
105,8L9871,B6221,昆明/1350,/,宜昌
106,8L9872,B6221,宜昌/2230,/,昆明
107,8L9873,B8446,昆明/0700,/,赣州
108,8L9874,B8446,赣州/1425,/,昆明
109,8L9875,B8446,昆明/1755,/,厦门
110,8L9876,B8446,厦门/2150,/,昆明
111,8L9883,B1588,昆明/1800,/,南京
112,8L9884,B1588,南京/2150,/,昆明
113,8L9887,B5407,昆明/0830,/,宜春
114,8L9888,B5407,宜春/1805,/,昆明
115,8L9889,B1825,昆明/1655,/,上海
116,8L9890,B1825,上海/2135,/,昆明
117,8L9891,B5732,昆明/0950,/,武汉
118,8L9892,B5732,武汉/2030,/,昆明
119,8L9893,B6221,昆明/0715,/,珠海
120,8L9894,B6221,珠海/1015,/,昆明
121,8L9897,B5359,昆明/1455,/,温州
122,8L9898,B5359,温州/2110,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
123,8L9903,B5268,版纳/2100,/,昆明
124,8L9904,B5268,昆明/1510,/,版纳
125,8L9905,B5292,版纳/0650,/,昆明
126,8L9906,B5249,昆明/2345,/,版纳
127,8L9913,B6198,版纳/0040,/,昆明
128,8L9914,B6198,昆明/2255,/,版纳
129,8L9915,B5268,版纳/0840,/,昆明
130,8L9916,B5268,昆明/0645,/,版纳
131,8L9921,B5292,昆明/1105,/,沧源
132,8L9922,B5292,沧源/1250,/,昆明
133,8L9923,B5825,昆明/1255,/,保山
134,8L9924,B5825,保山/2145,/,昆明
135,8L9941,B6198,昆明/0650,/,大理
136,8L9942,B6198,大理/1655,/,昆明
137,8L9945,B5825,昆明/2355,/,成都
138,8L9946,B5806,成都/2350,/,昆明
139,8L9947,B8732,昆明/1025,/,成都
140,8L9948,B8732,成都/1310,/,昆明
141,8L9955,B5407,昆明/2200,/,郑州
142,8L9956,B1587,郑州/1410,/,昆明
143,8L9957,B7990,昆明/0710,/,武汉
144,8L9958,B7990,武汉/1020,/,昆明
145,8L9959,B7991,昆明/0725,/,安庆
146,8L9965,B7989,昆明/0715,/,三亚
147,8L9966,B7989,三亚/1030,/,昆明
148,8L9971,B1587,昆明/1845,/,海口
149,8L9972,B1587,海口/2145,/,昆明
150,8L9973,B7992,昆明/0705,/,郑州
151,8L9974,B1798,郑州/2230,/,昆明
152,8L9975,B6016,昆明/1900,/,广州
153,8L9976,B6016,广州/2230,/,昆明
154,8L9979,B5449,昆明/1620,/,深圳
155,8L9980,B5449,深圳/1955,/,昆明
156,8L9983,B2677,昆明/1930,/,西安
157,8L9984,B2677,西安/2255,/,昆明
158,8L9985,B8732,昆明/1540,/,太原
159,8L9986,B8732,太原/2245,/,昆明
160,8L9991,B6809,昆明/1215,/,兰州
161,8L9992,B6809,兰州/2310,/,昆明
162,8L9993,B7991,昆明/2155,/,西安
163,8L9994,B1588,西安/0625,/,昆明
164,8L9995,B7167,昆明/0725,/,银川
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
165,8L9996,B7167,银川/1055,/,昆明
166,8L9998,B5805,兰州/2225,/,昆明
167,9C8823,B1657,遵义/1415,/,昆明
168,9C8824,B1657,昆明/1635,/,遵义
169,9C8937,B1672,石家庄/1035,/,昆明
170,9C8938,B1672,昆明/1450,/,石家庄
171,9C8953,B6820,上海/0725,/,昆明
172,9C8954,B6820,昆明/1245,/,上海
173,9C8961,B8327,黔江/1625,/,昆明
174,9C8962,B8327,昆明/1910,/,黔江
175,A67105,B8285,昆明/0940,/,南昌
176,A67106,B8318,南昌/1445,/,昆明
177,A67113,B8432,昆明/0725,/,临沂
178,A67114,B8432,临沂/2015,/,昆明
179,AK101,,VMKK/1305,/,昆明
180,AK102,,昆明/1740,/,吉隆坡
181,B7289,,高雄/0735,/,昆明
182,B7290,,昆明/1210,/,高雄
183,BK2715,B6026,昆明/1010,/,南京
184,BK2716,B6026,南京/1400,/,昆明
185,BK2743,B5562,昆明/1425,/,版纳
186,BK2744,B5562,版纳/1615,/,昆明
187,BK2797,B6026,长沙/0705,/,昆明
188,BK2798,B6026,昆明/1810,/,长沙
189,BK2897,B5562,天津/0945,/,昆明
190,BK2898,B5562,昆明/1820,/,天津
191,CA1401,B7182,天津/1530,/,昆明
192,CA1402,B7182,昆明/2020,/,天津
193,CA1403,B6106,北京/0630,/,昆明
194,CA1404,B6106,昆明/1140,/,北京
195,CA1467,,天津/1240,/,昆明
196,CA1468,,昆明/1720,/,天津
197,CA1481,B6499,运城/1120,/,昆明
198,CA1482,B6499,昆明/1450,/,运城
199,CA1487,B5228,达县/1215,/,昆明
200,CA1488,B5228,昆明/1510,/,达县
201,CA1751,B6033,杭州/0715,/,昆明
202,CA1752,B6773,昆明/1230,/,杭州
203,CA1753,B6032,杭州/1455,/,昆明
204,CA1754,B6032,昆明/1940,/,杭州
205,CA1937,B6882,上海/1555,/,昆明
206,CA1938,B6882,昆明/2100,/,上海
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
207,CA1955,B6773,温州/0800,/,昆明
208,CA1956,B6033,昆明/1210,/,温州
209,CA1987,B8743,温州/1730,/,昆明
210,CA1988,B8743,昆明/2205,/,温州
211,CA415,B6227,成都/0815,昆明/1050,仰光
212,CA415,,昆明/0800,/,仰光
213,CA416,B6227,仰光/1400,昆明/1720,成都
214,CA416,,仰光/0800,/,昆明
215,CA4171,B1853,昆明/0725,/,北京
216,CA4172,B1853,北京/1155,/,昆明
217,CA4173,B1853,昆明/1645,/,北京
218,CA4174,B1853,北京/2120,/,昆明
219,CA4175,B8490,昆明/0710,/,沈阳
220,CA4176,B8490,沈阳/1130,/,昆明
221,CA4275,B6847,昆明/1545,/,哈尔滨
222,CA4276,B6847,哈尔滨/0925,/,昆明
223,CA4413,B9918,成都/1115,/,昆明
224,CA4414,B9918,昆明/1355,/,成都
225,CA4417,B6793,成都/2105,/,昆明
226,CA4418,B8338,昆明/0850,/,成都
227,CA4459,B1852,成都/2155,/,昆明
228,CA4460,B8490,昆明/1825,/,成都
229,CA8929,,郑州/1100,/,昆明
230,CA8930,,昆明/1450,/,郑州
231,CF9017,B2827,昆明/0005,/,南京
232,CF9018,B2827,南京/0600,/,昆明
233,CZ3247,B5339,桂林/1250,/,昆明
234,CZ3248,B5339,昆明/1500,/,桂林
235,CZ3407,B9932,广州/1355,/,昆明
236,CZ3408,B9932,昆明/1735,/,广州
237,CZ3409,B6242,广州/0820,/,昆明
238,CZ3410,B6242,昆明/1155,/,广州
239,CZ3415,B5041,广州/1135,/,昆明
240,CZ3416,B5041,昆明/1530,/,广州
241,CZ3419,B6288,广州/2125,/,昆明
242,CZ3420,B6288,昆明/0735,/,广州
243,CZ3431,B8675,海口/0805,昆明/1215,昆明
244,CZ3432,B8675,昆明/1055,/,海口
245,CZ3451,B2396,深圳/1345,昆明/1720,丽江
246,CZ3452,B2396,丽江/1915,昆明/2120,深圳
247,CZ3459,B2391,深圳/0800,/,昆明
248,CZ3460,B2391,昆明/1135,/,深圳
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
249,CZ3467,B6946,长沙/1825,/,昆明
250,CZ3468,B6946,昆明/2130,/,长沙
251,CZ3469,B5068,武汉/1350,/,昆明
252,CZ3470,B5068,昆明/1715,/,武汉
253,CZ3481,B6209,广州/0700,昆明/1030,大理
254,CZ3482,B6209,大理/1210,昆明/1410,广州
255,CZ3487,B6241,广州/1235,昆明/1615,丽江
256,CZ3488,B6241,丽江/1805,昆明/2010,广州
257,CZ3489,B6623,广州/1830,/,昆明
258,CZ3490,B6623,昆明/2210,/,广州
259,CZ3491,B2169,郑州/0755,昆明/1135,版纳
260,CZ3492,B2169,版纳/1325,昆明/1530,郑州
261,CZ3495,B1923,郑州/1355,/,昆明
262,CZ3496,B1923,昆明/1740,/,郑州
263,CZ349T,B5233,昆明/1140,/,郑州
264,CZ3541,B5112,昆明/0755,/,武汉
265,CZ3542,B5113,武汉/2155,/,昆明
266,CZ3677,B9930,上海/0740,/,昆明
267,CZ3678,B9930,昆明/1205,/,上海
268,CZ3747,B5310,珠海/1840,/,昆明
269,CZ3748,B5310,昆明/2140,/,珠海
270,CZ3857,B5837,汕头/1145,/,昆明
271,CZ3858,B5837,昆明/1510,/,汕头
272,CZ3863,B5837,南宁/2020,/,昆明
273,CZ3864,B5837,昆明/2220,/,南宁
274,CZ3901,B6098,北京/0905,/,昆明
275,CZ3902,B6098,昆明/1345,/,北京
276,CZ3997,B6098,北京/1930,/,昆明
277,CZ6159,B6111,北京/1450,/,昆明
278,CZ6160,B6111,昆明/2005,/,北京
279,CZ6269,B6378,西安/1230,/,昆明
280,CZ6270,B6378,昆明/1550,/,西安
281,CZ6369,B2620,郑州/1300,昆明/1650,版纳
282,CZ6370,B2620,版纳/1855,昆明/2100,郑州
283,CZ6403,B6817,重庆/1305,/,昆明
284,CZ6404,B6817,昆明/1550,/,重庆
285,CZ6415,B6739,西安/1650,/,昆明
286,CZ6416,B6739,昆明/2005,/,西安
287,CZ6425,B9951,武汉/1040,/,昆明
288,CZ6426,B9951,昆明/1450,/,武汉
289,CZ6427,B1829,长沙/2045,/,昆明
290,CZ6459,B9953,重庆/1320,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
291,CZ6460,B9953,昆明/1610,/,重庆
292,CZ6561,B5718,义乌/1630,/,昆明
293,CZ6562,B5718,昆明/2035,/,义乌
294,CZ6597,B8425,三亚/1750,/,昆明
295,CZ6598,B8425,昆明/2105,/,三亚
296,CZ6799,B8869,上海/1450,/,昆明
297,CZ6800,B8869,昆明/1945,/,上海
298,CZ6949,B1782,重庆/1730,/,昆明
299,CZ6950,B1782,昆明/1930,/,重庆
300,CZ6977,B2695,武汉/1825,/,昆明
301,CZ6978,B2695,昆明/2150,/,武汉
302,CZ8509,B9915,青岛/1945,/,昆明
303,CZ8510,B6575,昆明/0810,/,青岛
304,DR5313,B5830,昆明/0725,/,恩施
305,DR5314,B5830,恩施/1540,/,昆明
306,DR5340,B7865,兰州/2140,/,昆明
307,DR6501,B7088,昆明/1310,/,芒市
308,DR6502,B7088,芒市/1455,/,昆明
309,DR6503,B7088,昆明/1700,/,芒市
310,DR6504,B7088,芒市/1840,/,昆明
311,DR6505,B5830,昆明/1830,/,芒市
312,DR6506,B5830,芒市/2025,/,昆明
313,DR6507,B7088,昆明/0910,/,芒市
314,DR6508,B7088,芒市/1055,/,昆明
315,DR6509,B5829,昆明/0840,/,版纳
316,DR6510,B5829,版纳/1035,/,昆明
317,DR6511,B5830,昆明/2240,/,版纳
318,DR6512,B5830,版纳/0030,/,昆明
319,DR6515,B5829,昆明/1330,/,襄阳
320,DR6516,B5829,襄阳/2230,/,昆明
321,DR6521,B1595,昆明/0700,/,成都
322,DR6522,B1595,成都/2250,/,昆明
323,DR6523,B5811,昆明/1710,/,丽江
324,DR6524,B5811,丽江/2255,/,昆明
325,DR6529,B1597,昆明/0735,/,太原
326,DR6530,B1597,太原/1455,/,昆明
327,DR6533,B7865,昆明/0720,/,武汉
328,DR6559,B1593,昆明/1240,/,太原
329,DR6560,B1593,太原/2240,/,昆明
330,DR6561,B7867,昆明/1155,/,青岛
331,DR6562,B7867,青岛/2205,/,昆明
332,DR6569,B1593,昆明/0720,/,北海
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
333,DR6570,B1593,北海/0945,/,昆明
334,DR6577,B5812,昆明/0715,/,榆林
335,DR6578,B6109,榆林/1910,/,昆明
336,DR6579,B7088,昆明/2040,/,芒市
337,DR6580,B5811,芒市/1350,/,昆明
338,DZ6311,B1533,珠海/0700,/,昆明
