昆明机场飞行动态,,,,,
,,,,,2017年06月29日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8107,B8326,昆明/1405,/,常州
2,3U8108,B8326,常州/2235,/,昆明
3,3U8129,B6449,昆明/0925,/,版纳
4,3U8130,B6449,版纳/1105,/,昆明
5,3U8206,B1665,广州/0615,/,昆明
6,3U8215,B8329,昆明/1440,/,郑州
7,3U8216,B8329,郑州/1825,/,昆明
8,3U8221,B1665,昆明/1155,/,南宁
9,3U8222,B1665,南宁/1935,/,昆明
10,3U8243,B6325,昆明/1515,/,厦门
11,3U8244,B6325,厦门/1915,/,昆明
12,3U8259,B6843,昆明/1120,/,南京
13,3U8260,B6843,南京/1510,/,昆明
14,3U8513,B1881,昆明/0715,/,重庆
15,3U8514,B1881,重庆/1545,/,昆明
16,3U8527,B6772,昆明/2320,/,西安
17,3U8528,B6772,西安/1950,/,昆明
18,3U8529,B6770,杭州/0900,/,昆明
19,3U8530,B6770,昆明/1305,/,杭州
20,3U8553,B6719,昆明/0845,/,重庆
21,3U8554,B6719,重庆/2235,/,昆明
22,3U8597,B6778,昆明/0745,/,太原
23,3U8598,B6778,太原/1910,/,昆明
24,3U8619,B6045,昆明/2100,/,版纳
25,3U8620,B6433,版纳/2200,/,昆明
26,3U8637,B1661,昆明/1705,/,广州
27,3U8661,B6843,成都/0720,/,昆明
28,3U8662,B6697,昆明/2300,/,成都
29,3U8667,B6732,成都/2125,/,昆明
30,3U8668,B6732,昆明/1820,/,成都
31,3U8669,B6953,昆明/0730,/,成都
32,3U8670,B6953,成都/1710,/,昆明
33,3U8685,B6810,昆明/1600,/,长沙
34,3U8686,B6810,长沙/1235,/,昆明
35,3U8709,B8329,昆明/0850,/,万象
36,3U8710,B8329,万象/1130,/,昆明
37,3U8761,B8500,昆明/1510,/,无锡
38,3U8762,B8500,无锡/1925,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8767,B1822,昆明/0700,/,南宁
