昆明机场飞行动态,,,,,
,,,,,2017年06月25日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8129,B6449,昆明/0925,/,版纳
2,3U8130,B6449,版纳/1115,/,昆明
3,3U8201,B6772,昆明/1610,/,上海
4,3U8202,B6772,上海/2025,/,昆明
5,3U8205,B8326,昆明/1700,/,广州
6,3U8215,B1662,昆明/1320,/,郑州
7,3U8216,B1662,郑州/1705,/,昆明
8,3U8221,B8656,昆明/1155,/,南宁
9,3U8222,B8656,南宁/1935,/,昆明
10,3U8513,B8325,昆明/0715,/,重庆
11,3U8514,B8325,重庆/1545,/,昆明
12,3U8527,B6778,昆明/2320,/,西安
13,3U8528,B6778,西安/1950,/,昆明
14,3U8529,B8326,杭州/0900,/,昆明
15,3U8553,B6325,昆明/0845,/,重庆
16,3U8554,B6325,重庆/2235,/,昆明
17,3U8619,B6448,昆明/2100,/,版纳
18,3U8620,B6442,版纳/2020,/,昆明
19,3U8638,B1661,广州/0615,/,昆明
20,3U8661,B1662,成都/0720,/,昆明
21,3U8662,B8656,昆明/2300,/,成都
22,3U8667,B8325,成都/2125,/,昆明
23,3U8668,B8325,昆明/1820,/,成都
24,3U8669,B6719,昆明/0730,/,成都
25,3U8670,B6719,成都/1710,/,昆明
26,3U8723,B8656,北京/0720,/,昆明
27,3U8724,B1662,昆明/2150,/,北京
28,3U8761,B8500,昆明/1510,/,无锡
29,3U8762,B8500,无锡/1925,/,昆明
30,3U8767,B6732,昆明/0700,/,南宁
31,3U8768,B6732,南宁/1440,/,昆明
32,3U8817,B6448,昆明/0730,/,丽江
33,3U8818,B6448,丽江/1510,/,昆明
34,3U8823,B6719,昆明/1945,/,南昌
35,3U8824,B6719,南昌/2300,/,昆明
36,3U8837,B8331,昆明/1415,/,万州
37,3U8838,B8331,万州/1140,/,昆明
38,3U8847,B8499,昆明/0750,/,郑州
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8848,B8499,郑州/1905,/,昆明
40,3U8853,B6590,昆明/1615,/,徐州
41,3U8854,B6590,徐州/1205,/,昆明
42,3U8865,B6772,昆明/0720,/,宁波
43,3U8866,B6772,宁波/1110,/,昆明
44,3U8901,B6732,昆明/1710,/,珠海
45,3U8902,B6732,珠海/2100,/,昆明
46,3U8917,B8329,昆明/0625,/,厦门
47,3U8918,B8329,厦门/1005,/,昆明
48,3U8929,B6956,昆明/0805,/,长沙
49,3U8930,B6956,长沙/1855,/,昆明
50,3U8947,B8500,昆明/0655,/,济南
51,3U8948,B8500,济南/1050,/,昆明
52,3U8967,B1661,昆明/1310,/,重庆
53,3U8968,B1661,重庆/2355,/,昆明
54,8L9519,B5292,昆明/1320,/,芒市
55,8L9520,B5292,芒市/1455,/,昆明
