昆明机场飞行动态,,,,,
,,,,,2017年07月02日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
126,8L9946,B5806,成都/2350,/,昆明
127,8L9947,B1586,昆明/1025,/,成都
128,8L9948,B1586,成都/1320,/,昆明
129,8L9955,B5732,昆明/2205,/,郑州
130,8L9956,B6809,郑州/1410,/,昆明
131,8L9957,B6015,昆明/0710,/,武汉
132,8L9958,B6015,武汉/1020,/,昆明
133,8L9959,B6800,昆明/0725,/,安庆
134,8L9965,B5971,昆明/0715,/,三亚
135,8L9966,B5971,三亚/1030,/,昆明
136,8L9971,B5248,昆明/1845,/,海口
137,8L9972,B5248,海口/2145,/,昆明
138,8L9973,B7991,昆明/0705,/,郑州
139,8L9974,B7990,郑州/2230,/,昆明
140,8L9975,B8445,昆明/1850,/,广州
141,8L9976,B8445,广州/2230,/,昆明
142,8L9979,B1586,昆明/1620,/,深圳
143,8L9980,B1586,深圳/1955,/,昆明
144,8L9983,B5359,昆明/1930,/,西安
145,8L9984,B5359,西安/2255,/,昆明
146,8L9985,B6947,昆明/1540,/,太原
147,8L9986,B6947,太原/2245,/,昆明
148,8L9987,B1825,昆明/2130,/,北京
149,8L9988,B6947,北京/0620,/,昆明
150,8L9991,B7988,昆明/1225,/,兰州
151,8L9992,B7988,兰州/2310,/,昆明
152,8L9993,B5409,昆明/2200,/,西安
153,8L9994,B5449,西安/0625,/,昆明
154,8L9995,B5407,昆明/0745,/,银川
155,8L9996,B5407,银川/1115,/,昆明
156,9C8823,B1840,遵义/1415,/,昆明
157,9C8824,B1840,昆明/1635,/,遵义
158,9C8827,B1895,芷江/0945,/,昆明
159,9C8828,B1895,昆明/1215,/,芷江
160,9C8829,B6645,常德/1630,/,昆明
161,9C8830,B6645,昆明/1935,/,常德
162,9C8937,B8580,石家庄/1035,/,昆明
163,9C8938,B8580,昆明/1450,/,石家庄
164,A67105,B8318,昆明/0940,/,南昌
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
165,A67106,B8285,南昌/1445,/,昆明
166,A67107,B8285,昆明/1825,/,郑州
167,A67108,B8285,郑州/2245,/,昆明
168,A67113,B8432,昆明/0725,/,临沂
169,A67114,B8432,临沂/2015,/,昆明
170,AK101,,VMKK/1305,/,昆明
171,AK102,,昆明/1740,/,吉隆坡
172,B7289,,高雄/0735,/,昆明
173,B7290,,昆明/1210,/,高雄
174,BK2715,B6026,昆明/1010,/,南京
175,BK2716,B6026,南京/1400,/,昆明
176,BK2743,B1732,昆明/1425,/,版纳
177,BK2744,B1732,版纳/1615,/,昆明
178,BK2797,B6026,长沙/0705,/,昆明
179,BK2798,B6026,昆明/1810,/,长沙
180,BK2897,B1732,天津/0945,/,昆明
181,BK2898,B1732,昆明/1820,/,天津
182,CA1401,B1418,天津/1530,/,昆明
183,CA1402,B1418,昆明/2020,/,天津
184,CA1403,B5326,北京/0630,/,昆明
185,CA1404,B5326,昆明/1140,/,北京
186,CA1467,,天津/1240,/,昆明
187,CA1481,B5525,运城/1120,/,昆明
188,CA1482,B5525,昆明/1450,/,运城
189,CA1487,B5213,达县/1215,/,昆明
190,CA1488,B5213,昆明/1510,/,达县
191,CA1751,B6033,杭州/0715,/,昆明
192,CA1752,B6677,昆明/1230,/,杭州
193,CA1753,B6024,杭州/1455,/,昆明
194,CA1754,B6024,昆明/1940,/,杭州
195,CA1937,B6882,上海/1555,/,昆明
196,CA1938,B6882,昆明/2100,/,上海
197,CA1955,B6677,温州/0800,/,昆明
198,CA1956,B6033,昆明/1210,/,温州
199,CA1987,,温州/1730,/,昆明
200,CA1988,,昆明/2205,/,温州
201,CA415,B6468,成都/0815,昆明/1050,仰光
202,CA415,,昆明/0800,/,仰光
203,CA416,B6468,仰光/1400,昆明/1720,成都
204,CA416,,仰光/0800,/,昆明
205,CA4171,B6916,昆明/0725,/,北京
206,CA4172,B6916,北京/1155,/,昆明
