昆明机场飞行动态,,,,,
,,,,,2017年06月17日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8107,B6955,昆明/1405,/,常州
2,3U8108,B6955,常州/2235,/,昆明
3,3U8129,B6445,昆明/0925,/,版纳
4,3U8130,B6445,版纳/1105,/,昆明
5,3U8206,B6956,广州/0615,/,昆明
6,3U8215,B6445,昆明/1440,/,郑州
7,3U8216,B6445,郑州/1825,/,昆明
8,3U8221,B6732,昆明/1145,/,南宁
9,3U8222,B6732,南宁/1935,/,昆明
10,3U8243,B6778,昆明/1515,/,厦门
11,3U8244,B6778,厦门/1915,/,昆明
12,3U8259,B6719,昆明/1120,/,南京
13,3U8260,B6719,南京/1510,/,昆明
14,3U8513,B1887,昆明/0715,/,重庆
15,3U8514,B1887,重庆/1545,/,昆明
16,3U8527,B6325,昆明/2320,/,西安
17,3U8528,B6348,西安/1950,/,昆明
18,3U8529,B8470,杭州/0900,/,昆明
19,3U8530,B8470,昆明/1305,/,杭州
20,3U8553,B8948,昆明/0845,/,重庆
21,3U8554,B8948,重庆/2235,/,昆明
22,3U8597,B6325,昆明/0745,/,太原
23,3U8598,B6325,太原/1910,/,昆明
24,3U8619,B6045,昆明/2100,/,版纳
25,3U8620,B6442,版纳/2200,/,昆明
26,3U8637,B6956,昆明/1705,/,广州
27,3U8661,B6719,成都/0720,/,昆明
28,3U8662,B1820,昆明/2300,/,成都
29,3U8667,B1887,成都/2125,/,昆明
30,3U8668,B1887,昆明/1820,/,成都
31,3U8685,B1891,昆明/1600,/,长沙
32,3U8686,B1891,长沙/1235,/,昆明
33,3U8709,B6955,昆明/0850,/,万象
34,3U8710,B6955,万象/1130,/,昆明
35,3U8723,B1885,北京/0720,/,昆明
36,3U8724,B6719,昆明/2150,/,北京
37,3U8761,B1661,昆明/1510,/,无锡
38,3U8762,B1661,无锡/1925,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8767,B6953,昆明/0700,/,南宁
40,3U8768,B6953,南宁/1440,/,昆明
41,3U8807,B1820,昆明/0750,/,徐州
42,3U8808,B1820,徐州/1705,/,昆明
43,3U8817,B6045,昆明/0730,/,丽江
44,3U8818,B6045,丽江/1440,/,昆明
45,3U8824,B8329,南昌/2300,/,昆明
46,3U8837,B6697,昆明/1415,/,万州
47,3U8838,B6697,万州/1140,/,昆明
48,3U8865,B6778,昆明/0720,/,宁波
49,3U8866,B6778,宁波/1110,/,昆明
50,3U8947,B1661,昆明/0655,/,济南
51,3U8948,B1661,济南/1050,/,昆明
52,3U8967,B1885,昆明/1255,/,重庆
53,3U8968,B1885,重庆/2355,/,昆明
54,8L9545,B2677,昆明/0710,/,太原
55,8L9555,B5409,昆明/2310,/,海口
56,8L9556,B7989,海口/0700,/,昆明
57,8L9557,B5732,昆明/0610,/,锦州
58,8L9558,B5732,锦州/1645,/,昆明
59,8L9585,B7167,昆明/0710,/,南宁
60,8L9586,B7167,南宁/2235,/,昆明
61,8L9598,B6800,曼谷/0425,/,昆明
62,8L9623,B5409,昆明/1045,/,杭州
63,8L9624,B5409,杭州/1445,/,昆明
64,8L9637,B6221,昆明/1230,/,苏梅岛
65,8L9638,B6221,苏梅岛/1640,/,昆明
66,8L9647,B1825,昆明/0710,/,淮安
67,8L9651,B7991,昆明/0950,/,郑州
68,8L9652,B5409,郑州/0705,/,昆明
69,8L9679,B5407,昆明/1555,/,PEN
70,8L9680,B5407,PEN/2020,/,昆明
71,8L9685,B5272,昆明/0700,/,凯里
72,8L9689,B7992,昆明/1845,/,合肥
73,8L9690,B7992,合肥/2220,/,昆明
74,8L9711,B5810,昆明/1355,/,桂林
75,8L9712,B5810,桂林/2150,/,昆明
76,8L9747,B8445,昆明/1415,/,CEB
77,8L9748,B8445,CEB/1915,/,昆明
78,8L9801,B5272,昆明/2255,/,丽江
79,8L9802,B5810,丽江/0800,/,昆明
80,8L9803,B1563,昆明/0715,/,丽江
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9804,B1563,丽江/2100,/,昆明
82,8L9827,B5806,昆明/1105,/,泸沽湖
83,8L9828,B5806,泸沽湖/1255,/,昆明
84,8L9841,B6221,昆明/0900,/,普洱
85,8L9842,B6221,普洱/1035,/,昆明
86,8L9849,B5806,昆明/0705,/,迪庆
