昆明机场飞行动态,,,,,
,,,,,2017年07月12日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8033,B6348,昆明/0655,/,丽江
2,3U8034,B6348,丽江/0855,/,昆明
3,3U8107,B1820,昆明/1405,/,常州
4,3U8108,B1820,常州/2235,/,昆明
5,3U8129,B6173,昆明/1735,/,版纳
6,3U8130,B6173,版纳/1955,/,昆明
7,3U8201,B1881,昆明/1610,/,上海
8,3U8202,B1881,上海/2025,/,昆明
9,3U8205,B1819,昆明/1700,/,广州
10,3U8221,B6388,昆明/1145,/,南宁
11,3U8222,B6388,南宁/1935,/,昆明
12,3U8227,B8656,昆明/1120,/,南京
13,3U8228,B8656,南京/2255,/,昆明
14,3U8245,B1886,昆明/1800,/,合肥
15,3U8246,B1886,合肥/2120,/,昆明
16,3U8513,B6779,昆明/0715,/,重庆
17,3U8514,B6779,重庆/1545,/,昆明
18,3U8527,B8329,昆明/2320,/,西安
19,3U8528,B6956,西安/1950,/,昆明
20,3U8529,B6953,杭州/0900,/,昆明
21,3U8530,B6953,昆明/1305,/,杭州
22,3U8638,B1881,广州/0615,/,昆明
23,3U8661,B8656,成都/0720,/,昆明
24,3U8662,B6955,昆明/2300,/,成都
25,3U8667,B6779,成都/2125,/,昆明
26,3U8668,B6779,昆明/1830,/,成都
27,3U8669,B6955,昆明/0710,/,成都
28,3U8670,B6955,成都/1720,/,昆明
29,3U8723,B8500,北京/0720,/,昆明
30,3U8724,B8500,昆明/2150,/,北京
31,3U8761,B1822,昆明/1510,/,无锡
32,3U8762,B1822,无锡/1925,/,昆明
33,3U8767,B1886,昆明/0700,/,南宁
34,3U8768,B1886,南宁/1440,/,昆明
35,3U8817,B6453,昆明/0730,/,丽江
36,3U8818,B6453,丽江/1510,/,昆明
37,3U8837,B8375,昆明/1415,/,万州
38,3U8838,B8375,万州/1140,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8853,B9937,昆明/1615,/,徐州
40,3U8854,B9937,徐州/1205,/,昆明
41,3U8901,B1820,昆明/0645,/,珠海
42,3U8902,B1820,珠海/1010,/,昆明
43,3U8917,B6322,昆明/0625,/,厦门
44,3U8918,B6322,厦门/1005,/,昆明
45,3U8929,B6772,昆明/0805,/,长沙
46,3U8930,B6772,长沙/1855,/,昆明
47,3U8957,B6322,昆明/1520,/,台北
48,3U8958,B6322,台北/1910,/,昆明
49,3U8967,B6348,昆明/1255,/,重庆
50,3U8968,B6348,重庆/2355,/,昆明
51,8L9503,B5971,昆明/1040,/,莫斯科
52,8L9504,B5971,莫斯科/2205,/,昆明
53,8L9519,B5823,昆明/1105,/,芒市
54,8L9520,B5823,芒市/1245,/,昆明
55,8L9555,B6015,昆明/2340,/,海口
56,8L9556,B7990,海口/0700,/,昆明
57,8L9584,B6800,马尼拉/0440,/,昆明
58,8L9595,B7992,昆明/0900,/,吉隆坡
59,8L9596,B7992,吉隆坡/1335,/,昆明
60,8L9597,B6947,昆明/1820,/,曼谷
61,8L9598,B6947,曼谷/2210,/,昆明
62,8L9633,B7167,昆明/1340,/,沙巴
63,8L9634,B7167,沙巴/1910,/,昆明
64,8L9647,B8732,昆明/0710,/,淮安
65,8L9651,B7990,昆明/0950,/,郑州
66,8L9652,B7988,郑州/0705,/,昆明
67,8L9655,B5407,昆明/0610,/,忻州
68,8L9656,B5407,忻州/1805,/,昆明
69,8L9677,B8445,昆明/1830,/,芽庄
70,8L9678,B8445,芽庄/2300,/,昆明
71,8L9689,B5359,昆明/1900,/,合肥
72,8L9690,B5359,合肥/2230,/,昆明
73,8L9709,B6016,昆明/0640,/,连城
74,8L9710,B6016,连城/1435,/,昆明
75,8L9711,B5810,昆明/1450,/,桂林
76,8L9712,B5810,桂林/2220,/,昆明
77,8L9713,B5823,昆明/1740,/,天津
78,8L9714,B5823,天津/2220,/,昆明
79,8L9801,B5272,昆明/2355,/,丽江
80,8L9802,B5810,丽江/0715,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9803,B5272,昆明/0715,/,丽江
82,8L9804,B5272,丽江/2100,/,昆明
83,8L9841,B1563,昆明/0845,/,普洱
84,8L9842,B1563,普洱/1100,/,昆明
85,8L9845,B6221,昆明/0915,/,赣州
86,8L9846,B6221,赣州/1815,/,昆明
87,8L9851,B1563,昆明/1555,/,腾冲
88,8L9852,B5825,腾冲/1245,/,昆明
89,8L9855,B6809,昆明/1550,/,绵阳
