昆明机场飞行动态,,,,,
,,,,,2017年07月04日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8107,B6772,昆明/1405,/,常州
2,3U8108,B6772,常州/2235,/,昆明
3,3U8129,B6448,昆明/0925,/,版纳
4,3U8130,B6448,版纳/1115,/,昆明
5,3U8206,B8329,广州/0615,/,昆明
6,3U8215,B1822,昆明/1440,/,郑州
7,3U8216,B1822,郑州/1825,/,昆明
8,3U8221,B8500,昆明/1155,/,南宁
9,3U8222,B8500,南宁/1935,/,昆明
10,3U8227,B6621,昆明/1120,/,南京
11,3U8228,B6621,南京/2255,/,昆明
12,3U8243,B1886,昆明/1515,/,厦门
13,3U8244,B1886,厦门/1915,/,昆明
14,3U8245,B6719,昆明/1755,/,合肥
15,3U8246,B6719,合肥/2140,/,昆明
16,3U8513,B6953,昆明/0715,/,重庆
17,3U8514,B6953,重庆/1545,/,昆明
18,3U8529,B6770,杭州/0900,/,昆明
19,3U8530,B6770,昆明/1305,/,杭州
20,3U8553,B6843,昆明/0845,/,重庆
21,3U8554,B6843,重庆/2235,/,昆明
22,3U8597,B6778,昆明/0745,/,太原
23,3U8598,B6778,太原/1910,/,昆明
24,3U8620,B6433,版纳/2200,/,昆明
25,3U8637,B1881,昆明/1705,/,广州
26,3U8661,B6621,成都/0720,/,昆明
27,3U8662,B1819,昆明/2300,/,成都
28,3U8667,B6953,成都/2125,/,昆明
29,3U8668,B6953,昆明/1820,/,成都
30,3U8669,B6956,昆明/0730,/,成都
31,3U8670,B6956,成都/1710,/,昆明
32,3U8709,B6719,昆明/0850,/,万象
33,3U8710,B6719,万象/1130,/,昆明
34,3U8767,B6322,昆明/0700,/,南宁
35,3U8768,B6322,南宁/1440,/,昆明
36,3U8817,B6449,昆明/0730,/,丽江
37,3U8823,B6956,昆明/1945,/,南昌
38,3U8824,B6956,南昌/2300,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8837,B8656,昆明/1415,/,万州
40,3U8838,B8656,万州/1140,/,昆明
41,3U8865,B1886,昆明/0720,/,宁波
42,3U8866,B1886,宁波/1110,/,昆明
43,3U8947,B1881,昆明/0655,/,济南
44,3U8948,B1881,济南/1050,/,昆明
45,3U8967,B6448,昆明/1310,/,重庆
46,3U8968,B6448,重庆/2355,/,昆明
47,8L9545,B2677,昆明/0710,/,太原
48,8L9546,B2677,太原/1335,/,昆明
49,8L9555,B1825,昆明/2310,/,海口
50,8L9556,B1588,海口/0700,/,昆明
51,8L9557,B1798,昆明/0610,/,锦州
52,8L9558,B1798,锦州/1645,/,昆明
53,8L9585,B6800,昆明/0710,/,南宁
54,8L9586,B6800,南宁/2235,/,昆明
55,8L9598,B7993,曼谷/0425,/,昆明
56,8L9623,B7991,昆明/1045,/,杭州
