昆明机场飞行动态,,,,,
,,,,,2017年07月03日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8033,B6772,昆明/0655,/,丽江
2,3U8034,B6772,丽江/0855,/,昆明
3,3U8107,B6772,昆明/1350,/,常州
4,3U8108,B6772,常州/2235,/,昆明
5,3U8201,B6778,昆明/1610,/,上海
6,3U8202,B6778,上海/2025,/,昆明
7,3U8205,B8329,昆明/1700,/,广州
8,3U8206,B6843,广州/0615,/,昆明
9,3U8221,B1881,昆明/1155,/,南宁
10,3U8222,B1881,南宁/1935,/,昆明
11,3U8227,B1886,昆明/1120,/,南京
12,3U8228,B1886,南京/2255,/,昆明
13,3U8245,B6448,昆明/1800,/,合肥
14,3U8246,B6448,合肥/2120,/,昆明
15,3U8513,B6719,昆明/0715,/,重庆
16,3U8514,B6719,重庆/1545,/,昆明
17,3U8661,B1886,成都/0720,/,昆明
18,3U8662,B8438,昆明/2300,/,成都
19,3U8667,B6719,成都/2205,/,昆明
20,3U8668,B6719,昆明/1830,/,成都
21,3U8669,B8326,昆明/0730,/,成都
22,3U8670,B8438,成都/1720,/,昆明
23,3U8767,B8500,昆明/0700,/,南宁
24,3U8768,B8500,南宁/1440,/,昆明
25,3U8817,B6448,昆明/0730,/,丽江
26,3U8818,B6448,丽江/1510,/,昆明
27,3U8823,B6322,昆明/2005,/,南昌
28,3U8824,B6322,南昌/2315,/,昆明
29,3U8837,B6388,昆明/1415,/,万州
30,3U8838,B6388,万州/1140,/,昆明
31,3U8847,B1822,昆明/0750,/,郑州
32,3U8848,B1822,郑州/1905,/,昆明
33,3U8865,B6778,昆明/0720,/,宁波
34,3U8866,B6778,宁波/1110,/,昆明
35,3U8917,B6956,昆明/0625,/,厦门
36,3U8918,B6956,厦门/1005,/,昆明
37,3U8929,B6953,昆明/0805,/,长沙
38,3U8930,B6953,长沙/1855,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8957,B6956,昆明/1520,/,台北
40,3U8958,B6956,台北/1910,/,昆明
41,3U8967,B6843,昆明/1310,/,重庆
42,3U8968,B6843,重庆/2355,/,昆明
43,8L9503,B5971,昆明/1055,/,莫斯科
44,8L9504,B5971,莫斯科/2205,/,昆明
45,8L9519,B5249,昆明/1105,/,芒市
46,8L9520,B5249,芒市/1245,/,昆明
47,8L9555,B1588,昆明/2310,/,海口
48,8L9556,B6016,海口/0700,/,昆明
49,8L9584,B6800,马尼拉/0440,/,昆明
50,8L9595,B8445,昆明/0850,/,吉隆坡
51,8L9596,B8445,吉隆坡/1335,/,昆明
52,8L9597,B7993,昆明/2350,/,曼谷
53,8L9643,B5268,昆明/1650,/,芒市
54,8L9644,B5268,芒市/1905,/,昆明
55,8L9647,B8446,昆明/0710,/,淮安
56,8L9648,B8446,淮安/1515,/,昆明
57,8L9651,B5409,昆明/0950,/,郑州
58,8L9652,B1798,郑州/0705,/,昆明
59,8L9655,B1588,昆明/0610,/,忻州
60,8L9656,B1588,忻州/1805,/,昆明
61,8L9677,B8445,昆明/1830,/,芽庄
62,8L9678,B8445,芽庄/2300,/,昆明
63,8L9689,B2677,昆明/1855,/,合肥
64,8L9690,B2677,合肥/2230,/,昆明
65,8L9801,B1563,昆明/2355,/,丽江
66,8L9802,B5249,丽江/0715,/,昆明
67,8L9803,B6959,昆明/0715,/,丽江
68,8L9804,B1563,丽江/2105,/,昆明
69,8L9841,B5292,昆明/0900,/,普洱
70,8L9842,B5292,普洱/1100,/,昆明
71,8L9845,B6809,昆明/0915,/,赣州
72,8L9846,B6809,赣州/1815,/,昆明
73,8L9849,B5806,昆明/0705,/,迪庆
74,8L9850,B5806,迪庆/0905,/,昆明
75,8L9855,B7989,昆明/1345,/,绵阳
76,8L9856,B1587,绵阳/0705,/,昆明
77,8L9861,B7990,昆明/0715,/,合肥
78,8L9862,B7990,合肥/1040,/,昆明
79,8L9863,B5359,昆明/0700,/,重庆
80,8L9864,B5359,重庆/1550,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9865,B2677,昆明/0710,/,济南
82,8L9866,B2677,济南/1130,/,昆明
83,8L9869,B7988,昆明/1420,/,武汉
84,8L9870,B7988,武汉/2325,/,昆明
85,8L9871,B6947,昆明/1350,/,宜昌
86,8L9872,B6947,宜昌/2230,/,昆明
87,8L9873,B6015,昆明/0700,/,赣州
88,8L9874,B6015,赣州/1425,/,昆明
89,8L9875,B7990,昆明/1755,/,厦门
90,8L9876,B7990,厦门/2150,/,昆明
91,8L9883,B5732,昆明/1800,/,南京
92,8L9884,B5732,南京/2150,/,昆明
93,8L9887,B1586,昆明/0830,/,宜春
94,8L9888,B1586,宜春/1805,/,昆明
95,8L9889,B1798,昆明/1700,/,上海
96,8L9890,B1798,上海/2135,/,昆明
97,8L9891,B6016,昆明/0950,/,武汉
98,8L9892,B6016,武汉/2030,/,昆明
99,8L9893,B7989,昆明/0715,/,珠海
100,8L9894,B7989,珠海/1015,/,昆明
101,8L9897,B6198,昆明/1455,/,温州
102,8L9898,B6198,温州/2110,/,昆明
103,8L9903,B5825,版纳/2100,/,昆明
104,8L9904,B5825,昆明/1510,/,版纳
105,8L9905,B5292,版纳/0650,/,昆明
106,8L9906,B5248,昆明/2345,/,版纳
107,8L9913,B5806,版纳/0040,/,昆明
108,8L9914,B5806,昆明/2255,/,版纳
109,8L9915,B5248,版纳/0840,/,昆明
110,8L9916,B5248,昆明/0700,/,版纳
111,8L9921,B5806,昆明/1105,/,沧源
112,8L9922,B5806,沧源/1250,/,昆明
113,8L9945,B5825,昆明/2355,/,成都
114,8L9946,B1565,成都/2350,/,昆明
115,8L9947,B1587,昆明/1025,/,成都
116,8L9948,B1587,成都/1310,/,昆明
117,8L9955,B1586,昆明/2200,/,郑州
118,8L9956,B5732,郑州/1410,/,昆明
119,8L9957,B7988,昆明/0710,/,武汉
120,8L9958,B7988,武汉/1020,/,昆明
121,8L9959,B5449,昆明/0725,/,安庆
122,8L9960,B5449,安庆/1540,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
123,8L9965,B6947,昆明/0715,/,三亚
124,8L9966,B6947,三亚/1030,/,昆明
125,8L9971,B5292,昆明/1900,/,海口
126,8L9972,B5292,海口/2145,/,昆明
127,8L9973,B7167,昆明/0705,/,郑州
128,8L9974,B7992,郑州/2230,/,昆明
129,8L9975,B6015,昆明/1900,/,广州
130,8L9976,B6015,广州/2230,/,昆明
131,8L9979,B7993,昆明/1620,/,深圳
132,8L9980,B7993,深圳/1955,/,昆明
133,8L9983,B5359,昆明/1930,/,西安
134,8L9984,B5359,西安/2255,/,昆明
