昆明机场飞行动态,,,,,
,,,,,2017年07月10日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8033,B8329,昆明/0655,/,丽江
2,3U8034,B8329,丽江/0855,/,昆明
3,3U8129,B6453,昆明/0925,/,版纳
4,3U8130,B6453,版纳/1115,/,昆明
5,3U8201,B1886,昆明/1610,/,上海
6,3U8202,B1886,上海/2025,/,昆明
7,3U8205,B1881,昆明/1700,/,广州
8,3U8206,B1881,广州/0615,/,昆明
9,3U8221,B6388,昆明/1155,/,南宁
10,3U8222,B6388,南宁/1935,/,昆明
11,3U8227,B6347,昆明/1120,/,南京
12,3U8228,B6347,南京/2255,/,昆明
13,3U8245,B6175,昆明/1800,/,合肥
14,3U8246,B6175,合肥/2120,/,昆明
15,3U8513,B1819,昆明/0715,/,重庆
16,3U8514,B1819,重庆/1545,/,昆明
17,3U8529,B1665,杭州/0900,/,昆明
18,3U8530,B1665,昆明/1305,/,杭州
19,3U8661,B6347,成都/0720,/,昆明
20,3U8662,B6348,昆明/2300,/,成都
21,3U8667,B8329,成都/2205,/,昆明
22,3U8668,B8329,昆明/1830,/,成都
23,3U8669,B8500,昆明/0730,/,成都
24,3U8670,B8500,成都/1720,/,昆明
25,3U8723,B6388,北京/0720,/,昆明
26,3U8724,B8500,昆明/2150,/,北京
27,3U8761,B6779,昆明/1510,/,无锡
28,3U8762,B6779,无锡/1925,/,昆明
29,3U8767,B6348,昆明/0700,/,南宁
30,3U8768,B6348,南宁/1440,/,昆明
31,3U8817,B6175,昆明/0730,/,丽江
32,3U8818,B6175,丽江/1510,/,昆明
33,3U8823,B1820,昆明/2005,/,南昌
34,3U8824,B1820,南昌/2315,/,昆明
35,3U8837,B2373,昆明/1415,/,万州
36,3U8838,B2373,万州/1140,/,昆明
37,3U8847,B6322,昆明/0750,/,郑州
38,3U8848,B6322,郑州/1905,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8865,B1886,昆明/0720,/,宁波
40,3U8866,B1886,宁波/1110,/,昆明
41,3U8917,B1820,昆明/0625,/,厦门
42,3U8918,B1820,厦门/1005,/,昆明
43,3U8929,B6772,昆明/0805,/,长沙
44,3U8930,B6772,长沙/1855,/,昆明
45,3U8957,B6955,昆明/1520,/,台北
46,3U8958,B6955,台北/1910,/,昆明
47,3U8967,B6348,昆明/1310,/,重庆
48,3U8968,B6348,重庆/2355,/,昆明
49,8L9503,B5971,昆明/1055,/,莫斯科
50,8L9504,B5971,莫斯科/2205,/,昆明
51,8L9519,B6221,昆明/1105,/,芒市
52,8L9520,B6221,芒市/1245,/,昆明
