FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
AK100,,AK101,昆明-吉隆坡,,KUL,I,9MAFF,A320,2017/7/9 17:55,2017/7/9,,,,J11-J14,,,,,33-计划,REG,REG,,PAX,,,0
MI913,,MI912,昆明-新加坡,,SIN,I,9VMGD,B738,2017/7/9 13:10,2017/7/9,,,,J11-J15,,,,,33-计划,REG,REG,,PAX,,,2
MU2498,,MU2493,昆明-武汉,,WUH,D,B1422,B738,2017/7/9 23:20,2017/7/9,1:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2494,,MU2497,昆明-武汉-温州,WUH,WNZ,D,B1422,B738,2017/7/9 11:20,2017/7/9,13:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8351,,KY8314,昆明-芒市,,LUM,D,B1459,B737,2017/7/9 8:00,2017/7/9,,521L,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8269,,KY8352,昆明-丽江,,LJG,D,B1459,B737,2017/7/9 19:10,2017/7/9,20:04,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8333,,KY8334,昆明-西安-大连,XIY,DLC,D,B1507,B738,2017/7/9 10:00,2017/7/9,11:53,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA1404,,CA1403,昆明-北京,,PEK,D,B1529,B738,2017/7/9 11:40,2017/7/9,14:37,,,,,,,,33-计划,REG,REG,,PAX,,,1
HU7212,,HU7211,昆明-北京,,PEK,D,B1542,B738,2017/7/9 12:55,2017/7/9,15:46,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9709,,8L9984,昆明-连城-南京,LCX,NKG,D,B1587,B738,2017/7/9 6:40,2017/7/9,8:53,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9975,,8L9710,昆明-广州,,CAN,D,B1587,B738,2017/7/9 18:50,2017/7/9,20:29,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9955,,8L9888,昆明-郑州,,CGO,D,B1588,B738,2017/7/9 22:05,2017/7/9,0:17,,,,,,,,33-计划,REG,REG,,PAX,,,1
8L9887,,8L9980,昆明-宜春-上海,YIC,SHA,D,B1588,B738,2017/7/9 8:30,2017/7/9,10:22,538,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6569,,DR6560,昆明-北海,,BHY,D,B1593,B738,2017/7/9 7:20,2017/7/9,8:37,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6559,,DR6570,昆明-太原-大连,TYN,DLC,D,B1593,B738,2017/7/9 12:40,2017/7/9,15:04,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6521,,DR6522,昆明-成都,,CTU,D,B1595,B738,2017/7/9 7:00,2017/7/9,8:03,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6537,,DR6530,昆明-兰州,,ZGC,D,B1597,B738,2017/7/9 18:55,2017/7/9,20:50,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6529,,DR6538,昆明-太原-呼和,TYN,HET,D,B1597,B738,2017/7/9 7:35,2017/7/9,10:00,,,,,,,,33-计划,REG,REG,,PAX,,,0
