FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
AK100,,AK101,昆明-吉隆坡,,KUL,I,9MAFF,A320,2017/7/12 17:55,2017/7/12,,,,,,,,,33-计划,REG,REG,,PAX,,,0
MI917,,MI918,昆明-新加坡,,SIN,I,9VMGF,B738,2017/7/13 2:05,2017/7/13,,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8351,,KY8270,昆明-芒市,,LUM,D,B1459,B737,2017/7/12 8:00,2017/7/12,,317,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8269,,KY8352,昆明-丽江,,LJG,D,B1459,B737,2017/7/12 19:10,2017/7/12,20:04,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8333,,KY8240,昆明-西安-大连,XIY,DLC,D,B1507,B738,2017/7/12 10:00,2017/7/12,11:53,328,,,B,,,,33-计划,REG,REG,,PAX,,,0
SC4738,,SC4737,昆明-青岛,,TAO,D,B1511,B738,2017/7/12 20:55,2017/7/12,23:55,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2498,,MU2493,昆明-武汉,,WUH,D,B1515,B738,2017/7/12 23:20,2017/7/12,1:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2494,,MU2497,昆明-武汉-温州,WUH,WNZ,D,B1515,B738,2017/7/12 11:20,2017/7/12,13:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA1404,,CA1403,昆明-北京,,PEK,D,B1526,B738,2017/7/12 11:40,2017/7/12,14:37,,,,,,,,33-计划,REG,REG,,PAX,,,1
FU6510,,FU6509,昆明-福州,,FOC,D,B1559,B738,2017/7/12 22:25,2017/7/12,0:46,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9851,,8L9842,昆明-腾冲,,TCZ,D,B1563,B737,2017/7/12 15:55,2017/7/12,16:48,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9841,,8L9946,昆明-普洱,,SYM,D,B1563,B737,2017/7/12 8:45,2017/7/12,9:26,168,9,,A,,,,33-计划,REG,REG,,PAX,,,0
8L9955,,8L9888,昆明-郑州,,CGO,D,B1586,B738,2017/7/12 22:05,2017/7/12,0:17,,,,,,,,33-计划,REG,REG,,PAX,,,1
8L9887,,8L9956,昆明-宜春-上海,YIC,SHA,D,B1586,B738,2017/7/12 8:30,2017/7/12,10:22,710,,,B,,,,33-计划,REG,REG,,PAX,,,0
8L9883,,8L9956,昆明-南京,,NKG,D,B1587,B738,2017/7/12 18:00,2017/7/12,20:20,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6569,,DR6560,昆明-北海,,BHY,D,B1593,B738,2017/7/12 7:20,2017/7/12,8:37,150,49,,,,,,33-计划,REG,REG,,PAX,,,0
DR6559,,DR6570,昆明-太原-大连,TYN,DLC,D,B1593,B738,2017/7/12 12:40,2017/7/12,15:04,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6521,,DR6522,昆明-成都,,CTU,D,B1595,B738,2017/7/12 7:00,2017/7/12,8:03,157,1,,A,,,,33-计划,REG,REG,,PAX,,,0
DR6537,,DR6530,昆明-兰州,,ZGC,D,B1597,B738,2017/7/12 18:55,2017/7/12,20:50,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6529,,DR6538,昆明-太原-呼和,TYN,HET,D,B1597,B738,2017/7/12 7:35,2017/7/12,10:00,152,46,,A,,,,33-计划,REG,REG,,PAX,,,0
ZH9534,,ZH9533,昆明-无锡,,WUX,D,B1602,A322,2017/7/12 15:10,2017/7/12,17:44,,,,,,,,33-计划,REG,REG,,PAX,,,0
JD5156,,JD5155,昆明-丽江,,LJG,D,B1603,A320,2017/7/12 16:05,2017/7/12,16:58,,,,,,,,33-计划,REG,REG,,PAX,,,0
