FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STP,STA,ETA,TDT,ATA,RCP,FSA,SDT,POP,OPE,NAT,FLX,MFF,SST
"MU5711","","MU5989","版纳-昆明","JHG","","D","B5293","B737","","","","8:50","9:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9988","","8L9871","北京-昆明","PEK","","D","B8446","A320","","","","6:20","10:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"SC4769","","SC4770","厦门-昆明","XMN","","D","B1986","B738","","","","7:10","10:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5740","","MU741","广州-昆明","CAN","","D","B1907","B738","","","","7:35","10:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2181","","MU2182","西安-昆明","XIY","","D","B2378","A320","","","","7:50","10:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2497","","MU2494","武汉-昆明","WUH","","D","B7393","B738","","","","7:55","10:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3459","","CZ3460","深圳-昆明","SZX","","D","B1626","A321","","","","8:00","10:23","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"HU7163","","HU7164","深圳-昆明","SZX","","D","B5479","B738","","","","7:55","10:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2205","","MU2206","银川-昆明","INC","","D","B6376","A320","","","","7:40","10:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CA1751","","CA1956","杭州-昆明","HGH","","D","B6033","A319","","","","7:25","10:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2143","","MU5462","太原-昆明","TYN","","D","B2682","B737","","","","7:35","10:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2705","","MU2705","南京-昆明","NKG","","D","B6456","A319","","","","7:30","10:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3491","","CZ3491","郑州-昆明","CGO","","D","B2622","B737","","","","7:55","10:33","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CA1403","","CA1404","北京-昆明","PEK","","D","B7180","B738","","","","7:00","10:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"FM9541","","FM9542","郑州-昆明","CGO","","D","B5140","B738","","","","7:50","10:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"JD5165","","JD5791","丽江-昆明","LJG","","D","B6181","A319","","","","9:40","10:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5476","","MU5475","合肥-昆明","HFE","","D","B8557","A320","","","","7:55","10:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5962","","MU5740","临沧-昆明","LNJ","","D","B5809","B737","","","","9:45","10:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3409","","CZ3410","广州-昆明","CAN","","D","B6532","A332","","","","8:20","10:43","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"9C8953","","9C8954","上海-昆明","SHA","","D","B6301","A320","","","","7:25","10:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"FM9539","","FM9540","温州-昆明","WNZ","","D","B5145","B738","","","","7:40","10:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"KY8252","","KY8209","保山-昆明","BSD","","D","B7870","B737","","","","9:40","10:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MF8405","","MF8406","厦门-昆明","XMN","","D","B5280","B737","","","","8:05","10:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5497","","MU5498","青岛-昆明","TAO","","D","B1863","A320","","","","7:10","10:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5655","","MU5711","杭州-昆明","HGH","","D","B6805","A320","","","","7:35","10:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3677","","CZ3678","上海-昆明","PVG","","D","B9930","A320","","","","7:40","10:53","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"KY8220","","KY8203","深圳-昆明","SZX","","D","B5673","B738","","","","8:30","10:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5811","","MU5764","迪庆-昆明","DIG","","D","B5807","B737","","","","9:50","10:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3857","","CZ3858","汕头-昆明","SWA","","D","B5718","B738","","","","8:40","10:58","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MF8427","","MF8428","福州-昆明","FOC","","D","B5306","B738","","","","8:05","11:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5988","","MU5831","保山-昆明","BSD","","D","B5054","B737","","","","10:00","11:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"ZH9265","","ZH9266","西安-昆明","XIY","","D","B6938","A320","","","","8:35","11:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
