FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
3U8108,青岛-常州-昆明,B6719,,,CZX,A320,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:30,TAO,,,,,,2017/6/20 22:35
3U8130,版纳-昆明,B6448,,3U8967,,A319,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 12:20,JHG,,,,,,2017/6/20 11:15
3U8206,广州-昆明,B8329,,3U8637,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 8:45,CAN,,,,,,2017/6/20 6:15
3U8216,郑州-昆明,B8500,,3U8724,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 21:10,CGO,,,,,,2017/6/20 18:25
3U8244,厦门-昆明,B6348,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 22:05,XMN,,,,,,2017/6/20 19:15
3U8260,南京-昆明,B1883,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 18:05,NKG,,,,,,2017/6/20 15:10
3U8514,兰州-重庆-昆明,B1885,,3U8668,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 17:20,ZGC,,,,,,2017/6/20 15:45
3U8528,西安-昆明,B6325,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 22:15,XIY,,,,,,2017/6/20 19:50
3U8529,杭州-昆明,B6323,,3U8530,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 12:05,HGH,,,,,,2017/6/20 9:00
3U8554,乌鲁-重庆-昆明,B8948,,,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 0:10,URC,,,,,,2017/6/20 22:35
3U8598,哈尔滨-太原-昆明,B6778,,3U8527,TYN,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 22:00,HRB,,,,,,2017/6/20 19:10
3U8620,版纳-昆明,B6422,,,,A319,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 23:15,JHG,,,,,,2017/6/20 22:00
3U8661,成都-昆明,B1883,,3U8259,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 9:00,CTU,,,,,,2017/6/20 7:20
3U8667,成都-昆明,B1885,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 23:05,CTU,,,,,,2017/6/20 21:25
3U8670,石家庄-成都-昆明,B8657,,3U8823,CTU,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 18:45,SJW,,,,,,2017/6/20 17:10
3U8686,哈尔滨-长沙-昆明,B6957,,3U8685,HHA,A321,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 14:45,HRB,,,,,,2017/6/20 12:35
3U8710,万象-昆明,B6719,,3U8107,,A320,,I,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 13:20,VTE,,,,,,2017/6/20 11:30
3U8723,北京-昆明,B8500,,3U8215,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 10:55,PEK,,,,,,2017/6/20 7:20
3U8762,无锡-昆明,B1661,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 22:35,WUX,,,,,,2017/6/20 19:25
3U8768,温州-南宁-昆明,B6953,,,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 16:05,WNZ,,,,,,2017/6/20 14:40
3U8808,沈阳-徐州-昆明,B1887,,3U8662,XUZ,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 20:00,SHE,,,,,,2017/6/20 17:05
3U8818,拉萨-丽江-昆明,B6445,,3U8619,LJG,A319,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 15:35,LXA,,,,,,2017/6/20 14:40
3U8824,南昌-昆明,B8657,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:20,KHN,,,,,,2017/6/20 23:00
3U8838,北京-万州-昆明,B6697,,3U8837,WXN,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 13:15,PEK,,,,,,2017/6/20 11:40
3U8866,宁波-昆明,B6348,,3U8243,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 14:15,NGB,,,,,,2017/6/20 11:10
3U8948,济南-昆明,B1661,,3U8761,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 13:55,TNA,,,,,,2017/6/20 10:50
3U8968,大连-重庆-昆明,B6448,,,CKG,A319,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:30,DLC,,,,,,2017/6/20 23:55
8L9504,莫斯科-昆明,B5971,,,,A333,520,I,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 6:30,DME,,,,,,2017/6/19 22:05
8L9546,大同-太原-昆明,B5359,,8L9883,TYN,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 16:30,DAT,,,,,,2017/6/20 13:35
8L9556,海口-昆明,B7989,,8L9891,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 8:50,HAK,,,,,,2017/6/20 7:00
8L9558,哈尔滨-锦州-昆明,B1587,,,JNZ,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 22:30,HRB,,,,,,2017/6/20 18:20
8L9586,巴厘岛-南宁-昆明,B7167,,,NNG,B738,,M,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 23:50,DPS,,,,,,2017/6/20 22:35
8L9598,曼谷-昆明,B6800,,8L9747,,B738,107,I,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 6:30,BKK,,,,,,2017/6/20 4:25
8L9624,杭州-昆明,B7990,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 17:55,HGH,,,,,,2017/6/20 14:45
8L9644,芒市-昆明,B5248,,8L9933,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 10:45,LUM,,,,,,2017/6/20 9:45
8L9648,天津-淮安-昆明,B1565,,8L9993,HIA,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 18:45,TSN,,,,,,2017/6/20 15:30
8L9652,郑州-昆明,B1586,,8L9855,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 9:45,CGO,,,,,,2017/6/20 7:05
8L9686,郑州-凯里-昆明,B6221,,8L9971,KJH,A319,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 17:00,CGO,,,,,,2017/6/20 15:45
8L9690,合肥-昆明,B1798,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:00,HFE,,,,,,2017/6/20 22:20
8L9698,普吉-昆明,B5407,,8L9983,,B738,,I,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 15:40,HKT,,,,,,2017/6/20 12:40
8L9712,汕头-桂林-昆明,B5810,,,KWL,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 23:25,SWA,,,,,,2017/6/20 21:50
8L9748,宿务市-昆明,B6800,,,,B738,,I,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 23:30,CEB,,,,,,2017/6/20 19:15
8L9802,丽江-昆明,B5810,,8L9916,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 7:55,LJG,,,,,,2017/6/20 6:55
8L9804,丽江-昆明,B5292,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 22:35,LJG,,,,,,2017/6/20 21:35
8L9828,泸沽湖-昆明,B5823,,8L9904,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 13:50,NLH,,,,,,2017/6/20 12:55
8L9842,普洱-昆明,B5249,,8L9857,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 11:40,SYM,,,,,,2017/6/20 10:35
8L9850,迪庆-昆明,B5823,,8L9827,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 10:10,DIG,,,,,,2017/6/20 9:05
8L9856,绵阳-昆明,B7990,,8L9623,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 9:15,MIG,,,,,,2017/6/20 7:40
8L9858,腾冲-昆明,B5249,,8L9912,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 15:55,TCZ,,,,,,2017/6/20 14:55
8L9864,徐州-重庆-昆明,B6015,,8L9955,CKG,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 17:25,XUZ,,,,,,2017/6/20 15:50
8L9866,济南-昆明,B1825,,8L9889,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 14:40,TNA,,,,,,2017/6/20 11:30
8L9870,青岛-武汉-昆明,B7991,,,WUH,B738,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:40,TAO,,,,,,2017/6/20 23:25
8L9872,宁波-宜昌-昆明,B6943,,,YIH,A320,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 0:30,NGB,,,,,,2017/6/20 22:30
8L9874,杭州-赣州-昆明,B1798,,8L9689,KOW,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 16:40,HGH,,,,,,2017/6/20 14:25
8L9884,南京-昆明,B5359,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 0:40,NKG,,,,,,2017/6/20 21:50
8L9886,徐州-昆明,B5449,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 23:30,XUZ,,,,,,2017/6/20 20:30
8L9888,上海-宜春-昆明,B8732,,8L9555,YIC,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 20:00,SHA,,,,,,2017/6/20 17:50
8L9890,上海-昆明,B1825,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 0:50,PVG,,,,,,2017/6/20 21:35
8L9892,大连-武汉-昆明,B7989,,,WUH,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 22:40,DLC,,,,,,2017/6/20 20:30
8L9894,珠海-昆明,B6198,,8L9935,,A319,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 12:10,ZUH,,,,,,2017/6/20 10:10
8L9903,版纳-昆明,B5823,,8L9945,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 22:05,JHG,,,,,,2017/6/20 21:00
8L9905,版纳-昆明,B5249,,8L9841,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 8:05,JHG,,,,,,2017/6/20 7:00
8L9911,版纳-昆明,B5249,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:25,JHG,,,,,,2017/6/21 0:25
8L9913,版纳-昆明,B5248,,8L9906,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 20:55,JHG,,,,,,2017/6/20 19:50
8L9915,版纳-昆明,B5810,,8L9711,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 12:55,JHG,,,,,,2017/6/20 11:55
8L9932,芒市-昆明,B5825,,8L9931,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 13:45,LUM,,,,,,2017/6/20 12:45
8L9934,腾冲-昆明,B5248,,8L9914,,B737,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 16:25,TCZ,,,,,,2017/6/20 15:20
8L9936,芒市-昆明,B6198,,8L9801,,A319,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 22:50,LUM,,,,,,2017/6/20 21:45
8L9946,成都-昆明,B5806,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:30,CTU,,,,,,2017/6/20 23:50
8L9948,成都-昆明,B2677,,8L9979,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 14:45,CTU,,,,,,2017/6/20 13:10
8L9956,郑州-昆明,B6809,,8L9987,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 16:50,CGO,,,,,,2017/6/20 14:05
8L9966,三亚-昆明,B7991,Y,8L9869,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 12:35,SYX,,,,,,2017/6/20 10:30
8L9972,海口-昆明,B6221,,,,A319,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 23:40,HAK,,,,,,2017/6/20 21:45
8L9974,郑州-昆明,B7993,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:10,CGO,,,,,,2017/6/20 22:30
8L9980,深圳-昆明,B2677,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 22:30,SZX,,,,,,2017/6/20 19:55
8L9984,西安-昆明,B5407,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:10,XIY,,,,,,2017/6/20 22:55
8L9986,呼和-太原-昆明,B8445,,,TYN,A320,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:35,HET,,,,,,2017/6/20 22:45
8L9988,北京-昆明,B6943,,8L9871,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 10:00,PEK,,,,,,2017/6/20 6:20
8L9994,西安-昆明,B7992,,8L9651,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 8:50,XIY,,,,,,2017/6/20 6:25
8L9996,银川-昆明,B8445,,8L9985,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 14:00,INC,,,,,,2017/6/20 11:15
9C8595,沈阳-绵阳-昆明,B6707,,9C8596,MIG,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 19:25,SHE,,,,,,2017/6/20 17:55
9C8729,扬州-昆明,B6562,,9C8730,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 16:55,YTY,,,,,,2017/6/20 14:05
9C8823,上海-遵义-昆明,B6645,,9C8824,ZYI,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 15:35,SHA,,,,,,2017/6/20 14:15
9C8827,上海-芷江-昆明,B6840,,9C8828,HJJ,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 11:15,SHA,,,,,,2017/6/20 9:45
9C8829,上海-常德-昆明,B9920,,9C8830,CGD,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 18:35,SHA,,,,,,2017/6/20 16:30
9C8937,石家庄-昆明,B8347,,9C8938,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 13:45,SJW,,,,,,2017/6/20 10:35
A67106,南昌-昆明,B8285,,A67107,,A321,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 17:10,KHN,,,,,,2017/6/20 14:40
A67108,郑州-昆明,B8285,,,,A321,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:35,CGO,,,,,,2017/6/20 22:45
AK101,吉隆坡-昆明,9MAFF,,AK100,,A320,,I,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 16:55,KUL,,,,,,2017/6/20 13:00
B7289,高雄-昆明,B16208,,B7290,,A321,,R,33-计划,REG,REG,,PAX,2017/6/20,,,0,CES,2017/6/20 11:15,KHH,,,,,,2017/6/20 8:10
BDJ301,上海-昆明,B8100,,,,F100,,D,33-计划,REG,REG,,SPE,2017/6/20,,,0,UNK,2017/6/20 13:45,SHA,,,,,,2017/6/20 11:00
BK2797,长沙-昆明,B6026,,BK2845,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 9:10,HHA,,,,,,2017/6/20 7:05
BK2846,合肥-昆明,B6026,,BK2798,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 16:55,HFE,,,,,,2017/6/20 14:10
CA1401,天津-昆明,B1418,,CA1402,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 19:15,TSN,,,,,,2017/6/20 15:40
CA1403,北京-昆明,B1761,,CA1404,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 10:35,PEK,,,,,,2017/6/20 7:00
CA1467,天津-昆明,B5509,,CA1468,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 17:05,TSN,,,,,,2017/6/20 13:20
CA1487,北京-达县-昆明,B5227,,CA1488,DAX,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 14:20,PEK,,,,,,2017/6/20 12:40
CA1751,杭州-昆明,B6032,,CA1956,,A319,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 10:30,HGH,,,,,,2017/6/20 7:25
CA1753,杭州-昆明,B6745,,CA1754,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 18:35,HGH,,,,,,2017/6/20 15:25
CA1937,上海-昆明,B6918,,CA1938,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 19:20,PVG,,,,,,2017/6/20 16:00
CA1955,温州-昆明,B6676,,CA1752,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 11:10,WNZ,,,,,,2017/6/20 8:00
CA1987,温州-昆明,B8493,,CA1988,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 20:05,WNZ,,,,,,2017/6/20 16:50
CA415,成都-昆明,B6478,,CA415,,A319,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 9:15,CTU,,,,,,2017/6/20 7:40
CA416,仰光-昆明,B6478,,CA416,,A319,,I,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 15:45,RGN,,,,,,2017/6/20 13:45
CA4172,北京-昆明,B6828,Y,CA4173,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 15:25,PEK,,,,,,2017/6/20 11:50
CA4174,北京-昆明,B6828,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 1:15,PEK,,,,,,2017/6/20 21:40
CA4176,沈阳-昆明,B6847,,CA4460,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 16:30,SHE,,,,,,2017/6/20 12:10
CA4276,哈尔滨-昆明,B8338,,CA4275,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 14:20,HRB,,,,,,2017/6/20 9:40
CA4413,成都-昆明,B1686,,CA4414,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 12:05,CTU,,,,,,2017/6/20 10:30
CA4417,成都-昆明,B9926,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 22:30,CTU,,,,,,2017/6/20 20:45
CA4459,成都-昆明,B8490,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,1,YAG,2017/6/20 23:15,CTU,,,,,,2017/6/20 21:40
CA8929,大连-郑州-昆明,B5642,,,CGO,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 22:40,DLC,,,,,,2017/6/20 20:00
CF9018,南京-昆明,B2824,,CF9017,,B757,,D,33-计划,REG,REG,,CGO,2017/6/20,,,0,UNK,2017/6/20 8:55,NKG,,,,,,2017/6/20 6:00
CZ3247,桂林-昆明,B5720,,CZ3248,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 13:48,KWL,,,,,,2017/6/20 12:20
CZ3407,广州-昆明,B1700,,CZ3408,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 16:28,CAN,,,,,,2017/6/20 13:55
CZ3409,广州-昆明,B1781,,CZ3410,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 10:43,CAN,,,,,,2017/6/20 8:20
CZ3415,广州-昆明,B5113,,CZ3416,,B738,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 14:08,CAN,,,,,,2017/6/20 11:35
CZ3419,广州-昆明,B6203,,,,A319,,D,33-计划,REG,REG,,PAX,2017/6/21,,,0,YAG,2017/6/21 0:48,CAN,,,,,,2017/6/20 22:15
CZ3431,海口-昆明,B6651,,CZ3432,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 9:48,HAK,,,,,,2017/6/20 8:05
CZ3451,深圳-昆明,B2391,,CZ3451,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 16:08,SZX,,,,,,2017/6/20 13:45
CZ3452,丽江-昆明,B2391,,CZ3452,,A320,,D,33-计划,REG,REG,,PAX,2017/6/20,,,0,YAG,2017/6/20 20:08,LJG,,,,,,2017/6/20 19:15
