FLT,VIP,LKF,REG,RFC,VI1,TOF,ITY,TAR,STA,ETA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL,ORG,TDT,ATA,ABP,CAR
3U8228,,,B1886,长春-南京-昆明,NKG,D,A320,,2017/7/4 1:50,,33-计划,,REG,REG,,PAX,,,0,YAG,CGQ,,,,
3U8661,,3U8227,B1886,成都-昆明,,D,A320,156,2017/7/3 9:00,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
MU5818,,,B1907,上海-兴义-昆明,ACX,D,B738,,2017/7/3 20:20,,33-计划,,REG,REG,,PAX,,,0,CES,SHA,,,,
MU5704,,,B1908,北京-济宁-昆明,JNG,D,B738,,2017/7/4 0:55,,33-计划,,REG,REG,,PAX,,,0,CES,PEK,,,,
SC4873,,SC4874,B1931,烟台-济南-昆明,TNA,D,B738,138,2017/7/3 12:00,,33-计划,,REG,REG,,PAX,,,0,YAG,YNT,,,,
BK2797,,BK2715,B1963,长沙-昆明,,D,B738,157,2017/7/3 9:10,,33-计划,,REG,REG,,PAX,,,0,YAG,HHA,,,,
BK2716,,BK2798,B1963,南京-昆明,,D,B738,,2017/7/3 16:50,,33-计划,,REG,REG,,PAX,,,0,YAG,NKG,,,,
FM9397,,FM9398,B1967,上海-长沙-昆明,HHA,D,B738,120,2017/7/3 14:50,,33-计划,,REG,REG,,PAX,,,0,CES,PVG,,,,
SC4769,,SC4770,B1983,厦门-昆明,,D,B738,137,2017/7/3 9:50,,33-计划,,REG,REG,,PAX,,,0,YAG,XMN,,,,
KY8322,,KY8275,B1991,成都-昆明,,D,B738,141,2017/7/3 12:35,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
KY8276,,,B1991,济南-昆明,,D,B738,,2017/7/3 22:20,,33-计划,,REG,REG,,PAX,,,0,YAG,TNA,,,,
HU7311,,,B1997,北京-昆明,,D,B738,,2017/7/4 0:55,,33-计划,,REG,REG,,PAX,,,0,YAG,PEK,,,,
CZ3492,,CZ3492,B2169,版纳-昆明,,D,B737,143,2017/7/3 14:23,,33-计划,,REG,REG,,PAX,,,0,YAG,JHG,,,,
CZ3491,,CZ3491,B2169,郑州-昆明,,D,B737,145,2017/7/3 10:33,,33-计划,,REG,REG,,PAX,,,0,YAG,CGO,,,,
MU2249,,MU2250,B2209,兰州-昆明,,D,A320,124,2017/7/3 9:30,,33-计划,,REG,REG,,PAX,,,0,CES,ZGC,,,,
MU5646,,MU5646,B2229,版纳-昆明,,D,A320,,2017/7/3 22:00,,33-计划,,REG,REG,,PAX,,,0,CES,JHG,,,,
MU5645,,MU5645,B2229,杭州-昆明,,D,A320,,2017/7/3 17:45,,33-计划,,REG,REG,,PAX,,,0,CES,HGH,,,,
UW9938,,UW9933,B2325,马德拉斯-昆明,,I,A306,721,2017/7/3 8:40,,33-计划,,REG,REG,,CGO,,,0,YAG,MAA,,,,
UW9942,,UW9937,B2330,达卡-昆明,,I,A306,720,2017/7/3 12:40,,33-计划,,REG,REG,,CGO,,,0,YAG,DAC,,,,
UW9934,,,B2330,德里-昆明,,I,A306,,2017/7/4 1:55,,33-计划,,REG,REG,,CGO,,,0,YAG,DEL,,,,
MU2433,,MU2434,B2333,青岛-宜昌-昆明,YIH,D,A319,,2017/7/3 18:55,,33-计划,,REG,REG,,PAX,,,0,CES,TAO,,,,
MU5327,,MU5328,B2335,济南-九华山-昆明,JUH,D,A320,,2017/7/3 15:15,,33-计划,,REG,REG,,PAX,,,0,CES,TNA,,,,
CZ3459,,CZ3460,B2365,深圳-昆明,,D,A320,140,2017/7/3 10:23,,33-计划,,REG,REG,,PAX,,,0,YAG,SZX,,,,
CZ3452,,CZ3452,B2369,丽江-昆明,,D,A320,,2017/7/3 20:08,,33-计划,,REG,REG,,PAX,,,0,YAG,LJG,,,,
CZ3451,,CZ3451,B2369,深圳-昆明,,D,A320,,2017/7/3 16:08,,33-计划,,REG,REG,,PAX,,,0,YAG,SZX,,,,
MU2359,,MU2360,B2372,西宁-昆明,,D,A320,121,2017/7/3 9:20,,33-计划,,REG,REG,,PAX,,,0,CES,XNN,,,,
MU2245,,MU2246,B2372,西宁-昆明,,D,A320,,2017/7/3 22:15,,33-计划,,REG,REG,,PAX,,,0,CES,XNN,,,,
MU2765,,,B2410,长春-南京-昆明,NKG,D,A320,,2017/7/3 21:35,,33-计划,,REG,REG,,PAX,,,0,CES,CGQ,,,,
MU5453,,MU5454,B2415,宁波-武汉-昆明,WUH,D,A320,118,2017/7/3 13:15,,33-计划,,REG,REG,,PAX,,,0,CES,NGB,,,,
MU9714,,,B2502,武汉-宜宾-昆明,YBP,D,B737,,2017/7/3 21:30,,33-计划,,REG,REG,,PAX,,,0,CES,WUH,,,,
MU5962,,MU9713,B2502,临沧-昆明,,D,B737,134,2017/7/3 10:40,,33-计划,,REG,REG,,PAX,,,0,CES,LNJ,,,,
MU5930,,,B2503,文山-昆明,,D,B737,,2017/7/3 22:55,,33-计划,,REG,REG,,PAX,,,0,CES,WNH,,,,
MU5874,,MU5929,B2503,厦门-宜宾-昆明,YBP,D,B737,,2017/7/3 18:25,,33-计划,,REG,REG,,PAX,,,0,CES,XMN,,,,
FM9451,,FM9452,B2570,上海-昆明,,D,B763,115,2017/7/3 12:30,,33-计划,,REG,REG,,PAX,,,0,CES,SHA,,,,
CZ3495,,CZ3496,B2622,郑州-昆明,,D,B737,,2017/7/3 16:33,,33-计划,,REG,REG,,PAX,,,0,YAG,CGO,,,,
MU5968,,MU5714,B2640,临沧-昆明,,D,B737,,2017/7/3 16:40,,33-计划,,REG,REG,,PAX,,,0,CES,LNJ,,,,
MU5898,,,B2640,普洱-昆明,,D,B737,,2017/7/3 21:25,,33-计划,,REG,REG,,PAX,,,0,CES,SYM,,,,
MU5757,,MU5967,B2640,芒市-昆明,,D,B737,133,2017/7/3 12:20,,33-计划,,REG,REG,,PAX,,,0,CES,LUM,,,,
HU7089,,HU7090,B2651,海口-昆明,,D,B738,,2017/7/3 21:35,,33-计划,,REG,REG,,PAX,,,0,YAG,HAK,,,,
KY8266,,,B2667,杭州-昆明,,D,B737,,2017/7/4 0:05,,33-计划,,REG,REG,,PAX,,,0,YAG,HGH,,,,
KY8236,,KY8265,B2667,杭州-昆明,,D,B737,,2017/7/3 15:25,,33-计划,,REG,REG,,PAX,,,0,YAG,HGH,,,,
KY8342,,,B2669,南宁-厦门-昆明,XMN,D,B737,,2017/7/3 22:00,,33-计划,,REG,REG,,PAX,,,0,YAG,NNG,,,,
8L9690,,,B2677,合肥-昆明,,D,B738,,2017/7/4 1:10,,33-计划,,REG,REG,,PAX,,,0,YAG,HFE,,,,
8L9866,,8L9689,B2677,济南-昆明,,D,B738,159,2017/7/3 14:40,,33-计划,,REG,REG,,PAX,,,0,YAG,TNA,,,,
KY8302,,,B2678,惠州-昆明,,D,B737,,2017/7/3 23:50,,33-计划,,REG,REG,,PAX,,,0,YAG,HUZ,,,,
KY8230,,KY8301,B2678,腾冲-昆明,,D,B737,,2017/7/3 17:25,,33-计划,,REG,REG,,PAX,,,0,YAG,TCZ,,,,
