FLT,VIP,LKF,REG,RFC,VI1,TOF,ITY,TAR,STA,ETA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL,ORG,TDT,ATA,ABP,CAR
AK101,,AK100,9MAFF,吉隆坡-昆明,,I,A320,,2017/6/26 16:55,,33-计划,,REG,REG,,PAX,,,0,YAG,KUL,,,,
CA1401,,CA1402,B1418,天津-昆明,,D,B738,,2017/6/26 19:15,,33-计划,,REG,REG,,PAX,,,1,YAG,TSN,,,,
KY8302,,,B1459,惠州-昆明,,D,B737,,2017/6/26 23:50,,33-计划,,REG,REG,,PAX,,,0,YAG,HUZ,,,,
KY8296,,KY8285,B1507,南通-重庆-昆明,CKG,D,B738,,2017/6/26 17:55,,33-计划,,REG,REG,,PAX,,,0,YAG,NTG,,,,
SC4769,,SC4770,B1509,厦门-昆明,,D,B738,,2017/6/26 9:50,,33-计划,,REG,REG,,PAX,,,0,YAG,XMN,,,,
HU7311,,,B1549,北京-昆明,,D,B738,,2017/6/27 0:55,,33-计划,,REG,REG,,PAX,,,0,YAG,PEK,,,,
8L9907,,,B1563,版纳-昆明,,D,B737,,2017/6/27 1:50,,33-计划,,REG,REG,,PAX,,,0,YAG,JHG,,,,
8L9874,,8L9908,B1563,杭州-赣州-昆明,KOW,D,B737,,2017/6/26 16:40,,33-计划,,REG,REG,,PAX,,,0,YAG,HGH,,,,
8L9884,,,B1586,南京-昆明,,D,B738,,2017/6/27 0:40,,33-计划,,REG,REG,,PAX,,,0,YAG,NKG,,,,
8L9966,,8L9855,B1587,三亚-昆明,,D,B738,,2017/6/26 12:35,,33-计划,,REG,REG,,PAX,,,0,YAG,SYX,,,,
8L9690,,,B1588,合肥-昆明,,D,B738,,2017/6/26 22:25,,33-计划,,REG,REG,,PAX,,,0,YAG,HFE,,,,
8L9856,,8L9689,B1588,绵阳-昆明,,D,B738,,2017/6/26 9:15,,33-计划,,REG,REG,,PAX,,,0,YAG,MIG,,,,
DR6522,,,B1593,成都-昆明,,D,B738,,2017/6/27 0:30,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
DR6560,,,B1595,大连-太原-昆明,TYN,D,B738,,2017/6/27 1:00,,33-计划,,REG,REG,,PAX,,,0,YAG,DLC,,,,
DR6570,,DR6559,B1595,北海-昆明,,D,B738,,2017/6/26 11:20,,33-计划,,REG,REG,,PAX,,,0,YAG,BHY,,,,
DR6538,,,B1597,兰州-昆明,,D,B738,,2017/6/27 0:20,,33-计划,,REG,REG,,PAX,,,0,YAG,ZGC,,,,
DR6530,,DR6537,B1597,呼和-太原-昆明,TYN,D,B738,,2017/6/26 17:50,,33-计划,,REG,REG,,PAX,,,0,YAG,HET,,,,
ZH9533,,ZH9534,B1602,无锡-昆明,,D,A322,,2017/6/26 14:05,,33-计划,,REG,REG,,PAX,,,0,YAG,WUX,,,,
GS7875,,GS7876,B1618,天津-西安-昆明,XIY,D,A320,,2017/6/26 18:55,,33-计划,,REG,REG,,PAX,,,0,YAG,TSN,,,,
9C8953,,9C8954,B1628,上海-昆明,,D,A320,,2017/6/26 10:45,,33-计划,,REG,REG,,PAX,,,0,YAG,SHA,,,,
GS7653,,GS7654,B1659,西安-昆明,,D,A320,,2017/6/26 10:25,,33-计划,,REG,REG,,PAX,,,0,YAG,XIY,,,,
3U8948,,3U8761,B1662,济南-昆明,,D,A320,,2017/6/26 13:55,,33-计划,,REG,REG,,PAX,,,0,YAG,TNA,,,,
3U8762,,,B1662,无锡-昆明,,D,A320,,2017/6/26 22:35,,33-计划,,REG,REG,,PAX,,,0,YAG,WUX,,,,
CA4417,,,B1686,成都-昆明,,D,A320,,2017/6/26 22:30,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
QW9855,,,B1693,青岛-屯溪-昆明,TXN,D,A320,,2017/6/27 0:10,,33-计划,,REG,REG,,PAX,,,0,YAG,TAO,,,,
MU748,,,B1702,大阪-上海-昆明,PVG,M,B738,,2017/6/27 0:25,,33-计划,,REG,REG,,PAX,,,0,CES,KIX,,,,
MU5836,,MU5855,B1703,汕头-昆明,,D,B738,,2017/6/26 17:15,,33-计划,,REG,REG,,PAX,,,0,CES,SWA,,,,
MU5145,,MU5230,B1723,太原-昆明,,D,B738,,2017/6/26 21:15,,33-计划,,REG,REG,,PAX,,,0,CES,TYN,,,,
HU7111,,HU7112,B1725,北京-昆明,,D,B738,,2017/6/26 19:10,,33-计划,,REG,REG,,PAX,,,1,YAG,PEK,,,,
SC4737,,SC4738,B1743,青岛-昆明,,D,B738,,2017/6/26 20:05,,33-计划,,REG,REG,,PAX,,,0,YAG,TAO,,,,
SC8885,,SC8885,B1745,乌鲁-昆明,,D,B738,,2017/6/26 23:30,,33-计划,,REG,REG,,PAX,,,0,YAG,URC,,,,
MU5229,,MU5146,B1772,温州-昆明,,D,B738,,2017/6/26 20:20,,33-计划,,REG,REG,,PAX,,,0,CES,WNZ,,,,
HU7163,,HU7164,B1785,深圳-昆明,,D,B738,,2017/6/26 10:25,,33-计划,,REG,REG,,PAX,,,1,YAG,SZX,,,,
MU2030,,MU713,B1788,曼德勒-昆明,,I,B738,,2017/6/26 14:50,,33-计划,,REG,REG,,PAX,,,0,CES,MDL,,,,
MU5716,,MU2593,B1789,北京-昆明,,D,B738,,2017/6/26 11:40,,33-计划,,REG,REG,,PAX,,,0,CES,PEK,,,,
MU2594,,,B1789,清迈-昆明,,I,B738,,2017/6/26 19:10,,33-计划,,REG,REG,,PAX,,,0,CES,CNX,,,,
MU5720,,,B1790,北京-昆明,,D,B738,,2017/6/27 1:30,,33-计划,,REG,REG,,PAX,,,0,CES,PEK,,,,
MU5802,,MU5719,B1790,上海-昆明,,D,B738,,2017/6/26 16:05,,33-计划,,REG,REG,,PAX,,,1,CES,SHA,,,,
MU5758,,MU5718,B1791,深圳-昆明,,D,B738,,2017/6/26 19:45,,33-计划,,REG,REG,,PAX,,,0,CES,SZX,,,,
MU2590,,MU5757,B1791,万象-昆明,,I,B738,,2017/6/26 12:25,,33-计划,,REG,REG,,PAX,,,0,CES,VTE,,,,
MU2574,,MU2574,B1792,万象-昆明,,I,B738,,2017/6/26 18:45,,33-计划,,REG,REG,,PAX,,,0,CES,VTE,,,,
MU2573,,MU2573,B1792,北京-昆明,,D,B738,,2017/6/26 12:45,,33-计划,,REG,REG,,PAX,,,0,CES,PEK,,,,
8L9890,,,B1825,上海-昆明,,D,A320,,2017/6/27 0:50,,33-计划,,REG,REG,,PAX,,,0,YAG,PVG,,,,
8L9948,,8L9889,B1825,成都-昆明,,D,A320,,2017/6/26 14:45,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
8L9556,,8L9947,B1825,海口-昆明,,D,A320,,2017/6/26 8:50,,33-计划,,REG,REG,,PAX,,,0,YAG,HAK,,,,
MU2592,,MU5456,B1836,普吉-昆明,,I,A320,103,2017/6/26 8:25,,33-计划,,REG,REG,,PAX,,,0,CES,HKT,,,,
MU2361,,MU2362,B1837,西安-昆明,,D,A325,,2017/6/26 20:30,,33-计划,,REG,REG,,PAX,,,0,CES,XIY,,,,
MU2207,,MU2208,B1838,西安-昆明,,D,A325,,2017/6/26 17:10,,33-计划,,REG,REG,,PAX,,,0,CES,XIY,,,,
9C8937,,9C8938,B1840,石家庄-昆明,,D,A320,,2017/6/26 13:45,,33-计划,,REG,REG,,PAX,,,0,YAG,SJW,,,,
MU5455,,,B1860,宁波-昆明,,D,A320,,2017/6/26 22:55,,33-计划,,REG,REG,,PAX,,,0,CES,NGB,,,,
MU5453,,MU5454,B1860,宁波-武汉-昆明,WUH,D,A320,,2017/6/26 13:15,,33-计划,,REG,REG,,PAX,,,0,CES,NGB,,,,
GJ8661,,,B1869,杭州-贵阳-昆明,KWE,D,A320,,2017/6/27 0:30,,33-计划,,REG,REG,,PAX,,,0,YAG,HGH,,,,
