FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
AK100,,AK101,昆明-吉隆坡,,KUL,I,9MAFF,A320,2017/6/26 17:55,2017/6/26,,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA1402,,CA1401,昆明-天津,,TSN,D,B1418,B738,2017/6/26 20:20,2017/6/26,23:11,,,,,,,,33-计划,REG,REG,,PAX,,,1
KY8301,,KY1459,昆明-惠州,,HUZ,D,B1459,B737,2017/6/26 18:40,2017/6/26,20:28,722b,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8295,,KY8240,昆明-重庆-南通,CKG,NTG,D,B1507,B738,2017/6/26 7:05,2017/6/26,8:18,138,54,,,,,,33-计划,REG,REG,,PAX,,,0
KY8285,,KY8296,昆明-广州,,CAN,D,B1507,B738,2017/6/26 22:40,2017/6/26,0:22,,,,,,,,33-计划,REG,REG,,PAX,,,0
SC4770,,SC4769,昆明-厦门,,XMN,D,B1509,B738,2017/6/26 11:20,2017/6/26,13:36,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9908,,8L9874,昆明-版纳,,JHG,D,B1563,B737,2017/6/26 23:10,2017/6/26,23:56,,,,,,,,33-计划,REG,REG,,PAX,,,1
8L9873,,8L9802,昆明-赣州-杭州,KOW,HGH,D,B1563,B737,2017/6/26 7:00,2017/6/26,9:02,712,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9883,,8L9870,昆明-南京,,NKG,D,B1586,B738,2017/6/26 18:00,2017/6/26,20:18,329,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9965,,8L9976,昆明-三亚,,SYX,D,B1587,B738,2017/6/26 7:15,2017/6/26,8:56,168,9,,,,,,33-计划,REG,REG,,PAX,,,0
8L9855,,8L9966,昆明-绵阳,,MIG,D,B1587,B738,2017/6/26 15:50,2017/6/26,17:08,,,,,,,,33-计划,REG,REG,,PAX,,,0
