FLT,VIP,TAR,LKF,RFC,VI1,DES,TOF,REG,ITY,GAT,CID,MP1,STD,ETD,ABT,ATD,FSA,SDT,EAN,POP,OPE,RCP,NAT,FLX,MFF,SST
"3U8107","","521L","3U8108","昆明-常州-青岛","CZX","TAO","D","B6772","A320","","","","14:05","","","","33-计划","2017/7/4","16:26","REG","REG","","PAX","","","00"
"3U8129","","322","3U8246","昆明-版纳","","JHG","D","B6448","A319","","","","9:25","","","","33-计划","2017/7/4","10:09","REG","REG","","PAX","","","00"
"3U8215","","523L","3U8848","昆明-郑州","","CGO","D","B1822","A320","","","","14:40","","","","33-计划","2017/7/4","16:49","REG","REG","","PAX","","","00"
"3U8221","","525R","3U8768","昆明-南宁-福州","NNG","FOC","D","B8500","A320","","","","11:55","","","","33-计划","2017/7/4","12:58","REG","REG","","PAX","","","00"
"3U8243","","","3U8866","昆明-厦门","","XMN","D","B1886","A320","","","","15:15","","","","33-计划","2017/7/4","17:29","REG","REG","","PAX","","","00"
"3U8245","","","3U8710","昆明-合肥","","HFE","D","B6719","A320","","","","17:55","","","","33-计划","2017/7/4","19:58","REG","REG","","PAX","","","00"
"3U8513","","151","3U8202","昆明-重庆-兰州","CKG","ZGC","D","B6778","A320","47","","","7:15","","","","33-计划","2017/7/4","8:22","REG","REG","","PAX","","","00"
"3U8530","","","3U8529","昆明-杭州","","HGH","D","B6770","A320","","","","13:05","","","","33-计划","2017/7/4","15:29","REG","REG","","PAX","","","00"
"3U8553","","154","3U8968","昆明-重庆-乌鲁","CKG","URC","D","B6843","A320","25","","","8:45","","","","33-计划","2017/7/4","9:53","REG","REG","","PAX","","","00"
"3U8597","","","","昆明-太原-哈尔滨","TYN","HRB","D","B8326","A320","","","","7:45","","","","33-计划","2017/7/4","10:06","REG","REG","","PAX","","","00"
"3U8619","","","3U8818","昆明-版纳","","JHG","D","B6449","A319","","","","21:00","","","","33-计划","2017/7/4","21:45","REG","REG","","PAX","","","00"
"3U8637","","","3U8948","昆明-广州-岘港","CAN","DAD","M","B1881","A320","","","","17:05","","","","33-计划","2017/7/4","18:44","REG","REG","","PAX","","","00"
"3U8662","","522R","3U8670","昆明-成都","","CTU","D","B1819","A320","","","","23:00","","","","33-计划","2017/7/4","0:04","REG","REG","","PAX","","","00"
"3U8668","","","3U8514","昆明-成都","","CTU","D","B6778","A320","","","","18:20","","","","33-计划","2017/7/4","19:25","REG","REG","","PAX","","","00"
"3U8669","","328","3U8958","昆明-成都-石家庄","CTU","SJW","D","B6956","A320","","","","7:30","","","","33-计划","2017/7/4","8:30","REG","REG","","PAX","","","00"
"3U8767","","152","3U8824","昆明-南宁-温州","NNG","WNZ","D","B6322","A320","46","","","7:00","","","","33-计划","2017/7/4","7:59","REG","REG","","PAX","","","00"
"3U8817","","524L","3U8818","昆明-丽江-拉萨","LJG","LXA","D","B6449","A319","","","","7:30","","","","33-计划","2017/7/4","8:19","REG","REG","","PAX","","","00"
"3U8823","","","3U8670","昆明-南昌","","KHN","D","B6956","A320","","","","19:45","","","","33-计划","2017/7/4","21:34","REG","REG","","PAX","","","00"
"3U8837","","","3U8838","昆明-万州-北京","WXN","PEK","D","B8656","A320","","","","14:15","","","","33-计划","2017/7/4","15:42","REG","REG","","PAX","","","00"
"3U8865","","153","3U8228","昆明-宁波","","NGB","D","B1886","A320","27","","","7:20","","","","33-计划","2017/7/4","9:48","REG","REG","","PAX","","","00"
"3U8947","","525L","3U8222","昆明-济南","","TNA","D","B1881","A320","","","","6:55","","","","33-计划","2017/7/4","9:33","REG","REG","","PAX","","","00"
"3U8967","","","3U8130","昆明-重庆-大连","CKG","DLC","D","B6448","A319","","","","13:10","","","","33-计划","2017/7/4","14:20","REG","REG","","PAX","","","00"
"8L9545","","159","8L9690","昆明-太原-大同","TYN","DAT","D","B2677","B738","05","","","7:10","","","","33-计划","2017/7/4","9:33","REG","REG","","PAX","","","00"
"8L9555","","","8L9648","昆明-海口","","HAK","D","B1825","A320","","","","23:10","","","","33-计划","2017/7/4","0:39","REG","REG","","PAX","","","00"
"8L9557","","321","8L9890","昆明-锦州-哈尔滨","JNZ","HRB","D","B1798","B738","","","","6:10","","","","33-计划","2017/7/4","9:48","REG","REG","","PAX","","","00"
"8L9585","","164","8L9992","昆明-南宁-巴厘岛","NNG","DPS","M","B6800","B738","12","","","7:10","","","","33-计划","2017/7/4","8:15","REG","REG","","PAX","","","00"
"8L9623","","","8L9652","昆明-杭州","","HGH","D","B7991","B738","","","","10:45","","","","33-计划","2017/7/4","13:13","REG","REG","","PAX","","","00"
"8L9643","","542","8L9644","昆明-芒市","","LUM","D","B5268","B737","","","","7:15","","","","33-计划","2017/7/4","8:05","REG","REG","","PAX","","","00"
"8L9647","","158","8L9986","昆明-淮安-天津","HIA","TSN","D","B1825","A320","02","","","7:10","","","","33-计划","2017/7/4","9:50","REG","REG","","PAX","","","00"
"8L9651","","","8L9556","昆明-郑州","","CGO","D","B1588","B738","","","","9:50","","","","33-计划","2017/7/4","12:04","REG","REG","","PAX","","","00"
"8L9679","","","8L9598","昆明-槟城","","PEN","I","B7993","B738","","","","16:40","","","","33-计划","2017/7/4","19:38","REG","REG","","PAX","","","00"
"8L9685","","161","8L9898","昆明-凯里-郑州","KJH","CGO","D","B6198","A319","07","","","7:00","","","","33-计划","2017/7/4","8:03","REG","REG","","PAX","","","00"
"8L9697","","107","8L9678","昆明-普吉","","HKT","I","B8445","A320","73","K01-K04","","8:25","","","","33-计划","2017/7/4","11:06","REG","REG","","PAX","","","00"
"8L9801","","","8L9903","昆明-丽江","","LJG","D","B5249","B737","","","","23:55","","","","33-计划","2017/7/4","0:45","REG","REG","","PAX","","","00"
"8L9803","","167","8L9972","昆明-丽江","","LJG","D","B5292","B737","11","","","7:15","","","","33-计划","2017/7/4","8:06","REG","REG","","PAX","","","00"
"8L9827","","","8L9850","昆明-泸沽湖","","NLH","D","B5825","B737","","","","11:05","","","","33-计划","2017/7/4","12:03","REG","REG","","PAX","","","00"
"8L9849","","166","8L9913","昆明-迪庆","","DIG","D","B5825","B737","13","","","7:05","","","","33-计划","2017/7/4","8:06","REG","REG","","PAX","","","00"
"8L9855","","","8L9866","昆明-绵阳","","MIG","D","B6015","B738","","","","15:50","","","","33-计划","2017/7/4","17:07","REG","REG","","PAX","","","00"
"8L9861","","165","8L9876","昆明-合肥","","HFE","D","B7989","B738","14","","","6:50","","","","33-计划","2017/7/4","8:59","REG","REG","","PAX","","","00"
"8L9863","","163","8L9872","昆明-重庆-徐州","CKG","XUZ","D","B6947","A320","10","","","7:00","","","","33-计划","2017/7/4","8:10","REG","REG","","PAX","","","00"
"8L9865","","541","8L9874","昆明-济南","","TNA","D","B6015","B738","","","","7:10","","","","33-计划","2017/7/4","9:49","REG","REG","","PAX","","","00"
"8L9869","","","8L9862","昆明-武汉-青岛","WUH","TAO","D","B7989","B738","","","","14:20","","","","33-计划","2017/7/4","16:10","REG","REG","","PAX","","","00"
"8L9871","","","8L9802","昆明-宜昌-宁波","YIH","NGB","D","B6943","A320","","","","13:50","","","","33-计划","2017/7/4","15:33","REG","REG","","PAX","","","00"
