FLT,VIP,TAR,LKF,RFC,VI1,DES,TOF,REG,ITY,GAT,CID,MP1,STD,ETD,ABT,ATD,FSA,SDT,EAN,POP,OPE,RCP,NAT,FLX,MFF,SST
"8L9873","","330","8L9870","昆明-赣州-杭州","KOW","HGH","D","B7988","B738","","","","7:00","","","","33-计划","2017/7/4","9:04","REG","REG","","PAX","","","00"
"8L9883","","","","昆明-南京","","NKG","D","B5359","B738","","","","18:00","","","","33-计划","2017/7/4","20:20","REG","REG","","PAX","","","00"
"8L9887","","543","8L9948","昆明-宜春-上海","YIC","SHA","D","B1587","B738","","","","8:30","","","","33-计划","2017/7/4","10:22","REG","REG","","PAX","","","00"
"8L9889","","","8L9698","昆明-上海","","PVG","D","B8445","A320","","","","17:40","","","","33-计划","2017/7/4","20:20","REG","REG","","PAX","","","00"
"8L9891","","","8L9994","昆明-武汉-大连","WUH","DLC","D","B6809","B738","","","","10:00","","","","33-计划","2017/7/4","11:51","REG","REG","","PAX","","","00"
"8L9893","","323","8L9974","昆明-珠海","","ZUH","D","B7992","B738","","","","7:15","","","","33-计划","2017/7/4","8:58","REG","REG","","PAX","","","00"
"8L9897","","168","8L9984","昆明-温州","","WNZ","D","B5359","B738","","","","7:40","","","","33-计划","2017/7/4","10:09","REG","REG","","PAX","","","00"
"8L9904","","","8L9932","昆明-版纳","","JHG","D","B5249","B737","","","","15:10","","","","33-计划","2017/7/4","15:56","REG","REG","","PAX","","","00"
"8L9906","","","8L9936","昆明-版纳","","JHG","D","B5268","B737","","","","23:45","","","","33-计划","2017/7/4","0:32","REG","REG","","PAX","","","00"
"8L9914","","","8L9996","昆明-版纳","","JHG","D","B1565","B737","","","","22:55","","","","33-计划","2017/7/4","23:41","REG","REG","","PAX","","","00"
"8L9916","","","8L9942","昆明-版纳","","JHG","D","B6221","A319","","","","7:00","","","","33-计划","2017/7/4","7:46","REG","REG","","PAX","","","00"
"8L9931","","","8L9934","昆明-芒市","","LUM","D","B5248","B737","","","","17:30","","","","33-计划","2017/7/4","18:20","REG","REG","","PAX","","","00"
"8L9933","","","8L9905","昆明-腾冲","","TCZ","D","B5248","B737","","","","12:10","","","","33-计划","2017/7/4","13:03","REG","REG","","PAX","","","00"
"8L9935","","","8L9644","昆明-芒市","","LUM","D","B5268","B737","","","","13:05","","","","33-计划","2017/7/4","13:54","REG","REG","","PAX","","","00"
"8L9945","","","8L9804","昆明-成都","","CTU","D","B1563","B737","","","","23:55","","","","33-计划","2017/7/4","0:58","REG","REG","","PAX","","","00"
"8L9947","","","8L9856","昆明-成都","","CTU","D","B7990","B738","","","","10:25","","","","33-计划","2017/7/4","11:28","REG","REG","","PAX","","","00"
"8L9955","","","8L9874","昆明-郑州","","CGO","D","B7988","B738","","","","22:00","","","","33-计划","2017/7/4","0:12","REG","REG","","PAX","","","00"
"8L9957","","162","8L9884","昆明-武汉","","WUH","D","B5732","B738","08","","","7:10","","","","33-计划","2017/7/4","8:58","REG","REG","","PAX","","","00"
"8L9965","","105","8L9504","昆明-三亚","","SYX","D","B5971","A333","","","","10:30","","","","33-计划","2017/7/4","12:12","REG","REG","","PAX","","","00"
"8L9971","","","8L9686","昆明-海口","","HAK","D","B6198","A319","","","","19:00","","","","33-计划","2017/7/4","20:30","REG","REG","","PAX","","","00"
"8L9973","","544","8L9960","昆明-郑州","","CGO","D","B5449","B738","","","","7:05","","","","33-计划","2017/7/4","9:20","REG","REG","","PAX","","","00"
"8L9979","","","8L9948","昆明-深圳","","SZX","D","B7990","B738","","","","16:20","","","","33-计划","2017/7/4","18:03","REG","REG","","PAX","","","00"
"8L9983","","","8L9956","昆明-西安","","XIY","D","B1586","B738","","","","19:30","","","","33-计划","2017/7/4","21:19","REG","REG","","PAX","","","00"
"8L9985","","","8L9988","昆明-太原-呼和","TYN","HET","D","B8446","A320","","","","15:40","","","","33-计划","2017/7/4","18:04","REG","REG","","PAX","","","00"
"8L9987","","","8L9864","昆明-北京","","PEK","D","B6947","A320","","","","21:30","","","","33-计划","2017/7/4","0:27","REG","REG","","PAX","","","00"
"8L9991","","540","8L9892","昆明-兰州-乌鲁","ZGC","URC","D","B6016","B738","","","","10:45","","","","33-计划","2017/7/4","12:40","REG","REG","","PAX","","","00"
"8L9993","","","8L9624","昆明-西安","","XIY","D","B7991","B738","","","","21:55","","","","33-计划","2017/7/4","23:44","REG","REG","","PAX","","","00"
"8L9995","","112","8L9946","昆明-银川","","INC","D","B1565","B737","65","","","6:40","","","","33-计划","2017/7/4","8:59","REG","REG","","PAX","","","00"
"9C8596","","","9C8595","昆明-绵阳-沈阳","MIG","SHE","D","B6706","A320","","","","20:35","","","","33-计划","2017/7/4","21:49","REG","REG","","PAX","","","00"
"9C8730","","","9C8729","昆明-扬州泰州","","YTY","D","B6862","A320","","","","17:55","","","","33-计划","2017/7/4","20:19","REG","REG","","PAX","","","00"
"9C8824","","","9C8823","昆明-遵义-上海","ZYI","SHA","D","B6705","A320","","","","16:35","","","","33-计划","2017/7/4","17:33","REG","REG","","PAX","","","00"
"9C8828","","","9C8827","昆明-芷江-上海","HJJ","SHA","D","B6562","A320","","","","12:15","","","","33-计划","2017/7/4","13:22","REG","REG","","PAX","","","00"
"9C8830","","","9C8829","昆明-常德-上海","CGD","SHA","D","B6612","A320","","","","19:35","","","","33-计划","2017/7/4","21:00","REG","REG","","PAX","","","00"
"9C8938","","","9C8937","昆明-石家庄","","SJW","D","B1627","A320","","","","14:50","","","","33-计划","2017/7/4","17:26","REG","REG","","PAX","","","00"
"A67105","","150","A67108","昆明-南昌","","KHN","D","B8318","A321","49","","","9:40","","","","33-计划","2017/7/4","11:33","REG","REG","","PAX","","","00"
"A67107","","","A67106","昆明-郑州","","CGO","D","B8285","A321","","","","18:25","","","","33-计划","2017/7/4","20:38","REG","REG","","PAX","","","00"
"AK100","","","AK101","昆明-吉隆坡","","KUL","I","9MAFF","A320","","","","17:55","","","","33-计划","2017/7/4","","REG","REG","","PAX","","","00"
"B7290","","","B7289","昆明-高雄","","KHH","R","B16219","A321","","","","12:25","","","","33-计划","2017/7/4","","REG","REG","","PAX","","","00"
"BK2743","","","BK2897","昆明-版纳","","JHG","D","B5562","B738","","","","14:25","","","","33-计划","2017/7/4","15:14","REG","REG","","PAX","","","00"
"BK2798","","","BK2846","昆明-长沙","","HHA","D","B1732","B738","","","","18:10","","","","33-计划","2017/7/4","19:47","REG","REG","","PAX","","","00"
"BK2845","","","BK2797","昆明-合肥","","HFE","D","B1732","B738","","","","10:25","","","","33-计划","2017/7/4","12:33","REG","REG","","PAX","","","00"
"BK2898","","","BK2744","昆明-天津","","TSN","D","B5562","B738","","","","18:20","","","","33-计划","2017/7/4","21:14","REG","REG","","PAX","","","00"
"CA1402","","","CA1401","昆明-天津","","TSN","D","B5525","B738","","","","20:20","","","","33-计划","2017/7/4","23:12","REG","REG","","PAX","","","00"
"CA1404","","","CA1403","昆明-北京","","PEK","D","B5391","B738","","","","11:40","","","","33-计划","2017/7/4","14:37","REG","REG","","PAX","","","00"
"CA1488","","","CA1487","昆明-达县-北京","DAX","PEK","D","B5213","B737","","","","15:25","","","","33-计划","2017/7/4","16:46","REG","REG","","PAX","","","00"
"CA1752","","","CA1955","昆明-杭州","","HGH","D","B6745","A320","","","","12:20","","","","33-计划","2017/7/4","14:46","REG","REG","","PAX","","","00"
"CA1754","","","CA1753","昆明-杭州","","HGH","D","B6033","A319","","","","19:40","","","","33-计划","2017/7/4","22:02","REG","REG","","PAX","","","00"
"CA1938","","","CA1937","昆明-上海","","PVG","D","B9922","A320","","","","20:25","","","","33-计划","2017/7/4","23:02","REG","REG","","PAX","","","00"
"CA1956","","","CA1751","昆明-温州","","WNZ","D","B6022","A319","","","","12:05","","","","33-计划","2017/7/4","14:33","REG","REG","","PAX","","","00"
"CA1988","","","CA1987","昆明-温州","","WNZ","D","B6731","A320","","","","21:10","","","","33-计划","2017/7/4","23:34","REG","REG","","PAX","","","00"
"CA415","","","CA415","昆明-仰光","","RGN","I","B6468","A319","","J14-J16","","10:45","","","","33-计划","2017/7/4","","REG","REG","","PAX","","","00"
"CA416","","","CA416","昆明-成都","","CTU","D","B6468","A319","","","","17:05","","","","33-计划","2017/7/4","18:11","REG","REG","","PAX","","","00"
"CA4171","","141","CA4174","昆明-北京","","PEK","D","B8490","A320","60","","","7:20","","","","33-计划","2017/7/4","10:16","REG","REG","","PAX","","","00"
"CA4173","","","CA4172","昆明-北京","","PEK","D","B8490","A320","","","","17:05","","","","33-计划","2017/7/4","20:00","REG","REG","","PAX","","","00"
"CA4175","","140","CA4459","昆明-沈阳","","SHE","D","B6822","A320","58","","","7:20","","","","33-计划","2017/7/4","10:57","REG","REG","","PAX","","","00"
"CA4275","","","CA4276","昆明-哈尔滨","","HRB","D","B8338","A320","","","","15:35","","","","33-计划","2017/7/4","19:45","REG","REG","","PAX","","","00"
"CA4414","","","CA4413","昆明-成都","","CTU","D","B6767","A320","","","","13:25","","","","33-计划","2017/7/4","14:30","REG","REG","","PAX","","","00"
"CA4418","","519R","CA4417","昆明-成都","","CTU","D","B6941","A320","","","","8:40","","","","33-计划","2017/7/4","9:42","REG","REG","","PAX","","","00"
"CA4460","","","CA4176","昆明-成都","","CTU","D","B6822","A320","","","","21:00","","","","33-计划","2017/7/4","22:03","REG","REG","","PAX","","","00"
"CA8930","","519L","CA8937","昆明-郑州-大连","CGO","DLC","D","B5553","B737","","","","10:20","","","","33-计划","2017/7/4","12:34","REG","REG","","PAX","","","00"
"CZ3248","","","CZ3247","昆明-桂林","","KWL","D","B5420","B738","","","","15:00","","","","33-计划","2017/7/4","16:12","REG","REG","","PAX","","","00"
"CZ3408","","","CZ3407","昆明-广州","","CAN","D","B6662","A321","","","","17:35","","","","33-计划","2017/7/4","19:15","REG","REG","","PAX","","","00"
"CZ3410","","","CZ3409","昆明-广州","","CAN","D","B2406","A320","","","","11:55","","","","33-计划","2017/7/4","13:35","REG","REG","","PAX","","","00"
"CZ3416","","","CZ3415","昆明-广州","","CAN","D","B5020","B738","","","","15:00","","","","33-计划","2017/7/4","16:39","REG","REG","","PAX","","","00"
"CZ3420","","138","CZ3419","昆明-广州","","CAN","D","B2408","A320","54","","","7:35","","","","33-计划","2017/7/4","9:14","REG","REG","","PAX","","","00"
"CZ3432","","","CZ3431","昆明-海口","","HAK","D","B8641","A321","","","","10:55","","","","33-计划","2017/7/4","12:23","REG","REG","","PAX","","","00"
"CZ3451","","","CZ3451","昆明-丽江","","LJG","D","B2367","A320","","","","17:20","","","","33-计划","2017/7/4","18:11","REG","REG","","PAX","","","00"
"CZ3452","","","CZ3452","昆明-深圳","","SZX","D","B2367","A320","","","","21:20","","","","33-计划","2017/7/4","23:01","REG","REG","","PAX","","","00"
"CZ3460","","","CZ3459","昆明-深圳","","SZX","D","B2369","A320","","","","11:35","","","","33-计划","2017/7/4","13:16","REG","REG","","PAX","","","00"
"CZ3468","","","CZ3467","昆明-长沙","","HHA","D","B6251","A320","","","","21:30","","","","33-计划","2017/7/4","23:05","REG","REG","","PAX","","","00"
"CZ3470","","","CZ3469","昆明-武汉","","WUH","D","B5445","B738","","","","17:15","","","","33-计划","2017/7/4","19:02","REG","REG","","PAX","","","00"
"CZ3481","","","CZ3481","昆明-大理","","DLU","D","B6209","A319","","","","10:30","","","","33-计划","2017/7/4","11:11","REG","REG","","PAX","","","00"
"CZ3482","","","CZ3482","昆明-广州","","CAN","D","B6209","A319","","","","14:10","","","","33-计划","2017/7/4","15:51","REG","REG","","PAX","","","00"
"CZ3487","","","CZ3487","昆明-丽江","","LJG","D","B6242","A319","","","","16:15","","","","33-计划","2017/7/4","17:07","REG","REG","","PAX","","","00"
"CZ3488","","","CZ3488","昆明-广州","","CAN","D","B6242","A319","","","","20:10","","","","33-计划","2017/7/4","21:47","REG","REG","","PAX","","","00"
"CZ3490","","","CZ3489","昆明-广州","","CAN","D","B6342","A321","","","","22:10","","","","33-计划","2017/7/4","23:51","REG","REG","","PAX","","","00"
"CZ3491","","","CZ3491","昆明-版纳","","JHG","D","B2620","B737","","","","11:35","","","","33-计划","2017/7/4","12:20","REG","REG","","PAX","","","00"
"CZ3492","","","CZ3492","昆明-郑州","","CGO","D","B2620","B737","","","","15:30","","","","33-计划","2017/7/4","17:40","REG","REG","","PAX","","","00"
"CZ3496","","","CZ3495","昆明-郑州","","CGO","D","B2916","B737","","","","17:40","","","","33-计划","2017/7/4","19:50","REG","REG","","PAX","","","00"
"CZ3541","","137","CZ3542","昆明-武汉-杭州","WUH","HGH","D","B5340","B738","52","","","7:55","","","","33-计划","2017/7/4","9:40","REG","REG","","PAX","","","00"
"CZ3678","","","CZ3677","昆明-上海","","PVG","D","B9930","A320","","","","12:05","","","","33-计划","2017/7/4","14:49","REG","REG","","PAX","","","00"
"CZ3748","","","CZ3747","昆明-珠海","","ZUH","D","B5740","B738","","","","21:40","","","","33-计划","2017/7/4","23:19","REG","REG","","PAX","","","00"
"CZ3858","","","CZ3857","昆明-汕头","","SWA","D","B5742","B738","","","","12:15","","","","33-计划","2017/7/4","14:13","REG","REG","","PAX","","","00"
"CZ3864","","","CZ3863","昆明-南宁-汕头","NNG","SWA","D","B5742","B738","","","","21:10","","","","33-计划","2017/7/4","22:09","REG","REG","","PAX","","","00"
"CZ3902","Y","","CZ3901","昆明-北京","","PEK","D","B6098","A333","","","","13:45","","","","33-计划","2017/7/4","16:39","REG","REG","","PAX","","","00"
"CZ3998","","135","CZ3997","昆明-北京","","PEK","D","B6058","A332","48","","","9:15","","","","33-计划","2017/7/4","12:09","REG","REG","","PAX","","","00"
"CZ6160","","","CZ6159","昆明-北京","","PEK","D","B6111","A333","","","","20:05","","","","33-计划","2017/7/4","22:58","REG","REG","","PAX","","","00"
"CZ6270","","","CZ6269","昆明-西安-哈尔滨","XIY","HRB","D","B6276","A320","","","","15:50","","","","33-计划","2017/7/4","17:35","REG","REG","","PAX","","","00"
"CZ6294","","","CZ6293","昆明-太原-大连","TYN","DLC","D","B9916","A320","","","","17:50","","","","33-计划","2017/7/4","20:12","REG","REG","","PAX","","","00"
"CZ6369","","","CZ6369","昆明-版纳","","JHG","D","B2169","B737","","","","16:50","","","","33-计划","2017/7/4","17:36","REG","REG","","PAX","","","00"
"CZ6370","","","CZ6370","昆明-郑州","","CGO","D","B2169","B737","","","","21:00","","","","33-计划","2017/7/4","23:07","REG","REG","","PAX","","","00"
"CZ6404","","","CZ6403","昆明-重庆-沈阳","CKG","SHE","D","B6817","A320","","","","15:50","","","","33-计划","2017/7/4","16:59","REG","REG","","PAX","","","00"
"CZ6416","","","CZ6415","昆明-西安-沈阳","XIY","SHE","D","B6783","A320","","","","20:05","","","","33-计划","2017/7/4","21:52","REG","REG","","PAX","","","00"
"CZ6426","","","CZ6425","昆明-武汉-大连","WUH","DLC","D","B9958","A320","","","","13:55","","","","33-计划","2017/7/4","15:42","REG","REG","","PAX","","","00"
"CZ6460","","","CZ6459","昆明-重庆-长春","CKG","CGQ","D","B6945","A322","","","","16:10","","","","33-计划","2017/7/4","17:19","REG","REG","","PAX","","","00"
"CZ6598","","","CZ6597","昆明-三亚","","SYX","D","B8640","A321","","","","21:05","","","","33-计划","2017/7/4","22:43","REG","REG","","PAX","","","00"
"CZ6602","","","CZ6601","昆明-郑州","","CGO","D","B5232","B737","","","","22:10","","","","33-计划","2017/7/4","0:18","REG","REG","","PAX","","","00"
"CZ6800","","","CZ6799","昆明-上海","","PVG","D","B8849","A321","","","","19:45","","","","33-计划","2017/7/4","22:28","REG","REG","","PAX","","","00"
"CZ6924","","","CZ6923","昆明-深圳","","SZX","D","B1845","A321","","","","22:20","","","","33-计划","2017/7/4","0:02","REG","REG","","PAX","","","00"
"CZ6950","","","CZ6949","昆明-重庆-乌鲁","CKG","URC","D","B1953","B738","","","","17:45","","","","33-计划","2017/7/4","18:57","REG","REG","","PAX","","","00"
"CZ6978","","","CZ6977","昆明-武汉","","WUH","D","B5070","B737","","","","21:50","","","","33-计划","2017/7/4","23:34","REG","REG","","PAX","","","00"
"CZ8510","","136","CZ8509","昆明-青岛-长春","TAO","CGQ","D","B6897","A322","50","","","8:10","","","","33-计划","2017/7/4","11:11","REG","REG","","PAX","","","00"
"DR5315","","157","DR6516","昆明-长治-天津","CIH","TSN","D","B5830","B737","01","","","7:25","","","","33-计划","2017/7/4","9:48","REG","REG","","PAX","","","00"
"DR6501","","","DR6508","昆明-芒市","","LUM","D","B7088","B737","","","","13:10","","","","33-计划","2017/7/4","14:01","REG","REG","","PAX","","","00"
"DR6503","","","DR6510","昆明-芒市","","LUM","D","B6109","B737","","","","17:00","","","","33-计划","2017/7/4","17:50","REG","REG","","PAX","","","00"
"DR6505","","","DR6502","昆明-芒市","","LUM","D","B7088","B737","","","","18:30","","","","33-计划","2017/7/4","19:21","REG","REG","","PAX","","","00"
"DR6507","","155","DR6512","昆明-芒市","","LUM","D","B7088","B737","17","","","9:10","","","","33-计划","2017/7/4","10:01","REG","REG","","PAX","","","00"
"DR6509","","711","DR6578","昆明-版纳","","JHG","D","B6109","B737","","","","8:40","","","","33-计划","2017/7/4","9:26","REG","REG","","PAX","","","00"
"DR6511","","","DR6506","昆明-版纳","","JHG","D","B7088","B737","","","","22:40","","","","33-计划","2017/7/4","23:27","REG","REG","","PAX","","","00"
"DR6515","","701","DR6516","昆明-襄阳-天津","XFN","TSN","D","B6110","B737","","","","13:30","","","","33-计划","2017/7/4","15:23","REG","REG","","PAX","","","00"
"DR6521","","523R","DR6570","昆明-成都","","CTU","D","B1595","B738","","","","7:00","","","","33-计划","2017/7/4","8:03","REG","REG","","PAX","","","00"
"DR6523","","","DR6580","昆明-丽江","","LJG","D","B5811","B737","","","","17:10","","","","33-计划","2017/7/4","18:03","REG","REG","","PAX","","","00"
"DR6537","","713","DR6522","昆明-兰州","","ZGC","D","B7865","B738","","","","18:55","","","","33-计划","2017/7/4","20:50","REG","REG","","PAX","","","00"
"DR6559","","714","DR6562","昆明-太原-大连","TYN","DLC","D","B1593","B738","","","","12:40","","","","33-计划","2017/7/4","15:04","REG","REG","","PAX","","","00"
"DR6577","","156","DR6524","昆明-榆林-沈阳","UYN","SHE","D","B5812","B737","15","","","7:15","","","","33-计划","2017/7/4","9:33","REG","REG","","PAX","","","00"
"DR6579","","","DR6504","昆明-芒市","","LUM","D","B6109","B737","","","","20:40","","","","33-计划","2017/7/4","21:30","REG","REG","","PAX","","","00"
"DR6591","","703","DR6592","昆明-西安","","XIY","D","B1960","B738","","","","6:35","","","","33-计划","2017/7/4","8:25","REG","REG","","PAX","","","00"
"EU2224","","","EU2226","昆明-成都","","CTU","D","B6163","A319","","","","23:25","","","","33-计划","2017/7/4","0:28","REG","REG","","PAX","","","00"
"EU2225","","","EU2722","昆明-版纳","","JHG","D","B6163","A319","","","","19:25","","","","33-计划","2017/7/4","20:12","REG","REG","","PAX","","","00"
"EU2721","","","EU2223","昆明-柳州-厦门","LZH","XMN","D","B6163","A319","","","","9:20","","","","33-计划","2017/7/4","10:30","REG","REG","","PAX","","","00"
"FM9398","","","FM9397","昆明-长沙-上海","HHA","PVG","D","B6108","B738","","","","16:10","","","","33-计划","2017/7/4","17:49","REG","REG","","PAX","","","00"
"FM9430","","","FM9429","昆明-衡阳-上海","HNY","PVG","D","B1741","B738","","","","17:25","","","","33-计划","2017/7/4","18:54","REG","REG","","PAX","","","00"
"FM9452","","","FM9451","昆明-上海","","SHA","D","B2567","B763","","","","13:50","","","","33-计划","2017/7/4","16:29","REG","REG","","PAX","","","00"
"FM9453","","","FM9453","昆明-版纳","","JHG","D","B5261","B737","","","","12:55","","","","33-计划","2017/7/4","13:43","REG","REG","","PAX","","","00"
"FM9454","","","FM9454","昆明-上海","","SHA","D","B5261","B737","","","","16:40","","","","33-计划","2017/7/4","19:22","REG","REG","","PAX","","","00"
"FM9540","","","FM9539","昆明-温州","","WNZ","D","B7638","B738","","","","12:00","","","","33-计划","2017/7/4","14:31","REG","REG","","PAX","","","00"
"FM9542","","","FM9541","昆明-郑州","","CGO","D","B5145","B738","","","","11:50","","","","33-计划","2017/7/4","14:04","REG","REG","","PAX","","","00"
"FU6510","","","FU6509","昆明-福州","","FOC","D","B7395","B737","","","","22:25","","","","33-计划","2017/7/4","0:46","REG","REG","","PAX","","","00"
"G52628","","","G52627","昆明-南阳-大连","NNY","DLC","D","B3231","CRJ9","","","","19:05","","","","33-计划","2017/7/4","21:11","REG","REG","","PAX","","","00"
"GJ8662","","724","GJ8690","昆明-贵阳-杭州","KWE","HGH","D","B8451","A320","","","","7:30","","","","33-计划","2017/7/4","8:22","REG","REG","","PAX","","","00"
