FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STA,ORG,STP
3U8108,青岛-常州-昆明,,,B6348,CZX,D,A320,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:30,TAO,2017/7/11 22:35
3U8130,版纳-昆明,3U8967,,B6453,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:20,JHG,2017/7/11 11:15
3U8206,广州-昆明,3U8637,,B1881,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:45,CAN,2017/7/11 6:15
3U8216,郑州-昆明,,,B1820,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 21:10,CGO,2017/7/11 18:25
3U8222,福州-南宁-昆明,3U8724,,B6388,NNG,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:50,FOC,2017/7/11 19:35
3U8228,长春-南京-昆明,,,B1822,NKG,D,A320,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:50,CGQ,2017/7/11 22:55
3U8244,厦门-昆明,,,B1886,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 22:05,XMN,2017/7/11 19:15
3U8246,合肥-昆明,,,B1819,,D,A320,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 0:20,HFE,2017/7/11 21:40
3U8514,兰州-重庆-昆明,3U8668,,B8500,CKG,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:20,ZGC,2017/7/11 15:45
3U8529,杭州-昆明,3U8530,,B6697,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:05,HGH,2017/7/11 9:00
3U8554,乌鲁-重庆-昆明,,,B6955,CKG,D,A320,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 0:10,URC,2017/7/11 22:35
3U8598,哈尔滨-太原-昆明,,,B6779,TYN,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:00,HRB,2017/7/11 19:10
3U8620,版纳-昆明,,,B6433,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:15,JHG,2017/7/11 22:00
3U8661,成都-昆明,3U8227,,B1822,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:00,CTU,2017/7/11 7:20
3U8667,成都-昆明,,,B8500,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:05,CTU,2017/7/11 21:25
3U8670,石家庄-成都-昆明,,,B6772,CTU,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:45,SJW,2017/7/11 17:10
3U8686,哈尔滨-长沙-昆明,3U8685,,B6810,HHA,D,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:45,HRB,2017/7/11 12:35
3U8710,万象-昆明,,,B6322,,I,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:20,VTE,2017/7/11 11:30
3U8723,北京-昆明,3U8221,,B6388,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 10:55,PEK,2017/7/11 7:20
3U8762,无锡-昆明,,,B8329,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:35,WUX,2017/7/11 19:25
3U8768,温州-南宁-昆明,3U8245,,B1819,NNG,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:05,WNZ,2017/7/11 14:40
3U8808,沈阳-徐州-昆明,3U8662,,B6347,XUZ,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:00,SHE,2017/7/11 17:05
3U8818,拉萨-丽江-昆明,3U8619,,B6175,LJG,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 15:35,LXA,2017/7/11 14:40
3U8838,北京-万州-昆明,3U8837,,B1821,WXN,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:15,PEK,2017/7/11 11:40
3U8866,宁波-昆明,3U8243,,B1886,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:15,NGB,2017/7/11 11:10
3U8918,厦门-昆明,3U8215,,B1820,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:50,XMN,2017/7/11 10:05
3U8948,济南-昆明,3U8761,,B8329,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:55,TNA,2017/7/11 10:50
3U8968,大连-重庆-昆明,,,B6453,CKG,D,A319,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:30,DLC,2017/7/11 23:55
8L7087,海口-昆明,,,B2651,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,HU7087,SF,2017/7/11 9:35,HAK,2017/7/11 7:40
8L7111,北京-昆明,,,B2491,,D,B763,,,33-计划,CSF,2017/7/11,,PAX,,HU7111,SF,2017/7/11 19:10,PEK,2017/7/11 15:40
8L7163,深圳-昆明,,,B1541,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,HU7163,SF,2017/7/11 10:25,SZX,2017/7/11 7:55
8L9504,莫斯科-昆明,8L9965,,B5971,,I,A333,,,32-准时,REG,2017/7/11,,PAX,,,0,2017/7/11 6:30,DME,2017/7/10 22:05
8L9546,大同-太原-昆明,8L9883,,B2677,TYN,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:30,DAT,2017/7/11 13:35
8L9556,海口-昆明,8L9651,,B7988,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:50,HAK,2017/7/11 7:00
8L9558,哈尔滨-锦州-昆明,8L9993,,B6015,JNZ,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:55,HRB,2017/7/11 16:45
8L9586,巴厘岛-南宁-昆明,,,B7167,NNG,M,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:50,DPS,2017/7/11 22:35
8L9598,曼谷-昆明,,,B8445,,I,A320,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 0:30,BKK,2017/7/11 22:00
8L9624,杭州-昆明,,,B5272,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:05,HGH,2017/7/11 14:45
8L9638,苏梅岛-昆明,8L9914,,B6221,,I,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:10,USM,2017/7/11 16:40
8L9648,天津-淮安-昆明,8L9987,,B6943,HIA,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:20,TSN,2017/7/11 15:15
8L9652,郑州-昆明,8L9991,,B7993,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:45,CGO,2017/7/11 7:05
8L9680,槟城-昆明,,,B7992,,I,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:55,PEN,2017/7/11 20:20
8L9686,郑州-凯里-昆明,8L9931,,B5825,KJH,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:20,CGO,2017/7/11 15:05
8L9690,合肥-昆明,,,B5359,,D,B738,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:10,HFE,2017/7/11 22:30
8L9698,普吉-昆明,8L9889,,B7991,,I,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 15:40,HKT,2017/7/11 12:40
8L9712,汕头-桂林-昆明,,,B5249,KWL,D,B737,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 0:05,SWA,2017/7/11 22:20
8L9748,宿务市-昆明,,,B5407,,I,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:30,CEB,2017/7/11 19:15
8L9802,丽江-昆明,,,B5810,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:00,LJG,2017/7/11 8:00
8L9804,丽江-昆明,8L9906,,B5292,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:35,LJG,2017/7/11 21:35
8L9828,泸沽湖-昆明,8L9904,,B5805,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:50,NLH,2017/7/11 12:55
8L9850,迪庆-昆明,8L9827,,B5805,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:55,DIG,2017/7/11 8:50
8L9856,绵阳-昆明,8L9947,,B7989,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:35,MIG,2017/7/11 7:05
8L9862,合肥-昆明,8L9979,,B6800,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:50,HFE,2017/7/11 10:15
8L9864,徐州-重庆-昆明,8L9983,,B6809,CKG,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:20,XUZ,2017/7/11 15:50
8L9866,济南-昆明,8L9689,,B5359,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:40,TNA,2017/7/11 11:30
8L9870,青岛-武汉-昆明,,,B8732,WUH,D,A320,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:40,TAO,2017/7/11 23:25
8L9872,宁波-宜昌-昆明,,,B8446,YIH,D,A320,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 0:30,NGB,2017/7/11 22:30
8L9874,杭州-赣州-昆明,8L9597,,B8445,KOW,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:40,HGH,2017/7/11 14:25
8L9884,南京-昆明,,,B2677,,D,B738,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 0:40,NKG,2017/7/11 21:50
8L9886,徐州-昆明,,,B6016,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:30,XUZ,2017/7/11 20:30
8L9888,上海-宜春-昆明,8L9955,,B1587,YIC,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:00,SHA,2017/7/11 17:50
8L9890,上海-昆明,,,B7991,,D,B738,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:15,PVG,2017/7/11 21:55
