FLT,VIP,LKF,REG,RFC,VI1,DES,TOF,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST,STN
CA1938,,CA1937,B6882,昆明-上海,,PVG,D,A320,,,,,20:25,,,,33-计划,,2017/6/19,23:03,REG,REG,PAX,,,0,23:35
MU2574,,MU2574,B6143,昆明-北京,,PEK,D,B738,,,,,20:30,,,,33-计划,,2017/6/19,23:26,REG,REG,PAX,,,0,23:50
MU2036,,MU2036,B1790,昆明-北京,,PEK,D,B738,,,,,20:30,,,,33-计划,,2017/6/19,23:26,REG,REG,PAX,,,0,23:50
CZ6562,,CZ6561,B5716,昆明-义乌,,YIW,D,B738,,,,,20:35,,,,33-计划,,2017/6/19,22:54,REG,REG,PAX,,,0,23:20
DR6579,,DR6504,B6109,昆明-芒市,,LUM,D,B737,,,,,20:40,,,,33-计划,,2017/6/19,21:30,REG,REG,PAX,,,0,21:40
MU5855,,MU2598,B7599,昆明-成都,,CTU,D,B738,,,,,20:50,,,,33-计划,,2017/6/19,21:56,REG,REG,PAX,,,0,22:30
MU5812,,MU5718,B5828,昆明-迪庆,,DIG,D,B737,,,,,20:50,,,,33-计划,,2017/6/19,21:50,REG,REG,PAX,,,0,21:50
MU5472,,MU5471,B2335,昆明-重庆-济南,CKG,TNA,D,A320,,,,,20:50,,,,33-计划,,2017/6/19,22:05,REG,REG,PAX,,,0,22:25
SC4738,,SC4737,B5347,昆明-青岛,,TAO,D,B738,,,,,20:55,,,,33-计划,,2017/6/19,23:57,REG,REG,PAX,,,0,0:35
MU5744,,MU5744,B5054,昆明-丽江,,LJG,D,B737,,,,,20:55,,,,33-计划,,2017/6/19,21:48,REG,REG,PAX,,,0,22:00
MU2755,,MU2755,B6472,昆明-版纳,,JHG,D,A319,,,,,20:55,,,,33-计划,,2017/6/19,21:43,REG,REG,PAX,,,0,22:10
MU5718,,MU5758,B1789,昆明-北京,,PEK,D,B738,,,,,21:00,,,,33-计划,,2017/6/19,23:56,REG,REG,PAX,,,0,0:30
CZ6370,,CZ6370,B2622,昆明-郑州,,CGO,D,B737,,,,,21:00,,,,33-计划,,2017/6/19,23:08,REG,REG,PAX,,,0,23:45
CA4460,,CA4176,B8491,昆明-成都,,CTU,D,A320,,,,,21:00,,,,33-计划,,2017/6/19,22:03,REG,REG,PAX,,,1,22:40
CZ6598,,CZ6597,B8640,昆明-三亚,,SYX,D,A321,,,,,21:05,,,,33-计划,,2017/6/19,22:42,REG,REG,PAX,,,0,23:20
MU9737,,MU5724,B5796,昆明-天津,,TSN,D,B738,,,,,21:10,,,,33-计划,,2017/6/19,0:07,REG,REG,PAX,,,0,0:25
MU2746,,MU2745,B2221,昆明-长沙-南京,HHA,NKG,D,A320,,,,,21:10,,,,33-计划,,2017/6/19,22:47,REG,REG,PAX,,,0,23:10
CZ3864,,CZ3863,B5837,昆明-南宁-汕头,NNG,SWA,D,B738,,,,,21:10,,,,33-计划,,2017/6/19,22:07,REG,REG,PAX,,,0,22:15
CA1988,,CA1987,B6676,昆明-温州,,WNZ,D,A320,,,,,21:10,,,,33-计划,,2017/6/19,23:33,REG,REG,PAX,,,0,0:10
MU5656,,MU5712,B2228,昆明-杭州,,HGH,D,A320,,,,,21:15,,,,33-计划,,2017/6/19,23:40,REG,REG,PAX,,,0,0:10
MU5146,,MU5229,B1773,昆明-太原,,TYN,D,B738,,,,,21:20,,,,33-计划,,2017/6/19,23:39,REG,REG,PAX,,,0,0:15
CZ3452,,CZ3452,B2369,昆明-深圳,,SZX,D,A320,,,,,21:20,,,,33-计划,,2017/6/19,23:01,REG,REG,PAX,,,0,23:35
KY8219,,KY8204,B5673,昆明-深圳,,SZX,D,B738,,,,,21:25,,,,33-计划,,2017/6/19,23:08,REG,REG,PAX,,,0,23:35
CZ3468,,CZ3467,B6976,昆明-长沙,,HHA,D,A320,,,,,21:30,,,,33-计划,,2017/6/19,23:04,REG,REG,PAX,,,0,23:35
8L9987,,8L9648,B6943,昆明-北京,,PEK,D,A320,,,,,21:30,,,,33-计划,,2017/6/19,0:27,REG,REG,PAX,,,1,1:00
MU5915,,MU5763,B5270,昆明-版纳,,JHG,D,B737,,,,,21:35,,,,33-计划,,2017/6/19,22:22,REG,REG,PAX,,,0,22:40
MU5724,,MU5952,B5815,昆明-版纳,,JHG,D,B737,,,,,21:35,,,,33-计划,,2017/6/19,22:22,REG,REG,PAX,,,0,22:40
MU5712,,MU9737,B5267,昆明-芒市,,LUM,D,B737,,,,,21:35,,,,33-计划,,2017/6/19,22:25,REG,REG,PAX,,,0,22:30
CZ3748,,CZ3747,B1776,昆明-珠海,,ZUH,D,B738,,,,,21:40,,,,33-计划,,2017/6/19,23:16,REG,REG,PAX,,,0,23:30
CZ6978,,CZ6977,B5070,昆明-武汉,,WUH,D,B737,,,,,21:50,,,,33-计划,,2017/6/19,23:34,REG,REG,PAX,,,0,0:15
3U8724,,3U8222,B8331,昆明-北京,,PEK,D,A320,533,,,,21:50,,,,33-计划,,2017/6/19,0:40,REG,REG,PAX,,,0,1:15
MU2568,,MU2568,B5527,昆明-广州,,CAN,D,B738,,,,,21:55,,,,33-计划,,2017/6/19,23:37,REG,REG,PAX,,,0,0:10
MU5734,,MU5734,B5295,昆明-版纳,,JHG,D,B737,,,,,21:55,,,,33-计划,,2017/6/19,22:40,REG,REG,PAX,,,0,23:00
KY8247,,KY8244,B2678,昆明-芒市,,LUM,D,B737,,,,,21:55,,,,33-计划,,2017/6/19,22:48,REG,REG,PAX,,,0,22:55
8L9993,,8L9956,B1588,昆明-西安,,XIY,D,B738,,,,,21:55,,,,33-计划,,2017/6/19,23:44,REG,REG,PAX,,,0,0:10
MU5763,,MU2594,B6147,昆明-深圳,,SZX,D,B738,,,,,22:00,,,,33-计划,,2017/6/19,23:43,REG,REG,PAX,,,0,0:10
8L9955,,8L9960,B6016,昆明-郑州,,CGO,D,B738,,,,,22:00,,,,33-计划,,2017/6/19,0:12,REG,REG,PAX,,,1,0:45
MU5920,,MU5926,B5225,昆明-丽江,,LJG,D,B737,,,,,22:05,,,,33-计划,,2017/6/19,22:58,REG,REG,PAX,,,0,23:10
MU5450,,MU5463,B6799,昆明-重庆,,CKG,D,A320,,,,,22:05,,,,33-计划,,2017/6/19,23:19,REG,REG,PAX,,,0,23:50
MU5911,,MU5944,B5822,昆明-版纳,,JHG,D,B737,,,,,22:10,,,,33-计划,,2017/6/19,22:56,REG,REG,PAX,,,0,23:15
CZ6602,,CZ6601,B5698,昆明-郑州,,CGO,D,B738,,,,,22:10,,,,33-计划,,2017/6/19,0:18,REG,REG,PAX,,,0,0:55
CZ3490,,CZ3489,B6526,昆明-广州,,CAN,D,A332,,,,,22:10,,,,33-计划,,2017/6/19,23:49,REG,REG,PAX,,,0,0:15
CZ6924,,CZ6923,B6978,昆明-深圳,,SZX,D,A321,,,,,22:20,,,,33-计划,,2017/6/19,0:02,REG,REG,PAX,,,0,0:25
MU9732,,MU9732,B5817,昆明-长沙,,HHA,D,B737,,,,,22:25,,,,33-计划,,2017/6/19,0:01,REG,REG,PAX,,,0,0:30
MU5230,,MU5145,B1723,昆明-温州,,WNZ,D,B738,,,,,22:25,,,,33-计划,,2017/6/19,0:49,REG,REG,PAX,,,0,1:25
FU6510,,FU6509,B7105,昆明-福州,,FOC,D,B737,,,,,22:25,,,,33-计划,,2017/6/19,0:45,REG,REG,PAX,,,0,1:10
MU5618,,MU5617,B8975,昆明-南昌,,KHN,D,A320,,,,,22:30,,,,33-计划,,2017/6/19,0:25,REG,REG,PAX,,,0,0:55
SC4720,,SC4719,B5333,昆明-重庆,,CKG,D,B738,,,,,22:35,,,,33-计划,,2017/6/19,23:49,REG,REG,PAX,,,0,0:10
HU7090,,HU7089,B2647,昆明-海口,,HAK,D,B738,,,,,22:40,,,,33-计划,,2017/6/19,0:08,REG,REG,PAX,,,0,0:30
KY8285,,KY8222,B5672,昆明-广州,,CAN,D,B738,,,,,22:40,,,,33-计划,,2017/6/19,0:22,REG,REG,PAX,,,0,0:50
DR6511,,DR6506,B5830,昆明-版纳,,JHG,D,B737,,,,,22:40,,,,33-计划,,2017/6/19,23:27,REG,REG,PAX,,,0,23:45
ZH9456,,ZH9789,B8413,昆明-广州,,CAN,D,A320,,,,,22:45,,,,33-计划,,2017/6/19,0:25,REG,REG,PAX,,,0,1:05
GS7662,,GS7661,B6903,昆明-西安,,XIY,D,A320,,,,,22:50,,,,33-计划,,2017/6/19,0:38,REG,REG,PAX,,,0,1:05
MU5646,,MU5646,B6797,昆明-杭州,,HGH,D,A322,,,,,23:00,,,,33-计划,,2017/6/19,1:21,REG,REG,PAX,,,0,1:55
3U8662,,3U8930,B1887,昆明-成都,,CTU,D,A320,,,,,23:00,,,,33-计划,,2017/6/19,0:03,REG,REG,PAX,,,1,0:35
8L9906,,8L9913,B5249,昆明-版纳,,JHG,D,B737,,,,,23:05,,,,33-计划,,2017/6/19,23:51,REG,REG,PAX,,,1,0:10
8L9908,,8L9644,B5292,昆明-版纳,,JHG,D,B737,,,,,23:10,,,,33-计划,,2017/6/19,23:56,REG,REG,PAX,,,1,0:10
8L9555,,8L9656,B7989,昆明-海口,,HAK,D,B738,,,,,23:10,,,,33-计划,,2017/6/19,0:39,REG,REG,PAX,,,0,1:10
MU5733,,MU5818,B1907,昆明-广州,,CAN,D,B738,,,,,23:15,,,,33-计划,,2017/6/19,0:57,REG,REG,PAX,,,0,1:25
MU2246,,MU2245,B6876,昆明-西宁,,XNN,D,A320,,,,,23:15,,,,33-计划,,2017/6/19,1:22,REG,REG,PAX,,,0,1:55
MU2498,,MU2493,B5589,昆明-武汉,,WUH,D,B737,,,,,23:20,,,,33-计划,,2017/6/19,1:07,REG,REG,PAX,,,0,1:35
3U8527,,3U8848,B6955,昆明-西安,,XIY,D,A320,,,,,23:20,,,,33-计划,,2017/6/19,1:04,REG,REG,PAX,,,0,1:30
MU5706,,MU5800,B5282,昆明-版纳,,JHG,D,B737,,,,,23:25,,,,33-计划,,2017/6/19,0:11,REG,REG,PAX,,,0,0:30
EU2224,,EU2226,B6940,昆明-成都,,CTU,D,A320,,,,,23:25,,,,33-计划,,2017/6/19,0:30,REG,REG,PAX,,,0,1:10
KE886,,KE885,HL8241,昆明-首尔,,ICN,I,B738,,,,,23:30,,,,33-计划,,2017/6/19,3:24,REG,REG,PAX,,,0,4:50
MU555,,MU555,B6001,昆明-加尔,,CCU,I,A320,,,,,23:35,,,,33-计划,,2017/6/19,2:10,REG,REG,PAX,,,0,2:10
SC8830,,SC8830,B1743,昆明-青岛,,TAO,D,B738,,,,,23:50,,,,33-计划,,2017/6/19,2:42,REG,REG,PAX,,,0,3:20
8L9597,,8L9888,B6800,昆明-曼谷,,BKK,I,B738,,,,,23:50,,,,33-计划,,2017/6/19,1:43,REG,REG,PAX,,,0,2:45
8L9945,,8L9903,B5805,昆明-成都,,CTU,D,B737,,,,,23:55,,,,33-计划,,2017/6/19,0:59,REG,REG,PAX,,,1,1:30
8L9801,,8L9690,B5810,昆明-丽江,,LJG,D,B737,,,,,23:55,,,,33-计划,,2017/6/19,0:46,REG,REG,PAX,,,0,0:55
CF9017,,CF9018,B2824,昆明-南京,,NKG,D,B757,,,,,0:05,,,,33-计划,,2017/6/20,2:23,REG,REG,CGO,,,0,2:50
MU777,,MU5706,B5926,昆明-悉尼,,SYD,I,A33E,,,,,0:50,,,,33-计划,,2017/6/20,11:45,REG,REG,PAX,,,0,11:45
MU5078,,MU5078,B6802,昆明-合肥,,HFE,D,A320,,,,,0:55,,,,33-计划,,2017/6/20,3:03,REG,REG,PAX,,,0,3:40
SC8885,,SC8885,B6986,昆明-曼谷,,BKK,I,B738,,,,,1:00,,,,33-计划,,2017/6/20,3:05,REG,REG,PAX,,,0,3:05
O36943,,O36944,B7082,昆明-杭州,,HGH,D,B752,330,,,,1:15,,,,33-计划,,2017/6/20,3:33,REG,REG,CGO,,,0,3:55
UL829,,UL828,,昆明-科伦坡,,CMB,I,A332,,,,,2:55,,,,33-计划,,2017/6/20,,REG,REG,PAX,,,0,7:30
