FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
3U8033,昆明-丽江,B6843,,3U8216,,A320,156,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 6:55,LJG
3U8107,昆明-常州-青岛,B6719,,3U8918,CZX,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 14:05,TAO
3U8129,昆明-版纳,B6448,,3U8620,,A319,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 9:25,JHG
3U8201,昆明-上海,B1819,,3U8824,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 16:10,PVG
3U8205,昆明-广州,B6843,,3U8034,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 17:00,CAN
3U8221,昆明-南宁-福州,B8500,,3U8598,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 11:55,FOC
3U8227,昆明-南京-长春,B6322,,3U8661,NKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 11:20,CGQ
3U8513,昆明-重庆-兰州,B6772,,3U8528,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:15,ZGC
3U8527,昆明-西安,B6732,,3U8848,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 23:20,XIY
3U8530,昆明-杭州,B1821,,3U8529,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 13:05,HGH
3U8553,昆明-重庆-乌鲁,B6778,,3U8670,CKG,A320,519L,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 8:45,URC
3U8662,昆明-成都,B1665,,3U8930,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 23:00,CTU
3U8668,昆明-成都,B6772,,3U8514,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 18:20,CTU
3U8669,昆明-成都-石家庄,B1881,,3U8108,CTU,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:30,SJW
3U8767,昆明-南宁-温州,B6956,,3U8228,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:00,WNZ
3U8817,昆明-丽江-拉萨,B6449,,3U8968,LJG,A319,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:30,LXA
3U8823,昆明-南昌,B8326,,3U8948,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 19:45,KHN
3U8837,昆明-万州-北京,B6388,,3U8838,WXN,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 14:15,PEK
3U8847,昆明-郑州-哈尔滨,B6732,,3U8667,CGO,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:50,HRB
3U8853,昆明-徐州-哈尔滨,B9967,,3U8854,XUZ,A321,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 16:15,HRB
3U8901,昆明-珠海,B8329,,3U8638,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 17:10,ZUH
3U8917,昆明-厦门,B6719,,3U8554,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 6:25,XMN
3U8929,昆明-长沙-沈阳,B1665,,3U8762,HHA,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 8:05,SHE
3U8947,昆明-济南,B8326,,3U8246,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 6:55,TNA
3U8967,昆明-重庆-大连,B6953,,3U8866,CKG,A320,521L,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 13:10,DLC
8L9519,昆明-芒市,B5268,,8L9934,,B737,541,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 11:35,LUM
8L9555,昆明-海口,B6016,,8L9846,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 23:10,HAK
8L9583,昆明-马尼拉,B6800,,8L9960,,B738,,I,33-计划,REG,REG,,PAX,2017/7/3,,,0,YAG,2017/7/3 0:25,MNL
8L9595,昆明-吉隆坡,B8445,,8L9890,,A320,,I,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 9:00,KUL
8L9633,昆明-沙巴,B7167,,8L9586,,B738,,I,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 13:40,BKI
8L9639,昆明-甲米,B8446,,8L9872,,A320,,I,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 9:30,KBV
8L9647,昆明-淮安-天津,B1825,,8L9690,HIA,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:10,TSN
8L9651,昆明-郑州,B1798,,8L9556,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 9:50,CGO
8L9655,昆明-忻州-哈尔滨,B5409,,8L9892,WUT,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 6:10,HRB
8L9675,昆明-富国岛,B8446,,8L9640,,A320,,I,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 17:55,PQC
8L9709,昆明-连城-南京,B7993,,8L9680,LCX,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 6:40,NKG
8L9801,昆明-丽江,B1563,,8L9903,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 23:10,LJG
8L9803,昆明-丽江,B5249,,8L9804,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:15,LJG
8L9841,昆明-普洱,B5248,,8L9905,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 8:45,SYM
8L9845,昆明-赣州-杭州,B6016,,8L9886,KOW,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 9:15,HGH
8L9849,昆明-迪庆,B1563,,8L9986,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:05,DIG
8L9851,昆明-腾冲,B5825,,8L9852,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 15:55,TCZ
8L9855,昆明-绵阳,B5407,,8L9996,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 15:50,MIG
8L9861,昆明-合肥,B7989,,8L9946,,B738,168,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:15,HFE
8L9863,昆明-重庆-徐州,B5359,,8L9884,CKG,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:00,XUZ
8L9865,昆明-济南,B2677,,8L9984,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:10,TNA
8L9869,昆明-武汉-青岛,B6015,,8L9958,WUH,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 14:20,TAO
8L9871,昆明-宜昌-宁波,B6198,,8L9915,YIH,A319,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 13:50,NGB
8L9873,昆明-赣州-杭州,B5732,,8L9974,KOW,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:00,HGH
8L9875,昆明-厦门,B6959,,8L9894,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 17:55,XMN
8L9883,昆明-南京,B6809,,8L9956,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 17:55,NKG
8L9887,昆明-宜春-上海,B1588,,8L9712,YIC,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 8:30,SHA
8L9889,昆明-上海,B5971,,8L9966,,A333,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 16:55,PVG
8L9891,昆明-武汉-大连,B5449,,8L9994,WUH,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 9:50,DLC
8L9893,昆明-珠海,B6959,,8L9980,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:15,ZUH
8L9897,昆明-温州,B2677,,8L9866,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 16:55,WNZ
8L9904,昆明-版纳,B1563,,8L9922,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 15:10,JHG
8L9906,昆明-版纳,B5292,,8L9804,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,1,YAG,2017/7/2 23:45,JHG
8L9914,昆明-版纳,B5268,,8L9520,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 22:55,JHG
8L9916,昆明-版纳,B6198,,8L9972,,A319,519R,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 6:50,JHG
8L9921,昆明-沧源,B1563,,8L9850,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 11:05,CWJ
8L9923,昆明-保山,B5823,,8L9802,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,1,YAG,2017/7/2 12:55,BSD
8L9941,昆明-大理,B6221,,8L9913,,A319,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 6:50,DLU
8L9945,昆明-成都,B5823,,8L9924,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,1,YAG,2017/7/2 23:55,CTU
8L9947,昆明-成都,B1586,,8L9856,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 10:25,CTU
8L9955,昆明-郑州,B5732,,8L9874,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,1,YAG,2017/7/2 22:05,CGO
8L9957,昆明-武汉,B6015,,8L9870,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:10,WUH
8L9959,昆明-安庆-宁波,B6800,,8L9748,AQG,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,1,YAG,2017/7/2 7:25,NGB
8L9965,昆明-三亚,B5971,,8L9504,,A333,520,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 7:15,SYX
8L9971,昆明-海口,B5248,,8L9842,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 18:45,HAK
8L9973,昆明-郑州,B7991,,8L9992,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,1,YAG,2017/7/2 7:05,CGO
8L9975,昆明-广州,B8445,,8L9596,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 18:50,CAN
8L9979,昆明-深圳,B1586,,8L9948,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,1,YAG,2017/7/2 16:20,SZX
