FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
21043,当阳-昆明,21043,,,,YR76,,D,33-计划,REG,REG,,SPE,2017/6/27,,,0,UNK,2017/6/27 11:00,DAN,,,,,,2017/6/20 9:00
21044,当阳-昆明,21044,,,,YR76,,D,33-计划,REG,REG,,SPE,2017/6/27,,,0,UNK,2017/6/27 11:30,DAN,,,,,,2017/6/27 9:30
21046,当阳-昆明,21046,,,,YR76,,D,33-计划,REG,REG,,SPE,2017/6/27,,,0,UNK,2017/6/27 11:10,DAN,,,,,,2017/6/27 9:10
21048,当阳-昆明,21048,,,,YR76,,D,33-计划,REG,REG,,SPE,2017/6/27,,,0,UNK,2017/6/27 11:20,DAN,,,,,,2017/6/27 9:20
3U8108,青岛-常州-昆明,B8329,,,CZX,A320,,D,33-计划,REG,REG,,PAX,2017/6/28,,,0,YAG,2017/6/28 1:30,TAO,,,,,,2017/6/27 22:35
3U8130,版纳-昆明,B6449,,3U8967,,A319,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 12:20,JHG,,,,,,2017/6/27 11:15
3U8206,广州-昆明,B1661,,3U8637,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 8:45,CAN,,,,,,2017/6/27 6:15
3U8216,郑州-昆明,B6732,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 21:10,CGO,,,,,,2017/6/27 18:25
3U8222,福州-南宁-昆明,B8331,,3U8724,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 20:50,FOC,,,,,,2017/6/27 19:35
3U8244,厦门-昆明,B6778,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,1,YAG,2017/6/27 22:05,XMN,,,,,,2017/6/27 19:15
3U8260,南京-昆明,B1822,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 18:05,NKG,,,,,,2017/6/27 15:10
3U8514,兰州-重庆-昆明,B6325,,3U8668,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 17:20,ZGC,,,,,,2017/6/27 15:45
3U8528,西安-昆明,B6697,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 22:15,XIY,,,,,,2017/6/27 19:50
