FLT,VIP,LKF,REG,RFC,VI1,TOF,ITY,TAR,STA,ETA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL,ORG,TDT,ATA,ABP,CAR
AK101,,AK100,9MAFF,吉隆坡-昆明,,I,A320,,2017/7/6 16:55,,33-计划,,REG,REG,,PAX,,,0,YAG,KUL,,,,
MI912,,MI913,9VMGA,新加坡-昆明,,I,B738,,2017/7/6 12:20,,33-计划,,REG,REG,,PAX,,,1,YAG,SIN,,,,
KY8270,,,B1459,丽江-版纳-昆明,JHG,D,B737,,2017/7/7 0:10,,33-计划,,REG,REG,,PAX,,,0,YAG,LJG,,,,
KY8314,,KY8269,B1459,腾冲-昆明,,D,B737,,2017/7/6 17:50,,33-计划,,REG,REG,,PAX,,,0,YAG,TCZ,,,,
KY8362,,,B1507,合艾-昆明,,I,B738,,2017/7/6 22:20,,33-计划,,REG,REG,,PAX,,,0,YAG,HDY,,,,
KY8322,,KY8361,B1507,成都-昆明,,D,B738,,2017/7/6 12:35,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
SC4737,,SC4738,B1511,青岛-昆明,,D,B738,,2017/7/6 20:05,,33-计划,,REG,REG,,PAX,,,0,YAG,TAO,,,,
MU2497,,MU2494,B1513,武汉-昆明,,D,B738,,2017/7/6 10:10,,33-计划,,REG,REG,,PAX,,,0,CES,WUH,,,,
MU2493,,MU2498,B1513,温州-武汉-昆明,WUH,D,B738,,2017/7/6 22:10,,33-计划,,REG,REG,,PAX,,,0,CES,WNZ,,,,
CZ6949,,CZ6950,B1520,乌鲁-重庆-昆明,CKG,D,B738,,2017/7/6 16:38,,33-计划,,REG,REG,,PAX,,,0,YAG,URC,,,,
8L9956,,8L9955,B1587,郑州-昆明,,D,B738,,2017/7/6 16:50,,33-计划,,REG,REG,,PAX,,,1,YAG,CGO,,,,
8L9874,,8L9993,B1588,杭州-赣州-昆明,KOW,D,B738,,2017/7/6 16:40,,33-计划,,REG,REG,,PAX,,,0,YAG,HGH,,,,
DR6560,,,B1593,大连-太原-昆明,TYN,D,B738,,2017/7/7 1:00,,33-计划,,REG,REG,,PAX,,,0,YAG,DLC,,,,
DR6522,,,B1595,成都-昆明,,D,B738,,2017/7/7 0:30,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
DR6538,,,B1597,兰州-昆明,,D,B738,,2017/7/7 0:20,,33-计划,,REG,REG,,PAX,,,0,YAG,ZGC,,,,
DR6530,,DR6537,B1597,呼和-太原-昆明,TYN,D,B738,,2017/7/6 17:50,,33-计划,,REG,REG,,PAX,,,0,YAG,HET,,,,
ZH9789,,,B1601,泉州-昆明,,D,A322,,2017/7/6 16:45,,33-计划,,REG,REG,,PAX,,,0,YAG,JJN,,,,
GS7661,,GS7662,B1619,西安-昆明,,D,A320,,2017/7/6 21:50,,33-计划,,REG,REG,,PAX,,,0,YAG,XIY,,,,
