FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
3U8130,版纳-昆明,B6448,,3U8967,,A319,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 12:05,JHG,,,,,,2017/6/23 11:05
3U8202,上海-昆明,B6778,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 23:45,PVG,,,,,,2017/6/23 20:25
3U8222,福州-南宁-昆明,B6955,,3U8724,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 20:50,FOC,,,,,,2017/6/23 19:35
3U8260,南京-昆明,B6323,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 18:05,NKG,,,,,,2017/6/23 15:10
3U8514,兰州-重庆-昆明,B1661,,3U8668,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 17:20,ZGC,,,,,,2017/6/23 15:45
3U8528,西安-昆明,B6953,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 22:15,XIY,,,,,,2017/6/23 19:50
3U8529,杭州-昆明,B8323,,3U8530,,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 12:05,HGH,,,,,,2017/6/23 9:00
3U8554,乌鲁-重庆-昆明,B8948,,,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/24,,,0,YAG,2017/6/24 0:10,URC,,,,,,2017/6/23 22:35
3U8638,岘港-广州-昆明,B1821,,,CAN,A320,,M,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 8:45,DAD,,,,,,2017/6/23 6:15
3U8661,成都-昆明,B6323,,3U8259,,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 9:00,CTU,,,,,,2017/6/23 7:20
3U8667,成都-昆明,B1661,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 23:40,CTU,,,,,,2017/6/23 22:00
3U8670,石家庄-成都-昆明,B6325,,3U8823,CTU,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 19:00,SJW,,,,,,2017/6/23 17:20
3U8723,北京-昆明,B6955,,3U8221,,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 10:55,PEK,,,,,,2017/6/23 7:20
3U8762,无锡-昆明,B8499,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 22:35,WUX,,,,,,2017/6/23 19:25
3U8768,温州-南宁-昆明,B6719,,3U8901,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 16:05,WNZ,,,,,,2017/6/23 14:40
3U8818,拉萨-丽江-昆明,B6175,,,LJG,A319,,D,33-计划,REG,REG,,PAX,2017/6/23,,,0,YAG,2017/6/23 16:20,LXA,,,,,,2017/6/23 15:10
3U8824,南昌-昆明,B6325,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/24,,,0,YAG,2017/6/24 1:20,KHN,,,,,,2017/6/23 23:05
