FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
3U8107,昆明-常州-青岛,B8326,,3U8222,CZX,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 14:05,TAO
3U8129,昆明-版纳,B6449,,3U8968,,A319,152,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 9:25,JHG
3U8215,昆明-郑州,B8329,,3U8918,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 14:40,CGO
3U8221,昆明-南宁-福州,B1665,,3U8206,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 11:55,FOC
3U8243,昆明-厦门,B6732,,3U8866,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,1,YAG,2017/6/29 15:15,XMN
3U8259,昆明-南京,B6843,,3U8661,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 11:20,NKG
3U8513,昆明-重庆-兰州,B1881,,3U8902,CKG,A320,149,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 7:15,ZGC
3U8527,昆明-西安,B6778,,3U8598,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 23:20,XIY
3U8530,昆明-杭州,B6770,,3U8529,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 13:05,HGH
3U8553,昆明-重庆-乌鲁,B6719,,3U8848,CKG,A320,324,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 8:45,URC
3U8597,昆明-太原-哈尔滨,B6778,,3U8554,TYN,A320,151,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 7:45,HRB
3U8619,昆明-版纳,B6045,,3U8818,,A319,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 21:00,JHG
3U8637,昆明-广州-岘港,B1661,,3U8108,CAN,A320,532,M,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 17:05,DAD
3U8662,昆明-成都,B6697,,3U8808,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,1,YAG,2017/6/29 23:00,CTU
