FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STA,ORG,STP
8L9542,凯里-昆明,,,B8446,,D,A320,,,33-计划,REG,2017/7/8,,SPE,,,0,2017/7/8 23:45,KJH,2017/7/8 22:30
8L9546,大同-太原-昆明,8L9689,,B2677,TYN,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:30,DAT,2017/7/8 13:35
8L9556,海口-昆明,8L9935,,B5272,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 8:50,HAK,2017/7/8 7:00
8L9558,哈尔滨-锦州-昆明,,,B5407,JNZ,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:55,HRB,2017/7/8 16:45
8L9586,巴厘岛-南宁-昆明,,,B6800,NNG,M,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 23:50,DPS,2017/7/8 22:35
8L9598,曼谷-昆明,,,B7993,,I,B738,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 0:30,BKK,2017/7/8 22:00
8L9624,杭州-昆明,8L9987,,B8731,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:05,HGH,2017/7/8 14:45
8L9638,苏梅岛-昆明,8L9914,,B6221,,I,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:10,USM,2017/7/8 16:40
8L9644,芒市-昆明,8L9904,,B5806,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 11:40,LUM,2017/7/8 10:40
8L9648,天津-淮安-昆明,8L9555,,B8732,HIA,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:20,TSN,2017/7/8 15:15
8L9652,郑州-昆明,8L9991,,B5409,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:45,CGO,2017/7/8 7:05
8L9680,槟城-昆明,,,B7991,,I,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 23:55,PEN,2017/7/8 20:20
8L9686,郑州-凯里-昆明,8L9971,,B6198,KJH,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:15,CGO,2017/7/8 15:00
8L9690,合肥-昆明,,,B2677,,D,B738,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:10,HFE,2017/7/8 22:30
8L9698,普吉-昆明,8L9983,,B7167,,I,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:40,HKT,2017/7/8 12:40
8L9712,汕头-桂林-昆明,,,B6809,KWL,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 23:25,SWA,2017/7/8 21:50
8L9748,宿务市-昆明,,,B8445,,I,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 23:30,CEB,2017/7/8 19:15
8L9802,丽江-昆明,8L9623,,B8731,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:00,LJG,2017/7/8 8:00
8L9804,丽江-昆明,8L9906,,B5292,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 21:55,LJG,2017/7/8 21:00
8L9828,泸沽湖-昆明,8L9801,,B5805,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 13:50,NLH,2017/7/8 12:55
8L9850,迪庆-昆明,8L9827,,B5805,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:55,DIG,2017/7/8 8:50
8L9856,绵阳-昆明,8L9855,,B1586,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 8:35,MIG,2017/7/8 7:05
8L9862,合肥-昆明,8L9711,,B6809,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 13:15,HFE,2017/7/8 10:40
8L9864,徐州-重庆-昆明,8L9541,,B8446,CKG,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:20,XUZ,2017/7/8 15:50
8L9866,济南-昆明,8L9883,,B5359,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:40,TNA,2017/7/8 11:30
8L9870,青岛-武汉-昆明,,,B5449,WUH,D,B738,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:40,TAO,2017/7/8 23:25
8L9872,宁波-宜昌-昆明,,,B6959,YIH,D,A320,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 0:30,NGB,2017/7/8 22:30
8L9874,杭州-赣州-昆明,8L9597,,B7993,KOW,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:40,HGH,2017/7/8 14:25
8L9884,南京-昆明,,,B5359,,D,B738,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 0:40,NKG,2017/7/8 21:50
8L9888,上海-宜春-昆明,8L9993,,B6016,YIC,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:15,SHA,2017/7/8 18:05
8L9890,上海-昆明,,,B5971,,D,A333,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:15,PVG,2017/7/8 21:55
8L9892,大连-武汉-昆明,,,B7989,WUH,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 22:40,DLC,2017/7/8 20:30
8L9894,珠海-昆明,8L9871,,B6959,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:10,ZUH,2017/7/8 10:10
8L9898,温州-昆明,8L9679,,B7991,,D,B738,,,31-预计,REG,2017/7/8,,PAX,,,0,2017/7/8 14:40,WNZ,2017/7/8 11:30
8L9903,版纳-昆明,8L9945,,B5806,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 22:05,JHG,2017/7/8 21:00
8L9905,版纳-昆明,8L9933,,B5249,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 8:05,JHG,2017/7/8 7:00
8L9913,版纳-昆明,,,B6221,,D,A319,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:40,JHG,2017/7/9 0:40
8L9915,版纳-昆明,8L9637,,B6221,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:40,JHG,2017/7/8 8:40
8L9932,芒市-昆明,8L9931,,B5248,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 13:45,LUM,2017/7/8 12:45
8L9934,腾冲-昆明,,,B5249,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:10,TCZ,2017/7/8 14:05
8L9936,芒市-昆明,,,B5272,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 22:50,LUM,2017/7/8 21:45
8L9946,成都-昆明,,,B5823,,D,B737,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:30,CTU,2017/7/8 23:50
8L9948,成都-昆明,8L9979,,B1588,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:05,CTU,2017/7/8 13:20
8L9956,郑州-昆明,8L9955,,B7988,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 16:50,CGO,2017/7/8 14:05
8L9958,武汉-昆明,8L9747,,B8445,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:40,WUH,2017/7/8 10:20
8L9972,海口-昆明,,,B6198,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 23:40,HAK,2017/7/8 21:45
8L9974,郑州-昆明,,,B6015,,D,B738,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:10,CGO,2017/7/8 22:30
8L9980,深圳-昆明,,,B1588,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 22:30,SZX,2017/7/8 19:55
8L9984,西安-昆明,,,B7167,,D,B738,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:10,XIY,2017/7/8 22:55
8L9986,呼和-太原-昆明,,,B1825,TYN,D,A320,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:35,HET,2017/7/8 22:45
8L9988,北京-昆明,8L9985,,B1825,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 10:00,PEK,2017/7/8 6:20
8L9992,乌鲁-兰州-昆明,,,B5409,ZGC,D,B738,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:20,URC,2017/7/8 23:10
8L9994,西安-昆明,8L9947,,B1588,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 8:50,XIY,2017/7/8 6:25
8L9996,银川-昆明,,,B5732,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 12:45,INC,2017/7/8 10:05
9C8595,沈阳-绵阳-昆明,9C8596,,B6752,MIG,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:25,SHE,2017/7/8 17:55
9C8729,扬州泰州-昆明,9C8730,,B1670,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:35,YTY,2017/7/8 14:45
9C8823,上海-遵义-昆明,9C8824,,B8592,ZYI,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:35,SHA,2017/7/8 14:15
9C8829,上海-常德-昆明,9C8830,,B8647,CGD,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:35,SHA,2017/7/8 16:30
9C8937,石家庄-昆明,9C8938,,B9986,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 13:45,SJW,2017/7/8 10:35
9C8953,上海-昆明,9C8954,,B6612,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:45,SHA,2017/7/8 7:25
A67106,南昌-昆明,,,B8285,,D,A321,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:10,KHN,2017/7/8 14:45
AK101,吉隆坡-昆明,AK100,,9MAFF,,I,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:55,KUL,2017/7/8 13:00
BK2744,版纳-昆明,BK2898,,B5562,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:15,JHG,2017/7/8 16:15
BK2797,长沙-昆明,BK2845,,B1732,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:10,HHA,2017/7/8 7:05
BK2846,合肥-昆明,BK2798,,B1732,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:55,HFE,2017/7/8 14:10
BK2897,天津-昆明,BK2743,,B5562,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 13:20,TSN,2017/7/8 9:45
CA1401,天津-昆明,CA1402,,B1418,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 19:15,TSN,2017/7/8 15:40
CA1403,北京-昆明,CA1404,,B5179,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 10:25,PEK,2017/7/8 7:00
CA1487,北京-达县-昆明,CA1488,,B5228,DAX,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:20,PEK,2017/7/8 12:40
CA1751,杭州-昆明,CA1956,,B6033,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 10:30,HGH,2017/7/8 7:25
CA1753,杭州-昆明,CA1754,,B8493,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 18:35,HGH,2017/7/8 15:25
CA1937,上海-昆明,CA1938,,B9922,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:20,PVG,2017/7/8 16:00
CA1955,温州-昆明,CA1752,,B8743,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 11:10,WNZ,2017/7/8 8:00
CA1987,温州-昆明,CA1988,,B6023,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:05,WNZ,2017/7/8 16:50
CA415,成都-昆明,CA415,,B6478,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:15,CTU,2017/7/8 7:40
CA416,仰光-昆明,CA416,,B6478,,I,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:45,RGN,2017/7/8 13:45
CA4172,北京-昆明,CA4173,,B6793,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 15:25,PEK,2017/7/8 11:50
CA4174,北京-昆明,,,B6793,,D,A320,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:15,PEK,2017/7/8 21:40
CA4176,沈阳-昆明,CA4460,,B8490,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:30,SHE,2017/7/8 12:10
CA4276,哈尔滨-昆明,CA4275,,B6967,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:20,HRB,2017/7/8 9:40
CA4413,成都-昆明,CA4414,,B1852,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 12:05,CTU,2017/7/8 10:30
CA4417,成都-昆明,,,B6916,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 22:30,CTU,2017/7/8 20:45
CA4459,成都-昆明,,,B6941,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 23:15,CTU,2017/7/8 21:40
CA5827,大连-南阳-昆明,,,B7691,NNY,D,CRJ9,,,33-计划,CSF,2017/7/8,,PAX,,G52627,SF,2017/7/8 18:15,DLC,2017/7/8 15:45
CA8929,大连-郑州-昆明,,,B5639,CGO,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 22:40,DLC,2017/7/8 20:00
CF9018,南京-昆明,CF9017,,B2827,,D,B757,,,33-计划,REG,2017/7/8,,CGO,,,0,2017/7/8 8:55,NKG,2017/7/8 6:00
CX5760,香港-昆明,,,BHSN,,R,A320,,,33-计划,CSF,2017/7/8,,PAX,,KA760,SF,2017/7/8 14:20,HKG,2017/7/8 11:50
CZ3247,桂林-昆明,CZ3248,,B5720,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 13:48,KWL,2017/7/8 12:20
CZ3407,广州-昆明,CZ3408,,B6662,,D,A321,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:28,CAN,2017/7/8 13:55
CZ3409,广州-昆明,CZ3410,,B6291,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:43,CAN,2017/7/8 8:20
CZ3415,广州-昆明,CZ3416,,B5739,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:08,CAN,2017/7/8 11:35
CZ3419,广州-昆明,,,B6201,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 23:48,CAN,2017/7/8 21:25
CZ3431,海口-昆明,CZ3432,,B8638,,D,A321,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:48,HAK,2017/7/8 8:05
CZ3451,深圳-昆明,CZ3451,,B2352,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:08,SZX,2017/7/8 13:45
CZ3452,丽江-昆明,CZ3452,,B2352,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:08,LJG,2017/7/8 19:15
CZ3459,深圳-昆明,CZ3460,,B2367,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:23,SZX,2017/7/8 8:00
CZ3467,长沙-昆明,CZ3468,,B6255,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:23,HHA,2017/7/8 18:25
CZ3469,武汉-昆明,CZ3470,,B5192,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:08,WUH,2017/7/8 13:50
CZ3481,广州-昆明,CZ3481,,B6195,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:18,CAN,2017/7/8 7:00
CZ3482,大理-昆明,CZ3482,,B6195,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:58,DLU,2017/7/8 12:10
CZ3487,广州-昆明,CZ3487,,B6019,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:08,CAN,2017/7/8 12:35
CZ3488,丽江-昆明,CZ3488,,B6019,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:08,LJG,2017/7/8 18:05
CZ3489,广州-昆明,CZ3490,,B1653,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:58,CAN,2017/7/8 18:30
CZ3491,郑州-昆明,CZ3491,,B2622,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:33,CGO,2017/7/8 7:55
CZ3492,版纳-昆明,CZ3492,,B2622,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:23,JHG,2017/7/8 13:25
CZ3495,郑州-昆明,CZ3496,,B2916,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:33,CGO,2017/7/8 13:55
CZ3542,杭州-武汉-昆明,,,B2695,WUH,D,B738,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 0:08,HGH,2017/7/8 21:55
