FLT,VIP,LKF,REG,RFC,VI1,TOF,ITY,TAR,STA,ETA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL,ORG,TDT,ATA,ABP,CAR
AK101,,AK100,9MAFF,吉隆坡-昆明,,I,A320,,2017/7/9 16:55,,33-计划,,REG,REG,,PAX,,,0,YAG,KUL,,,,
MI912,,MI913,9VMGD,新加坡-昆明,,I,B738,,2017/7/9 12:20,,33-计划,,REG,REG,,PAX,,,1,YAG,SIN,,,,
MU2497,,MU2494,B1422,武汉-昆明,,D,B738,,2017/7/9 10:10,,33-计划,,REG,REG,,PAX,,,0,CES,WUH,,,,
MU2493,,MU2498,B1422,温州-武汉-昆明,WUH,D,B738,,2017/7/9 22:10,,33-计划,,REG,REG,,PAX,,,0,CES,WNZ,,,,
KY8352,,KY8269,B1459,芒市-昆明,,D,B737,,2017/7/9 17:50,,33-计划,,REG,REG,,PAX,,,0,YAG,LUM,,,,
KY8270,,,B1459,丽江-版纳-昆明,JHG,D,B737,,2017/7/10 0:10,,33-计划,,REG,REG,,PAX,,,0,YAG,LJG,,,,
KY8334,,,B1507,大连-西安-昆明,XIY,D,B738,,2017/7/10 0:10,,33-计划,,REG,REG,,PAX,,,0,YAG,DLC,,,,
CA1403,,CA1404,B1529,北京-昆明,,D,B738,,2017/7/9 10:25,,33-计划,,REG,REG,,PAX,,,1,YAG,PEK,,,,
HU7211,,HU7212,B1542,北京-昆明,,D,B738,,2017/7/9 11:35,,33-计划,,REG,REG,,PAX,,,0,YAG,PEK,,,,
8L9710,,8L9975,B1587,南京-连城-昆明,LCX,D,B738,,2017/7/9 16:55,,33-计划,,REG,REG,,PAX,,,0,YAG,NKG,,,,
8L9976,,,B1587,广州-昆明,,D,B738,,2017/7/10 0:55,,33-计划,,REG,REG,,PAX,,,0,YAG,CAN,,,,
8L9888,,8L9955,B1588,上海-宜春-昆明,YIC,D,B738,,2017/7/9 19:50,,33-计划,,REG,REG,,PAX,,,0,YAG,SHA,,,,
