FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
3U8034,丽江-昆明,B6778,,3U8967,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 9:55,LJG,,,,,,2017/7/5 8:55
3U8202,上海-昆明,B6772,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 23:45,PVG,,,,,,2017/7/5 20:25
3U8222,福州-南宁-昆明,B1886,,3U8527,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 20:50,FOC,,,,,,2017/7/5 19:35
3U8228,长春-南京-昆明,B1887,,,NKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 1:50,CGQ,,,,,,2017/7/5 22:55
3U8246,合肥-昆明,B6719,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 0:05,HFE,,,,,,2017/7/5 21:20
3U8514,兰州-重庆-昆明,B8500,,,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 17:20,ZGC,,,,,,2017/7/5 15:45
3U8528,西安-昆明,B8331,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 22:15,XIY,,,,,,2017/7/5 19:50
3U8638,岘港-广州-昆明,B1881,,3U8205,CAN,A320,,M,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 8:45,DAD,,,,,,2017/7/5 6:15
3U8661,成都-昆明,B1887,,3U8227,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 9:00,CTU,,,,,,2017/7/5 7:20
3U8667,成都-昆明,B8329,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 23:05,CTU,,,,,,2017/7/5 21:25
3U8670,石家庄-成都-昆明,B6955,,3U8724,CTU,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 19:00,SJW,,,,,,2017/7/5 17:20
3U8768,温州-南宁-昆明,B6719,,3U8245,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 16:05,WNZ,,,,,,2017/7/5 14:40
3U8818,拉萨-丽江-昆明,B6433,,,LJG,A319,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 16:20,LXA,,,,,,2017/7/5 15:10
3U8838,北京-万州-昆明,B8656,,3U8837,WXN,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 13:15,PEK,,,,,,2017/7/5 11:40
3U8854,哈尔滨-徐州-昆明,B9967,,3U8853,XUZ,A321,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 15:00,HRB,,,,,,2017/7/5 12:05
3U8902,珠海-昆明,B6956,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 12:05,ZUH,,,,,,2017/7/5 10:10
3U8918,厦门-昆明,B6322,,3U8957,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 12:50,XMN,,,,,,2017/7/5 10:05
3U8930,沈阳-长沙-昆明,B6843,,,HHA,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 21:10,SHE,,,,,,2017/7/5 18:55
3U8958,台北-昆明,B6322,,,,A320,,R,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 22:20,TPE,,,,,,2017/7/5 19:10
3U8968,大连-重庆-昆明,B6778,,,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 1:30,DLC,,,,,,2017/7/5 23:55
8L9520,芒市-昆明,B5810,,8L9914,,B737,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 13:45,LUM,,,,,,2017/7/5 12:45
8L9534,海口-昆明,B8732,,8L9595,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 8:05,HAK,,,,,,2017/7/5 6:10
8L9556,海口-昆明,B8446,,8L9985,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 8:50,HAK,,,,,,2017/7/5 7:00
8L9596,吉隆坡-昆明,B8732,,8L9677,,A320,,I,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 17:15,KUL,,,,,,2017/7/5 13:35
8L9634,沙巴-昆明,B7167,,,,B738,,I,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 23:30,BKI,,,,,,2017/7/5 19:10
8L9648,天津-淮安-昆明,B6943,,8L9987,HIA,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 18:20,TSN,,,,,,2017/7/5 15:15
8L9652,郑州-昆明,B7167,,8L9633,,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 9:45,CGO,,,,,,2017/7/5 7:05
8L9656,哈尔滨-忻州-昆明,B6016,,,WUT,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 21:00,HRB,,,,,,2017/7/5 18:05
8L9678,芽庄-昆明,B8732,,,,A320,,I,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 1:40,CXR,,,,,,2017/7/5 23:00
8L9690,合肥-昆明,B6221,,,,A319,,D,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 1:10,HFE,,,,,,2017/7/5 22:30
8L9802,丽江-昆明,B5810,,8L9519,,B737,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 8:15,LJG,,,,,,2017/7/5 7:15
8L9804,丽江-昆明,B1565,,8L9801,,B737,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 21:55,LJG,,,,,,2017/7/5 21:00
8L9842,普洱-昆明,B5268,,8L9906,,B737,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 12:10,SYM,,,,,,2017/7/5 11:00
8L9846,杭州-赣州-昆明,B7992,,8L9597,KOW,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 20:30,HGH,,,,,,2017/7/5 18:15
8L9850,迪庆-昆明,B5823,,8L9921,,B737,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 9:45,DIG,,,,,,2017/7/5 8:40
8L9852,腾冲-昆明,B5248,,8L9851,,B737,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 13:50,TCZ,,,,,,2017/7/5 12:45
8L9856,绵阳-昆明,B5407,,8L9555,,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 8:35,MIG,,,,,,2017/7/5 7:05
8L9862,合肥-昆明,B5409,,8L9975,,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 13:20,HFE,,,,,,2017/7/5 10:40
8L9864,徐州-重庆-昆明,B2677,,8L9983,CKG,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 17:20,XUZ,,,,,,2017/7/5 15:50
8L9866,济南-昆明,B5359,,8L9897,,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 14:40,TNA,,,,,,2017/7/5 11:30
8L9870,青岛-武汉-昆明,B5732,,,WUH,B738,,D,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 1:40,TAO,,,,,,2017/7/5 23:25
8L9872,宁波-宜昌-昆明,B8445,,,YIH,A320,,D,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 0:30,NGB,,,,,,2017/7/5 22:30
8L9874,杭州-赣州-昆明,B1798,,8L9993,KOW,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 16:40,HGH,,,,,,2017/7/5 14:25
8L9876,厦门-昆明,B5823,,,,B737,,D,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 0:35,XMN,,,,,,2017/7/5 21:50
8L9884,南京-昆明,B6809,,,,B738,,D,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 0:40,NKG,,,,,,2017/7/5 21:50
8L9888,上海-宜春-昆明,B7990,,8L9955,YIC,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 20:15,SHA,,,,,,2017/7/5 18:05
8L9890,上海-昆明,B1825,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 0:50,PVG,,,,,,2017/7/5 21:35
8L9892,大连-武汉-昆明,B7991,,,WUH,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 22:40,DLC,,,,,,2017/7/5 20:30
8L9894,珠海-昆明,B7989,,,,B738,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 12:25,ZUH,,,,,,2017/7/5 10:15
8L9898,温州-昆明,B5359,,,,B738,,D,33-计划,REG,REG,,PAX,2017/7/6,,,0,YAG,2017/7/6 0:20,WNZ,,,,,,2017/7/5 21:10
8L9903,版纳-昆明,B5825,,8L9945,,B737,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 22:05,JHG,,,,,,2017/7/5 21:00
