FLT,REG,VIP,TAR,ITY,LKF,RFC,ORG,VI1,TOF,STP,ABP,STA,ETA,TDT,FSA,ATA,SDT,RCP,OPE,POP,CAR,NAT,FLX,MFF,SST,HDL
"CA4276","B8338","","","A320","CA4275","哈尔滨-昆明","HRB","","D","2017/7/10 9:40","","14:20","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5437","B6423","","","A319","MU5438","上海-南充-昆明","PVG","NAO","D","2017/7/10 12:30","","14:15","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"3U8866","B1886","","","A320","3U8201","宁波-昆明","NGB","","D","2017/7/10 11:10","","14:15","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU9731","B5822","","","B737","MU5959","长沙-昆明","HHA","","D","2017/7/10 12:00","","14:10","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU5966","B6142","","","B737","","沧源-昆明","CWJ","","D","2017/7/10 13:05","","14:05","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"TG612","","","","A330","TG613","曼谷-昆明","BKK","","I","2017/7/10 11:10","","14:05","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"ZH9533","B6649","","","A320","ZH9534","无锡-昆明","WUX","","D","2017/7/10 11:05","","14:05","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"CZ3415","B5112","","","B738","CZ3416","广州-昆明","CAN","","D","2017/7/10 11:35","","14:03","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"8L9922","B1565","","","B737","8L9979","沧源-昆明","CWJ","","D","2017/7/10 12:50","","13:55","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"HO1681","B6338","","","A320","HO1682","南京-毕节-昆明","NKG","BFJ","D","2017/7/10 12:55","","13:50","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5732","B7591","","","B738","MU5809","广州-昆明","CAN","","D","2017/7/10 11:15","","13:50","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"CZ3247","B5421","","","B738","CZ3248","桂林-昆明","KWL","","D","2017/7/10 12:20","","13:48","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"8L9520","B6221","","","A319","8L9889","芒市-昆明","LUM","","D","2017/7/10 12:45","","13:45","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"9C8937","B8581","","","A320","9C8938","石家庄-昆明","SJW","","D","2017/7/10 10:35","","13:45","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"KY8254","B1991","","","B738","KY8281","西安-昆明","XIY","","D","2017/7/10 11:20","","13:40","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"8L9996","B6198","","","A319","8L9971","银川-昆明","INC","","D","2017/7/10 10:55","","13:40","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5964","B5242","","","B737","MU5732","临沧-昆明","LNJ","","D","2017/7/10 12:40","","13:35","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU5826","B5054","","314","B737","MU9743","桂林-昆明","KWL","","D","2017/7/10 12:00","","13:35","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"TV9893","B6467","","","A319","TV9819","拉萨-昆明","LXA","","D","2017/7/10 11:00","","13:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU2975","B6890","","","A320","MU2976","无锡-昆明","WUX","","D","2017/7/10 10:15","","13:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU5974","B5245","","","B737","MU9738","芒市-昆明","LUM","","D","2017/7/10 12:15","","13:20","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"8L9862","B6809","","","B738","8L9711","合肥-昆明","HFE","","D","2017/7/10 10:40","","13:20","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"BK2897","B5562","","","B738","BK2743","天津-昆明","TSN","","D","2017/7/10 9:45","","13:20","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5816","B5271","","","B737","MU5983","上海-六盘水-昆明","SHA","LPF","D","2017/7/10 12:15","","13:15","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"3U8838","B2373","","","A320","3U8837","北京-万州-昆明","PEK","WXN","D","2017/7/10 11:40","","13:15","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5453","B2415","","","A320","MU5454","宁波-武汉-昆明","NGB","WUH","D","2017/7/10 10:50","","13:15","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"JD5157","B1691","","","A320","JD5158","杭州-昆明","HGH","","D","2017/7/10 10:00","","13:15","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU9738","B5683","","","B738","MU5723","天津-昆明","TSN","","D","2017/7/10 9:35","","13:10","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU5894","B5259","","","B737","","普洱-昆明","SYM","","D","2017/7/10 12:00","","13:05","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU5928","B5243","","","B737","MU2597","文山-昆明","WNH","","D","2017/7/10 11:55","","13:00","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"GS7857","B9989","","","A320","GS7858","天津-西安-昆明","TSN","XIY","D","2017/7/10 10:40","","13:00","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"CZ3482","B6203","","","A319","CZ3482","大理-昆明","DLU","","D","2017/7/10 12:10","","12:58","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5886","B5828","","","B737","MU9731","湛江-昆明","ZHA","","D","2017/7/10 11:05","","12:55","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"3U8918","B1820","","521L","A320","3U8823","厦门-昆明","XMN","","D","2017/7/10 10:05","","12:50","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU2573","B6147","","","B738","MU2573","北京-昆明","PEK","","D","2017/7/10 9:10","","12:45","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"CZ6425","B9951","","","A320","CZ6426","大连-武汉-昆明","DLC","WUH","D","2017/7/10 10:40","","12:43","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
