FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
3U8107,昆明-常州-青岛,B6955,,3U8710,CZX,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 14:05,TAO
3U8129,昆明-版纳,B6445,,3U8968,,A319,150,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 9:25,JHG
3U8215,昆明-郑州,B6445,,3U8130,,A319,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 14:40,CGO
3U8221,昆明-南宁-福州,B6732,,3U8202,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 11:45,FOC
3U8243,昆明-厦门,B8657,,3U8866,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,1,YAG,2017/6/17 15:15,XMN
3U8259,昆明-南京,B8500,,3U8661,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 11:20,NKG
3U8513,昆明-重庆-兰州,B1887,,3U8554,CKG,A320,153,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 7:15,ZGC
3U8527,昆明-西安,B6325,,3U8598,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 23:20,XIY
3U8530,昆明-杭州,B8470,,3U8529,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 13:05,HGH
3U8553,昆明-重庆-乌鲁,B8948,,3U8824,CKG,A320,155,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 8:45,URC
3U8597,昆明-太原-哈尔滨,B6325,,3U8260,TYN,A320,538,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 7:45,HRB
3U8619,昆明-版纳,B6045,,3U8818,,A319,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 21:00,JHG
3U8637,昆明-广州-岘港,B6956,,3U8206,CAN,A320,,M,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 17:05,DAD
3U8662,昆明-成都,B1820,,3U8808,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,1,YAG,2017/6/17 23:00,CTU
3U8668,昆明-成都,B1887,,3U8514,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 18:20,CTU
3U8669,昆明-成都-石家庄,B8329,,3U8667,CTU,A320,152,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 7:30,SJW
3U8685,昆明-长沙-哈尔滨,B1891,,3U8686,HHA,A321,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 16:00,HRB
3U8709,昆明-万象,B6955,,3U8958,,A320,111,I,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 8:50,VTE
3U8724,昆明-北京,B8500,,3U8260,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 21:50,PEK
