FLT,VIP,TAR,LKF,RFC,VI1,DES,TOF,REG,ITY,GAT,CID,MP1,STD,ETD,ABT,ATD,FSA,SDT,EAN,POP,OPE,RCP,NAT,FLX,MFF,SST
"3U8107","","","3U8902","昆明-常州-青岛","CZX","TAO","D","B1887","A320","","","","14:05","","","","33-计划","2017/7/7","16:26","REG","REG","","PAX","","","00"
"3U8129","","","3U8818","昆明-版纳","","JHG","D","B6448","A319","","","","17:35","","","","33-计划","2017/7/7","18:19","REG","REG","","PAX","","","00"
"3U8201","","","3U8638","昆明-上海","","PVG","D","B6322","A320","","","","16:10","","","","33-计划","2017/7/7","18:45","REG","REG","","PAX","","","00"
"3U8205","","","3U8866","昆明-广州","","CAN","D","B6955","A320","","","","17:00","","","","33-计划","2017/7/7","18:40","REG","REG","","PAX","","","00"
"3U8221","","","3U8723","昆明-南宁-福州","NNG","FOC","D","B1819","A320","","","","11:55","","","","33-计划","2017/7/7","12:58","REG","REG","","PAX","","","00"
"3U8245","","","3U8034","昆明-合肥","","HFE","D","B6778","A320","","","","18:00","","","","33-计划","2017/7/7","20:03","REG","REG","","PAX","","","00"
"3U8513","","150","3U8246","昆明-重庆-兰州","CKG","ZGC","D","B1886","A320","49","","","7:15","","","","33-计划","2017/7/7","8:22","REG","REG","","PAX","","","00"
"3U8527","","","3U8848","昆明-西安","","XIY","D","B1881","A320","","","","23:20","","","","33-计划","2017/7/7","1:02","REG","REG","","PAX","","","00"
"3U8530","","","3U8529","昆明-杭州","","HGH","D","B6905","A320","","","","13:05","","","","33-计划","2017/7/7","15:29","REG","REG","","PAX","","","00"
"3U8553","","","3U8528","昆明-重庆-乌鲁","CKG","URC","D","B8331","A320","","","","8:45","","","","33-计划","2017/7/7","9:53","REG","REG","","PAX","","","00"
"3U8662","","","3U8930","昆明-成都","","CTU","D","B6732","A320","","","","23:00","","","","33-计划","2017/7/7","0:04","REG","REG","","PAX","","","00"
"3U8668","","","3U8768","昆明-成都","","CTU","D","B6956","A320","","","","18:30","","","","33-计划","2017/7/7","19:35","REG","REG","","PAX","","","00"
"3U8669","","149","3U8824","昆明-成都-石家庄","CTU","SJW","D","B8500","A320","51","","","7:30","","","","33-计划","2017/7/7","8:30","REG","REG","","PAX","","","00"
