FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STA,ETA,TDT,ATA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL
"MU778","","MU5843","悉尼-昆明","SYD","","I","B5930","A33E","105","","","5:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU556","","MU556","加尔-昆明","CCU","","I","B2229","A320","108","","","5:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"SC8886","","SC8886","曼谷-昆明","BKK","","I","B6986","B738","330","","","5:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU756","","MU756","迪拜-昆明","DXB","","I","B5921","A33E","106","","","7:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"UW9942","","UW9943","达卡-昆明","DAC","","I","B2325","A306","","","","7:10","","","","33-计划","2017/6/28","REG","REG","","CGO","","","00","YAG"
"8L9905","","8L9921","版纳-昆明","JHG","","D","B1563","B737","","","","7:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"PN6393","","PN6393","重庆-昆明","CKG","","D","B6811","A320","","","","7:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9802","","8L9857","丽江-昆明","LJG","","D","B5248","B737","","","","8:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"EU2223","","EU2721","成都-昆明","CTU","","D","B6229","A319","","","","8:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2592","","MU5456","普吉-昆明","HKT","","I","B6758","A320","","","","8:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5449","","MU5464","重庆-昆明","CKG","","D","B8391","A320","","","","8:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5747","","MU5927","版纳-昆明","JHG","","D","B5293","B737","","","","8:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
