FLT,REG,VIP,TAR,ITY,LKF,RFC,ORG,VI1,TOF,STP,ABP,STA,ETA,TDT,FSA,ATA,SDT,RCP,OPE,POP,CAR,NAT,FLX,MFF,SST,HDL
"MU774","B5926","","","A33E","MU9751","巴黎-昆明","CDG","","I","2017/7/6 20:50","","7:40","7:36","","32-准时","","2017/7/7","","REG","REG","","PAX","","","00","CES"
"UW9942","B2325","","","A306","UW9937","达卡-昆明","DAC","","I","2017/7/7 6:00","","8:00","15:40","","32-准时","","2017/7/7","飞机晚到原因","DEL","DEL","","CGO","","","00","YAG"
"MU778","B5930","","","A33E","MU756","悉尼-昆明","SYD","","I","2017/7/6 18:50","","5:30","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","CES"
"MU556","B6001","","","A320","MU556","加尔-昆明","CCU","","I","2017/7/7 3:00","","5:45","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","CES"
"MU2592","B6011","","","A320","MU5456","普吉-昆明","HKT","","I","2017/7/7 2:55","","5:50","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","CES"
"SC8886","B1745","","","B738","SC8886","曼谷-昆明","BKK","","I","2017/7/7 4:05","","5:55","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","YAG"
"MU756","B5921","","","A33E","MU5853","迪拜-昆明","DXB","","I","2017/7/7 1:00","","7:30","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","CES"
"8L9905","B5292","","","B737","8L9921","版纳-昆明","JHG","","D","2017/7/7 6:50","","7:50","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","YAG"
"8L9802","B6959","","","A320","8L9845","丽江-昆明","LJG","","D","2017/7/7 6:55","","7:55","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","YAG"
"PN6393","B6743","","","A320","PN6393","重庆-昆明","CKG","","D","2017/7/7 6:10","","7:55","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","YAG"
"8L9584","B6800","","","B738","8L9633","马尼拉-昆明","MNL","","I","2017/7/7 4:40","","8:05","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","YAG"
"EU2223","B6229","","","A319","EU2721","成都-昆明","CTU","","D","2017/7/7 6:45","","8:20","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","YAG"
"MU5449","B6012","","","A320","MU5464","重庆-昆明","CKG","","D","2017/7/7 6:50","","8:25","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","CES"
"UW9938","B2330","","","A306","UW9933","马德拉斯-昆明","MAA","","I","2017/7/7 4:35","","8:25","","","33-计划","","2017/7/7","","REG","REG","","CGO","","","00","YAG"
"8L9856","B6015","","","B738","8L9651","绵阳-昆明","MIG","","D","2017/7/7 7:05","","8:35","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","YAG"
"MU5747","B5295","","","B737","MU5973","版纳-昆明","JHG","","D","2017/7/7 7:30","","8:35","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","CES"
"O36944","B2817","","","B757","O36943","杭州-昆明","HGH","","D","2017/7/7 5:55","","8:40","","","33-计划","","2017/7/7","","REG","REG","","CGO","","","00","YAG"
"OQ2327","B1826","","","A320","OQ2328","重庆-昆明","CKG","","D","2017/7/7 7:15","","8:43","","","33-计划","","2017/7/7","","REG","REG","","PAX","","","00","YAG"
