FLT,RFC,VI1,LKF,ITY,REG,VIP,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
SC8828,昆明-济南,,SC8828,B738,B6988,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 23:50,TNA
SC8843,昆明-济南-大阪,TNA,SC4859,B738,B7808,,,M,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 6:50,KIX
SC8885,昆明-曼谷,,SC8885,B738,B7087,,,I,33-计划,REG,REG,,PAX,2017/6/19,,,0,YAG,2017/6/19 1:00,BKK
SC8886,昆明-乌鲁,,SC8886,B738,B6986,,108,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 7:25,URC
TG613,昆明-清迈-曼谷,CNX,TG612,A333,HS-T,,,I,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 15:20,BKK
TV6008,昆明-丽江-兰州,LJG,TV6007,A320,B8841,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 13:20,ZGC
TV9819,昆明-芒市,,TV9893,A319,B6438,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 14:45,LUM
TV9894,昆明-拉萨,,TV9820,A319,B6438,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 20:15,LXA
UO274,昆明-香港,,UO273,A320,BLPH,,,R,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 12:10,HKG
ZH9266,昆明-西安,,ZH9265,A320,B6740,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 12:45,XIY
ZH9412,昆明-深圳,,ZH9411,A322,B6856,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 11:00,SZX
ZH9414,昆明-深圳,,ZH9413,B737,B5381,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 17:30,SZX
ZH9416,昆明-深圳,,ZH9451,B738,B1517,,526L,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 8:45,SZX
ZH9452,昆明-广州,,ZH9415,B738,B5400,,525R,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 9:05,CAN
ZH9456,昆明-广州,,ZH9789,A320,B6935,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 22:45,CAN
ZH9532,昆明-无锡,,ZH9531,B738,B1757,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 19:20,WUX
ZH9534,昆明-无锡,,ZH9533,A322,B1602,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 15:10,WUX
ZH9562,昆明-南京,,ZH9561,B738,B5776,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 12:10,NKG
ZH9713,昆明-太原-沈阳,TYN,ZH9714,A320,B6690,,526R,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 10:05,SHE
ZH9774,昆明-南昌,,ZH9773,A320,B8636,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 13:30,KHN
ZH9790,昆明-泉州,,ZH9789,A320,B6392,,525L,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 9:05,JJN
ZH9794,昆明-泉州,,ZH9793,A322,B9909,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 13:40,JJN
