FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STA,ETA,TDT,ATA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL
"JD5155","","JD5156","丽江-昆明","LJG","","D","B1622","A320","","","","15:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5830","","MU5781","郑州-昆明","CGO","","D","B5683","B738","","","","15:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CZ3487","","CZ3487","广州-昆明","CAN","","D","B6242","A319","","","","15:08","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8284","","KY8307","上海-昆明","PVG","","D","B1991","B738","","","","15:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CA4172","","CA4173","北京-昆明","PEK","","D","B8490","A320","","","","15:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"KY8236","","KY8265","杭州-昆明","HGH","","D","B5025","B737","","","","15:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"HO1099","","HO1100","上海-昆明","SHA","","D","B6311","A320","","","","15:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"9C8823","","9C8824","上海-遵义-昆明","SHA","ZYI","D","B8580","A320","","","","15:35","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ6369","","CZ6369","郑州-昆明","CGO","","D","B2622","B737","","","","15:43","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CA416","","CA416","仰光-昆明","RGN","","I","B6038","A319","","","","15:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"DR6502","","DR6523","芒市-昆明","LUM","","D","B6109","B737","","","","15:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8246","","KY8231","芒市-昆明","LUM","","D","B7871","B737","","","","15:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8274","","KY8221","武汉-昆明","WUH","","D","B1926","B738","","","","15:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"3U8768","","3U8901","温州-南宁-昆明","WNZ","NNG","D","B1822","A320","","","","16:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ3451","","CZ3451","深圳-昆明","SZX","","D","B6813","A320","","","","16:08","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5719","","MU5802","丽江-昆明","LJG","","D","B5225","B737","","","","16:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"3U8818","","","拉萨-丽江-昆明","LXA","LJG","D","B6433","A319","","","","16:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"FM9429","","FM9430","上海-衡阳-昆明","PVG","HNY","D","B1967","B738","","","","16:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CZ3407","","CZ3408","广州-昆明","CAN","","D","B6408","A319","","","","16:28","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
