FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
3U8033,昆明-丽江,B6778,,3U8598,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 6:55,LJG
3U8201,昆明-上海,B6772,,3U8108,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 16:10,PVG
3U8205,昆明-广州,B1881,,3U8638,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 17:00,CAN
3U8221,昆明-南宁-福州,B1886,,3U8244,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 11:45,FOC
3U8227,昆明-南京-长春,B1887,,3U8661,NKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 11:20,CGQ
3U8245,昆明-合肥,B6719,,3U8768,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 18:00,HFE
3U8513,昆明-重庆-兰州,B8500,,3U8222,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 7:15,ZGC
3U8527,昆明-西安,B1886,,3U8222,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 23:20,XIY
3U8662,昆明-成都,B6953,,3U8667,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 23:00,CTU
3U8668,昆明-成都,B8329,,3U8206,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 18:30,CTU
3U8669,昆明-成都-石家庄,B6955,,3U8661,CTU,A320,541,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 7:10,SJW
3U8724,昆明-北京,B6955,,3U8670,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 21:50,PEK
3U8767,昆明-南宁-温州,B6719,,3U8246,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 7:00,WNZ
3U8817,昆明-丽江-拉萨,B6433,,3U8620,LJG,A319,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 7:30,LXA
3U8837,昆明-万州-北京,B8656,,3U8838,WXN,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 14:15,PEK
3U8853,昆明-徐州-哈尔滨,B9967,,3U8854,XUZ,A321,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 16:15,HRB
3U8901,昆明-珠海,B6956,,3U8824,,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 6:45,ZUH
3U8917,昆明-厦门,B6322,,3U8768,,A320,534,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 6:25,XMN
3U8929,昆明-长沙-沈阳,B6843,,3U8554,HHA,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 8:05,SHE
3U8957,昆明-台北,B6322,,3U8918,,A320,,R,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 15:20,TPE
3U8967,昆明-重庆-大连,B6778,,3U8034,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/5,,,0,YAG,2017/7/5 12:55,DLC
