FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
KY8313,昆明-腾冲,B1459,,KY8302,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 8:00,TCZ
KY8315,昆明-腾冲,B7872,,KY8250,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 7:20,TCZ
KY8321,昆明-成都,B6491,,KY8262,,B738,523L,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 8:15,CTU
KY8333,昆明-西安-大连,B7873,,KY8334,XIY,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 9:50,DLC
KY8337,昆明-临汾,B6493,,KY8234,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 10:40,LFQ
KY8339,昆明-运城,B2678,,KY8248,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 8:10,YCU
KY8341,昆明-厦门-南宁,B2667,,KY8342,XMN,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 9:15,NNG
KY8361,昆明-合艾,B6491,,KY8322,,B738,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 14:10,HDY
MF8406,昆明-厦门,B5847,,MF8405,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,5,YAG,2017/6/27 11:50,XMN
MF8418,昆明-厦门,B5605,,MF8417,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,4,YAG,2017/6/27 15:40,XMN
MF8428,昆明-福州,B5791,,MF8427,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,5,YAG,2017/6/27 12:20,FOC
MF8430,昆明-厦门,B5605,,MF8429,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,5,YAG,2017/6/27 8:05,XMN
MF8462,昆明-武汉-杭州,B6889,,MF8461,WUH,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,5,YAG,2017/6/27 19:15,HGH
MF8476,昆明-福州,B5552,,MF8475,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,3,YAG,2017/6/27 20:15,FOC
MI915,昆明-新加坡,9VMGE,,MI916,,B738,,I,33-计划,REG,REG,,PAX,2017/6/27,,,2,YAG,2017/6/27 19:15,SIN
MU2027,昆明-台北,B1789,,MU2594,,B738,506,R,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 8:15,TPE
MU2029,昆明-曼德勒,B5527,,MU9738,,B738,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 14:45,MDL
MU2031,昆明-仰光,B1908,,MU5842,,B738,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 13:55,RGN
MU2035,昆明-达卡,B6148,,MU2035,,B738,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 13:00,DAC
MU2036,昆明-北京,B6148,,MU2036,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 20:30,PEK
MU215,昆明-南京-温哥华,B8226,,MU216,NKG,A33H,134,M,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 9:10,YVR
MU2178,昆明-宁波,B6880,,MU2177,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 18:25,NGB
MU2182,昆明-西安,B6372,,MU2181,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 11:15,XIY
MU2206,昆明-银川,B6877,,MU2205,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 11:35,INC
MU2208,昆明-西安,B6372,,MU2207,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 18:10,XIY
MU2246,昆明-西宁,B6876,,MU2245,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 23:15,XNN
MU2250,昆明-兰州,B8395,,MU2249,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 10:35,ZGC
MU2263,昆明-西安-沈阳,B5647,Y,MU5738,XIY,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 9:45,SHE
MU2360,昆明-西宁,B6876,,MU2359,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 10:20,XNN
MU2362,昆明-西安,B1838,,MU2361,,A325,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 21:30,XIY
MU2486,昆明-武汉,B7876,,MU2485,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 15:25,WUH
MU2494,昆明-武汉-温州,B1535,,MU2497,WUH,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 11:20,WNZ
MU2496,昆明-成都,B5199,,MU2495,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 10:10,CTU
