FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST
"3U8107","","3U8638","昆明-常州-青岛","CZX","TAO","D","B1661","A320","","","","","14:05","","","","33-计划","","2017/6/30","16:26","REG","REG","PAX","","","00"
"3U8129","","3U8968","昆明-版纳","","JHG","D","B6449","A319","154","25","","","9:25","","","","33-计划","","2017/6/30","10:09","REG","REG","PAX","","","00"
"3U8201","","3U8866","昆明-上海","","PVG","D","B8500","A320","","","","","16:10","","","","33-计划","","2017/6/30","18:45","REG","REG","PAX","","","00"
"3U8205","","3U8034","昆明-广州","","CAN","D","B8326","A320","","","","","17:00","","","","33-计划","","2017/6/30","18:40","REG","REG","PAX","","","00"
"3U8221","","3U8514","昆明-南宁-福州","NNG","FOC","D","B1881","A320","533","","","","11:55","","","","33-计划","","2017/6/30","12:58","REG","REG","PAX","","","00"
"3U8513","","3U8222","昆明-重庆-兰州","CKG","ZGC","D","B1665","A320","525L","","","C","7:15","","","","33-计划","","2017/6/30","8:22","REG","REG","PAX","","","00"
"3U8527","","3U8848","昆明-西安","","XIY","D","B6953","A320","","","","","23:20","","","","33-计划","","2017/6/30","1:02","REG","REG","PAX","","","00"
"3U8530","","3U8529","昆明-杭州","","HGH","D","B1821","A320","","","","","13:05","","","","33-计划","","2017/6/30","15:29","REG","REG","PAX","","","00"
"3U8553","","3U8554","昆明-重庆-乌鲁","CKG","URC","D","B6719","A320","149","51","","","8:45","","","","33-计划","","2017/6/30","9:53","REG","REG","PAX","","","00"
"3U8662","","3U8930","昆明-成都","","CTU","D","B6325","A320","","","","","23:00","","","","33-计划","","2017/6/30","0:04","REG","REG","PAX","","","00"
"3U8668","","3U8514","昆明-成都","","CTU","D","B1665","A320","157","01","","","18:30","","","","33-计划","","2017/6/30","19:35","REG","REG","PAX","","","00"
"3U8669","","3U8528","昆明-成都-石家庄","CTU","SJW","D","B6772","A320","523R","","","C","7:30","","","","33-计划","","2017/6/30","8:30","REG","REG","PAX","","","00"
"3U8761","","3U8948","昆明-无锡","","WUX","D","B8329","A320","","","","","15:10","","","","33-计划","","2017/6/30","17:39","REG","REG","PAX","","","00"
"3U8767","","3U8768","昆明-南宁-温州","NNG","WNZ","D","B1822","A320","532","","","B","7:00","","","","33-计划","","2017/6/30","7:59","REG","REG","PAX","","","00"
"3U8817","","3U8620","昆明-丽江-拉萨","LJG","LXA","D","B6433","A319","155","17","","","7:30","","","","33-计划","","2017/6/30","8:19","REG","REG","PAX","","","00"
"3U8823","","3U8670","昆明-南昌","","KHN","D","B6772","A320","","","","","20:00","","","","33-计划","","2017/6/30","21:49","REG","REG","PAX","","","00"
"3U8837","","3U8838","昆明-万州-北京","WXN","PEK","D","B8656","A320","","","","","14:15","","","","33-计划","","2017/6/30","15:42","REG","REG","PAX","","","00"
"3U8847","","3U8824","昆明-郑州-哈尔滨","CGO","HRB","D","B6953","A320","325","","","","7:50","","","","33-计划","","2017/6/30","9:59","REG","REG","PAX","","","00"
"3U8853","","3U8854","昆明-徐州-哈尔滨","XUZ","HRB","D","B6810","A321","","","","","16:15","","","","33-计划","","2017/6/30","18:39","REG","REG","PAX","","","00"
"3U8865","","3U8762","昆明-宁波","","NGB","D","B8500","A320","315","","","C","7:20","","","","33-计划","","2017/6/30","9:48","REG","REG","PAX","","","00"
"3U8901","","3U8768","昆明-珠海","","ZUH","D","B1822","A320","","","","","17:10","","","","33-计划","","2017/6/30","18:49","REG","REG","PAX","","","00"
"3U8917","","3U8667","昆明-厦门","","XMN","D","B6732","A320","158","02","","B","6:25","","","","33-计划","","2017/6/30","8:39","REG","REG","PAX","","","00"
"3U8929","","3U8244","昆明-长沙-沈阳","HHA","SHE","D","B6325","A320","317","","","","8:05","","","","33-计划","","2017/6/30","9:40","REG","REG","PAX","","","00"
"3U8947","","3U8216","昆明-济南","","TNA","D","B8329","A320","324","","","C","6:55","","","","33-计划","","2017/6/30","9:33","REG","REG","PAX","","","00"
"3U8957","","3U8918","昆明-台北","","TPE","R","B6732","A320","","","","","15:20","","","","33-计划","","2017/6/30","","REG","REG","PAX","","","00"
"3U8967","","3U8130","昆明-重庆-大连","CKG","DLC","D","B6449","A319","","","","","12:55","","","","33-计划","","2017/6/30","14:05","REG","REG","PAX","","","00"
"8L9519","","8L9909","昆明-芒市","","LUM","D","B5272","B737","","","","","12:20","","","","33-计划","","2017/6/30","13:10","REG","REG","PAX","","","00"
"8L9555","","8L9542","昆明-海口","","HAK","D","B5272","B737","","","","","23:10","","","","33-计划","","2017/6/30","0:39","REG","REG","PAX","","","00"
"8L9595","","8L9748","昆明-吉隆坡","","KUL","I","B8445","A320","102","74","","H","9:00","","","","33-计划","","2017/6/30","12:45","REG","REG","PAX","","","00"
"8L9597","","8L9710","昆明-曼谷","","BKK","I","B7991","B738","","","","","23:50","","","","33-计划","","2017/6/30","1:43","REG","REG","PAX","","","00"
"8L9623","","8L9988","昆明-杭州","","HGH","D","B6959","A320","","","","","10:45","","","","33-计划","","2017/6/30","13:13","REG","REG","PAX","","","00"
"8L9647","","8L9676","昆明-淮安-天津","HIA","TSN","D","B8446","A320","","","","A","7:10","","","","33-计划","","2017/6/30","9:50","REG","REG","PAX","","","00"
"8L9651","","8L9556","昆明-郑州","","CGO","D","B5732","B738","","","","A","9:50","","","","33-计划","","2017/6/30","12:04","REG","REG","PAX","","","00"
"8L9655","","8L9542","昆明-忻州-哈尔滨","WUT","HRB","D","B7989","B738","160","06","","A","6:10","","","","33-计划","","2017/6/30","8:49","REG","REG","PAX","","","00"
"8L9677","","8L9596","昆明-芽庄","","CXR","I","B8445","A320","","","","","18:30","","","","33-计划","","2017/6/30","20:57","REG","REG","PAX","","","00"
"8L9801","","8L9858","昆明-丽江","","LJG","D","B5810","B737","","","","","23:55","","","","33-计划","","2017/6/30","0:45","REG","REG","PAX","","","00"
"8L9805","","8L9806","昆明-丽江","","LJG","D","B6947","A320","","","","A","14:00","","","","33-计划","","2017/6/30","14:52","REG","REG","PAX","","","00"
"8L9841","","8L9911","昆明-普洱","","SYM","D","B5810","B737","","","","A","9:25","","","","33-计划","","2017/6/30","10:06","REG","REG","PAX","","","00"
"8L9849","","8L9858","昆明-迪庆","","DIG","D","B5823","B737","526L","","","C","7:05","","","","33-计划","","2017/6/30","8:06","REG","REG","PAX","","","00"
"8L9851","","8L9852","昆明-腾冲","","TCZ","D","B1563","B737","","","","","16:40","","","","33-计划","","2017/6/30","17:33","REG","REG","PAX","","","00"
"8L9855","","8L9966","昆明-绵阳","","MIG","D","B7990","B738","","","","","15:50","","","","33-计划","","2017/6/30","17:07","REG","REG","PAX","","","00"
"8L9857","","8L9842","昆明-腾冲","","TCZ","D","B5810","B737","","","","","13:50","","","","33-计划","","2017/6/30","14:43","REG","REG","PAX","","","00"
"8L9861","","8L9884","昆明-合肥","","HFE","D","B6198","A319","716","","","C","7:30","","","","33-计划","","2017/6/30","9:39","REG","REG","PAX","","","00"
