FLT,VIP,TAR,LKF,RFC,VI1,DES,TOF,REG,ITY,GAT,CID,MP1,STD,ETD,ABT,ATD,FSA,SDT,EAN,POP,OPE,RCP,NAT,FLX,MFF,SST
"MU5853","","","MU5714","昆明-成都","","CTU","D","B7589","B738","","","","17:55","","","","33-计划","2017/7/10","19:05","REG","REG","","PAX","","","00"
"MU5855","","","MU5800","昆明-成都","","CTU","D","B2412","A320","","","","21:00","","","","33-计划","2017/7/10","22:06","REG","REG","","PAX","","","00"
"MU5861","","703","MU748","昆明-重庆","","CKG","D","B1788","B738","","","","8:05","","","","33-计划","2017/7/10","9:23","REG","REG","","PAX","","","00"
"MU5873","","503","MU5874","昆明-宜宾-厦门","YBP","XMN","D","B2640","B737","","","","8:15","","","","33-计划","2017/7/10","9:08","REG","REG","","PAX","","","00"
"MU5877","","511","MU5960","昆明-杭州","","HGH","D","B2639","B737","","","","14:45","","","","33-计划","2017/7/10","15:47","REG","REG","","PAX","","","00"
"MU5885","","","MU5913","昆明-湛江","","ZHA","D","B5828","B737","","","","8:40","","","","33-计划","2017/7/10","10:18","REG","REG","","PAX","","","00"
"MU5891","","","MU5884","昆明-普洱","","SYM","D","B5097","B737","","","","7:55","","","","33-计划","2017/7/10","8:38","REG","REG","","PAX","","","00"
"MU5893","","515","MU758","昆明-普洱","","SYM","D","B5259","B737","","","","10:10","","","","33-计划","2017/7/10","10:55","REG","REG","","PAX","","","00"
"MU5897","","","MU5856","昆明-普洱","","SYM","D","B5819","B737","","","","16:45","","","","33-计划","2017/7/10","17:29","REG","REG","","PAX","","","00"
"MU5901","","","MU5846","昆明-版纳","","JHG","D","B6141","B737","","","","8:20","","","","33-计划","2017/7/10","9:08","REG","REG","","PAX","","","00"
"MU5903","","710","MU2566","昆明-版纳","","JHG","D","B5802","B737","","","","8:50","","","","33-计划","2017/7/10","9:37","REG","REG","","PAX","","","00"
"MU5905","","","MU5990","昆明-版纳","","JHG","D","B5255","B737","","","","22:05","","","","33-计划","2017/7/10","22:55","REG","REG","","PAX","","","00"
"MU5909","","","MU9737","昆明-版纳","","JHG","D","B5815","B737","","","","22:20","","","","33-计划","2017/7/10","23:07","REG","REG","","PAX","","","00"
"MU5915","","","MU5952","昆明-版纳","","JHG","D","B5802","B737","","","","21:35","","","","33-计划","2017/7/10","22:22","REG","REG","","PAX","","","00"
"MU5919","","","MU5723","昆明-丽江","","LJG","D","B5802","B737","","","","13:15","","","","33-计划","2017/7/10","14:09","REG","REG","","PAX","","","00"
"MU5920","","","MU5803","昆明-丽江","","LJG","D","B5293","B737","","","","17:50","","","","33-计划","2017/7/10","18:44","REG","REG","","PAX","","","00"
"MU5921","","","MU5972","昆明-丽江","","LJG","D","B5270","B737","","","","7:05","","","","33-计划","2017/7/10","7:59","REG","REG","","PAX","","","00"
"MU5925","","505","MU5748","昆明-丽江","","LJG","D","B5295","B737","","","","7:45","","","","33-计划","2017/7/10","8:39","REG","REG","","PAX","","","00"
"MU5927","","","MU5733","昆明-文山","","WNH","D","B5243","B737","","","","10:20","","","","33-计划","2017/7/10","10:55","REG","REG","","PAX","","","00"
"MU5929","","","MU5874","昆明-文山","","WNH","D","B2640","B737","","","","20:25","","","","33-计划","2017/7/10","21:00","REG","REG","","PAX","","","00"
"MU5931","","","MU5922","昆明-迪庆","","DIG","D","B5817","B737","","","","7:55","","","","33-计划","2017/7/10","8:57","REG","REG","","PAX","","","00"
"MU5935","","","MU5936","昆明-迪庆","","DIG","D","B5807","B737","","","","17:55","","","","33-计划","2017/7/10","18:56","REG","REG","","PAX","","","00"
"MU5939","","115","MU5940","昆明-迪庆-拉萨","DIG","LXA","D","B5820","B737","18","","","9:00","","","","33-计划","2017/7/10","10:01","REG","REG","","PAX","","","00"
"MU5941","","718","MU5846","昆明-大理","","DLU","D","B5816","B737","","","","9:25","","","","33-计划","2017/7/10","10:08","REG","REG","","PAX","","","00"
"MU5943","","510","MU5944","昆明-大理","","DLU","D","B5282","B737","","","","7:40","","","","33-计划","2017/7/10","8:24","REG","REG","","PAX","","","00"
"MU5957","","502","MU5826","昆明-临沧","","LNJ","D","B5293","B737","","","","9:35","","","","33-计划","2017/7/10","10:15","REG","REG","","PAX","","","00"
"MU5959","","","MU9731","昆明-临沧","","LNJ","D","B5822","B737","","","","16:25","","","","33-计划","2017/7/10","17:07","REG","REG","","PAX","","","00"
"MU5961","","","MU5910","昆明-临沧","","LNJ","D","B2503","B737","","","","8:10","","","","33-计划","2017/7/10","8:51","REG","REG","","PAX","","","00"
"MU5963","","","MU5747","昆明-临沧","","LNJ","D","B5242","B737","","","","11:00","","","","33-计划","2017/7/10","11:41","REG","REG","","PAX","","","00"
"MU5967","","","MU5757","昆明-临沧","","LNJ","D","B2502","B737","","","","14:10","","","","33-计划","2017/7/10","14:52","REG","REG","","PAX","","","00"
"MU5971","","","MU5930","昆明-芒市","","LUM","D","B2502","B737","","","","9:25","","","","33-计划","2017/7/10","10:19","REG","REG","","PAX","","","00"
"MU5973","","507","MU5990","昆明-芒市","","LUM","D","B5245","B737","","","","10:25","","","","33-计划","2017/7/10","11:17","REG","REG","","PAX","","","00"
"MU5981","","","MU9756","昆明-保山","","BSD","D","B5225","B737","","","","13:05","","","","33-计划","2017/7/10","13:52","REG","REG","","PAX","","","00"
"MU5983","","","MU5816","昆明-保山","","BSD","D","B5271","B737","","","","16:05","","","","33-计划","2017/7/10","16:51","REG","REG","","PAX","","","00"
"MU5985","","","MU5986","昆明-保山","","BSD","D","B5276","B737","","","","9:00","","","","33-计划","2017/7/10","9:49","REG","REG","","PAX","","","00"
"MU5987","","508","MU5763","昆明-保山","","BSD","D","B5265","B737","","","","8:15","","","","33-计划","2017/7/10","9:03","REG","REG","","PAX","","","00"
"MU5989","","","MU5711","昆明-昭通-重庆","ZAT","CKG","D","B5255","B737","","","","11:25","","","","33-计划","2017/7/10","11:58","REG","REG","","PAX","","","00"
"MU713","","","MU2030","昆明-科伦坡-马累","CMB","MLE","I","B5527","B738","","J01-J03","","15:50","","","","33-计划","2017/7/10","20:50","REG","REG","","PAX","","","00"
"MU733","","","MU9744","昆明-香港","","HKG","R","B5267","B737","","J07-J09","","13:40","","","","33-计划","2017/7/10","16:49","REG","REG","","PAX","","","00"
"MU741","","","MU2264","昆明-曼谷","","BKK","I","B5647","B738","","J01-J03","","13:00","","","","33-计划","2017/7/10","15:08","REG","REG","","PAX","","","00"
"MU745","","","MU5750","昆明-南宁-金边","NNG","PNH","M","B1703","B738","","J05-J05","","8:30","","","","33-计划","2017/7/10","9:37","REG","REG","","PAX","","","00"
"MU747","Y","","MU5704","昆明-上海-大阪","PVG","KIX","M","B6149","B738","","J01-J01","","7:50","","","","33-计划","2017/7/10","10:37","REG","REG","","PAX","","","00"
"MU9713","","","MU5962","昆明-宜宾-武汉","YBP","WUH","D","B2503","B737","","","","12:35","","","","33-计划","2017/7/10","13:28","REG","REG","","PAX","","","00"
"MU9731","","","MU5886","昆明-拉萨","","LXA","D","B5828","B737","","","","15:15","","","","33-计划","2017/7/10","17:40","REG","REG","","PAX","","","00"
"MU9732","","","MU9732","昆明-长沙","","HHA","D","B5828","B737","","","","22:25","","","","33-计划","2017/7/10","0:01","REG","REG","","PAX","","","00"
"MU9737","","","MU2032","昆明-天津","","TSN","D","B1788","B738","","","","21:10","","","","33-计划","2017/7/10","0:07","REG","REG","","PAX","","","00"
"MU9738","","","MU5974","昆明-芒市","","LUM","D","B5245","B737","","","","16:00","","","","33-计划","2017/7/10","16:51","REG","REG","","PAX","","","00"
