FLT,REG,VIP,TAR,ITY,LKF,RFC,ORG,VI1,TOF,STP,ABP,STA,ETA,TDT,FSA,ATA,SDT,RCP,OPE,POP,CAR,NAT,FLX,MFF,SST,HDL
"8L9898","B6198","","","A319","","温州-昆明","WNZ","","D","2017/7/4 11:30","","14:40","23:40","","31-预计","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9504","B5971","","105","A333","8L9965","莫斯科-昆明","DME","","I","2017/7/3 22:05","","6:30","6:11","","32-准时","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU774","B5926","","520","A33E","MU9751","巴黎-昆明","CDG","","I","2017/7/3 20:50","","7:40","7:32","","32-准时","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"UW9934","B2325","","720","A306","UW9935","德里-昆明","DEL","","I","2017/7/4 1:45","","5:35","","","33-计划","","2017/7/4","","REG","REG","","CGO","","","00","YAG"
"MU556","B1791","","103","B738","MU2027","加尔-昆明","CCU","","I","2017/7/4 3:00","","5:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"SC8886","B6986","","314","B738","SC8886","曼谷-昆明","BKK","","I","2017/7/4 4:05","","5:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9598","B7993","","","B738","8L9679","曼谷-昆明","BKK","","I","2017/7/4 4:25","","6:30","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"PN6393","B8845","","","A320","PN6393","重庆-昆明","CKG","","D","2017/7/4 6:10","","7:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU714","B5701","","","B738","MU5805","马累-科伦坡-昆明","MLE","CMB","I","2017/7/4 3:15","","8:00","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"8L9905","B5248","","","B737","8L9933","版纳-昆明","JHG","","D","2017/7/4 7:00","","8:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"EU2223","B6163","","","A319","EU2721","成都-昆明","CTU","","D","2017/7/4 6:45","","8:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5449","B6830","","","A320","MU5464","重庆-昆明","CKG","","D","2017/7/4 6:50","","8:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"8L9856","B7990","","","B738","8L9947","绵阳-昆明","MIG","","D","2017/7/4 7:05","","8:35","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5747","B5256","","","B737","MU5973","版纳-昆明","JHG","","D","2017/7/4 7:30","","8:35","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
