FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
3U8259,,3U8661,昆明-南京,,NKG,D,B6772,A320,2017/6/24 11:20,2017/6/24,13:35,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ6404,,CZ6403,昆明-重庆-沈阳,CKG,SHE,D,B6775,A320,2017/6/24 15:50,2017/6/24,16:58,,,,,,,,33-计划,REG,REG,,PAX,,,0
ZH9774,,ZH9773,昆明-南昌,,KHN,D,B6780,A320,2017/6/24 13:30,2017/6/24,15:23,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5711,,MU5655,昆明-北京,,PEK,D,B6797,A322,2017/6/24 11:50,2017/6/24,14:50,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5656,,MU5712,昆明-杭州,,HGH,D,B6797,A322,2017/6/24 21:15,2017/6/24,23:40,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9747,,8L9598,昆明-宿务市,,CEB,I,B6800,B738,2017/6/24 14:15,2017/6/24,18:15,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5330,,MU5329,昆明-合肥,,HFE,D,B6802,A320,2017/6/24 18:40,2017/6/24,20:50,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5809,,MU5732,昆明-上海,,SHA,D,B6803,A320,2017/6/24 14:55,2017/6/24,17:36,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5731,,MU2765,昆明-广州,,CAN,D,B6803,A320,2017/6/24 8:00,2017/6/24,9:43,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5646,,MU5646,昆明-杭州,,HGH,D,B6805,A320,2017/6/24 23:00,2017/6/24,1:22,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5645,,MU5645,昆明-版纳,,JHG,D,B6805,A320,2017/6/24 18:55,2017/6/24,19:42,,,,,,,,33-计划,REG,REG,,PAX,,,0
9C8730,,9C8729,昆明-扬州泰州,,YTY,D,B6820,A320,2017/6/24 18:40,2017/6/24,21:03,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA4418,,CA4459,昆明-成都,,CTU,D,B6822,A320,2017/6/24 8:40,2017/6/24,9:41,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA4414,,CA4413,昆明-成都,,CTU,D,B6828,A320,2017/6/24 13:25,2017/6/24,14:29,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5464,,MU5449,昆明-合肥-上海,HFE,PVG,D,B6832,A320,2017/6/24 9:35,2017/6/24,11:43,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5450,,MU5463,昆明-重庆,,CKG,D,B6832,A320,2017/6/24 22:05,2017/6/24,23:18,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8685,,3U8686,昆明-长沙-哈尔滨,HHA,HRB,D,B6845,A321,2017/6/24 16:00,2017/6/24,17:35,,,,,,,,33-计划,REG,REG,,PAX,,,0
