FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
3U8034,丽江-昆明,B6843,,3U8205,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 9:55,LJG,,,,,,2017/7/2 8:55
3U8108,青岛-常州-昆明,B6719,,,CZX,A320,,D,33-计划,REG,REG,,PAX,2017/7/3,,,0,YAG,2017/7/3 1:30,TAO,,,,,,2017/7/2 22:35
3U8130,版纳-昆明,B6448,,,,A319,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 12:20,JHG,,,,,,2017/7/2 11:15
3U8202,上海-昆明,B1819,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 23:45,PVG,,,,,,2017/7/2 20:25
3U8222,福州-南宁-昆明,B8500,,,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 20:50,FOC,,,,,,2017/7/2 19:35
3U8228,长春-南京-昆明,B6322,,,NKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/3,,,0,YAG,2017/7/3 1:50,CGQ,,,,,,2017/7/2 22:55
3U8514,兰州-重庆-昆明,B6772,,3U8668,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 17:20,ZGC,,,,,,2017/7/2 15:45
3U8528,西安-昆明,B1822,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 22:15,XIY,,,,,,2017/7/2 19:50
3U8529,杭州-昆明,B1821,,3U8530,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 12:05,HGH,,,,,,2017/7/2 9:00
3U8554,乌鲁-重庆-昆明,B6778,,,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/3,,,0,YAG,2017/7/3 0:10,URC,,,,,,2017/7/2 22:35
3U8638,岘港-广州-昆明,B8329,,3U8901,CAN,A320,,M,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 8:45,DAD,,,,,,2017/7/2 6:15
3U8661,成都-昆明,B6322,,3U8227,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 9:00,CTU,,,,,,2017/7/2 7:20
3U8667,成都-昆明,B6772,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 23:05,CTU,,,,,,2017/7/2 21:25
3U8670,石家庄-成都-昆明,B1881,,,CTU,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 18:45,SJW,,,,,,2017/7/2 17:10
3U8768,温州-南宁-昆明,B6956,,,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 16:05,WNZ,,,,,,2017/7/2 14:40
3U8818,拉萨-丽江-昆明,B6449,,,LJG,A319,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 16:20,LXA,,,,,,2017/7/2 15:10
3U8824,南昌-昆明,B8326,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/3,,,0,YAG,2017/7/3 1:20,KHN,,,,,,2017/7/2 23:00
3U8838,北京-万州-昆明,B6388,,3U8837,WXN,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 13:15,PEK,,,,,,2017/7/2 11:40
3U8848,哈尔滨-郑州-昆明,B6732,,3U8527,CGO,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 21:50,HRB,,,,,,2017/7/2 19:05
3U8854,哈尔滨-徐州-昆明,B9967,,3U8853,XUZ,A321,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 15:00,HRB,,,,,,2017/7/2 12:05
3U8902,珠海-昆明,B8329,,,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 23:00,ZUH,,,,,,2017/7/2 21:00
3U8918,厦门-昆明,B6719,,3U8107,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 12:50,XMN,,,,,,2017/7/2 10:05
3U8930,沈阳-长沙-昆明,B1665,,3U8662,HHA,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 21:10,SHE,,,,,,2017/7/2 18:55
3U8948,济南-昆明,B8326,,3U8823,,A320,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 13:55,TNA,,,,,,2017/7/2 10:50
3U8968,大连-重庆-昆明,B6953,,,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/7/3,,,0,YAG,2017/7/3 1:30,DLC,,,,,,2017/7/2 23:55
8L9520,芒市-昆明,B5268,,8L9914,,B737,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 14:20,LUM,,,,,,2017/7/2 13:15
8L9556,海口-昆明,B1798,,8L9651,,B738,,D,33-计划,REG,REG,,PAX,2017/7/2,,,0,YAG,2017/7/2 8:50,HAK,,,,,,2017/7/2 7:00
