FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STD,DES,CID,MP1,ETD,ABT,ATD,EAN,STN
DR6501,昆明-芒市,DR6508,,B6109,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:10,LUM,,,,,,2017/7/11 14:01,2017/7/11 14:05
DR6503,昆明-芒市,DR6580,,B5812,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:00,LUM,,,,,,2017/7/11 17:50,2017/7/11 18:00
DR6505,昆明-芒市,DR6502,,B6109,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:30,LUM,,,,,,2017/7/11 19:21,2017/7/11 19:40
DR6507,昆明-芒市,DR6578,,B6109,,D,B737,321,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:10,LUM,,,,,,2017/7/11 10:01,2017/7/11 10:10
DR6509,昆明-版纳,DR6512,,B5829,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:40,JHG,,,,,,2017/7/11 9:26,2017/7/11 9:45
DR6511,昆明-版纳,DR6506,,B6109,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:40,JHG,,,,,,2017/7/11 23:27,2017/7/11 23:45
DR6515,昆明-襄阳-天津,DR6510,,B5829,XFN,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:30,TSN,,,,,,2017/7/11 15:23,2017/7/11 15:30
DR6521,昆明-成都,DR6522,,B1595,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:00,CTU,,,,,,2017/7/11 8:03,2017/7/11 8:35
DR6523,昆明-丽江,DR6506,,B6110,,D,B737,710,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:10,LJG,,,,,,2017/7/11 18:03,2017/7/11 18:15
DR6529,昆明-太原-呼和,DR6538,,B1597,TYN,D,B738,151,47,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:35,HET,,,,,,2017/7/11 10:00,2017/7/11 10:25
DR6533,昆明-武汉,DR6562,,B7866,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:20,WUH,,,,,,2017/7/11 9:09,2017/7/11 9:40
DR6537,昆明-兰州,DR6530,,B1597,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:55,ZGC,,,,,,2017/7/11 20:50,2017/7/11 21:15
DR6557,昆明-呼和-沈阳,DR6534,,B7867,HET,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 11:55,SHE,,,,,,2017/7/11 14:42,2017/7/11 15:05
DR6559,昆明-太原-大连,DR6570,,B1593,TYN,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:40,DLC,,,,,,2017/7/11 15:04,2017/7/11 15:35
DR6569,昆明-北海,DR6560,,B1593,,D,B738,157,1,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:20,BHY,,,,,,2017/7/11 8:37,2017/7/11 8:55
