FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
3U8108,青岛-常州-昆明,B6955,,,CZX,A320,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 1:30,TAO,,,,,,2017/6/17 22:35
3U8130,版纳-昆明,B6445,,3U8215,,A319,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 12:05,JHG,,,,,,2017/6/17 11:05
3U8206,广州-昆明,B6956,,3U8637,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 8:45,CAN,,,,,,2017/6/17 6:15
3U8216,郑州-昆明,B6445,,,,A319,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 21:10,CGO,,,,,,2017/6/17 18:25
3U8222,福州-南宁-昆明,B6732,,,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 20:50,FOC,,,,,,2017/6/17 19:35
3U8244,厦门-昆明,B8657,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,1,YAG,2017/6/17 22:05,XMN,,,,,,2017/6/17 19:15
3U8260,南京-昆明,B8500,,3U8724,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 18:05,NKG,,,,,,2017/6/17 15:10
3U8514,兰州-重庆-昆明,B1887,,3U8668,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 17:20,ZGC,,,,,,2017/6/17 15:45
3U8528,西安-昆明,B6348,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 22:15,XIY,,,,,,2017/6/17 19:50
3U8529,杭州-昆明,B8470,,3U8530,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 12:05,HGH,,,,,,2017/6/17 9:00
3U8554,乌鲁-重庆-昆明,B8948,,,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 0:10,URC,,,,,,2017/6/17 22:35
3U8598,哈尔滨-太原-昆明,B6325,,3U8527,TYN,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 22:00,HRB,,,,,,2017/6/17 19:10
3U8620,版纳-昆明,B6442,,,,A319,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 23:15,JHG,,,,,,2017/6/17 22:00
3U8661,成都-昆明,B8500,,3U8259,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,0,YAG,2017/6/17 9:00,CTU,,,,,,2017/6/17 7:20
3U8667,成都-昆明,B1887,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/17,,,1,YAG,2017/6/17 23:05,CTU,,,,,,2017/6/17 21:25
