FLT,VIP,LKF,REG,RFC,VI1,TOF,ITY,TAR,STA,ETA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL,ORG,TDT,ATA,ABP,CAR
AK101,,AK100,9MAFF,吉隆坡-昆明,,I,A320,,2017/6/24 16:55,,33-计划,,REG,REG,,PAX,,,0,YAG,KUL,,,,
CA1401,,CA1402,B1418,天津-昆明,,D,B738,,2017/6/24 19:15,,33-计划,,REG,REG,,PAX,,,1,YAG,TSN,,,,
FU6509,,FU6510,B1433,福州-昆明,,D,B738,,2017/6/24 21:20,,33-计划,,REG,REG,,PAX,,,0,YAG,FOC,,,,
KY8362,,,B1507,合艾-昆明,,I,B738,,2017/6/24 22:20,,33-计划,,REG,REG,,PAX,,,0,YAG,HDY,,,,
KY8322,,KY8361,B1507,成都-昆明,,D,B738,,2017/6/24 12:35,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
CA1467,,CA1468,B1528,天津-昆明,,D,B738,,2017/6/24 17:05,,33-计划,,REG,REG,,PAX,,,1,YAG,TSN,,,,
MU2497,,MU2494,B1537,武汉-昆明,,D,B738,,2017/6/24 10:10,,33-计划,,REG,REG,,PAX,,,0,CES,WUH,,,,
MU2493,,MU2498,B1537,温州-武汉-昆明,WUH,D,B738,,2017/6/24 22:10,,33-计划,,REG,REG,,PAX,,,0,CES,WNZ,,,,
HU7211,Y,HU7212,B1539,北京-昆明,,D,B789,,2017/6/24 11:35,,33-计划,,REG,REG,,PAX,,,0,YAG,PEK,,,,
8L9870,,,B1586,青岛-武汉-昆明,WUH,D,B738,,2017/6/25 1:40,,33-计划,,REG,REG,,PAX,,,0,YAG,TAO,,,,
8L9894,,8L9869,B1586,珠海-昆明,,D,B738,,2017/6/24 12:10,,33-计划,,REG,REG,,PAX,,,0,YAG,ZUH,,,,
8L9886,,,B1588,徐州-昆明,,D,B738,,2017/6/24 23:30,,33-计划,,REG,REG,,PAX,,,0,YAG,XUZ,,,,
DR6560,,,B1593,大连-太原-昆明,TYN,D,B738,,2017/6/25 1:35,,33-计划,,REG,REG,,PAX,,,0,YAG,DLC,,,,
DR6570,,DR6559,B1593,北海-昆明,,D,B738,,2017/6/24 11:20,,33-计划,,REG,REG,,PAX,,,0,YAG,BHY,,,,
DR6522,,,B1595,成都-昆明,,D,B738,,2017/6/25 0:30,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
DR6538,,,B1597,兰州-昆明,,D,B738,,2017/6/25 0:20,,33-计划,,REG,REG,,PAX,,,0,YAG,ZGC,,,,
ZH9533,,ZH9534,B1602,无锡-昆明,,D,A322,,2017/6/24 14:05,,33-计划,,REG,REG,,PAX,,,0,YAG,WUX,,,,
CZ6459,,CZ6460,B1606,长春-重庆-昆明,CKG,D,A321,,2017/6/24 14:48,,33-计划,,REG,REG,,PAX,,,0,YAG,CGQ,,,,
MU5094,,MU5094,B1612,新加坡-昆明,,I,A320,,2017/6/24 7:30,,33-计划,,REG,REG,,PAX,,,0,CES,SIN,,,,
JD5155,,JD5156,B1621,丽江-昆明,,D,A320,,2017/6/24 15:05,,33-计划,,REG,REG,,PAX,,,0,YAG,LJG,,,,
MU2765,,,B1636,长春-南京-昆明,NKG,D,A320,,2017/6/24 21:35,,33-计划,,REG,REG,,PAX,,,0,CES,CGQ,,,,
