FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST
"3U8129","","3U8968","昆明-版纳","","JHG","D","B6449","A319","523R","","C16-C20","","9:25","","","","33-计划","","2017/6/28","10:09","REG","REG","PAX","","","00"
"8L9841","","8L9858","昆明-普洱","","SYM","D","B5272","B737","543","","A01-C10","","9:25","","","","33-计划","","2017/6/28","10:06","REG","REG","PAX","","","00"
"MU5941","","MU5986","昆明-大理","","DLU","D","B5270","B737","130","40","E11-H20","","9:25","","","","33-计划","","2017/6/28","10:08","REG","REG","PAX","","","00"
"MU5971","","MU5959R","昆明-芒市","","LUM","D","B2502","B737","723","","E11-H20","","9:25","","","","33-计划","","2017/6/28","10:19","REG","REG","PAX","","","00"
"MU5456","","MU2592","昆明-宁波","","NGB","D","B6758","A320","","","E11-H20","","9:30","","","","33-计划","","2017/6/28","12:05","REG","REG","PAX","","","00"
"9C859T","","9C8595","昆明-绵阳-沈阳","MIG","SHE","D","B8873","A320","532","","E04-E05","","9:30","","","","33-计划","","2017/6/28","10:44","REG","REG","PAX","T","","00"
"MU5464","","MU5449","昆明-合肥-上海","HFE","PVG","D","B8391","A320","","","E11-H20","","9:35","","","","33-计划","","2017/6/28","11:44","REG","REG","PAX","","","00"
"MU5817","","MU2264","昆明-兴义-上海","ACX","SHA","D","B5647","B738","127","45","E11-H20","","9:35","","","","33-计划","","2017/6/28","10:17","REG","REG","PAX","","","00"
"MU5957","","MU5912","昆明-临沧","","LNJ","D","B5265","B737","107","","E11-H20","","9:35","","","","33-计划","","2017/6/28","10:15","REG","REG","PAX","","","00"
"A67105","","A67108","昆明-南昌","","KHN","D","B8318","A321","521L","","D01-E10","","9:40","","","","33-计划","","2017/6/28","11:33","REG","REG","PAX","","","00"
"KY8297","","KY8298","昆明-石家庄-长春","SJW","CGQ","D","B2679","B737","516","","D01-E10","","9:40","","","","33-计划","","2017/6/28","12:21","REG","REG","PAX","","","00"
"MU2263","","MU5850","昆明-西安-沈阳","XIY","SHE","D","B5795","B738","511","","E11-H20","","9:45","","","","33-计划","","2017/6/28","11:36","REG","REG","PAX","","","00"
"MU5747","","MU5810","昆明-天津","","TSN","D","B8496","A320","123","37","E11-H20","","9:45","","","","33-计划","","2017/6/28","12:44","REG","REG","PAX","","","00"
