FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST
"MU733","","MU5958","昆明-香港","","HKG","R","B5265","B737","","","J06-J08","","13:40","","","","33-计划","","2017/6/28","16:49","REG","REG","PAX","","","00"
"SC4696","","SC4695","昆明-南京-青岛","NKG","TAO","D","B5531","B738","","","D01-E10","","13:40","","","","33-计划","","2017/6/28","15:59","REG","REG","PAX","","","00"
"ZH9794","","ZH9793","昆明-泉州","","JJN","D","B6297","A320","","","D01-E10","","13:40","","","","33-计划","","2017/6/28","16:03","REG","REG","PAX","","","00"
"CZ3902","","CZ3901","昆明-北京","","PEK","D","B6098","A333","","","D01-E10","","13:45","","","","33-计划","","2017/6/28","16:40","REG","REG","PAX","","","00"
"MU5717","","MU9744","昆明-腾冲","","TCZ","D","B5282","B737","","","E11-H20","","13:45","","","","33-计划","","2017/6/28","14:38","REG","REG","PAX","","","00"
"MU5975","","MU5886","昆明-芒市","","LUM","D","B5819","B737","","","E11-H20","","13:45","","","","33-计划","","2017/6/28","14:35","REG","REG","PAX","","","00"
"8L9689","","8L9909","昆明-合肥","","HFE","D","B6221","A319","","","A01-C10","","13:45","","","","33-计划","","2017/6/28","15:54","REG","REG","PAX","","","00"
"FM9452","","FM9451","昆明-上海","","SHA","D","B2567","B763","","","E11-H20","","13:50","","","","33-计划","","2017/6/28","16:28","REG","REG","PAX","","","00"
"KY8233","","KY8322","昆明-太原","","TYN","D","B6495","B738","","","D01-E10","","13:55","","","","33-计划","","2017/6/28","16:23","REG","REG","PAX","","","00"
"8L9805","","8L9806","昆明-丽江","","LJG","D","B6947","A320","","","A01-C10","","14:00","","","","33-计划","","2017/6/28","14:53","REG","REG","PAX","","","00"
"MU2031","","MU734","昆明-仰光","","RGN","I","B5515","B738","510","","H11-H13","","14:00","","","","33-计划","","2017/6/28","16:30","REG","REG","PAX","","","00"
"MU5757","","MU5862","昆明-深圳","","SZX","D","B7590","B738","","","E11-H20","","14:00","","","","33-计划","","2017/6/28","15:47","REG","REG","PAX","","","00"
"MU9751","","MU5706","昆明-北京","","PEK","D","B5926","A33E","129","42","E11-H20","","14:00","","","","33-计划","","2017/6/28","17:00","REG","REG","PAX","","","00"
"3U8107","","3U8638","昆明-常州-青岛","CZX","TAO","D","B1661","A320","","","C16-C20","","14:05","","","","33-计划","","2017/6/28","16:25","REG","REG","PAX","","","00"
"CZ3482","","CZ3482","昆明-广州","","CAN","D","B6409","A319","","","D01-E10","","14:10","","","","33-计划","","2017/6/28","15:49","REG","REG","PAX","","","00"
"KY8275","","KY8308","昆明-济南","","TNA","D","B6493","B738","","","D01-E10","","14:10","","","","33-计划","","2017/6/28","17:02","REG","REG","PAX","","","00"
"MU5723","","MU5708","昆明-西安","","XIY","D","B7170","B738","709","","E11-H20","","14:10","","","","33-计划","","2017/6/28","16:01","REG","REG","PAX","","","00"
"MU5967","","MU5894","昆明-临沧","","LNJ","D","B5809","B737","","","E11-H20","","14:10","","","","33-计划","","2017/6/28","14:51","REG","REG","PAX","","","00"
"3U8837","","3U8838","昆明-万州-北京","WXN","PEK","D","B8657","A320","","","C16-C20","","14:15","","","","33-计划","","2017/6/28","15:42","REG","REG","PAX","","","00"
"MU5454","","MU5453","昆明-武汉-宁波","WUH","NGB","D","B1861","A320","","","E11-H20","","14:15","","","","33-计划","","2017/6/28","16:05","REG","REG","PAX","","","00"
"8L9869","","8L9856","昆明-武汉-青岛","WUH","TAO","D","B7990","B738","","","A01-C10","","14:20","","","","33-计划","","2017/6/28","16:10","REG","REG","PAX","","","00"
"BK2743","","BK2897","昆明-版纳","","JHG","D","B5573","B738","","","D01-E10","","14:25","","","","33-计划","","2017/6/28","15:13","REG","REG","PAX","","","00"
"MU2976","","MU2975","昆明-重庆-无锡","CKG","WUX","D","B9902","A320","","","E11-H20","","14:25","","","","33-计划","","2017/6/28","15:40","REG","REG","PAX","","","00"
"MU757","","MU5974","昆明-加德","","KTM","I","B5255","B737","","","J09-J10","","14:25","","","","33-计划","","2017/6/28","17:10","REG","REG","PAX","","","00"
"MU5725","","MU5964","昆明-乌鲁","","URC","D","B5822","B737","","","E11-H20","","14:25","","","","33-计划","","2017/6/28","18:20","REG","REG","PAX","","","00"
"MU5815","","MU5928","昆明-六盘水","","LPF","D","B5293","B737","","","E11-H20","","14:25","","","","33-计划","","2017/6/28","15:06","REG","REG","PAX","","","00"
"JD5158","","JD5157","昆明-杭州","","HGH","D","B8678","A330","","","D01-E10","","14:30","","","","33-计划","","2017/6/28","16:55","REG","REG","PAX","","","00"
"MU2573","","MU2573","昆明-万象","","VTE","I","B1790","B738","","","H14-H15","","14:30","","","","33-计划","","2017/6/28","15:51","REG","REG","PAX","","","00"
"MU2593","","MU5716","昆明-清迈","","CNX","I","B6143","B738","","","H16-H17","","14:30","","","","33-计划","","2017/6/28","15:57","REG","REG","PAX","","","00"
"MU5684","","MU5683","昆明-黎平","","HZH","D","B6471","A319","","","E11-H20","","14:30","","","","33-计划","","2017/6/28","15:42","REG","REG","PAX","","","00"
"KY8281","","KY8254","昆明-上海","","PVG","D","B6492","B738","","","D01-E10","","14:40","","","","33-计划","","2017/6/28","17:29","REG","REG","PAX","","","00"
"MU2597","","MU5842","昆明-清莱","","CEI","I","B1908","B738","","","H18-H19","","14:40","","","","33-计划","","2017/6/28","15:53","REG","REG","PAX","","","00"
"MU2029","","MU2596","昆明-曼德勒","","MDL","I","B5701","B738","","","H20-H20","","14:45","","","","33-计划","","2017/6/28","16:03","REG","REG","PAX","","","00"
"TV9819","","TV9893","昆明-芒市","","LUM","D","B6436","A319","","","D01-E10","","14:45","","","","33-计划","","2017/6/28","15:35","REG","REG","PAX","","","00"
"8L9904","","8L9520","昆明-版纳","","JHG","D","B5292","B737","","","A01-C10","","14:50","","","","33-计划","","2017/6/28","15:36","REG","REG","PAX","","","00"
"9C8938","","9C8937","昆明-石家庄","","SJW","D","B1657","A320","","","E04-E05","","14:50","","","","33-计划","","2017/6/28","17:26","REG","REG","PAX","","","00"
"CZ3248","","CZ3247","昆明-桂林","","KWL","D","B5300","B738","","","D01-E10","","15:00","","","","33-计划","","2017/6/28","16:12","REG","REG","PAX","","","00"
"CZ3416","","CZ3415","昆明-广州","","CAN","D","B1925","B738","","","D01-E10","","15:00","","","","33-计划","","2017/6/28","16:39","REG","REG","PAX","","","00"
"MU5732","","MU5816","昆明-西昌","","XIC","D","B5231","B737","","","E11-H20","","15:00","","","","33-计划","","2017/6/28","15:45","REG","REG","PAX","","","00"
"MU5809","Y","MU5732","昆明-上海","","SHA","D","B2230","A320","","","E11-H20","","15:00","","","","33-计划","","2017/6/28","17:45","REG","REG","PAX","","","00"
"FTU3022","","FTU3021","昆明-广汉","","GHN","D","B3650","C525","","","","","15:00","","","","33-计划","","2017/6/28","16:25","REG","REG","GEN","","","00"
"HO1682","","HO1681","昆明-毕节-南京","BFJ","NKG","D","B6395","A320","","","D01-E10","","15:05","","","","33-计划","","2017/6/28","15:51","REG","REG","PAX","","","00"
"3U8761","","3U8948","昆明-无锡","","WUX","D","B6697","A320","","","C16-C20","","15:10","","","","33-计划","","2017/6/28","17:39","REG","REG","PAX","","","00"
"ZH9534","","ZH9533","昆明-无锡","","WUX","D","B6296","A320","","","D01-E10","","15:10","","","","33-计划","","2017/6/28","17:45","REG","REG","PAX","","","00"
"MU9731","","MU5743","昆明-拉萨","","LXA","D","B5815","B737","","","E11-H20","","15:15","","","","33-计划","","2017/6/28","17:40","REG","REG","PAX","","","00"
"3U8957","","3U8918","昆明-台北","","TPE","R","B6732","A320","","","J11-J13","","15:20","","","","33-计划","","2017/6/28","","REG","REG","PAX","","","00"
"KA761","","KA760","昆明-香港","","HKG","R","BHSD","A320","","","K04-K10","","15:20","","","","33-计划","","2017/6/28","","REG","REG","PAX","","","00"
"TG613","","TG612","昆明-曼谷","","BKK","I","","B747","","","J15-J19","","15:20","","","","33-计划","","2017/6/28","17:04","REG","REG","PAX","","","00"
"CA1488","","CA1481","昆明-达县-北京","DAX","PEK","D","B5228","B737","","","D01-E10","","15:25","","","","33-计划","","2017/6/28","16:46","REG","REG","PAX","","","00"
"MU2486","Y","MU2485","昆明-武汉","","WUH","D","B1961","B738","","","E11-H20","","15:25","","","","33-计划","","2017/6/28","17:15","REG","REG","PAX","","","00"
"8L9985","","8L9988","昆明-太原-呼和","TYN","HET","D","B1825","A320","","","A01-C10","","15:30","","","","33-计划","","2017/6/28","17:53","REG","REG","PAX","","","00"
"CZ3492","","CZ3492","昆明-郑州","","CGO","D","B2620","B737","","","D01-E10","","15:30","","","","33-计划","","2017/6/28","17:42","REG","REG","PAX","","","00"
"CA1482","","CA1487","昆明-运城-天津","YCU","TSN","D","B5227","B738","","","D01-E10","","15:35","","","","33-计划","","2017/6/28","17:34","REG","REG","PAX","","","00"
"CA4275","","CA4276","昆明-哈尔滨","","HRB","D","B6793","A320","","","D01-E10","","15:35","","","","33-计划","","2017/6/28","19:45","REG","REG","PAX","","","00"
"MU2706","","MU2706","昆明-南京","","NKG","D","B6472","A319","","","E11-H20","","15:35","","","","33-计划","","2017/6/28","17:55","REG","REG","PAX","","","00"
"MU5737","","MU9738","昆明-广州","","CAN","D","B5796","B738","","","E11-H20","","15:35","","","","33-计划","","2017/6/28","17:19","REG","REG","PAX","","","00"
"MF8418","","MF8417","昆明-厦门","","XMN","D","B5151","B738","","","D01-E10","","15:40","","","","33-计划","","2017/6/28","17:55","REG","REG","PAX","","","00"
"MU5438","","MU5437","昆明-南充-上海","NAO","PVG","D","B6465","A319","","","E11-H20","","15:40","","","","33-计划","","2017/6/28","17:08","REG","REG","PAX","","","00"
"UW9943","","UW9942","昆明-德里","","DEL","I","B2325","A306","","","","","15:40","","","","33-计划","","2017/6/28","","REG","REG","CGO","","","00"
"8L9855","","8L9894","昆明-绵阳","","MIG","D","B1587","B738","","","A01-C10","","15:50","","","","33-计划","","2017/6/28","17:08","REG","REG","PAX","","","00"
"CZ6270","","CZ6269","昆明-西安-哈尔滨","XIY","HRB","D","B8847","A32E","","","D01-E10","","15:50","","","","33-计划","","2017/6/28","17:36","REG","REG","PAX","","","00"
"CZ6404","","CZ6403","昆明-重庆-沈阳","CKG","SHE","D","B6815","A320","","","D01-E10","","15:50","","","","33-计划","","2017/6/28","16:58","REG","REG","PAX","","","00"
"JD5166","","JD5792","昆明-丽江","","LJG","D","B6182","A319","","","D01-E10","","15:50","","","","33-计划","","2017/6/28","16:41","REG","REG","PAX","","","00"
"MU713","","MU2582","昆明-科伦坡-马累","CMB","MLE","I","B1788","B738","503","","J01-J02","","15:50","","","","33-计划","","2017/6/28","20:50","REG","REG","PAX","","","00"
"8L9851","","8L9922","昆明-腾冲","","TCZ","D","B1563","B737","","","A01-C10","","15:55","","","","33-计划","","2017/6/28","16:47","REG","REG","PAX","","","00"
"MU5707","","MU2030","昆明-北京","","PEK","D","B6145","B738","","","E11-H20","","16:00","","","","33-计划","","2017/6/28","18:57","REG","REG","PAX","","","00"
"MU753","","MU9731","昆明-暹粒","","REP","I","B5828","B737","","","J03-J04","","16:00","","","","33-计划","","2017/6/28","18:04","REG","REG","PAX","","","00"
"MU9738","","MU5757","昆明-芒市","","LUM","D","B2502","B737","","","E11-H20","","16:00","","","","33-计划","","2017/6/28","16:51","REG","REG","PAX","","","00"
"JD5156","","JD5155","昆明-丽江","","LJG","D","B1622","A320","","","D01-E10","","16:05","","","","33-计划","","2017/6/28","16:58","REG","REG","PAX","","","00"
"MU2571","","MU5966","昆明-加德","","KTM","I","B5259","B737","","","J05-J06","","16:05","","","","33-计划","","2017/6/28","18:53","REG","REG","PAX","","","00"
"MU5588","","MU5505","昆明-福州-上海","FOC","PVG","D","B8571","A325","","","E11-H20","","16:05","","","","33-计划","","2017/6/28","18:39","REG","REG","PAX","","","00"
"MU5983","","MU5936","昆明-保山","","BSD","D","B5821","B737","","","E11-H20","","16:05","","","","33-计划","","2017/6/28","16:51","REG","REG","PAX","","","00"
"3U8201","","3U8866","昆明-上海","","PVG","D","B8500","A320","","","C16-C20","","16:10","","","","33-计划","","2017/6/28","18:46","REG","REG","PAX","","","00"
"CZ6460","","CZ6459","昆明-重庆-长春","CKG","CGQ","D","B9960","A321","","","D01-E10","","16:10","","","","33-计划","","2017/6/28","17:19","REG","REG","PAX","","","00"
"FM9398","","FM9397","昆明-长沙-上海","HHA","PVG","D","B6993","B738","","","E11-H20","","16:10","","","","33-计划","","2017/6/28","17:48","REG","REG","PAX","","","00"
"MU5077","","MU5077","昆明-曼谷","","BKK","I","B6617","A320","","","J07-J08","","16:10","","","","33-计划","","2017/6/28","18:11","REG","REG","PAX","","","00"
"MU5532","","MU5465","昆明-南昌-上海","KHN","PVG","D","B1865","A320","","","E11-H20","","16:10","","","","33-计划","","2017/6/28","18:07","REG","REG","PAX","","","00"
"3U8853","","3U8854","昆明-徐州-哈尔滨","XUZ","HRB","D","B6590","A321","","","C16-C20","","16:15","","","","33-计划","","2017/6/28","18:39","REG","REG","PAX","","","00"
"CZ3487","","CZ3487","昆明-丽江","","LJG","D","B6019","A319","","","D01-E10","","16:15","","","","33-计划","","2017/6/28","17:07","REG","REG","PAX","","","00"
"MU5299","","MU5292","昆明-太原-北京","TYN","PEK","D","B1775","B738","","","E11-H20","","16:15","","","","33-计划","","2017/6/28","18:38","REG","REG","PAX","","","00"
"8L9979","","8L9966","昆明-深圳","","SZX","D","B5971","A333","","","A01-C10","","16:20","","","","33-计划","","2017/6/28","18:02","REG","REG","PAX","","","00"
"KY8239","","KY8284","昆明-青岛","","TAO","D","B7089","B738","","","D01-E10","","16:20","","","","33-计划","","2017/6/28","19:23","REG","REG","PAX","","","00"
"MU5328","","MU5327","昆明-九华山-济南","JUH","TNA","D","B2337","A320","","","E11-H20","","16:20","","","","33-计划","","2017/6/28","18:42","REG","REG","PAX","","","00"
"MU5959","","MU5737","昆明-临沧","","LNJ","D","B6142","B737","","","E11-H20","","16:25","","","","33-计划","","2017/6/28","17:07","REG","REG","PAX","","","00"
"MU2786","","MU2725","昆明-南京","","NKG","D","B6637","A320","","","E11-H20","","16:30","","","","33-计划","","2017/6/28","18:51","REG","REG","PAX","","","00"
"MU5849","","MU5776","昆明-成都","","CTU","D","B6146","B738","","","E11-H20","","16:30","","","","33-计划","","2017/6/28","17:37","REG","REG","PAX","","","00"
"9C8824","","9C8823","昆明-遵义-上海","ZYI","SHA","D","B9986","A320","","","E04-E05","","16:35","","","","33-计划","","2017/6/28","17:34","REG","REG","PAX","","","00"
"HO1100","","HO1099","昆明-上海","","SHA","D","B1681","A320","","","D01-E10","","16:35","","","","33-计划","","2017/6/28","19:18","REG","REG","PAX","","","00"
"MU5781","","MU5830","昆明-厦门","","XMN","D","B1907","B738","","","E11-H20","","16:35","","","","33-计划","","2017/6/28","18:53","REG","REG","PAX","","","00"
"FM9454","","FM9454","昆明-上海","","SHA","D","B5261","B737","","","E11-H20","","16:40","","","","33-计划","","2017/6/28","19:22","REG","REG","PAX","","","00"
"KY8231","","KY8246","昆明-丽江","","LJG","D","B7870","B737","","","D01-E10","","16:40","","","","33-计划","","2017/6/28","17:33","REG","REG","PAX","","","00"
"MU5897","","MU5856","昆明-普洱","","SYM","D","B5807","B737","","","E11-H20","","16:45","","","","33-计划","","2017/6/28","17:28","REG","REG","PAX","","","00"
"CZ6369","","CZ6369","昆明-版纳","","JHG","D","B2622","B737","","","D01-E10","","16:50","","","","33-计划","","2017/6/28","17:36","REG","REG","PAX","","","00"
"KY8265","","KY8236","昆明-杭州","","HGH","D","B2669","B737","","","D01-E10","","16:50","","","","33-计划","","2017/6/28","19:15","REG","REG","PAX","","","00"
"KY8307","","KY8258","昆明-南昌","","KHN","D","B1991","B738","","","D01-E10","","16:50","","","","33-计划","","2017/6/28","18:49","REG","REG","PAX","","","00"
"8L9889","","8L9948","昆明-上海","","PVG","D","B1586","B738","","","A01-C10","","16:55","","","","33-计划","","2017/6/28","19:35","REG","REG","PAX","","","00"
"8L9897","","8L9862","昆明-温州","","WNZ","D","B5359","B738","","","A01-C10","","16:55","","","","33-计划","","2017/6/28","19:24","REG","REG","PAX","","","00"
"3U8205","","3U8034","昆明-广州","","CAN","D","B8326","A320","","","C16-C20","","17:00","","","","33-计划","","2017/6/28","18:38","REG","REG","PAX","","","00"
"DR6503","","DR6502","昆明-芒市","","LUM","D","B6109","B737","","","D01-E10","","17:00","","","","33-计划","","2017/6/28","17:50","REG","REG","PAX","","","00"
"MU2716","","MU2715","昆明-长沙-南京","HHA","NKG","D","B6756","A320","","","E11-H20","","17:00","","","","33-计划","","2017/6/28","18:42","REG","REG","PAX","","","00"
"CA416","","CA416","昆明-成都","","CTU","D","B6478","A319","","","D01-E10","","17:05","","","","33-计划","","2017/6/28","18:10","REG","REG","PAX","","","00"
"CA4173","","CA4172","昆明-北京","","PEK","D","B1852","A320","","","D01-E10","","17:05","","","","33-计划","","2017/6/28","20:00","REG","REG","PAX","","","00"
"MU5760","","MU5982","昆明-大理","","DLU","D","B5802","B737","","","E11-H20","","17:05","","","","33-计划","","2017/6/28","17:49","REG","REG","PAX","","","00"
"3U8901","","3U8768","昆明-珠海","","ZUH","D","B8331","A320","","","C16-C20","","17:10","","","","33-计划","","2017/6/28","18:49","REG","REG","PAX","","","00"
"DR6523","","DR6538","昆明-丽江","","LJG","D","B5812","B737","714","","D01-E10","","17:10","","","","33-计划","","2017/6/28","18:03","REG","REG","PAX","","","00"
"CZ3470","","CZ3469","昆明-武汉","","WUH","D","B5113","B738","","","D01-E10","","17:15","","","","33-计划","","2017/6/28","19:02","REG","REG","PAX","","","00"
"MU5802","","MU5719","昆明-腾冲","","TCZ","D","B5820","B737","","","E11-H20","","17:15","","","","33-计划","","2017/6/28","18:07","REG","REG","PAX","","","00"
"8L9875","","8L9866","昆明-厦门","","XMN","D","B2677","B738","","","A01-C10","","17:20","","","","33-计划","","2017/6/28","19:36","REG","REG","PAX","","","00"
"CZ3451","","CZ3451","昆明-丽江","","LJG","D","B2352","A320","","","D01-E10","","17:20","","","","33-计划","","2017/6/28","18:10","REG","REG","PAX","","","00"
"MU5719","","MU5802","昆明-北京","","PEK","D","B7589","B738","","","E11-H20","","17:20","","","","33-计划","","2017/6/28","20:17","REG","REG","PAX","","","00"
"FM9430","","FM9429","昆明-衡阳-上海","HNY","PVG","D","B6107","B738","","","E11-H20","","17:25","","","","33-计划","","2017/6/28","18:54","REG","REG","PAX","","","00"
"KY8221","","KY8274","昆明-重庆","","CKG","D","B1507","B738","","","D01-E10","","17:25","","","","33-计划","","2017/6/28","18:41","REG","REG","PAX","","","00"
"MU5813","","MU5760","昆明-上海","","SHA","D","B7600","B738","","","E11-H20","","17:30","","","","33-计划","","2017/6/28","20:12","REG","REG","PAX","","","00"
"ZH9414","","ZH9413","昆明-深圳","","SZX","D","B5381","B737","","","D01-E10","","17:30","","","","33-计划","","2017/6/28","19:16","REG","REG","PAX","","","00"
"CZ3408","","CZ3407","昆明-广州","","CAN","D","B6662","A321","","","D01-E10","","17:35","","","","33-计划","","2017/6/28","19:15","REG","REG","PAX","","","00"
"MU5823","","MU5762","昆明-郑州","","CGO","D","B7592","B738","","","E11-H20","","17:35","","","","33-计划","","2017/6/28","19:49","REG","REG","PAX","","","00"
"MU5883","","MU5803","昆明-湛江","","ZHA","D","B5282","B737","","","E11-H20","","17:40","","","","33-计划","","2017/6/28","19:14","REG","REG","PAX","","","00"
"CZ6428","","CZ6427","昆明-长沙-大连","HHA","DLC","D","B9958","A320","","","D01-E10","","17:45","","","","33-计划","","2017/6/28","19:20","REG","REG","PAX","","","00"
"CZ6950","","CZ6949","昆明-重庆-乌鲁","CKG","URC","D","B1953","B738","","","D01-E10","","17:45","","","","33-计划","","2017/6/28","18:57","REG","REG","PAX","","","00"
"AK100","","AK101","昆明-吉隆坡","","KUL","I","9MAFF","A320","","","J11-J14","","17:55","","","","33-计划","","2017/6/28","","REG","REG","PAX","","","00"
"MU5935","","MU5976","昆明-迪庆","","DIG","D","B5819","B737","","","E11-H20","","17:55","","","","33-计划","","2017/6/28","18:56","REG","REG","PAX","","","00"
"8L9883","","8L9874","昆明-南京","","NKG","D","B8446","A320","","","A01-C10","","18:00","","","","33-计划","","2017/6/28","20:19","REG","REG","PAX","","","00"
"8L9914","","8L9858","昆明-版纳","","JHG","D","B5248","B737","","","A01-C10","","18:00","","","","33-计划","","2017/6/28","18:46","REG","REG","PAX","","","00"
"MU5853","","MU5844","昆明-成都","","CTU","D","B5930","A33E","","","E11-H20","","18:00","","","","33-计划","","2017/6/28","19:09","REG","REG","PAX","","","00"
"CA1468","","CA1467","昆明-天津","","TSN","D","B5572","B738","","","D01-E10","","18:05","","","","33-计划","","2017/6/28","21:01","REG","REG","PAX","","","00"
"GJ8838","","GJ8837","昆明-珠海-杭州","ZUH","HGH","D","B8985","A320","","","D01-E10","","18:05","","","","33-计划","","2017/6/28","19:53","REG","REG","PAX","","","00"
"BK2798","","BK2716","昆明-长沙","","HHA","D","B6026","B738","","","D01-E10","","18:10","","","","33-计划","","2017/6/28","19:47","REG","REG","PAX","","","00"
"MU2208","","MU2207","昆明-西安","","XIY","D","B1813","A321","","","E11-H20","","18:10","","","","33-计划","","2017/6/28","19:59","REG","REG","PAX","","","00"
"KY8243","","KY8230","昆明-普洱","","SYM","D","B1459","B737","","","D01-E10","","18:15","","","","33-计划","","2017/6/28","18:58","REG","REG","PAX","","","00"
"BK2898","","BK2744","昆明-天津","","TSN","D","B5573","B738","","","D01-E10","","18:20","","","","33-计划","","2017/6/28","21:14","REG","REG","PAX","","","00"
"A67107","","A67106","昆明-郑州","","CGO","D","B8285","A321","","","D01-E10","","18:25","","","","33-计划","","2017/6/28","20:39","REG","REG","PAX","","","00"
"MU2178","","MU2177","昆明-宁波","","NGB","D","B6758","A320","","","E11-H20","","18:25","","","","33-计划","","2017/6/28","20:55","REG","REG","PAX","","","00"
"MU5576","","MU5575","昆明-郑州-烟台","CGO","YNT","D","B8237","A320","","","E11-H20","","18:25","","","","33-计划","","2017/6/28","20:40","REG","REG","PAX","","","00"
"3U8668","","3U8514","昆明-成都","","CTU","D","B8329","A320","","","C16-C20","","18:30","","","","33-计划","","2017/6/28","19:34","REG","REG","PAX","","","00"
"DR6505","","DR6002","昆明-芒市","","LUM","D","B5830","B737","702","","D01-E10","","18:30","","","","33-计划","","2017/6/28","19:21","REG","REG","PAX","","","00"
"MU5714","Y","MU5940","昆明-普洱","","SYM","D","B5816","B737","","","E11-H20","","18:35","","","","33-计划","","2017/6/28","19:19","REG","REG","PAX","","","00"
"MU9743","","MU5968","昆明-昭通-北京","ZAT","PEK","D","B5809","B737","","","E11-H20","","18:35","","","","33-计划","","2017/6/28","19:10","REG","REG","PAX","","","00"
"HO1096","","HO1095","昆明-毕节-上海","BFJ","SHA","D","B6735","A320","","","D01-E10","","18:40","","","","33-计划","","2017/6/28","19:24","REG","REG","PAX","","","00"
"KY8301","","KY8262","昆明-惠州","","HUZ","D","B6491","B738","","","D01-E10","","18:40","","","","33-计划","","2017/6/28","20:29","REG","REG","PAX","","","00"
"MU5330","","MU5329","昆明-合肥","","HFE","D","B1862","A320","","","E11-H20","","18:40","","","","33-计划","","2017/6/28","20:50","REG","REG","PAX","","","00"
"CZ3450","","CZ3449","昆明-广州","","CAN","D","B5609","B738","","","D01-E10","","18:45","","","","33-计划","","2017/6/28","20:23","REG","REG","PAX","","","00"
"8L9975","","8L9956","昆明-广州","","CAN","D","B6015","B738","","","A01-C10","","18:50","","","","33-计划","","2017/6/28","20:29","REG","REG","PAX","","","00"
"MU5745","","MU5748","昆明-三亚","","SYX","D","B8496","A320","","","E11-H20","","18:50","","","","33-计划","","2017/6/28","20:36","REG","REG","PAX","","","00"
"MU5771","","MU5714","昆明-广州","","CAN","D","B1789","B738","","","E11-H20","","18:50","","","","33-计划","","2017/6/28","20:30","REG","REG","PAX","","","00"
"DR6537","","DR6530","昆明-兰州","","ZGC","D","B1597","B738","","","D01-E10","","18:55","","","","33-计划","","2017/6/28","20:50","REG","REG","PAX","","","00"
"MU5645","","MU5645","昆明-版纳","","JHG","D","B2415","A320","","","E11-H20","","18:55","","","","33-计划","","2017/6/28","19:42","REG","REG","PAX","","","00"
"MU5748","","MU5771","昆明-版纳","","JHG","D","B5231","B737","","","E11-H20","","18:55","","","","33-计划","","2017/6/28","19:42","REG","REG","PAX","","","00"
"MU2186","","MU2185","昆明-银川","","INC","D","B6877","A320","","","E11-H20","","19:05","","","","33-计划","","2017/6/28","21:23","REG","REG","PAX","","","00"
"9C8962","","9C8961","昆明-黔江-上海","JIQ","SHA","D","B9965","A320","","","E04-E05","","19:10","","","","33-计划","","2017/6/28","20:42","REG","REG","PAX","","","00"
"KY8269","","KY8314","昆明-丽江","","LJG","D","B2678","B737","","","D01-E10","","19:10","","","","33-计划","","2017/6/28","20:05","REG","REG","PAX","","","00"
"MF8462","","MF8461","昆明-武汉-杭州","WUH","HGH","D","B6889","B738","","","D01-E10","","19:15","","","","33-计划","","2017/6/28","21:04","REG","REG","PAX","","","00"
"ZH9532","","ZH9531","昆明-无锡","","WUX","D","B5773","B738","","","D01-E10","","19:20","","","","33-计划","","2017/6/28","21:53","REG","REG","PAX","","","00"
"EU2225","","EU2722","昆明-版纳","","JHG","D","B6229","A319","","","D01-E10","","19:25","","","","33-计划","","2017/6/28","20:12","REG","REG","PAX","","","00"
"8L9983","","8L9864","昆明-西安","","XIY","D","B6198","A319","","","A01-C10","","19:30","","","","33-计划","","2017/6/28","21:20","REG","REG","PAX","","","00"
"HO1020","","HO1019","昆明-大庸-杭州","DYG","HGH","D","B6965","A320","","","D01-E10","","19:30","","","","33-计划","","2017/6/28","20:51","REG","REG","PAX","","","00"
"HU7236","","HU7235","昆明-广州","","CAN","D","B5663","B738","","","D01-E10","","19:30","","","","33-计划","","2017/6/28","21:09","REG","REG","PAX","","","00"
"MU2736","","MU2735","昆明-长沙-南京","HHA","NKG","D","B8498","A320","","","E11-H20","","19:35","","","","33-计划","","2017/6/28","21:14","REG","REG","PAX","","","00"
"CA1754","","CA1753","昆明-杭州","","HGH","D","B6745","A320","","","D01-E10","","19:40","","","","33-计划","","2017/6/28","22:02","REG","REG","PAX","","","00"
"MU2144","","MU5461","昆明-太原","","TYN","D","B2682","B737","","","E11-H20","","19:40","","","","33-计划","","2017/6/28","22:02","REG","REG","PAX","","","00"
"CZ6800","","CZ6799","昆明-上海","","PVG","D","B8848","A321","","","D01-E10","","19:45","","","","33-计划","","2017/6/28","22:28","REG","REG","PAX","","","00"
"GS7876","","GS7875","昆明-西安-天津","XIY","TSN","D","B6865","A320","","","D01-E10","","19:50","","","","33-计划","","2017/6/28","21:38","REG","REG","PAX","","","00"
"MU5929","","MU5874","昆明-文山","","WNH","D","B2503","B737","","","E11-H20","","19:50","","","","33-计划","","2017/6/28","20:25","REG","REG","PAX","","","00"
"MU2986","","MU2985","昆明-无锡","","WUX","D","B1635","A320","","","E11-H20","","19:55","","","","33-计划","","2017/6/28","22:27","REG","REG","PAX","","","00"
"MU5847","","MU5836","昆明-成都","","CTU","D","B1703","B738","","","E11-H20","","19:55","","","","33-计划","","2017/6/28","21:01","REG","REG","PAX","","","00"
"3U8823","","3U8670","昆明-南昌","","KHN","D","B6325","A320","","","C16-C20","","20:00","","","","33-计划","","2017/6/28","21:49","REG","REG","PAX","","","00"
"MU5742","","MU5960","昆明-保山","","BSD","D","B6142","B737","","","E11-H20","","20:00","","","","33-计划","","2017/6/28","20:47","REG","REG","PAX","","","00"
