FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
AK100,,AK101,昆明-吉隆坡,,KUL,I,9MAFF,A320,2017/7/3 17:55,2017/7/3,,,,J11-J14,,,,,33-计划,REG,REG,,PAX,,,0
CA1402,,CA1401,昆明-天津,,TSN,D,B1418,B738,2017/7/3 20:20,2017/7/3,23:12,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8313,,KY8270,昆明-腾冲,,TCZ,D,B1459,B737,2017/7/3 8:00,2017/7/3,8:53,145,59,,C,,,,33-计划,REG,REG,,PAX,,,0
KY8269,,KY8314,昆明-丽江,,LJG,D,B1459,B737,2017/7/3 19:10,2017/7/3,20:04,,,,,,,,33-计划,REG,REG,,PAX,,,0
SC8830,,SC8830,昆明-青岛,,TAO,D,B1506,B738,2017/7/3 23:50,2017/7/3,2:42,,,,,,,,33-计划,REG,REG,,PAX,,,0
SC8829,,SC8829,昆明-德里,,DEL,I,B1506,B738,2017/7/3 10:55,2017/7/3,,107,73,K09-K10,,,,,33-计划,REG,REG,,PAX,,,0
KY8257,,KY8334,昆明-郑州,,CGO,D,B1507,B738,2017/7/3 8:25,2017/7/3,10:40,136,50,,A,,,,33-计划,REG,REG,,PAX,,,0
KY8239,,KY8258,昆明-青岛,,TAO,D,B1507,B738,2017/7/3 16:20,2017/7/3,19:23,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2498,,MU2493,昆明-武汉,,WUH,D,B1515,B738,2017/7/3 23:20,2017/7/3,1:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
HU7112,,HU7111,昆明-北京,,PEK,D,B1541,B738,2017/7/3 20:25,2017/7/3,23:16,,,,,,,,33-计划,REG,REG,,PAX,,,0
FU6510,,FU6509,昆明-福州,,FOC,D,B1559,B738,2017/7/3 22:25,2017/7/3,0:46,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9801,,8L9804,昆明-丽江,,LJG,D,B1563,B737,2017/7/3 23:55,2017/7/3,0:45,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9955,,8L9888,昆明-郑州,,CGO,D,B1586,B738,2017/7/3 22:00,2017/7/3,0:12,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9887,,8L9980,昆明-宜春-上海,YIC,SHA,D,B1586,B738,2017/7/3 8:30,2017/7/3,10:22,526R,4,,B,,,,33-计划,REG,REG,,PAX,,,0
