FLT,VIP,LKF,REG,RFC,VI1,DES,TOF,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST,STN
"MU9732","","MU9732","B5821","昆明-长沙","","HHA","D","B737","","","","","22:25","","","","33-计划","","2017/7/1","0:01","REG","REG","PAX","","","00","0:30"
"SC4720","","SC4719","B5543","昆明-重庆","","CKG","D","B738","","","","","22:35","","","","33-计划","","2017/7/1","23:47","REG","REG","PAX","","","00","0:10"
"DR6511","","DR6506","B5830","昆明-版纳","","JHG","D","B737","","","","","22:40","","","","33-计划","","2017/7/1","23:27","REG","REG","PAX","","","00","23:45"
"KY8285","","KY8296","B6495","昆明-广州","","CAN","D","B738","","","","","22:40","","","","33-计划","","2017/7/1","0:23","REG","REG","PAX","","","00","0:50"
"ZH9456","","ZH9455","B5363","昆明-广州","","CAN","D","B738","","","","","22:45","","","","33-计划","","2017/7/1","0:26","REG","REG","PAX","","","00","1:05"
"GS7662","","GS7661","B1619","昆明-西安","","XIY","D","A320","","","","","22:50","","","","33-计划","","2017/7/1","0:37","REG","REG","PAX","","","00","1:05"
"8L9801","","8L9903","B5823","昆明-丽江","","LJG","D","B737","","","","","22:55","","","","33-计划","","2017/7/1","23:45","REG","REG","PAX","","","00","23:55"
"8L9914","","8L9638","B6221","昆明-版纳","","JHG","D","A319","","","","","22:55","","","","33-计划","","2017/7/1","23:41","REG","REG","PAX","","","00","23:55"
"3U8662","","3U8808","B1661","昆明-成都","","CTU","D","A320","","","","","23:00","","","","33-计划","","2017/7/1","0:04","REG","REG","PAX","","","00","0:35"
"MU5646","","MU5646","B6880","昆明-杭州","","HGH","D","A320","","","","","23:00","","","","33-计划","","2017/7/1","1:26","REG","REG","PAX","","","00","1:55"
"8L9555","","8L9558","B1798","昆明-海口","","HAK","D","B738","","","","","23:10","","","","33-计划","","2017/7/1","0:39","REG","REG","PAX","","","00","1:10"
"MU2246","","MU2245","B6693","昆明-西宁","","XNN","D","A320","","","","","23:15","","","","33-计划","","2017/7/1","1:22","REG","REG","PAX","","","00","1:55"
"MU5733","","MU5738","B1908","昆明-广州","","CAN","D","B738","","","","","23:15","","","","33-计划","","2017/7/1","0:56","REG","REG","PAX","","","00","1:25"
"3U8527","","3U8768","B1822","昆明-西安","","XIY","D","A320","","","","","23:20","","","","33-计划","","2017/7/1","1:02","REG","REG","PAX","","","00","1:30"
"MU2498","","MU2493","B7393","昆明-武汉","","WUH","D","B738","","","","","23:20","","","","33-计划","","2017/7/1","1:09","REG","REG","PAX","","","00","1:35"
"EU2224","","EU2226","B6229","昆明-成都","","CTU","D","A319","","","","","23:25","","","","33-计划","","2017/7/1","0:28","REG","REG","PAX","","","00","1:10"
"MU5706","","MU758","B5255","昆明-版纳","","JHG","D","B737","","","","","23:25","","","","33-计划","","2017/7/1","0:11","REG","REG","PAX","","","00","0:30"
"MU555","","MU555","B6870","昆明-加尔","","CCU","I","A320","","","J01-J03","","23:35","","","","33-计划","","2017/7/1","2:10","REG","REG","PAX","","","00","2:10"
"8L9906","","8L9644","B5248","昆明-版纳","","JHG","D","B737","","","","","23:45","","","","33-计划","","2017/7/1","0:32","REG","REG","PAX","","","00","0:45"
"8L9945","","8L9946","B6212","昆明-成都","","CTU","D","A319","523R","","","","23:55","","","","33-计划","","2017/7/1","0:58","REG","REG","PAX","","","00","1:30"
"CF9017","","CF9018","B2827","昆明-南京","","NKG","D","B757","","","","","0:05","","","","33-计划","","2017/7/2","2:24","REG","REG","CGO","","","00","2:50"
"MU5078","","MU5078","B1610","昆明-合肥","","HFE","D","A320","","","","","0:55","","","","33-计划","","2017/7/2","3:03","REG","REG","PAX","","","00","3:40"
"SC8885","","SC8885","B1745","昆明-曼谷","","BKK","I","B738","","","","","1:00","","","","33-计划","","2017/7/2","2:59","REG","REG","PAX","","","00","3:05"
"MU2591","","MU5455","B6758","昆明-普吉","","HKT","I","A320","","","J04-J06","","1:20","","","","33-计划","","2017/7/2","4:01","REG","REG","PAX","","","00","4:30"
"VN737","","VN736","","昆明-芽庄","","CXR","I","A321","","","J07-J09","","2:05","","","","33-计划","","2017/7/2","4:19","REG","REG","PAX","","","00","6:40"
