FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
MU5854,成都-昆明,B5756,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 22:30,CTU,,,,,6,2017/6/29 20:50
MU5856,成都-昆明,B5815,,MU5897,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 15:40,CTU,,,,,9,2017/6/29 14:05
MU5862,重庆-昆明,B7589,,MU5723,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 12:30,CKG,,,,,6,2017/6/29 10:55
MU5870,青岛-宜宾-昆明,B2503,,,YBP,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 19:20,TAO,,,,,7,2017/6/29 18:15
MU5882,上海-铜仁-昆明,B5270,,MU5732,TEN,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 13:10,SHA,,,,,5,2017/6/29 11:35
MU5884,湛江-昆明,B6141,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 22:30,ZHA,,,,,8,2017/6/29 20:30
MU5886,湛江-昆明,B5816,,MU9731,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 13:05,ZHA,,,,,8,2017/6/29 11:05
MU5892,普洱-昆明,B5293,,MU5740,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 10:35,SYM,,,,,9,2017/6/29 9:30
MU5894,普洱-昆明,B5282,,MU2561,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 13:05,SYM,,,,,9,2017/6/29 12:00
MU5898,普洱-昆明,B5245,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 21:25,SYM,,,,,9,2017/6/29 20:20
MU5902,版纳-昆明,B5265,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,CES,2017/6/30 0:35,JHG,,,,,7,2017/6/29 23:30
MU5912,版纳-昆明,B5270,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,CES,2017/6/30 0:55,JHG,,,,,,2017/6/29 23:55
MU5913,版纳-昆明,B5807,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,CES,2017/6/30 0:50,JHG,,,,,6,2017/6/29 23:45
MU5914,版纳-昆明,B5282,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 22:20,JHG,,,,,8,2017/6/29 21:20
MU5916,版纳-昆明,B5243,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,CES,2017/6/30 0:35,JHG,,,,,,2017/6/29 23:30
MU5922,丽江-昆明,B5820,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,CES,2017/6/30 0:50,LJG,,,,,,2017/6/29 23:50
MU5928,文山-昆明,B5259,,MU757,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 13:00,WNH,,,,,7,2017/6/29 11:55
MU5930,文山-昆明,B2502,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 22:55,WNH,,,,,5,2017/6/29 21:50
MU5932,迪庆-昆明,B5815,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 23:40,DIG,,,,,7,2017/6/29 22:35
MU5936,迪庆-昆明,B6141,,MU5883,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 15:20,DIG,,,,,6,2017/6/29 14:15
MU5940,拉萨-迪庆-昆明,B5819,,,DIG,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 17:25,LXA,,,,,6,2017/6/29 16:20
MU5942,大理-昆明,B5802,,MU5967,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 12:25,DLU,,,,,9,2017/6/29 11:30
MU5944,大理-昆明,B5054,Y,MU5803,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 18:40,DLU,,,,,5,2017/6/29 17:50
MU5952,腾冲-昆明,B5243,,MU5915,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 20:00,TCZ,,,,,5,2017/6/29 18:55
MU5958,临沧-昆明,B2640,,MU9738,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 12:25,LNJ,,,,,7,2017/6/29 11:30
MU5960,临沧-昆明,B2502,,MU5929,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 18:45,LNJ,,,,,6,2017/6/29 17:55
MU5962,临沧-昆明,B5225,,MU5981,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 10:40,LNJ,,,,,7,2017/6/29 9:45
MU5966,沧源-昆明,B5255,,MU2571,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 14:05,CWJ,,,,,,2017/6/29 13:05
MU5968,临沧-昆明,B5802,,MU9741,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 16:40,LNJ,,,,,5,2017/6/29 15:45
MU5970,昭通-昆明,B5270,,MU5911,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 21:20,ZAT,,,,,6,2017/6/29 20:30
MU5972,芒市-昆明,B2640,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,CES,2017/6/30 0:15,LUM,,,,,,2017/6/29 23:15
MU5974,芒市-昆明,B5821,,MU5881,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 13:20,LUM,,,,,7,2017/6/29 12:15
MU5976,芒市-昆明,B5245,,MU5714,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 17:00,LUM,,,,,5,2017/6/29 15:45
MU5982,保山-昆明,B5225,,MU5760,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 15:35,BSD,,,,,5,2017/6/29 14:35
MU5986,保山-昆明,B5817,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 23:00,BSD,,,,,6,2017/6/29 22:00
MU5988,保山-昆明,B5271,,MU5721,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 11:05,BSD,,,,,6,2017/6/29 10:00
MU5990,重庆-昭通-昆明,B5820,,MU5920,ZAT,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 18:20,CKG,,,,,5,2017/6/29 17:30
MU714,马累-科伦坡-昆明,B1788,,MU5743,CMB,B738,,I,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 8:00,MLE,,,,,2,2017/6/29 3:15
MU734,香港-昆明,B5796,,MU9737,,B738,,R,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 19:45,HKG,,,,,2,2017/6/29 17:05
MU742,曼谷-昆明,B5647,,,,B738,,I,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 19:20,BKK,,,,,2,2017/6/29 16:45
MU748,大阪-上海-昆明,B1702,,,PVG,B738,,M,33-计划,REG,REG,,PAX,2017/6/30,,,0,CES,2017/6/30 0:25,KIX,,,,,9,2017/6/29 21:05
MU755,上海-昆明,B5921,,MU755,,A33E,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 13:50,PVG,,,,,5,2017/6/29 10:25
MU758,加德-昆明,B5259,,,,B737,,I,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 22:10,KTM,,,,,1,2017/6/29 18:50
MU784,万象-南宁-昆明,B1792,,MU5715,NNG,B738,,M,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 17:20,VTE,,,,,5,2017/6/29 16:00
MU9716,武汉-昆明,B7170,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 21:05,WUH,,,,,8,2017/6/29 18:45
