FLT,VIP,LKF,RFC,VI1,TOF,REG,ITY,TAR,GAT,POP,FSA,OPE,STD,ABT,RCP,NAT,FLX,MFF,SST,DES,CID,MP1,ETD,ATD,EAN,CLA
DR6579,,DR6504,昆明-芒市,,D,B5829,B737,,,REG,33-计划,REG,2017/6/25 20:40,,,PAX,,,00,LUM,D01-E10,B,,,2017/6/25 21:30,正班
MU5472,,MU5471,昆明-重庆-济南,CKG,D,B9900,A320,,,REG,33-计划,REG,2017/6/25 20:50,,,PAX,,,00,TNA,E11-H20,E,,,2017/6/25 22:05,正班
MU5812,,MU5718,昆明-迪庆,,D,B5819,B737,,,REG,33-计划,REG,2017/6/25 20:50,,,PAX,,,00,DIG,E11-H20,E,,,2017/6/25 21:50,正班
MU5855,,MU784,昆明-成都,,D,B6147,B738,,,REG,33-计划,REG,2017/6/25 20:50,,,PAX,,,00,CTU,E11-H20,E,,,2017/6/25 21:56,正班
KN2382,,KN5211,昆明-石家庄,,D,B1753,B738,,,REG,33-计划,REG,2017/6/25 20:55,,,PAX,,,00,SJW,E11-H20,F,,,2017/6/25 23:32,正班
MU5744,,MU5744,昆明-丽江,,D,B5225,B737,,,REG,33-计划,REG,2017/6/25 20:55,,,PAX,,,00,LJG,E11-H20,F,,,2017/6/25 21:48,正班
SC4738,,SC4737,昆明-青岛,,D,B1746,B738,,,REG,33-计划,REG,2017/6/25 20:55,,,PAX,,,00,TAO,D01-E10,A,,,2017/6/25 23:57,正班
3U8619,,3U8818,昆明-版纳,,D,B6448,A319,,,REG,33-计划,REG,2017/6/25 21:00,,,PAX,,,00,JHG,C16-C20,B,,,2017/6/25 21:46,正班
CA4460,,CA4176,昆明-成都,,D,B1852,A320,,,REG,33-计划,REG,2017/6/25 21:00,,,PAX,,,01,CTU,D01-E10,A,,,2017/6/25 22:03,正班
MU5718,,MU2594,昆明-北京,,D,B1792,B738,,,REG,33-计划,REG,2017/6/25 21:00,,,PAX,,,00,PEK,E11-H20,E,,,2017/6/25 23:57,正班
CZ6598,,CZ6597,昆明-三亚,,D,B8640,A321,,,REG,33-计划,REG,2017/6/25 21:05,,,PAX,,,00,SYX,D01-E10,A,,,2017/6/25 22:43,正班
MU2755,,MU2755,昆明-版纳,,D,B6472,A319,,,REG,33-计划,REG,2017/6/25 21:05,,,PAX,,,00,JHG,E11-H20,E,,,2017/6/25 21:52,正班
CA1468,,CA1467,昆明-天津,,D,B6499,B738,,,REG,33-计划,REG,2017/6/25 21:10,,,PAX,,,01,TSN,D01-E10,A,,,2017/6/26 0:04,正班
CZ3864,,CZ3863,昆明-南宁-汕头,NNG,D,B5640,B738,,,REG,33-计划,REG,2017/6/25 21:10,,,PAX,,,00,SWA,D01-E10,B,,,2017/6/25 22:07,正班
MU2746,,MU2745,昆明-长沙-南京,HHA,D,B6872,A320,,,REG,33-计划,REG,2017/6/25 21:10,,,PAX,,,00,NKG,E11-H20,E,,,2017/6/25 22:46,正班
MU9737,,MU5724,昆明-天津,,D,B5647,B738,,,REG,33-计划,REG,2017/6/25 21:10,,,PAX,,,00,TSN,E11-H20,E,,,2017/6/26 0:07,正班
MU5656,,MU5712,昆明-杭州,,D,B2229,A320,,,REG,33-计划,REG,2017/6/25 21:15,,,PAX,,,00,HGH,E11-H20,F,,,2017/6/25 23:40,正班
CZ3452,,CZ3452,昆明-深圳,,D,B2369,A320,,,REG,33-计划,REG,2017/6/25 21:20,,,PAX,,,00,SZX,D01-E10,A,,,2017/6/25 23:01,正班
MU5146,,MU5229,昆明-太原,,D,B1775,B738,,,REG,33-计划,REG,2017/6/25 21:20,,,PAX,,,00,TYN,E11-H20,F,,,2017/6/25 23:38,正班
KY8219,,KY8342,昆明-深圳,,D,B5673,B738,,,REG,33-计划,REG,2017/6/25 21:25,,,PAX,,,00,SZX,D01-E10,A,,,2017/6/25 23:10,正班
8L9987,,8L9596,昆明-北京,,D,B8446,A320,,,REG,33-计划,REG,2017/6/25 21:30,,,PAX,,,01,PEK,A01-C10,B,,,2017/6/26 0:27,正班
CZ3468,,CZ3467,昆明-长沙,,D,B6293,A320,,,REG,33-计划,REG,2017/6/25 21:30,,,PAX,,,00,HHA,D01-E10,C,,,2017/6/25 23:03,正班
MU2362,,MU2361,昆明-西安,,D,B1838,A325,,,REG,33-计划,REG,2017/6/25 21:30,,,PAX,,,00,XIY,E11-H20,F,,,2017/6/25 23:21,正班
MU5712,,MU9737,昆明-芒市,,D,B5295,B737,,,REG,33-计划,REG,2017/6/25 21:35,,,PAX,,,00,LUM,E11-H20,F,,,2017/6/25 22:26,正班
MU5724,,MU5952,昆明-版纳,,D,B5802,B737,,,REG,33-计划,REG,2017/6/25 21:35,,,PAX,,,00,JHG,E11-H20,E,,,2017/6/25 22:22,正班
MU5915,,MU5763,昆明-版纳,,D,B5270,B737,,,REG,33-计划,REG,2017/6/25 21:35,,,PAX,,,00,JHG,E11-H20,F,,,2017/6/25 22:23,正班
CZ3748,,CZ3747,昆明-珠海,,D,B5676,B738,,,REG,33-计划,REG,2017/6/25 21:40,,,PAX,,,00,ZUH,D01-E10,B,,,2017/6/25 23:18,正班
3U8724,,3U8222,昆明-北京,,D,B8656,A320,,,REG,33-计划,REG,2017/6/25 21:50,,,PAX,,,00,PEK,C16-C20,A,,,2017/6/26 0:40,正班
CZ6978,,CZ6977,昆明-武汉,,D,B2917,B737,,,REG,33-计划,REG,2017/6/25 21:50,,,PAX,,,00,WUH,D01-E10,A,,,2017/6/25 23:34,正班
KY8247,,KY8244,昆明-芒市,,D,B2678,B737,,,REG,33-计划,REG,2017/6/25 21:55,,,PAX,,,00,LUM,D01-E10,B,,,2017/6/25 22:47,正班
MU5734,,MU5734,昆明-版纳,,D,B5820,B737,,,REG,33-计划,REG,2017/6/25 21:55,,,PAX,,,00,JHG,E11-H20,E,,,2017/6/25 22:41,正班
8L9993,,8L9960,昆明-西安,,D,B5449,B738,,,REG,33-计划,REG,2017/6/25 22:00,,,PAX,,,00,XIY,A01-C10,C,,,2017/6/25 23:48,正班
MU5763,,MU5850,昆明-深圳,,D,B6249,B738,,,REG,33-计划,REG,2017/6/25 22:00,,,PAX,,,00,SZX,E11-H20,E,,,2017/6/25 23:43,正班
MU2568,,MU2568,昆明-广州,,D,B5795,B738,,,REG,33-计划,REG,2017/6/25 22:00,,,PAX,,,00,CAN,E11-H20,F,,,2017/6/25 23:41,正班
8L9955,,8L9624,昆明-郑州,,D,B6015,B738,,,REG,33-计划,REG,2017/6/25 22:05,,,PAX,,,01,CGO,A01-C10,A,,,2017/6/26 0:17,正班
MU5450,,MU5463,昆明-重庆,,D,B8973,A320,,,REG,33-计划,REG,2017/6/25 22:05,,,PAX,,,00,CKG,E11-H20,E,,,2017/6/25 23:18,正班
MU5920,,MU5944,昆明-丽江,,D,B5242,B737,,,REG,33-计划,REG,2017/6/25 22:05,,,PAX,,,00,LJG,E11-H20,F,,,2017/6/25 22:59,正班
CZ3490,,CZ3489,昆明-广州,,D,B6683,A321,,,REG,33-计划,REG,2017/6/25 22:10,,,PAX,,,00,CAN,D01-E10,B,,,2017/6/25 23:49,正班
CZ6602,,CZ6601,昆明-郑州,,D,B5233,B737,,,REG,33-计划,REG,2017/6/25 22:10,,,PAX,,,00,CGO,D01-E10,A,,,2017/6/26 0:18,正班
MU5911,,MU5990,昆明-版纳,,D,B5255,B737,,,REG,33-计划,REG,2017/6/25 22:10,,,PAX,,,00,JHG,E11-H20,E,,,2017/6/25 22:57,正班
CZ6924,,CZ6923,昆明-深圳,,D,B1880,A321,,,REG,33-计划,REG,2017/6/25 22:20,,,PAX,,,00,SZX,D01-E10,C,,,2017/6/26 0:02,正班
