FLT,VIP,LKF,RFC,VI1,TOF,REG,ITY,TAR,GAT,POP,FSA,OPE,STD,ABT,RCP,NAT,FLX,MFF,SST,DES,CID,MP1,ETD,ATD,EAN,CLA
3U8513,,3U8667,昆明-重庆-兰州,CKG,D,B8325,A320,143,63,REG,33-计划,REG,2017/6/25 7:15,,,PAX,,,00,ZGC,C16-C20,B,,,2017/6/25 8:22,正班
8L9893,,8L9872,昆明-珠海,,D,B6959,A320,714,,REG,33-计划,REG,2017/6/25 7:15,,,PAX,,,00,ZUH,A01-C10,C,,,2017/6/25 8:58,正班
8L9965,,8L9504,昆明-三亚,,D,B5971,A333,322,,REG,33-计划,REG,2017/6/25 7:15,,,PAX,,,00,SYX,A01-C10,LL7,,,2017/6/25 8:56,正班
DR6577,,DR6578,昆明-榆林-沈阳,UYN,D,B5812,B737,525L,,REG,33-计划,REG,2017/6/25 7:15,,,PAX,,,00,SHE,D01-E10,B,,,2017/6/25 9:33,正班
3U8865,,3U8260,昆明-宁波,,D,B6772,A320,522R,,REG,33-计划,REG,2017/6/25 7:20,,,PAX,,,00,NGB,C16-C20,A,,,2017/6/25 9:48,正班
CA4171,,CA4459,昆明-北京,,D,B6847,A320,147,55,REG,33-计划,REG,2017/6/25 7:20,,,PAX,,,01,PEK,D01-E10,B,,,2017/6/25 10:17,正班
CA4175,,CA4174,昆明-沈阳,,D,B1852,A320,153,27,REG,33-计划,REG,2017/6/25 7:20,,,PAX,,,00,SHE,D01-E10,C,,,2017/6/25 10:57,正班
DR6533,,DR6534,昆明-武汉,,D,B7867,B738,720,,REG,33-计划,REG,2017/6/25 7:20,,,PAX,,,00,WUH,D01-E10,C,,,2017/6/25 9:09,正班
DR6569,,DR1597,昆明-北海,,D,B1597,B738,524L,,REG,33-计划,REG,2017/6/25 7:20,,,PAX,,,00,BHY,D01-E10,A,,,2017/6/25 8:37,正班
KY8315,,KY8232,昆明-腾冲,,D,B7870,B737,523R,,REG,33-计划,REG,2017/6/25 7:20,,,PAX,,,00,TCZ,D01-E10,C,,,2017/6/25 8:14,正班
8L9959,,8L9974,昆明-安庆-宁波,AQG,D,B5449,B738,164,12,REG,33-计划,REG,2017/6/25 7:25,,,PAX,,,01,NGB,A01-C10,B,,,2017/6/25 9:41,正班
A67113,,A67114,昆明-临沂-长春,LYI,D,B8432,A320,536,,REG,33-计划,REG,2017/6/25 7:25,,,PAX,,,00,CGQ,D01-E10,A,,,2017/6/25 10:02,正班
SC8886,,SC8886,昆明-乌鲁,,D,B1745,B738,,,REG,33-计划,REG,2017/6/25 7:25,,,PAX,,,00,URC,D01-E10,C,,,2017/6/25 11:26,正班
3U8669,,3U8554,昆明-成都-石家庄,CTU,D,B6719,A320,152,46,REG,33-计划,REG,2017/6/25 7:30,,,PAX,,,00,SJW,C16-C20,B,,,2017/6/25 8:30,正班
3U8817,,3U8968,昆明-丽江-拉萨,LJG,D,B6448,A319,110,,REG,33-计划,REG,2017/6/25 7:30,,,PAX,,,00,LXA,C16-C20,B,,,2017/6/25 8:19,正班
CZ3420,,CZ3419,昆明-广州,,D,B6019,A319,141,60,REG,33-计划,REG,2017/6/25 7:35,,,PAX,,,00,CAN,D01-E10,C,,,2017/6/25 9:13,正班
DR6529,,DR6522,昆明-太原-呼和,TYN,D,B1595,B738,157,01,REG,33-计划,REG,2017/6/25 7:35,,,PAX,,,00,HET,D01-E10,A,,,2017/6/25 10:00,正班
MU2766,,MU5810,昆明-南京-长春,NKG,D,B6803,A320,127,45,REG,33-计划,REG,2017/6/25 7:35,,,PAX,,,00,CGQ,E11-H20,E,,,2017/6/25 9:57,正班
KY8283,,KY8362,昆明-上海,,D,B1507,B738,104,,REG,33-计划,REG,2017/6/25 7:40,,,PAX,,,00,PVG,D01-E10,B,,,2017/6/25 10:25,正班
MU5943,,MU5898,昆明-大理,,D,B5242,B737,123,37,REG,33-计划,REG,2017/6/25 7:40,,,PAX,,,00,DLU,E11-H20,E,,,2017/6/25 8:24,正班
MU5945,,MU5932,昆明-澜沧,,D,B5817,B737,117,28,REG,33-计划,REG,2017/6/25 7:40,,,PAX,,,00,JMJ,E11-H20,F,,,2017/6/25 8:32,正班
MU2996,,MU2785,昆明-重庆-无锡,CKG,D,B2221,A320,121,33,REG,33-计划,REG,2017/6/25 7:45,,,PAX,,,00,WUX,E11-H20,F,,,2017/6/25 8:59,正班
3U8847,,3U8824,昆明-郑州-哈尔滨,CGO,D,B6325,A320,532,,REG,33-计划,REG,2017/6/25 7:50,,,PAX,,,00,HRB,C16-C20,A,,,2017/6/25 10:00,正班
MU5987,,MU5786,昆明-保山,,D,B5267,B737,702,,REG,33-计划,REG,2017/6/25 7:50,,,PAX,,,00,BSD,E11-H20,E,,,2017/6/25 8:38,正班
MU747,,MU748,昆明-上海-大阪,PVG,M,B1702,B738,317,,REG,33-计划,REG,2017/6/25 7:50,,,PAX,,,00,KIX,J01-J01,G,,,2017/6/25 10:35,正班
CZ3541,,CZ3542,昆明-武汉-杭州,WUH,D,B1921,B738,151,47,REG,33-计划,REG,2017/6/25 7:55,,,PAX,,,00,HGH,D01-E10,A,,,2017/6/25 9:40,正班
MU5891,,MU5722,昆明-普洱,,D,B5802,B737,126,43,REG,33-计划,REG,2017/6/25 7:55,,,PAX,,,00,SYM,E11-H20,F,,,2017/6/25 8:39,正班
MU5931,,MU2600,昆明-迪庆,,D,B5820,B737,101,,REG,33-计划,REG,2017/6/25 7:55,,,PAX,,,00,DIG,E11-H20,E,,,2017/6/25 8:57,正班
KY8229,,KY8248,昆明-腾冲,,D,B2678,B737,519R,,REG,33-计划,REG,2017/6/25 8:00,,,PAX,,,00,TCZ,D01-E10,B,,,2017/6/25 8:55,正班
KY8251,,KY8316,昆明-保山,,D,B7871,B737,523L,,REG,33-计划,REG,2017/6/25 8:00,,,PAX,,,00,BSD,D01-E10,C,,,2017/6/25 8:50,正班
KY8313,,KY8250,昆明-腾冲,,D,B2679,B737,155,17,REG,33-计划,REG,2017/6/25 8:00,,,PAX,,,00,TCZ,D01-E10,B,,,2017/6/25 8:53,正班
MU5731,,MU5746,昆明-广州,,D,B6757,A320,118,29,REG,33-计划,REG,2017/6/25 8:00,,,PAX,,,00,CAN,E11-H20,E,,,2017/6/25 9:43,正班
MU5801,,MU5720,昆明-上海,,D,B1791,B738,125,41,REG,33-计划,REG,2017/6/25 8:00,,,PAX,,,01,SHA,E11-H20,E,,,2017/6/25 10:40,正班
MU5841,,MU778,昆明-成都,,D,B5926,A33E,106,,REG,33-计划,REG,2017/6/25 8:00,,,PAX,,,01,CTU,E11-H20,LL1,,,2017/6/25 9:05,正班
3U8929,,3U8528,昆明-长沙-沈阳,HHA,D,B8500,A320,327,27,REG,33-计划,REG,2017/6/25 8:05,,,PAX,,,00,SHE,C16-C20,A,,,2017/6/25 9:39,正班
MF8430,,MF8429,昆明-厦门,,D,B5383,B738,150,49,REG,33-计划,REG,2017/6/25 8:05,,,PAX,,,05,XMN,D01-E10,A,,,2017/6/25 10:20,正班
MU2589,,MU5772,昆明-万象,,I,B1703,B738,111,68,REG,33-计划,REG,2017/6/25 8:05,,,PAX,,,00,VTE,J02-J02,G,,,2017/6/25 9:26,正班
MU5861,,MU5854,昆明-重庆,,D,B7600,B738,128,44,REG,33-计划,REG,2017/6/25 8:05,,,PAX,,,00,CKG,E11-H20,E,,,2017/6/25 9:22,正班
CZ8510,,CZ8509,昆明-青岛-长春,TAO,D,B6583,A320,135,48,REG,33-计划,REG,2017/6/25 8:10,,,PAX,,,00,CGQ,D01-E10,B,,,2017/6/25 11:12,正班
GJ8871,,GJ8872,昆明-临沂-长春,LYI,D,B1676,A320,145,59,REG,33-计划,REG,2017/6/25 8:10,,,PAX,,,00,CGQ,D01-E10,C,,,2017/6/25 10:52,正班
KY8253,,KY8334,昆明-西安,,D,B7873,B738,717,,REG,33-计划,REG,2017/6/25 8:10,,,PAX,,,00,XIY,D01-E10,A,,,2017/6/25 10:01,正班
MU5961,,MU5763,昆明-临沧,,D,B5282,B737,501,,REG,33-计划,REG,2017/6/25 8:10,,,PAX,,,00,LNJ,,E,,,2017/6/25 8:52,正班
KY8235,,KY8266,昆明-杭州,,D,B2669,B737,718,,REG,33-计划,REG,2017/6/25 8:15,,,PAX,,,00,HGH,D01-E10,B,,,2017/6/25 10:43,正班
KY8321,Y,KY8234,昆明-成都,,D,B5672,B738,136,50,REG,33-计划,REG,2017/6/25 8:15,,,PAX,,,00,CTU,D01-E10,B,,,2017/6/25 9:19,正班
MU5873,,MU5870,昆明-宜宾-厦门,YBP,D,B2640,B737,503,,REG,33-计划,REG,2017/6/25 8:15,,,PAX,,,00,XMN,E11-H20,E,,,2017/6/25 9:08,正班
MU5821,,MU734,昆明-东胜-哈尔滨,DSN,D,B5756,B738,505,,REG,33-计划,REG,2017/6/25 8:20,,,PAX,,,00,HRB,E11-H20,E,,,2017/6/25 10:48,正班
MU5829,,MU5824,昆明-郑州,,D,B5683,B738,515,,REG,33-计划,REG,2017/6/25 8:20,,,PAX,,,00,CGO,E11-H20,F,,,2017/6/25 10:37,正班
MU5901,,MU5912,昆明-版纳,,D,B5231,B737,130,40,REG,33-计划,REG,2017/6/25 8:20,,,PAX,,,00,JHG,E11-H20,F,,,2017/6/25 9:08,正班
KY8257,,KY8282,昆明-郑州,,D,B6495,B738,144,61,REG,33-计划,REG,2017/6/25 8:25,,,PAX,,,00,CGO,D01-E10,A,,,2017/6/25 10:42,正班
8L9887,,8L9911,昆明-宜春-上海,YIC,D,B6198,A319,315,14,REG,33-计划,REG,2017/6/25 8:30,,,PAX,,,00,SHA,A01-C10,B,,,2017/6/25 10:22,正班
MU2726,,MU2765,昆明-南京,,D,B1636,A320,114,16,REG,33-计划,REG,2017/6/25 8:30,,,PAX,,,00,NKG,E11-H20,E,,,2017/6/25 10:47,正班
MU5713,,MU5840,昆明-北京,,D,B7589,B738,512,,REG,33-计划,REG,2017/6/25 8:30,,,PAX,,,00,PEK,E11-H20,E,,,2017/6/25 11:31,正班
MU783,,MU5750,昆明-南宁-万象,NNG,M,B6147,B738,115,18,REG,33-计划,REG,2017/6/25 8:30,,,PAX,,,00,VTE,J03-J03,G,,,2017/6/25 9:37,正班
MU9755,,MU5944,昆明-保山,,D,B5265,B737,318,,REG,33-计划,REG,2017/6/25 8:30,,,PAX,,,00,BSD,E11-H20,E,,,2017/6/25 9:19,正班
CA4418,,CA4417,昆明-成都,,D,B8491,A320,138,54,REG,33-计划,REG,2017/6/25 8:40,,,PAX,,,00,CTU,D01-E10,A,,,2017/6/25 9:41,正班
DR6509,,DR6538,昆明-版纳,,D,B5811,B737,323,,REG,33-计划,REG,2017/6/25 8:40,,,PAX,,,00,JHG,D01-E10,B,,,2017/6/25 9:27,正班
MU5775,,MU5850,昆明-广州,,D,B7592,B738,102,,REG,33-计划,REG,2017/6/25 8:40,,,PAX,,,00,CAN,E11-H20,E,,,2017/6/25 10:22,正班
MU5885,,MU5913,昆明-湛江,,D,B5822,B737,133,34,REG,33-计划,REG,2017/6/25 8:40,,,PAX,,,00,ZHA,E11-H20,E,,,2017/6/25 10:16,正班
3U8553,,3U8222,昆明-重庆-乌鲁,CKG,D,B8499,A320,526R,,REG,33-计划,REG,2017/6/25 8:45,,,PAX,,,00,URC,C16-C20,B,,,2017/6/25 9:53,正班
8L9861,,8L9980,昆明-合肥,,D,B2677,B738,168,09,REG,33-计划,REG,2017/6/25 8:45,,,PAX,,,00,HFE,A01-C10,A,,,2017/6/25 10:53,正班
MU5799,,MU5972,昆明-洛阳-大连,LYA,D,B5054,B737,116,26,REG,33-计划,REG,2017/6/25 8:45,,,PAX,,,00,DLC,E11-H20,F,,,2017/6/25 10:54,正班
ZH9416,,ZH9415,昆明-深圳,,D,B5363,B738,142,62,REG,33-计划,REG,2017/6/25 8:45,,,PAX,,,00,SZX,D01-E10,B,,,2017/6/25 10:27,正班
8L9910,,8L9804,昆明-版纳,,D,B5272,B737,161,07,REG,33-计划,REG,2017/6/25 8:50,,,PAX,,,01,JHG,A01-C10,B,,,2017/6/25 9:36,正班
MU5903,,MU5882,昆明-版纳,,D,B5271,B737,510,,REG,33-计划,REG,2017/6/25 8:50,,,PAX,,,00,JHG,E11-H20,E,,,2017/6/25 9:37,正班
MU5939,,MU5846,昆明-迪庆-拉萨,DIG,D,B6141,B737,120,31,REG,33-计划,REG,2017/6/25 8:50,,,PAX,,,00,LXA,E11-H20,F,,,2017/6/25 9:51,正班
MU5985,,MU5914,昆明-保山,,D,B5225,B737,703,,REG,33-计划,REG,2017/6/25 8:55,,,PAX,,,00,BSD,E11-H20,F,,,2017/6/25 9:46,正班
PN6393,,PN6393,昆明-版纳,,D,B8846,A320,,,REG,33-计划,REG,2017/6/25 8:55,,,PAX,,,00,JHG,D01-E10,C,,,2017/6/25 9:44,正班
8L9595,,8L9690,昆明-吉隆坡,,I,B8446,A320,314,,REG,33-计划,REG,2017/6/25 9:00,,,PAX,,,00,KUL,K01-K04,H,,,2017/6/25 12:45,正班
KY8255,,KY8210,昆明-临沧,,D,B7872,B737,524R,,REG,33-计划,REG,2017/6/25 9:00,,,PAX,,,00,LNJ,D01-E10,C,,,2017/6/25 9:43,正班
MU5845,,MU5922,昆明-成都,,D,B5816,B737,132,36,REG,33-计划,REG,2017/6/25 9:00,,,PAX,,,00,CTU,E11-H20,F,,,2017/6/25 10:04,正班
FM9763,,,昆明-昆明,,D,B5460,B738,719,,REG,33-计划,REG,2017/6/25 9:00,,,SPE,,,00,KMG,,,,,2017/6/25 9:26,试飞
KY8205,,KY8206,昆明-济南-哈尔滨,TNA,D,B5025,B737,710,,REG,33-计划,REG,2017/6/25 9:05,,,PAX,,,00,HRB,D01-E10,C,,,2017/6/25 11:43,正班
ZH9452,,ZH9451,昆明-广州,,D,B5772,B738,139,56,REG,33-计划,REG,2017/6/25 9:05,,,PAX,,,00,CAN,D01-E10,C,,,2017/6/25 10:47,正班
ZH9790,,ZH9714,昆明-泉州,,D,B6377,A320,148,53,REG,33-计划,REG,2017/6/25 9:05,,,PAX,,,00,JJN,D01-E10,A,,,2017/6/25 11:26,正班
DR6507,,DR6512,昆明-芒市,,D,B5830,B737,321,,REG,33-计划,REG,2017/6/25 9:10,,,PAX,,,00,LUM,D01-E10,C,,,2017/6/25 10:01,正班
MU215,,MU5477,昆明-南京-温哥华,NKG,M,B8226,A33H,105,,REG,33-计划,REG,2017/6/25 9:10,,,PAX,,,00,YVR,J04-J05,G,,,2017/6/25 11:28,正班
CZ3998,Y,CZ3997,昆明-北京,,D,B6111,A333,163,10,REG,33-计划,REG,2017/6/25 9:15,,,PAX,,,00,PEK,D01-E10,LL8,,,2017/6/25 12:10,正班
KY8341,,KY8342,昆明-厦门-南宁,XMN,D,B5673,B738,137,52,REG,33-计划,REG,2017/6/25 9:15,,,PAX,,,00,NNG,D01-E10,A,,,2017/6/25 11:33,正班
EU2721,,EU2223,昆明-柳州-厦门,LZH,D,B6229,A319,,,REG,33-计划,REG,2017/6/25 9:20,,,PAX,,,00,XMN,D01-E10,B,,,2017/6/25 10:30,正班
MU5761,,MU5744,昆明-深圳,,D,B6249,B738,504,,REG,33-计划,REG,2017/6/25 9:20,,,PAX,,,00,SZX,E11-H20,E,,,2017/6/25 11:06,正班
MU756,,MU774,昆明-上海,,D,B5921,A33E,,,REG,33-计划,REG,2017/6/25 9:20,,,PAX,,,00,PVG,E11-H20,LL2,,,2017/6/25 11:55,正班
3U8129,,3U8620,昆明-版纳,,D,B6449,A319,154,25,REG,33-计划,REG,2017/6/25 9:25,,,PAX,,,00,JHG,C16-C20,C,,,2017/6/25 10:10,正班
8L9841,,8L9915,昆明-普洱,,D,B5292,B737,722a,,REG,33-计划,REG,2017/6/25 9:25,,,PAX,,,00,SYM,A01-C10,C,,,2017/6/25 10:07,正班
MU5941,,MU2586,昆明-大理,,D,B5270,B737,707,,REG,33-计划,REG,2017/6/25 9:25,,,PAX,,,00,DLU,E11-H20,F,,,2017/6/25 10:08,正班
MU5971,,MU5930,昆明-芒市,,D,B2502,B737,516,,REG,33-计划,REG,2017/6/25 9:25,,,PAX,,,00,LUM,E11-H20,F,,,2017/6/25 10:19,正班
MU5456,,MU2592,昆明-宁波,,D,B1860,A320,,,REG,33-计划,REG,2017/6/25 9:30,,,PAX,,,00,NGB,E11-H20,E,,,2017/6/25 12:04,正班
MU5464,,MU5449,昆明-合肥-上海,HFE,D,B8973,A320,,,REG,33-计划,REG,2017/6/25 9:35,,,PAX,,,00,PVG,E11-H20,F,,,2017/6/25 11:43,正班
MU5817,,MU2032,昆明-兴义-上海,ACX,D,B1908,B738,506,,REG,33-计划,REG,2017/6/25 9:35,,,PAX,,,01,SHA,E11-H20,E,,,2017/6/25 10:17,正班
MU5957,,MU5733,昆明-临沧,,D,B5243,B737,513,,REG,33-计划,REG,2017/6/25 9:35,,,PAX,,,00,LNJ,E11-H20,F,,,2017/6/25 10:16,正班
A67105,,A67108,昆明-南昌,,D,B8285,A321,326,,REG,33-计划,REG,2017/6/25 9:40,,,PAX,,,00,KHN,D01-E10,A,,,2017/6/25 11:32,正班
KY8297,,KY8302,昆明-石家庄-长春,SJW,D,B5702,B738,146,57,REG,33-计划,REG,2017/6/25 9:40,,,PAX,,,00,CGQ,D01-E10,A,,,2017/6/25 12:23,正班
MU2263,,MU9716,昆明-西安-沈阳,XIY,D,B5701,B738,103,,REG,33-计划,REG,2017/6/25 9:45,,,PAX,,,00,SHE,E11-H20,E,,,2017/6/25 11:36,正班
MU5747,,MU2995,昆明-天津,,D,B8496,A320,122,35,REG,33-计划,REG,2017/6/25 9:45,,,PAX,,,00,TSN,E11-H20,E,,,2017/6/25 12:46,正班
8L9651,,8L9956,昆明-郑州,,D,B6809,B738,542,,REG,33-计划,REG,2017/6/25 9:50,,,PAX,,,00,CGO,A01-C10,A,,,2017/6/25 12:04,正班
8L9891,,8L9748,昆明-武汉-大连,WUH,D,B6800,B738,716,,REG,33-计划,REG,2017/6/25 9:50,,,PAX,,,00,DLC,A01-C10,B,,,2017/6/25 11:40,正班
KY8333,,KY8240,昆明-西安-大连,XIY,D,B7089,B738,522L,,REG,33-计划,REG,2017/6/25 10:00,,,PAX,,,00,DLC,D01-E10,C,,,2017/6/25 11:52,正班
MU2003,,MU2264,昆明-首尔,,I,B7170,B738,514,,REG,33-计划,REG,2017/6/25 10:00,,,PAX,,,00,ICN,J06-J09,G,,,2017/6/25 14:15,正班
MU5759,,MU5742,昆明-深圳,,D,B7590,B738,507,,REG,33-计划,REG,2017/6/25 10:00,,,PAX,,,00,SZX,E11-H20,E,,,2017/6/25 11:46,正班
MU5851,,MU5902,昆明-成都,,D,B5828,B737,131,38,REG,33-计划,REG,2017/6/25 10:00,,,PAX,,,00,CTU,E11-H20,F,,,2017/6/25 11:04,正班
ZH9713,,ZH9789,昆明-太原,,D,B6690,A320,539,,REG,33-计划,REG,2017/6/25 10:05,,,PAX,,,00,TYN,D01-E10,B,,,2017/6/25 12:30,正班
BK2715,,BK2797,昆明-南京,,D,B5181,B738,,,REG,33-计划,REG,2017/6/25 10:10,,,PAX,,,00,NKG,D01-E10,A,,,2017/6/25 12:29,正班
MU5893,,MU5916,昆明-普洱,,D,B6142,B737,119,30,REG,33-计划,REG,2017/6/25 10:10,,,PAX,,,00,SYM,E11-H20,F,,,2017/6/25 10:54,正班
KY8273,,KY8286,昆明-武汉,,D,B6492,B738,,,REG,33-计划,REG,2017/6/25 10:20,,,PAX,,,00,WUH,D01-E10,B,,,2017/6/25 12:13,正班
MU2360,,MU2359,昆明-西宁,,D,B2356,A320,,,REG,33-计划,REG,2017/6/25 10:20,,,PAX,,,00,XNN,E11-H20,E,,,2017/6/25 12:30,正班
MU5927,,MU758,昆明-文山,,D,B5259,B737,502,,REG,33-计划,REG,2017/6/25 10:20,,,PAX,,,00,WNH,E11-H20,F,,,2017/6/25 10:55,正班
8L9947,,8L9856,昆明-成都,,D,B1587,B738,,,REG,33-计划,REG,2017/6/25 10:25,,,PAX,,,00,CTU,A01-C10,C,,,2017/6/25 11:28,正班
MU5973,,MU5747,昆明-芒市,,D,B5256,B737,,,REG,33-计划,REG,2017/6/25 10:25,,,PAX,,,00,LUM,E11-H20,F,,,2017/6/25 11:19,正班
CZ3481,,CZ3481,昆明-大理,,D,B6203,A319,,,REG,33-计划,REG,2017/6/25 10:30,,,PAX,,,00,DLU,D01-E10,C,,,2017/6/25 11:12,正班
MU2567,,MU2567,昆明-曼德勒,,I,B5796,B738,,,REG,33-计划,REG,2017/6/25 10:30,,,PAX,,,00,MDL,J01-J02,G,,,2017/6/25 11:48,正班
HU7088,,HU7087,昆明-海口,,D,B1793,B737,,,REG,33-计划,REG,2017/6/25 10:35,,,PAX,,,01,HAK,D01-E10,C,,,2017/6/25 12:02,正班
MU2250,,MU2249,昆明-兰州,,D,B2209,A320,,,REG,33-计划,REG,2017/6/25 10:35,,,PAX,,,00,ZGC,E11-H20,F,,,2017/6/25 12:30,正班
MU2496,,MU2495,昆明-成都,,D,B5199,B737,,,REG,33-计划,REG,2017/6/25 10:40,,,PAX,,,00,CTU,E11-H20,F,,,2017/6/25 11:44,正班
MU2756,,MU2756,昆明-南京,,D,B6463,A319,,,REG,33-计划,REG,2017/6/25 10:40,,,PAX,,,00,NKG,E11-H20,F,,,2017/6/25 12:59,正班
SC8827,,SC8827,昆明-德里,,I,B5335,B738,,,REG,33-计划,REG,2017/6/25 10:40,,,PAX,,,00,DEL,K08-K09,H,,,,正班
8L9623,,8L9994,昆明-杭州,,D,B6015,B738,,,REG,33-计划,REG,2017/6/25 10:45,,,PAX,,,00,HGH,A01-C10,A,,,2017/6/25 13:12,正班
CA415,,CA415,昆明-仰光,,I,B6227,A319,,,REG,33-计划,REG,2017/6/25 10:45,,,PAX,,,00,RGN,J14-J16,H,,,,正班
MU5470,,MU5469,昆明-南昌,,D,B6013,A320,,,REG,33-计划,REG,2017/6/25 10:50,,,PAX,,,00,KHN,E11-H20,E,,,2017/6/25 12:48,正班
CZ3432,,CZ3431,昆明-海口,,D,B8548,A321,,,REG,33-计划,REG,2017/6/25 10:55,,,PAX,,,00,HAK,D01-E10,B,,,2017/6/25 12:22,正班
MU5843,,MU5740,昆明-成都,,D,B5515,B738,,,REG,33-计划,REG,2017/6/25 11:00,,,PAX,,,00,CTU,E11-H20,E,,,2017/6/25 12:05,正班
MU5963,,MU2572,昆明-临沧,,D,B5807,B737,715,,REG,33-计划,REG,2017/6/25 11:00,,,PAX,,,00,LNJ,E11-H20,F,,,2017/6/25 11:42,正班
ZH9412,,ZH9411,昆明-深圳,,D,B6749,A320,,,REG,33-计划,REG,2017/6/25 11:00,,,PAX,,,00,SZX,D01-E10,B,,,2017/6/25 12:45,正班
8L9921,,8L9850,昆明-沧源,,D,B5805,B737,,,REG,33-计划,REG,2017/6/25 11:05,,,PAX,,,00,CWJ,A01-C10,C,,,2017/6/25 11:50,正班
MU5739,,MU5800,昆明-广州,,D,B5295,B737,511,,REG,33-计划,REG,2017/6/25 11:05,,,PAX,,,00,CAN,E11-H20,F,,,2017/6/25 12:48,正班
KN5212,,KN2381,昆明-汉中-南苑,HZG,D,B1523,B738,,,REG,33-计划,REG,2017/6/25 11:10,,,PAX,,,00,NAY,E11-H20,F,,,2017/6/25 12:42,正班
MU5835,,MU5848,昆明-汕头,,D,B7599,B738,124,39,REG,33-计划,REG,2017/6/25 11:10,,,PAX,,,00,SWA,E11-H20,E,,,2017/6/25 13:14,正班
MU2182,,MU2181,昆明-西安,,D,B6672,A320,,,REG,33-计划,REG,2017/6/25 11:15,,,PAX,,,00,XIY,E11-H20,E,,,2017/6/25 13:06,正班
MU2494,,MU2497,昆明-武汉-温州,WUH,D,B7876,B738,,,REG,33-计划,REG,2017/6/25 11:20,,,PAX,,,00,WNZ,E11-H20,F,,,2017/6/25 13:08,正班
SC4770,,SC4769,昆明-厦门,,D,B6985,B738,,,REG,33-计划,REG,2017/6/25 11:20,,,PAX,,,00,XMN,D01-E10,A,,,2017/6/25 13:36,正班
HU7164,,HU7163,昆明-深圳,,D,B1795,B738,,,REG,33-计划,REG,2017/6/25 11:25,,,PAX,,,01,SZX,D01-E10,B,,,2017/6/25 13:06,正班
MU5989,,MU5711,昆明-昭通-重庆,ZAT,D,B5255,B737,,,REG,33-计划,REG,2017/6/25 11:25,,,PAX,,,00,CKG,E11-H20,F,,,2017/6/25 11:58,正班
MU5965,,MU5946,昆明-沧源,,D,B5817,B737,,,REG,33-计划,REG,2017/6/25 11:25,,,PAX,,,00,CWJ,E11-H20,F,,,2017/6/25 12:13,正班
MU2705,,MU2705,昆明-丽江,,D,B6462,A319,,,REG,33-计划,REG,2017/6/25 11:30,,,PAX,,,00,LJG,E11-H20,F,,,2017/6/25 12:24,正班
CZ3491,,CZ3491,昆明-版纳,,D,B2620,B737,,,REG,33-计划,REG,2017/6/25 11:35,,,PAX,,,00,JHG,D01-E10,A,,,2017/6/25 12:21,正班
MU2206,,MU2205,昆明-银川,,D,B6877,A320,,,REG,33-计划,REG,2017/6/25 11:35,,,PAX,,,00,INC,E11-H20,E,,,2017/6/25 13:54,正班
MU5462,,MU2143,昆明-温州,,D,B5258,B737,,,REG,33-计划,REG,2017/6/25 11:35,,,PAX,,,00,WNZ,E11-H20,F,,,2017/6/25 14:05,正班
8L9991,,8L9556,昆明-兰州-乌鲁,ZGC,D,B1798,B738,,,REG,33-计划,REG,2017/6/25 11:40,,,PAX,,,01,URC,A01-C10,C,,,2017/6/25 13:35,正班
CA1404,,CA1403,昆明-北京,,D,B5851,B738,,,REG,33-计划,REG,2017/6/25 11:40,,,PAX,,,01,PEK,D01-E10,A,,,2017/6/25 14:37,正班
JD5791,,JD5165,昆明-芒市,,D,B6403,A319,,,REG,33-计划,REG,2017/6/25 11:45,,,PAX,,,00,LUM,D01-E10,A,,,2017/6/25 12:36,正班
FM9542,,FM9541,昆明-郑州,,D,B5320,B738,,,REG,33-计划,REG,2017/6/25 11:50,,,PAX,,,00,CGO,E11-H20,E,,,2017/6/25 14:05,正班
MF8406,,MF8405,昆明-厦门,,D,B5601,B738,,,REG,33-计划,REG,2017/6/25 11:50,,,PAX,,,05,XMN,D01-E10,A,,,2017/6/25 14:04,正班
MU5711,,MU5655,昆明-北京,,D,B2229,A320,,,REG,33-计划,REG,2017/6/25 11:50,,,PAX,,,00,PEK,E11-H20,E,,,2017/6/25 14:50,正班
MU5740,,MU5892,昆明-大理,,D,B5802,B737,,,REG,33-计划,REG,2017/6/25 11:50,,,PAX,,,00,DLU,E11-H20,F,,,2017/6/25 12:35,正班
3U8221,,3U8723,昆明-南宁-福州,NNG,D,B8656,A320,,,REG,33-计划,REG,2017/6/25 11:55,,,PAX,,,00,FOC,C16-C20,A,,,2017/6/25 12:58,正班
CZ3410,,CZ3409,昆明-广州,,D,B6067,B738,,,REG,33-计划,REG,2017/6/25 11:55,,,PAX,,,00,CAN,D01-E10,B,,,2017/6/25 13:35,正班
DR6561,,DR6558,昆明-青岛-沈阳,TAO,D,B7866,B738,324,,REG,33-计划,REG,2017/6/25 11:55,,,PAX,,,00,SHE,D01-E10,C,,,2017/6/25 15:00,正班
FM9540,,FM9539,昆明-温州,,D,B5140,B738,,,REG,33-计划,REG,2017/6/25 12:00,,,PAX,,,00,WNZ,E11-H20,E,,,2017/6/25 14:30,正班
KY8203,,KY8220,昆明-南京,,D,B2667,B737,,,REG,33-计划,REG,2017/6/25 12:00,,,PAX,,,00,NKG,D01-E10,A,,,2017/6/25 14:20,正班
MU5811,,MU5764,昆明-上海,,D,B1790,B738,,,REG,33-计划,REG,2017/6/25 12:00,,,PAX,,,00,SHA,E11-H20,F,,,2017/6/25 14:43,正班
