FLT,VIP,LKF,REG,RFC,VI1,TOF,ITY,TAR,STA,ETA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL,ORG,TDT,ATA,ABP,CAR
AK101,,AK100,9MAFF,吉隆坡-昆明,,I,A320,,2017/7/12 16:55,,33-计划,,REG,REG,,PAX,,,0,YAG,KUL,,,,
MI918,,MI917,9VMGF,新加坡-昆明,,I,B738,,2017/7/13 1:00,,33-计划,,REG,REG,,PAX,,,0,YAG,SIN,,,,
KY8352,,KY8269,B1459,芒市-昆明,,D,B737,,2017/7/12 17:50,,33-计划,,REG,REG,,PAX,,,0,YAG,LUM,,,,
KY8270,,,B1459,丽江-版纳-昆明,JHG,D,B737,,2017/7/13 0:10,,33-计划,,REG,REG,,PAX,,,0,YAG,LJG,,,,
KY8334,,,B1507,大连-西安-昆明,XIY,D,B738,,2017/7/13 0:10,,33-计划,,REG,REG,,PAX,,,0,YAG,DLC,,,,
SC4737,,SC4738,B1511,青岛-昆明,,D,B738,,2017/7/12 20:05,,33-计划,,REG,REG,,PAX,,,0,YAG,TAO,,,,
MU2497,,MU2494,B1515,武汉-昆明,,D,B738,,2017/7/12 10:10,,33-计划,,REG,REG,,PAX,,,0,CES,WUH,,,,
MU2493,,MU2498,B1515,温州-武汉-昆明,WUH,D,B738,,2017/7/12 22:10,,33-计划,,REG,REG,,PAX,,,0,CES,WNZ,,,,
CA1403,,CA1404,B1526,北京-昆明,,D,B738,,2017/7/12 10:35,,33-计划,,REG,REG,,PAX,,,1,YAG,PEK,,,,
FU6509,,FU6510,B1559,福州-昆明,,D,B738,,2017/7/12 21:20,,33-计划,,REG,REG,,PAX,,,0,YAG,FOC,,,,
8L9842,,8L9851,B1563,普洱-昆明,,D,B737,,2017/7/12 12:10,,33-计划,,REG,REG,,PAX,,,0,YAG,SYM,,,,
8L9888,,8L9955,B1586,上海-宜春-昆明,YIC,D,B738,,2017/7/12 20:15,,33-计划,,REG,REG,,PAX,,,0,YAG,SHA,,,,
8L9884,,,B1587,南京-昆明,,D,B738,,2017/7/13 0:40,,33-计划,,REG,REG,,PAX,,,0,YAG,NKG,,,,
8L9956,,8L9883,B1587,郑州-昆明,,D,B738,,2017/7/12 16:50,,33-计划,,REG,REG,,PAX,,,1,YAG,CGO,,,,
DR6560,,,B1593,大连-太原-昆明,TYN,D,B738,,2017/7/13 1:00,,33-计划,,REG,REG,,PAX,,,0,YAG,DLC,,,,
