FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STD,DES,CID,MP1,ETD,ABT,ATD,EAN,STN
3U8107,昆明-常州-青岛,3U8710,,B1819,CZX,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:05,TAO,,,,,,2017/7/8 16:26,2017/7/8 17:10
3U8129,昆明-版纳,3U8968,,B6453,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:25,JHG,,,,,,2017/7/8 10:09,2017/7/8 10:25
3U8215,昆明-郑州,3U8918,,B1822,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:40,CGO,,,,,,2017/7/8 16:49,2017/7/8 17:25
3U8221,昆明-南宁-福州,3U8206,,B6955,NNG,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 11:45,FOC,,,,,,2017/7/8 12:48,2017/7/8 13:00
3U8227,昆明-南京-长春,3U8661,,B1820,NKG,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 11:20,CGQ,,,,,,2017/7/8 13:37,2017/7/8 14:10
3U8243,昆明-厦门,3U8866,,B8500,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 15:15,XMN,,,,,,2017/7/8 17:29,2017/7/8 18:00
3U8245,昆明-合肥,3U8768,,B6956,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:55,HFE,,,,,,2017/7/8 19:58,2017/7/8 20:40
3U8513,昆明-重庆-兰州,3U8854,,B6906,CKG,D,A321,515,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:15,ZGC,,,,,,2017/7/8 8:22,2017/7/8 8:45
3U8527,昆明-西安,3U8598,,B6772,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 23:20,XIY,,,,,,2017/7/9 1:02,2017/7/9 1:30
3U8530,昆明-杭州,3U8529,,B6905,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 13:05,HGH,,,,,,2017/7/8 15:29,2017/7/8 15:55
3U8553,昆明-重庆-乌鲁,3U8554,,B8331,CKG,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 8:45,URC,,,,,,2017/7/8 9:53,2017/7/8 10:30
3U8597,昆明-太原-哈尔滨,3U8958,,B6772,TYN,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:45,HRB,,,,,,2017/7/8 10:06,2017/7/8 10:45
3U8637,昆明-广州-岘港,3U8723,,B6322,CAN,M,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:05,DAD,,,,,,2017/7/8 18:44,2017/7/8 19:15
3U8662,昆明-成都,3U8808,,B1887,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 23:00,CTU,,,,,,2017/7/9 0:04,2017/7/9 0:35
3U8668,昆明-成都,3U8686,Y,B1886,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:20,CTU,,,,,,2017/7/8 19:25,2017/7/8 19:55
3U8669,昆明-成都-石家庄,3U8762,,B8329,CTU,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:30,SJW,,,,,,2017/7/8 8:30,2017/7/8 9:05
3U8685,昆明-长沙-哈尔滨,3U8514,,B6906,HHA,D,A321,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:00,HRB,,,,,,2017/7/8 17:36,2017/7/8 18:00
3U8709,昆明-万象,3U8202,,B1819,,I,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 8:50,VTE,,,,,,2017/7/8 10:03,2017/7/8 10:20
3U8724,昆明-北京,3U8222,,B6955,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 21:50,PEK,,,,,,2017/7/9 0:39,2017/7/9 1:15
3U8761,昆明-无锡,3U8948,,B6779,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:10,WUX,,,,,,2017/7/8 17:39,2017/7/8 18:15
3U8767,昆明-南宁-温州,3U8667,,B6956,NNG,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:00,WNZ,,,,,,2017/7/8 7:59,2017/7/8 8:05
3U8807,昆明-徐州-沈阳,3U8108,,B1887,XUZ,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:50,SHE,,,,,,2017/7/8 10:12,2017/7/8 10:50
3U8817,昆明-丽江-拉萨,3U8130,,B6448,LJG,D,A319,521L,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:30,LXA,,,,,,2017/7/8 8:19,2017/7/8 8:30
3U8823,昆明-南昌,3U8670,,B8329,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:45,KHN,,,,,,2017/7/8 21:34,2017/7/8 22:15
3U8837,昆明-万州-北京,3U8838,,B8499,WXN,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:15,PEK,,,,,,2017/7/8 15:42,2017/7/8 15:45
3U8865,昆明-宁波,3U8246,,B8500,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:20,NGB,,,,,,2017/7/8 9:48,2017/7/8 10:25
3U8917,昆明-厦门,3U8528,,B1822,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 6:25,XMN,,,,,,2017/7/8 8:39,2017/7/8 9:05
3U8947,昆明-济南,3U8824,,B6779,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 6:55,TNA,,,,,,2017/7/8 9:33,2017/7/8 10:05
3U8967,昆明-重庆-大连,3U8130,,B6453,CKG,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:55,DLC,,,,,,2017/7/8 14:05,2017/7/8 14:30
8L7088,昆明-海口,,,B5371,,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,HU7088,SF,2017/7/8 10:35,HAK,,,,,,2017/7/8 12:04,2017/7/8 12:30
8L7112,昆明-北京,,Y,B2491,,D,B763,,,33-计划,CSF,2017/7/8,,PAX,,HU7112,SF,2017/7/8 20:25,PEK,,,,,,2017/7/8 23:16,2017/7/8 23:45
8L7164,昆明-深圳,,,B5153,,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,HU7164,SF,2017/7/8 11:25,SZX,,,,,,2017/7/8 13:06,2017/7/8 13:35
8L9541,昆明-凯里,8L9864,,B8446,,D,A320,,,33-计划,REG,2017/7/8,,SPE,,,0,2017/7/8 18:10,KJH,,,,,,2017/7/8 19:03,2017/7/8 19:25
8L9545,昆明-太原-大同,8L9984,,B2677,TYN,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:10,DAT,,,,,,2017/7/8 9:33,2017/7/8 10:10
8L9555,昆明-海口,8L9648,,B8732,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 23:10,HAK,,,,,,2017/7/9 0:39,2017/7/9 1:10
8L9557,昆明-锦州-哈尔滨,8L9884,,B5407,JNZ,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 6:10,HRB,,,,,,2017/7/8 9:48,2017/7/8 9:20
8L9585,昆明-南宁-巴厘岛,8L9598,,B6800,NNG,M,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:10,DPS,,,,,,2017/7/8 8:15,2017/7/8 8:15
8L9597,昆明-曼谷,8L9874,,B7993,,I,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:20,BKK,,,,,,2017/7/8 20:13,2017/7/8 20:40
8L9623,昆明-杭州,8L9802,,B8731,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:45,HGH,,,,,,2017/7/8 13:13,2017/7/8 13:40
8L9637,昆明-苏梅岛,8L9915,,B6221,,I,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:30,USM,,,,,,2017/7/8 14:55,2017/7/8 15:20
8L9643,昆明-芒市,8L9946,,B5806,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:05,LUM,,,,,,2017/7/8 9:55,2017/7/8 10:05
8L9647,昆明-淮安-天津,8L9872,,B8732,HIA,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:10,TSN,,,,,,2017/7/8 9:50,2017/7/8 10:00
8L9651,昆明-郑州,8L9974,,B1798,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:50,CGO,,,,,,2017/7/8 12:04,2017/7/8 12:35
8L9679,昆明-槟城,8L9898,,B7991,,I,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:40,PEN,,,,,,2017/7/8 19:38,2017/7/8 19:20
8L9685,昆明-凯里-郑州,8L9913,,B6198,KJH,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:00,CGO,,,,,,2017/7/8 8:03,2017/7/8 8:20
8L9689,昆明-合肥,8L9546,,B2677,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:55,HFE,,,,,,2017/7/8 21:04,2017/7/8 21:45
8L9697,昆明-普吉,8L9634,,B7167,,I,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 8:25,HKT,,,,,,2017/7/8 11:06,2017/7/8 11:35
8L9711,昆明-桂林-汕头,8L9862,,B6809,KWL,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:50,SWA,,,,,,2017/7/8 16:05,2017/7/8 16:30
8L9747,昆明-宿务市,8L9958,,B8445,,I,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:15,CEB,,,,,,2017/7/8 18:14,2017/7/8 18:15
8L9801,昆明-丽江,8L9828,,B5805,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 22:55,LJG,,,,,,2017/7/8 23:45,2017/7/8 23:55
8L9803,昆明-丽江,8L9986,,B6943,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:15,LJG,,,,,,2017/7/8 8:06,2017/7/8 8:15
8L9827,昆明-泸沽湖,8L9850,,B5805,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 11:05,NLH,,,,,,2017/7/8 12:03,2017/7/8 12:10
8L9849,昆明-迪庆,8L9998,,B5805,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:05,DIG,,,,,,2017/7/8 8:06,2017/7/8 8:00
8L9855,昆明-绵阳,8L9856,,B1586,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:55,MIG,,,,,,2017/7/8 17:12,2017/7/8 17:35
8L9861,昆明-合肥,8L9980,,B6809,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:15,HFE,,,,,,2017/7/8 9:24,2017/7/8 9:55
8L9863,昆明-重庆-徐州,8L9876,,B8446,CKG,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:00,XUZ,,,,,,2017/7/8 8:10,2017/7/8 8:35
8L9865,昆明-济南,8L9898,,B5359,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:10,TNA,,,,,,2017/7/8 9:49,2017/7/8 10:15
8L9869,昆明-武汉-青岛,8L9890,,B5449,WUH,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:20,TAO,,,,,,2017/7/8 16:10,2017/7/8 16:30
8L9871,昆明-宜昌-宁波,8L9894,,B6959,YIH,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 13:40,NGB,,,,,,2017/7/8 15:23,2017/7/8 15:50
