FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STD,DES,CID,MP1,ETD,ABT,ATD,EAN,STN
8L9873,昆明-赣州-杭州,8L9992,,B7993,KOW,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:00,HGH,,,,,,2017/7/8 9:04,2017/7/8 9:10
8L9883,昆明-南京,8L9866,,B5359,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:00,NKG,,,,,,2017/7/8 20:20,2017/7/8 20:45
8L9887,昆明-宜春-上海,8L9976,,B6016,YIC,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 8:30,SHA,,,,,,2017/7/8 10:22,2017/7/8 10:45
8L9889,昆明-上海,8L9504,,B5971,,D,A333,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:40,PVG,,,,,,2017/7/8 20:20,2017/7/8 20:50
8L9891,昆明-武汉-大连,8L9870,,B7989,WUH,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:00,DLC,,,,,,2017/7/8 11:51,2017/7/8 12:10
8L9893,昆明-珠海,,,B6943,,D,A320,539,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:15,ZUH,,,,,,2017/7/8 8:58,2017/7/8 9:05
8L9897,昆明-温州,8L9690,,B7991,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:40,WNZ,,,,,,2017/7/8 10:09,2017/7/8 10:40
8L9904,昆明-版纳,8L9644,,B5806,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:10,JHG,,,,,,2017/7/8 15:56,2017/7/8 16:10
8L9906,昆明-版纳,8L9804,,B5292,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 23:45,JHG,,,,,,2017/7/9 0:32,2017/7/9 0:45
8L9914,昆明-版纳,8L9638,,B6221,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 22:55,JHG,,,,,,2017/7/8 23:41,2017/7/8 23:55
8L9916,昆明-版纳,8L9846,,B6959,,D,A320,539,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 6:45,JHG,,,,,,2017/7/8 7:31,2017/7/8 7:45
8L9931,昆明-芒市,8L9932,,B5248,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 17:30,LUM,,,,,,2017/7/8 18:20,2017/7/8 18:35
8L9933,昆明-腾冲,8L9905,Y,B5249,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:10,TCZ,,,,,,2017/7/8 13:03,2017/7/8 13:10
8L9935,昆明-芒市,8L9556,,B5272,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 13:05,LUM,,,,,,2017/7/8 13:54,2017/7/8 14:00
8L9945,昆明-成都,8L9903,,B5806,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 23:55,CTU,,,,,,2017/7/9 0:58,2017/7/9 1:30
8L9947,昆明-成都,8L9994,,B1588,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:25,CTU,,,,,,2017/7/8 11:28,2017/7/8 12:05
8L9955,昆明-郑州,8L9956,,B7988,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 21:55,CGO,,,,,,2017/7/9 0:07,2017/7/9 0:45
8L9957,昆明-武汉,8L9678,,B8445,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:10,WUH,,,,,,2017/7/8 8:58,2017/7/8 9:20
8L9971,昆明-海口,8L9686,,B6198,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:00,HAK,,,,,,2017/7/8 20:30,2017/7/8 20:50
8L9973,昆明-郑州,8L9972,,B1587,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 7:05,CGO,,,,,,2017/7/8 9:20,2017/7/8 9:45
8L9979,昆明-深圳,8L9948,,B1588,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 16:20,SZX,,,,,,2017/7/8 18:03,2017/7/8 18:30
8L9983,昆明-西安,8L9698,,B7167,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:30,XIY,,,,,,2017/7/8 21:19,2017/7/8 21:45
8L9985,昆明-太原-呼和,8L9988,,B1825,TYN,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:40,HET,,,,,,2017/7/8 18:04,2017/7/8 18:30
8L9987,昆明-北京,8L9624,,B8731,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 21:30,PEK,,,,,,2017/7/9 0:27,2017/7/9 1:00
8L9991,昆明-兰州-乌鲁,8L9652,,B5409,ZGC,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 12:25,URC,,,,,,2017/7/8 14:20,2017/7/8 14:40
8L9993,昆明-西安,8L9888,,B6016,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 22:00,XIY,,,,,,2017/7/8 23:49,2017/7/9 0:10
8L9995,昆明-银川,8L9892,,B5732,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 6:40,INC,,,,,,2017/7/8 8:59,2017/7/8 9:20
9C8596,昆明-绵阳-沈阳,9C8595,,B6752,MIG,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:35,SHE,,,,,,2017/7/8 21:49,2017/7/8 22:10
9C8730,昆明-扬州泰州,9C8729,,B1670,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:40,YTY,,,,,,2017/7/8 21:04,2017/7/8 21:30
9C8824,昆明-遵义-上海,9C8823,,B8592,ZYI,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:35,SHA,,,,,,2017/7/8 17:33,2017/7/8 17:45
9C8830,昆明-常德-上海,9C8829,,B8647,CGD,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:35,SHA,,,,,,2017/7/8 21:00,2017/7/8 21:05
9C8938,昆明-石家庄,9C8937,,B9986,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:50,SJW,,,,,,2017/7/8 17:26,2017/7/8 18:00
9C8954,昆明-上海,9C8953,,B6612,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:45,SHA,,,,,,2017/7/8 15:27,2017/7/8 16:00
A67105,昆明-南昌,A67106,,B8318,,D,A321,536,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 9:40,KHN,,,,,,2017/7/8 11:33,2017/7/8 12:05
AK100,昆明-吉隆坡,AK101,,9MAFF,,I,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:55,KUL,,,,,,,2017/7/8 21:50
BK2743,昆明-版纳,BK2897,,B5562,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:25,JHG,,,,,,2017/7/8 15:14,2017/7/8 15:30
BK2798,昆明-长沙,BK2846,,B1732,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:10,HHA,,,,,,2017/7/8 19:47,2017/7/8 20:10
BK2845,昆明-合肥,BK2797,,B1732,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:25,HFE,,,,,,2017/7/8 12:33,2017/7/8 13:10
BK2898,昆明-天津,BK2744,,B5562,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:20,TSN,,,,,,2017/7/8 21:14,2017/7/8 21:30
CA1402,昆明-天津,CA1401,,B1418,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 20:20,TSN,,,,,,2017/7/8 23:12,2017/7/8 23:35
CA1404,昆明-北京,CA1403,,B5179,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 11:40,PEK,,,,,,2017/7/8 14:37,2017/7/8 15:05
CA1488,昆明-达县-北京,CA1487,,B5228,DAX,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:25,PEK,,,,,,2017/7/8 16:46,2017/7/8 17:00
CA1752,昆明-杭州,CA1955,,B8743,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 12:20,HGH,,,,,,2017/7/8 14:46,2017/7/8 15:15
CA1754,昆明-杭州,CA1753,,B8493,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 19:40,HGH,,,,,,2017/7/8 22:02,2017/7/8 22:35
CA1938,昆明-上海,CA1937,,B9922,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:25,PVG,,,,,,2017/7/8 23:02,2017/7/8 23:35
CA1956,昆明-温州,CA1751,,B6033,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 12:05,WNZ,,,,,,2017/7/8 14:33,2017/7/8 15:05
CA1988,昆明-温州,CA1987,,B6023,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 21:10,WNZ,,,,,,2017/7/8 23:34,2017/7/9 0:10
CA415,昆明-仰光,CA415,,B6478,,I,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:45,RGN,,,,,,,2017/7/8 12:45
CA416,昆明-成都,CA416,,B6478,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:05,CTU,,,,,,2017/7/8 18:11,2017/7/8 18:35
CA4171,昆明-北京,CA4417,,B6793,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 7:20,PEK,,,,,,2017/7/8 10:16,2017/7/8 10:45
CA4173,昆明-北京,CA4172,,B6793,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 17:05,PEK,,,,,,2017/7/8 20:00,2017/7/8 20:30
CA4175,昆明-沈阳,CA4174,,B8490,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:20,SHE,,,,,,2017/7/8 10:57,2017/7/8 11:20
CA4275,昆明-哈尔滨,CA4276,,B6967,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:35,HRB,,,,,,2017/7/8 19:45,2017/7/8 20:00
CA4414,昆明-成都,CA4413,,B1852,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 13:25,CTU,,,,,,2017/7/8 14:30,2017/7/8 14:55
CA4418,昆明-成都,CA4459,,B6915,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 8:40,CTU,,,,,,2017/7/8 9:42,2017/7/8 10:25
CA4460,昆明-成都,CA4176,,B8490,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 21:05,CTU,,,,,,2017/7/8 22:08,2017/7/8 22:40
CA5828,昆明-南阳-大连,,,B7691,NNY,D,CRJ9,,,33-计划,CSF,2017/7/8,,PAX,,G52628,SF,2017/7/8 19:05,DLC,,,,,,2017/7/8 21:11,2017/7/8 21:25
CA8930,昆明-郑州-大连,CA8937,,B5642,CGO,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:15,DLC,,,,,,2017/7/8 12:29,2017/7/8 13:10
CF9017,昆明-南京,CF9018,,B2827,,D,B757,,,33-计划,REG,2017/7/9,,CGO,,,0,2017/7/9 0:05,NKG,,,,,,2017/7/9 2:24,2017/7/9 2:50
CX5761,昆明-香港,,,BHSN,,R,A320,,,33-计划,CSF,2017/7/8,,PAX,,KA761,SF,2017/7/8 15:20,HKG,,,,,,,2017/7/8 17:45
CZ3248,昆明-桂林,CZ3247,,B5720,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:00,KWL,,,,,,2017/7/8 16:12,2017/7/8 16:30
CZ3408,昆明-广州,CZ3407,,B6662,,D,A321,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:35,CAN,,,,,,2017/7/8 19:15,2017/7/8 19:40
CZ3410,昆明-广州,CZ3409,,B6291,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 11:55,CAN,,,,,,2017/7/8 13:35,2017/7/8 14:05
CZ3416,昆明-广州,CZ3415,,B5739,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:00,CAN,,,,,,2017/7/8 16:39,2017/7/8 17:15
CZ3420,昆明-广州,CZ3419,,B2353,,D,A320,,,32-准时,REG,2017/7/8,,PAX,,,0,2017/7/8 7:35,CAN,,,2017/7/8 7:35,,,2017/7/8 9:14,2017/7/8 9:40
CZ3432,昆明-海口,CZ3431,,B8638,,D,A321,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:55,HAK,,,,,,2017/7/8 12:23,2017/7/8 12:45
CZ3451,昆明-丽江,CZ3451,,B2352,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:20,LJG,,,,,,2017/7/8 18:11,2017/7/8 18:25
CZ3452,昆明-深圳,CZ3452,,B2352,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 21:20,SZX,,,,,,2017/7/8 23:01,2017/7/8 23:35
CZ3460,昆明-深圳,CZ3459,,B2367,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 11:35,SZX,,,,,,2017/7/8 13:16,2017/7/8 13:45
CZ3468,昆明-长沙,CZ3467,,B6255,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 21:30,HHA,,,,,,2017/7/8 23:05,2017/7/8 23:35
CZ3470,昆明-武汉,CZ3469,,B5192,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:15,WUH,,,,,,2017/7/8 19:02,2017/7/8 19:25
CZ3481,昆明-大理,CZ3481,,B6195,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:30,DLU,,,,,,2017/7/8 11:11,2017/7/8 11:20
CZ3482,昆明-广州,CZ3482,,B6195,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:10,CAN,,,,,,2017/7/8 15:51,2017/7/8 16:15
CZ3487,昆明-丽江,CZ3487,,B6019,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:15,LJG,,,,,,2017/7/8 17:07,2017/7/8 17:15
CZ3488,昆明-广州,CZ3488,,B6019,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:10,CAN,,,,,,2017/7/8 21:47,2017/7/8 22:20
CZ3490,昆明-广州,CZ3489,,B1653,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 22:10,CAN,,,,,,2017/7/8 23:51,2017/7/9 0:15
CZ3491,昆明-版纳,CZ3491,,B2622,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 11:35,JHG,,,,,,2017/7/8 12:20,2017/7/8 12:35
CZ3492,昆明-郑州,CZ3492,,B2622,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:30,CGO,,,,,,2017/7/8 17:40,2017/7/8 18:15
CZ3496,昆明-郑州,CZ3495,,B2916,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:40,CGO,,,,,,2017/7/8 19:50,2017/7/8 20:35
CZ3541,昆明-武汉-杭州,CZ3542,,B5113,WUH,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 7:55,HGH,,,,,,2017/7/8 9:40,2017/7/8 10:05
