FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
AK100,,AK101,昆明-吉隆坡,,KUL,I,9MAFF,A320,2017/7/6 17:55,2017/7/6,,,,J11-J14,,,,,33-计划,REG,REG,,PAX,,,0
MI913,,MI912,昆明-新加坡,,SIN,I,9VMGA,B738,2017/7/6 13:10,2017/7/6,,,,J11-J15,,,,,33-计划,REG,REG,,PAX,,,2
KY8313,,KY8248,昆明-腾冲,,TCZ,D,B1459,B737,2017/7/6 8:00,2017/7/6,8:53,145,59,,A,,,,33-计划,REG,REG,,PAX,,,0
KY8269,,KY8314,昆明-丽江,,LJG,D,B1459,B737,2017/7/6 19:10,2017/7/6,20:04,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8361,,KY8322,昆明-合艾,,HDY,I,B1507,B738,2017/7/6 14:10,2017/7/6,17:03,,,K01-K04,,,,,33-计划,REG,REG,,PAX,,,0
KY8321,,KY8282,昆明-成都,,CTU,D,B1507,B738,2017/7/6 8:15,2017/7/6,9:19,148,53,,B,,,,33-计划,REG,REG,,PAX,,,0
SC4738,,SC4737,昆明-青岛,,TAO,D,B1511,B738,2017/7/6 20:55,2017/7/6,23:55,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2498,,MU2493,昆明-武汉,,WUH,D,B1513,B738,2017/7/6 23:20,2017/7/6,1:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2494,,MU2497,昆明-武汉-温州,WUH,WNZ,D,B1513,B738,2017/7/6 11:20,2017/7/6,13:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ6950,,CZ6949,昆明-重庆-乌鲁,CKG,URC,D,B1520,B738,2017/7/6 17:45,2017/7/6,18:57,,,,,,,,33-计划,REG,REG,,PAX,,,0
