FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
8L9955,,8L9956,昆明-郑州,,CGO,D,B1587,B738,2017/7/6 21:55,2017/7/6,0:07,,,,,,,,33-计划,REG,REG,,PAX,,,1
8L9993,,8L9874,昆明-西安,,XIY,D,B1588,B738,2017/7/6 22:00,2017/7/6,23:49,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9873,,8L9992,昆明-赣州-杭州,KOW,HGH,D,B1588,B738,2017/7/6 7:00,2017/7/6,9:04,539,,,B,,,,33-计划,REG,REG,,PAX,,,0
DR6559,,DR6530,昆明-太原-大连,TYN,DLC,D,B1593,B738,2017/7/6 12:40,2017/7/6,15:04,709,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6521,,DR6522,昆明-成都,,CTU,D,B1595,B738,2017/7/6 7:00,2017/7/6,8:03,543,,,C,,,,33-计划,REG,REG,,PAX,,,0
DR6537,,DR6530,昆明-兰州,,ZGC,D,B1597,B738,2017/7/6 18:55,2017/7/6,20:50,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6529,,DR6534,昆明-太原-呼和,TYN,HET,D,B1597,B738,2017/7/6 7:35,2017/7/6,10:00,156,15,,B,,,,33-计划,REG,REG,,PAX,,,0
GS7662,,GS7661,昆明-西安,,XIY,D,B1619,A320,2017/7/6 22:50,2017/7/6,0:37,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2996,,MU2995,昆明-重庆-无锡,CKG,WUX,D,B1636,A320,2017/7/6 7:45,2017/7/6,8:59,115,18,,E,,,,33-计划,REG,REG,,PAX,,,0
MU2986,,MU2985,昆明-无锡,,WUX,D,B1636,A320,2017/7/6 20:10,2017/7/6,22:42,,,,,,,,33-计划,REG,REG,,PAX,,,0
9C8730,,9C8729,昆明-扬州泰州,,YTY,D,B1670,A320,2017/7/6 17:55,2017/7/6,20:19,,,,,,,,33-计划,REG,REG,,PAX,,,0
GJ8662,,GJ8690,昆明-贵阳-杭州,KWE,HGH,D,B1676,A320,2017/7/6 7:30,2017/7/6,8:22,724,,,C,,,,33-计划,REG,REG,,PAX,,,0
MU747,,MU748,昆明-上海-大阪,PVG,KIX,M,B1702,B738,2017/7/6 7:50,2017/7/6,10:37,311,,J01-J01,F,,,,33-计划,REG,REG,,PAX,,,0
MU2570,,MU2570,昆明-北京,,PEK,D,B1703,B738,2017/7/6 16:00,2017/7/6,19:25,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2595,,MU5750,昆明-清迈,,CNX,I,B1703,B738,2017/7/6 6:30,2017/7/6,7:57,103,76,J01-J03,G,,,,33-计划,REG,REG,,PAX,,,0
FM9430,,FM9429,昆明-衡阳-上海,HNY,PVG,D,B1721,B738,2017/7/6 17:25,2017/7/6,18:54,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5230,,MU5145,昆明-温州,,WNZ,D,B1722,B738,2017/7/6 22:25,2017/7/6,0:51,,,,,,,,33-计划,REG,REG,,PAX,,,0
SC8885,,SC8885,昆明-曼谷,,BKK,I,B1745,B738,2017/7/7 1:00,2017/7/7,2:59,,,J16-J19,,,,,33-计划,REG,REG,,PAX,,,0
KN5212,,KN2381,昆明-汉中-南苑,HZG,NAY,D,B1750,B738,2017/7/6 11:10,2017/7/6,12:42,,,,,,,,33-计划,REG,REG,,PAX,,,0
KN2382,,KN5211,昆明-石家庄,,SJW,D,B1751,B738,2017/7/6 20:55,2017/7/6,23:32,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2144,,MU7183,昆明-太原,,TYN,D,B1773,B738,2017/7/6 18:40,2017/7/6,21:02,,,,,,,,33-计划,REG,REG,,PAX,,,0
HU7312,,HU7311,昆明-北京,,PEK,D,B1783,B738,2017/7/6 7:10,2017/7/6,10:07,329,,,A,,,,33-计划,REG,REG,,PAX,,,0
MU5817,,MU5818,昆明-兴义-上海,ACX,SHA,D,B1788,B738,2017/7/6 9:35,2017/7/6,10:18,511,,,E,,,,33-计划,REG,REG,,PAX,,,1
MU2569,,MU2569,昆明-清迈,,CNX,I,B1789,B738,2017/7/6 14:30,2017/7/6,16:25,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5715,,MU2594,昆明-北京,,PEK,D,B1789,B738,2017/7/6 20:10,2017/7/6,23:08,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2036,,MU2036,昆明-北京,,PEK,D,B1790,B738,2017/7/6 20:30,2017/7/6,23:26,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2035,,MU2035,昆明-达卡,,DAC,I,B1790,B738,2017/7/6 13:00,2017/7/6,14:35,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU783,Y,MU5772,昆明-南宁-万象,NNG,VTE,M,B1791,B738,2017/7/6 8:30,2017/7/6,9:35,123,37,J06-J06,E,,,,33-计划,REG,REG,,PAX,,,0
MU5847,,MU784,昆明-成都,,CTU,D,B1791,B738,2017/7/6 19:55,2017/7/6,21:01,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5811,,MU5812,昆明-上海,,SHA,D,B1792,B738,2017/7/6 12:00,2017/7/6,14:45,502,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9651,,8L9994,昆明-郑州,,CGO,D,B1798,B738,2017/7/6 9:50,2017/7/6,12:04,,,,A,,,,33-计划,REG,REG,,PAX,,,0
CZ3468,,CZ3467,昆明-长沙,,HHA,D,B1800,A320,2017/7/6 21:30,2017/7/6,23:05,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2362,,MU2361,昆明-西安,,XIY,D,B1812,A325,2017/7/6 21:30,2017/7/6,23:21,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8767,,3U8246,昆明-南宁-温州,NNG,WNZ,D,B1822,A320,2017/7/6 7:00,2017/7/6,7:59,153,27,,B,,,,33-计划,REG,REG,,PAX,,,0
3U8527,,3U8768,昆明-西安,,XIY,D,B1822,A320,2017/7/6 23:20,2017/7/6,1:02,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9987,,8L9864,昆明-北京,,PEK,D,B1825,A320,2017/7/6 21:30,2017/7/6,0:27,,,,,,,,33-计划,REG,REG,,PAX,,,1
8L9863,,8L9890,昆明-重庆-徐州,CKG,XUZ,D,B1825,A320,2017/7/6 7:00,2017/7/6,8:10,321,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ6426,,CZ6425,昆明-武汉-大连,WUH,DLC,D,B1828,A320,2017/7/6 13:55,2017/7/6,15:42,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5456,,MU555,昆明-宁波,,NGB,D,B1836,A320,2017/7/6 9:30,2017/7/6,12:05,121,33,,E,,,,33-计划,REG,REG,,PAX,,,0
CZ3460,,CZ3459,昆明-深圳,,SZX,D,B1845,A321,2017/7/6 11:35,2017/7/6,13:16,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ3432,,CZ3431,昆明-海口,,HAK,D,B1848,A321,2017/7/6 10:55,2017/7/6,12:23,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA4414,,CA4413,昆明-成都,,CTU,D,B1852,A320,2017/7/6 13:25,2017/7/6,14:30,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5532,,MU5465,昆明-南昌-上海,KHN,PVG,D,B1862,A320,2017/7/6 16:10,2017/7/6,18:07,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8243,,3U8206,昆明-厦门,,XMN,D,B1881,A320,2017/7/6 15:15,2017/7/6,17:29,,,,,,,,33-计划,REG,REG,,PAX,,,1
3U8530,,3U8529,昆明-杭州,,HGH,D,B1882,A320,2017/7/6 13:05,2017/7/6,15:29,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8709,,3U8228,昆明-万象,,VTE,I,B1887,A320,2017/7/6 8:50,2017/7/6,10:03,515,,K06-K08,,,,,33-计划,REG,REG,,PAX,,,0
3U8245,,3U8710,昆明-合肥,,HFE,D,B1887,A320,2017/7/6 17:55,2017/7/6,19:58,,,,,,,,33-计划,REG,REG,,PAX,,,0
FM9398,,FM9397,昆明-长沙-上海,HHA,PVG,D,B1900,B738,2017/7/6 16:10,2017/7/6,17:49,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU9737,,MU2582,昆明-天津,,TSN,D,B1907,B738,2017/7/6 21:10,2017/7/6,0:07,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2581,,MU5724,昆明-岘港,,DAD,I,B1907,B738,2017/7/6 13:20,2017/7/6,15:12,509,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2568,,MU2568,昆明-广州,,CAN,D,B1908,B738,2017/7/6 22:05,2017/7/6,23:47,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2029,,MU742,昆明-曼德勒,,MDL,I,B1908,B738,2017/7/6 14:45,2017/7/6,16:03,506,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8281,,KY8254,昆明-上海,,PVG,D,B1926,B738,2017/7/6 14:40,2017/7/6,17:29,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8253,,KY8276,昆明-西安,,XIY,D,B1926,B738,2017/7/6 8:10,2017/7/6,10:01,325,,,A,,,,33-计划,REG,REG,,PAX,,,0
SC4874,,SC4873,昆明-济南-烟台,TNA,YNT,D,B1931,B738,2017/7/6 12:50,2017/7/6,15:26,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6591,,DR6570,昆明-西安,,XIY,D,B1960,B738,2017/7/6 6:35,2017/7/6,8:25,713,,,A,,,,33-计划,REG,REG,,PAX,,,0
BK2845,,BK2797,昆明-合肥,,HFE,D,B1963,B738,2017/7/6 10:25,2017/7/6,12:33,,,,,,,,33-计划,REG,REG,,PAX,,,0
BK2798,,BK2846,昆明-长沙,,HHA,D,B1963,B738,2017/7/6 18:10,2017/7/6,19:47,,,,,,,,33-计划,REG,REG,,PAX,,,0
MF8476,,MF8641,昆明-福州,,FOC,D,B1964,B738,2017/7/6 20:15,2017/7/6,22:38,,,,,,,,33-计划,REG,REG,,PAX,,,3
MU5146,,MU5229,昆明-太原,,TYN,D,B1981,B738,2017/7/6 21:30,2017/7/6,23:49,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8295,,KY8302,昆明-重庆-南通,CKG,NTG,D,B1991,B738,2017/7/6 7:05,2017/7/6,8:19,144,61,,C,,,,33-计划,REG,REG,,PAX,,,0
KY8285,,KY8296,昆明-广州,,CAN,D,B1991,B738,2017/7/6 22:40,2017/7/6,0:23,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ6370,,CZ6370,昆明-郑州,,CGO,D,B2169,B737,2017/7/6 21:00,2017/7/6,23:07,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ6369,,CZ6369,昆明-版纳,,JHG,D,B2169,B737,2017/7/6 16:50,2017/7/6,17:36,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2250,,MU2249,昆明-兰州,,ZGC,D,B2209,A320,2017/7/6 10:35,2017/7/6,12:30,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5646,,MU5646,昆明-杭州,,HGH,D,B2228,A320,2017/7/6 23:00,2017/7/6,1:26,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5645,,MU5645,昆明-版纳,,JHG,D,B2228,A320,2017/7/6 18:55,2017/7/6,19:42,,,,,,,,33-计划,REG,REG,,PAX,,,0
UW9941,,UW9936,昆明-达卡,,DAC,I,B2325,A306,2017/7/7 1:30,2017/7/7,,,,,,,,,33-计划,REG,REG,,CGO,,,0
UW9935,,UW9942,昆明-孟买,,BOM,I,B2325,A306,2017/7/6 13:00,2017/7/6,,,,,,,,,33-计划,REG,REG,,CGO,,,0
UW9937,,UW9934,昆明-马德拉斯,,MAA,I,B2330,A306,2017/7/6 22:45,2017/7/6,,,,,,,,,33-计划,REG,REG,,CGO,,,0
MU5480,,MU5479,昆明-武汉-青岛,WUH,TAO,D,B2333,A319,2017/7/6 20:20,2017/7/6,22:14,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ3420,,CZ3419,昆明-广州,,CAN,D,B2353,A320,2017/7/6 7:35,2017/7/6,9:14,136,50,,C,,,,33-计划,REG,REG,,PAX,,,0
CZ3452,,CZ3452,昆明-深圳,,SZX,D,B2366,A320,2017/7/6 21:20,2017/7/6,23:01,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ3451,,CZ3451,昆明-丽江,,LJG,D,B2366,A320,2017/7/6 17:20,2017/7/6,18:11,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2360,,MU2359,昆明-西宁,,XNN,D,B2372,A320,2017/7/6 10:20,2017/7/6,12:30,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2246,,MU2245,昆明-西宁,,XNN,D,B2372,A320,2017/7/6 23:15,2017/7/6,1:22,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2716,,MU2715,昆明-长沙-南京,HHA,NKG,D,B2410,A320,2017/7/6 17:00,2017/7/6,18:42,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5829,,MU5814,昆明-郑州,,CGO,D,B2413,A320,2017/7/6 8:20,2017/7/6,10:36,131,38,,F,,,,33-计划,REG,REG,,PAX,,,0
MU5813,,MU5830,昆明-上海,,SHA,D,B2413,A320,2017/7/6 17:30,2017/7/6,20:12,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5711,,MU5655,昆明-北京,,PEK,D,B2415,A320,2017/7/6 11:50,2017/7/6,14:50,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5656,,MU5712,昆明-杭州,,HGH,D,B2415,A320,2017/7/6 21:15,2017/7/6,23:42,,,,,,,,33-计划,REG,REG,,PAX,,,0
HU7212,,HU7211,昆明-北京,,PEK,D,B2492,B763,2017/7/6 12:55,2017/7/6,15:46,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5869,,MU9714,昆明-宜宾-青岛,YBP,TAO,D,B2503,B737,2017/7/6 8:00,2017/7/6,8:54,710,,,E,,,,33-计划,REG,REG,,PAX,,,0
FM9452,,FM9451,昆明-上海,,SHA,D,B2567,B763,2017/7/6 13:50,2017/7/6,16:29,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ3492,,CZ3492,昆明-郑州,,CGO,D,B2620,B737,2017/7/6 15:30,2017/7/6,17:40,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ3491,,CZ3491,昆明-版纳,,JHG,D,B2620,B737,2017/7/6 11:35,2017/7/6,12:20,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5959,,MU5958,昆明-临沧,,LNJ,D,B2639,B737,2017/7/6 16:25,2017/7/6,17:07,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5957,,MU500,昆明-临沧,,LNJ,D,B2639,B737,2017/7/6 9:35,2017/7/6,10:15,712,,,F,,,,33-计划,REG,REG,,PAX,,,0
MU5929,,MU5960,昆明-文山,,WNH,D,B2639,B737,2017/7/6 20:25,2017/7/6,21:00,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5971,,MU5898,昆明-芒市,,LUM,D,B2640,B737,2017/7/6 9:25,2017/7/6,10:19,514,,,F,,,,33-计划,REG,REG,,PAX,,,0
MU5967,,MU5757,昆明-临沧,,LNJ,D,B2640,B737,2017/7/6 14:10,2017/7/6,14:52,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5714,Y,MU5968,昆明-普洱,,SYM,D,B2640,B737,2017/7/6 18:35,2017/7/6,19:18,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8341,,KY8342,昆明-厦门-南宁,XMN,NNG,D,B2667,B737,2017/7/6 9:15,2017/7/6,11:35,535,,,C,,,,33-计划,REG,REG,,PAX,,,0
KY8203,,KY8220,昆明-南京,,NKG,D,B2669,B737,2017/7/6 12:00,2017/7/6,14:20,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9689,,8L9546,昆明-合肥,,HFE,D,B2677,B738,2017/7/6 19:00,2017/7/6,21:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9545,,8L9984,昆明-太原-大同,TYN,DAT,D,B2677,B738,2017/7/6 7:10,2017/7/6,9:33,158,2,,A,,,,33-计划,REG,REG,,PAX,,,0
KY8339,,KY8314,昆明-运城,,YCU,D,B2678,B737,2017/7/6 8:10,2017/7/6,10:17,522L,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8247,,KY8244,昆明-芒市,,LUM,D,B2678,B737,2017/7/6 21:55,2017/7/6,22:46,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8243,,KY8340,昆明-普洱,,SYM,D,B2678,B737,2017/7/6 18:15,2017/7/6,18:58,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8301,,KY8246,昆明-惠州,,HUZ,D,B2679,B737,2017/7/6 18:40,2017/7/6,20:29,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8245,,KY8298,昆明-芒市,,LUM,D,B2679,B737,2017/7/6 15:00,2017/7/6,15:52,536,,,,,,,33-计划,REG,REG,,PAX,,,0
O36943,,O36944,昆明-杭州,,HGH,D,B2817,B757,2017/7/7 1:15,2017/7/7,3:38,,,,,,,,33-计划,REG,REG,,CGO,,,0
CF9017,,CF9018,昆明-南京,,NKG,D,B2824,B757,2017/7/7 0:05,2017/7/7,2:24,,,,,,,,33-计划,REG,REG,,CGO,,,0
CZ6978,,CZ6977,昆明-武汉,,WUH,D,B2917,B737,2017/7/6 21:50,2017/7/6,23:34,,,,,,,,33-计划,REG,REG,,PAX,,,0
GX8982,,GX8981,昆明-南宁,,NNG,D,B3173,E190,2017/7/6 10:35,2017/7/6,11:39,,,,,,,,33-计划,REG,REG,,PAX,,,0
G52628,,G52627,昆明-南阳-大连,NNY,DLC,D,B3227,CRJ9,2017/7/6 19:05,2017/7/6,21:11,,,,,,,,33-计划,REG,REG,,PAX,,,3
CZ3470,,CZ3469,昆明-武汉,,WUH,D,B5020,B738,2017/7/6 17:15,2017/7/6,19:02,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8205,,KY8206,昆明-济南-哈尔滨,TNA,HRB,D,B5025,B737,2017/7/6 9:05,2017/7/6,11:43,137,52,,A,,,,33-计划,REG,REG,,PAX,,,0
KY8297,,KY8270,昆明-石家庄-长春,SJW,CGQ,D,B5026,B737,2017/7/6 9:40,2017/7/6,12:21,,,,A,,,,33-计划,REG,REG,,PAX,,,0
MU5943,,MU5912,昆明-大理,,DLU,D,B5054,B737,2017/7/6 7:40,2017/7/6,8:24,133,34,,E,,,,33-计划,REG,REG,,PAX,,,0
MU5965,,MU5942,昆明-沧源,,CWJ,D,B5097,B737,2017/7/6 11:25,2017/7/6,12:13,707,,,,,,,33-计划,REG,REG,,PAX,,,0
MU9715,,MU5966,昆明-武汉,,WUH,D,B5097,B737,2017/7/6 15:20,2017/7/6,17:08,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5706,,MU9716,昆明-版纳,,JHG,D,B5097,B737,2017/7/6 23:25,2017/7/6,0:11,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ3416,,CZ3415,昆明-广州,,CAN,D,B5113,B738,2017/7/6 15:00,2017/7/6,16:39,,,,,,,,33-计划,REG,REG,,PAX,,,0
SC4720,,SC4719,昆明-重庆,,CKG,D,B5119,B738,2017/7/6 22:35,2017/7/6,23:47,,,,,,,,33-计划,REG,REG,,PAX,,,0
FM9540,,FM9539,昆明-温州,,WNZ,D,B5131,B738,2017/7/6 12:00,2017/7/6,14:31,,,,,,,,33-计划,REG,REG,,PAX,,,0
HU7164,,HU7163,昆明-深圳,,SZX,D,B5153,B738,2017/7/6 11:25,2017/7/6,13:06,,,,,,,,33-计划,REG,REG,,PAX,,,1
CZ3864,,CZ3863,昆明-南宁-汕头,NNG,SWA,D,B5156,B738,2017/7/6 21:10,2017/7/6,22:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ3858,,CZ3857,昆明-汕头,,SWA,D,B5156,B738,2017/7/6 12:15,2017/7/6,14:13,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ3541,,CZ3542,昆明-武汉-杭州,WUH,HGH,D,B5190,B738,2017/7/6 7:55,2017/7/6,9:40,139,56,,A,,,,33-计划,REG,REG,,PAX,,,0
NS3270,,NS3269,昆明-石家庄,,SJW,D,B5215,B737,2017/7/6 20:25,2017/7/6,22:59,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5985,,MU5715,昆明-保山,,BSD,D,B5225,B737,2017/7/6 9:00,2017/7/6,9:49,504,,,F,,,,33-计划,REG,REG,,PAX,,,0
MU5744,,MU5803,昆明-丽江,,LJG,D,B5225,B737,2017/7/6 21:15,2017/7/6,22:08,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5717,,MU5743,昆明-腾冲,,TCZ,D,B5225,B737,2017/7/6 13:45,2017/7/6,14:38,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA1488,,CA1487,昆明-达县-北京,DAX,PEK,D,B5228,B737,2017/7/6 15:25,2017/7/6,16:46,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5989,,MU5711,昆明-昭通-重庆,ZAT,CKG,D,B5231,B737,2017/7/6 11:25,2017/7/6,11:58,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ6602,,CZ6601,昆明-郑州,,CGO,D,B5232,B737,2017/7/6 22:10,2017/7/6,0:18,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ3496,,CZ3495,昆明-郑州,,CGO,D,B5233,B737,2017/7/6 17:40,2017/7/6,19:50,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5987,,MU5972,昆明-保山,,BSD,D,B5242,B737,2017/7/6 8:15,2017/7/6,9:03,715,,,F,,,,33-计划,REG,REG,,PAX,,,0
MU5831,,MU5988,昆明-郑州,,CGO,D,B5242,B737,2017/7/6 12:15,2017/7/6,14:32,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5927,,MU5733,昆明-文山,,WNH,D,B5243,B737,2017/7/6 10:20,2017/7/6,10:55,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2575,,MU5928,昆明-河内,,HAN,I,B5243,B737,2017/7/6 15:05,2017/7/6,16:15,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5893,,MU5804,昆明-普洱,,SYM,D,B5245,B737,2017/7/6 10:10,2017/7/6,10:55,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5803,,MU2562,昆明-上海,,SHA,D,B5245,B737,2017/7/6 20:20,2017/7/6,23:03,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2561,,MU5894,昆明-琅勃,,LPQ,I,B5245,B737,2017/7/6 14:05,2017/7/6,15:18,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9931,,8L9842,昆明-芒市,,LUM,D,B5248,B737,2017/7/6 17:30,2017/7/6,18:20,,,,,,,,33-计划,REG,REG,,PAX,,,1
8L9841,,8L9905,昆明-普洱,,SYM,D,B5248,B737,2017/7/6 9:00,2017/7/6,9:41,,,,A,,,,33-计划,REG,REG,,PAX,,,0
MU9741,,MU5982,昆明-保山-北京,BSD,PEK,D,B5255,B737,2017/7/6 17:30,2017/7/6,18:16,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5981,,MU5962,昆明-保山,,BSD,D,B5255,B737,2017/7/6 13:00,2017/7/6,13:47,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5961,,MU758,昆明-临沧,,LNJ,D,B5255,B737,2017/7/6 8:10,2017/7/6,8:51,101,,,F,,,,33-计划,REG,REG,,PAX,,,0
MU5825,,MU5986,昆明-桂林,,KWL,D,B5256,B737,2017/7/6 9:25,2017/7/6,10:55,132,36,,,,,,33-计划,REG,REG,,PAX,,,0
MU2571,,MU5826,昆明-加德,,KTM,I,B5256,B737,2017/7/6 16:05,2017/7/6,18:50,,,,G,,,,33-计划,REG,REG,,PAX,,,0
MU7184,,MU5461,昆明-北京,,PEK,D,B5257,B737,2017/7/6 21:15,2017/7/6,0:35,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5462,,MU2143,昆明-温州,,WNZ,D,B5257,B737,2017/7/6 11:35,2017/7/6,14:06,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU9755,,MU2572,昆明-保山,,BSD,D,B5259,B737,2017/7/6 8:30,2017/7/6,9:18,102,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5721,,MU9756,昆明-黔江-北京,JIQ,PEK,D,B5259,B737,2017/7/6 12:35,2017/7/6,14:06,,,,,,,,33-计划,REG,REG,,PAX,,,0
FM9454,,FM9454,昆明-上海,,SHA,D,B5261,B737,2017/7/6 16:50,2017/7/6,19:32,,,,,,,,33-计划,REG,REG,,PAX,,,0
FM9453,,FM9453,昆明-版纳,,JHG,D,B5261,B737,2017/7/6 13:00,2017/7/6,13:48,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5919,,MU5723,昆明-丽江,,LJG,D,B5263,B737,2017/7/6 13:15,2017/7/6,14:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5909,,MU5952,昆明-版纳,,JHG,D,B5263,B737,2017/7/6 22:20,2017/7/6,23:07,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5903,,MU5988,昆明-版纳,,JHG,D,B5263,B737,2017/7/6 8:50,2017/7/6,9:37,507,,,E,,,,33-计划,REG,REG,,PAX,,,0
MU5802,,MU5719,昆明-腾冲,,TCZ,D,B5263,B737,2017/7/6 17:15,2017/7/6,18:07,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5941,,MU5878,昆明-大理,,DLU,D,B5265,B737,2017/7/6 8:10,2017/7/6,8:53,114,16,,F,,,,33-计划,REG,REG,,PAX,,,0
