昆明机场飞行动态,,,,,
,,,,,2017年07月08日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8107,B8500,昆明/1405,/,常州
2,3U8108,B8500,常州/2235,/,昆明
3,3U8129,B6453,昆明/0925,/,版纳
4,3U8130,B6453,版纳/1105,/,昆明
5,3U8206,B6955,广州/0615,/,昆明
6,3U8215,B1822,昆明/1440,/,郑州
7,3U8216,B1822,郑州/1825,/,昆明
8,3U8221,B6955,昆明/1145,/,南宁
9,3U8222,B6955,南宁/1935,/,昆明
10,3U8227,B1820,昆明/1120,/,南京
11,3U8228,B1820,南京/2255,/,昆明
12,3U8243,B1819,昆明/1515,/,厦门
13,3U8244,B1819,厦门/1915,/,昆明
14,3U8245,B6956,昆明/1755,/,合肥
15,3U8246,B6956,合肥/2140,/,昆明
16,3U8513,B6906,昆明/0715,/,重庆
17,3U8514,B6906,重庆/1545,/,昆明
18,3U8527,B6719,昆明/2320,/,西安
19,3U8528,B6719,西安/1950,/,昆明
20,3U8529,B6905,杭州/0900,/,昆明
21,3U8530,B6905,昆明/1305,/,杭州
22,3U8553,B8331,昆明/0845,/,重庆
23,3U8554,B8331,重庆/2235,/,昆明
24,3U8597,B6322,昆明/0745,/,太原
25,3U8598,B6772,太原/1910,/,昆明
26,3U8637,B6772,昆明/1705,/,广州
27,3U8661,B1820,成都/0720,/,昆明
28,3U8662,B1887,昆明/2300,/,成都
29,3U8667,B1886,成都/2125,/,昆明
30,3U8668,B1886,昆明/1820,/,成都
31,3U8669,B8329,昆明/0730,/,成都
32,3U8670,B8329,成都/1710,/,昆明
33,3U8685,B6906,昆明/1600,/,长沙
34,3U8686,B1886,长沙/1235,/,昆明
35,3U8709,B1819,昆明/0850,/,万象
36,3U8710,B1819,万象/1130,/,昆明
37,3U8723,B6772,北京/0720,/,昆明
38,3U8724,B8329,昆明/2150,/,北京
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8761,B6779,昆明/1510,/,无锡
40,3U8762,B6779,无锡/1925,/,昆明
41,3U8767,B6956,昆明/0700,/,南宁
42,3U8768,B6956,南宁/1440,/,昆明
43,3U8807,B1887,昆明/0750,/,徐州
44,3U8808,B1887,徐州/1705,/,昆明
45,3U8817,B6448,昆明/0730,/,丽江
46,3U8818,B6448,丽江/1440,/,昆明
47,3U8823,B8329,昆明/1945,/,南昌
48,3U8824,B8329,南昌/2300,/,昆明
49,3U8837,B8499,昆明/1415,/,万州
50,3U8838,B8499,万州/1140,/,昆明
51,3U8865,B8500,昆明/0720,/,宁波
52,3U8866,B8500,宁波/1110,/,昆明
53,3U8917,B1822,昆明/0625,/,厦门
54,3U8918,B1822,厦门/1005,/,昆明
55,3U8947,B6779,昆明/0655,/,济南
56,3U8948,B6779,济南/1050,/,昆明
57,3U8967,B6453,昆明/1255,/,重庆
58,3U8968,B6453,重庆/2355,/,昆明
59,8L9545,B2677,昆明/0710,/,太原
60,8L9546,B2677,太原/1335,/,昆明
61,8L9555,B8732,昆明/2310,/,海口
62,8L9556,B5272,海口/0700,/,昆明
63,8L9557,B5407,昆明/0610,/,锦州
64,8L9558,B5407,锦州/1645,/,昆明
65,8L9585,B6800,昆明/0710,/,南宁
66,8L9586,B6800,南宁/2235,/,昆明
67,8L9597,B7993,昆明/1820,/,曼谷
68,8L9598,B7993,曼谷/2200,/,昆明
69,8L9623,B8731,昆明/1045,/,杭州
70,8L9624,B8731,杭州/1445,/,昆明
71,8L9637,B6221,昆明/1230,/,苏梅岛
72,8L9638,B6221,苏梅岛/1640,/,昆明
73,8L9643,B5806,昆明/0905,/,芒市
74,8L9644,B5806,芒市/1040,/,昆明
75,8L9647,B8732,昆明/0710,/,淮安
76,8L9648,B8732,淮安/1515,/,昆明
77,8L9651,B1798,昆明/0950,/,郑州
78,8L9652,B5409,郑州/0705,/,昆明
79,8L9679,B7991,昆明/1640,/,PEN
80,8L9680,B7991,PEN/2020,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9685,B6198,昆明/0700,/,凯里
82,8L9686,B6198,凯里/1500,/,昆明
83,8L9689,B2677,昆明/1855,/,合肥
84,8L9690,B2677,合肥/2230,/,昆明
85,8L9697,B7167,昆明/0825,/,普吉
86,8L9698,B7167,普吉/1240,/,昆明
87,8L9711,B6809,昆明/1450,/,桂林
88,8L9712,B6809,桂林/2150,/,昆明
89,8L9747,B8445,昆明/1415,/,CEB
90,8L9748,B8445,CEB/1915,/,昆明
