昆明机场飞行动态,,,,,
,,,,,2017年07月06日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8107,B1887,昆明/1405,/,常州
2,3U8108,B1887,常州/2235,/,昆明
3,3U8129,B6448,昆明/0925,/,版纳
4,3U8130,B6448,版纳/1105,/,昆明
5,3U8206,B1881,广州/0615,/,昆明
6,3U8215,B6778,昆明/1440,/,郑州
7,3U8216,B6778,郑州/1825,/,昆明
8,3U8221,B6732,昆明/1155,/,南宁
9,3U8222,B6732,南宁/1935,/,昆明
10,3U8227,B6955,昆明/1120,/,南京
11,3U8228,B6955,南京/2255,/,昆明
12,3U8243,B1881,昆明/1515,/,厦门
13,3U8244,B1881,厦门/1915,/,昆明
14,3U8245,B1886,昆明/1755,/,合肥
15,3U8246,B1886,合肥/2140,/,昆明
16,3U8513,B6772,昆明/0715,/,重庆
17,3U8514,B6772,重庆/1545,/,昆明
18,3U8527,B1822,昆明/2320,/,西安
19,3U8528,B8331,西安/1950,/,昆明
20,3U8529,B1821,杭州/0900,/,昆明
21,3U8530,B1821,昆明/1305,/,杭州
22,3U8553,B8329,昆明/0845,/,重庆
23,3U8554,B8329,重庆/2235,/,昆明
24,3U8619,B6433,昆明/2100,/,版纳
25,3U8620,B6453,版纳/2200,/,昆明
26,3U8637,B6322,昆明/1705,/,广州
27,3U8661,B6955,成都/0720,/,昆明
28,3U8662,B6778,昆明/2300,/,成都
29,3U8667,B6772,成都/2125,/,昆明
30,3U8668,B6772,昆明/1820,/,成都
31,3U8669,B8500,昆明/0730,/,成都
32,3U8670,B8500,成都/1710,/,昆明
33,3U8685,B6906,昆明/1600,/,长沙
34,3U8686,B6906,长沙/1235,/,昆明
35,3U8709,B6956,昆明/0850,/,万象
36,3U8710,B6956,万象/1130,/,昆明
37,3U8723,B8375,北京/0720,/,昆明
38,3U8724,B8500,昆明/2150,/,北京
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8761,B6956,昆明/1510,/,无锡
40,3U8762,B6956,无锡/1925,/,昆明
41,3U8767,B1822,昆明/0700,/,南宁
42,3U8768,B1822,南宁/1440,/,昆明
43,3U8807,B6843,昆明/0750,/,徐州
44,3U8808,B6843,徐州/1705,/,昆明
45,3U8817,B6433,昆明/0730,/,丽江
46,3U8818,B6433,丽江/1440,/,昆明
47,3U8823,B8500,昆明/1945,/,南昌
48,3U8824,B8500,南昌/2300,/,昆明
49,3U8837,B8499,昆明/1415,/,万州
50,3U8838,B8499,万州/1140,/,昆明
51,3U8865,B6322,昆明/0720,/,宁波
52,3U8866,B6322,宁波/1110,/,昆明
53,3U8917,B6778,昆明/0625,/,厦门
54,3U8918,B6778,厦门/1005,/,昆明
55,3U8947,B1886,昆明/0655,/,济南
56,3U8948,B1886,济南/1050,/,昆明
