昆明机场飞行动态,,,,,
,,,,,2017年06月20日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8107,B6719,昆明/1405,/,常州
2,3U8108,B6719,常州/2235,/,昆明
3,3U8129,B6448,昆明/0925,/,版纳
4,3U8130,B6448,版纳/1115,/,昆明
5,3U8206,B8329,广州/0615,/,昆明
6,3U8215,B8500,昆明/1440,/,郑州
7,3U8216,B8500,郑州/1825,/,昆明
8,3U8243,B6348,昆明/1515,/,厦门
9,3U8244,B6348,厦门/1915,/,昆明
10,3U8259,B1883,昆明/1120,/,南京
11,3U8260,B1883,南京/1510,/,昆明
12,3U8513,B1885,昆明/0715,/,重庆
13,3U8514,B1885,重庆/1545,/,昆明
14,3U8527,B6778,昆明/2320,/,西安
15,3U8528,B6732,西安/1950,/,昆明
16,3U8529,B6323,杭州/0900,/,昆明
17,3U8530,B6323,昆明/1305,/,杭州
18,3U8553,B8948,昆明/0845,/,重庆
19,3U8554,B8948,重庆/2235,/,昆明
20,3U8597,B6778,昆明/0745,/,太原
21,3U8598,B6778,太原/1910,/,昆明
22,3U8619,B6445,昆明/2100,/,版纳
23,3U8620,B6422,版纳/2200,/,昆明
24,3U8637,B6697,昆明/1705,/,广州
25,3U8661,B1883,成都/0720,/,昆明
26,3U8662,B1885,昆明/2300,/,成都
27,3U8667,B6953,成都/2125,/,昆明
28,3U8668,B6953,昆明/1820,/,成都
29,3U8669,B8657,昆明/0730,/,成都
30,3U8670,B8657,成都/1710,/,昆明
31,3U8685,B6957,昆明/1600,/,长沙
32,3U8686,B6957,长沙/1235,/,昆明
33,3U8709,B6719,昆明/0850,/,万象
34,3U8710,B6719,万象/1130,/,昆明
35,3U8723,B8500,北京/0720,/,昆明
36,3U8724,B1883,昆明/2150,/,北京
37,3U8761,B1661,昆明/1510,/,无锡
38,3U8762,B1661,无锡/1925,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8767,B6953,昆明/0700,/,南宁
40,3U8768,B6953,南宁/1440,/,昆明
41,3U8807,B1887,昆明/0750,/,徐州
42,3U8808,B1887,徐州/1705,/,昆明
43,3U8817,B6445,昆明/0730,/,丽江
44,3U8818,B6445,丽江/1440,/,昆明
45,3U8823,B8657,昆明/1945,/,南昌
46,3U8824,B8499,南昌/2300,/,昆明
47,3U8837,B8329,昆明/1415,/,万州
48,3U8838,B6697,万州/1140,/,昆明
49,3U8865,B6348,昆明/0720,/,宁波
50,3U8866,B6348,宁波/1110,/,昆明
51,3U8947,B1661,昆明/0655,/,济南
52,3U8948,B1661,济南/1050,/,昆明
53,3U8967,B6448,昆明/1310,/,重庆
54,3U8968,B6448,重庆/2355,/,昆明
55,8L9546,B5359,太原/1335,/,昆明
56,8L9558,B1587,锦州/1820,/,昆明
57,8L9586,B7167,南宁/2235,/,昆明
58,8L9598,B6800,曼谷/0425,/,昆明
59,8L9643,B5248,昆明/0805,/,芒市
60,8L9644,B5248,芒市/0945,/,昆明
61,8L9686,B6221,凯里/1545,/,昆明
62,8L9689,B1798,昆明/1845,/,合肥
63,8L9690,B1798,合肥/2220,/,昆明
64,8L9697,B5407,昆明/0825,/,普吉
65,8L9698,B5407,普吉/1240,/,昆明
66,8L9711,B5810,昆明/1510,/,桂林
67,8L9712,B5810,桂林/2150,/,昆明
68,8L9747,B6800,昆明/1340,/,CEB
69,8L9748,B6800,CEB/1915,/,昆明
70,8L9801,B6198,昆明/2355,/,丽江
71,8L9804,B5292,丽江/2135,/,昆明
72,8L9827,B5823,昆明/1105,/,泸沽湖
73,8L9828,B5823,泸沽湖/1255,/,昆明
74,8L9841,B5249,昆明/0900,/,普洱
75,8L9842,B5249,普洱/1035,/,昆明
76,8L9850,B5823,迪庆/0905,/,昆明
77,8L9855,B1586,昆明/1610,/,绵阳
78,8L9857,B5249,昆明/1300,/,腾冲
79,8L9858,B5249,腾冲/1455,/,昆明
80,8L9864,B6015,重庆/1550,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9866,B1825,济南/1130,/,昆明
82,8L9871,B6943,昆明/1350,/,宜昌
83,8L9872,B6943,宜昌/2230,/,昆明
84,8L9874,B1798,赣州/1425,/,昆明
85,8L9883,B5359,昆明/1800,/,南京
86,8L9884,B5359,南京/2150,/,昆明
87,8L9885,B5449,昆明/0910,/,徐州
88,8L9886,B5449,徐州/2030,/,昆明
89,8L9889,B1825,昆明/1700,/,上海
90,8L9890,B1825,上海/2135,/,昆明
91,8L9891,B7989,昆明/1000,/,武汉
92,8L9894,B6198,珠海/1010,/,昆明
93,8L9903,B5823,版纳/2100,/,昆明
94,8L9904,B5823,昆明/1510,/,版纳
95,8L9906,B5248,昆明/2310,/,版纳
96,8L9911,B5249,版纳/0025,/,昆明
97,8L9912,B5249,昆明/2240,/,版纳
98,8L9913,B5248,版纳/1950,/,昆明
99,8L9914,B5248,昆明/1800,/,版纳
100,8L9915,B5810,版纳/1155,/,昆明
101,8L9916,B5810,昆明/0915,/,版纳
102,8L9931,B5825,昆明/1730,/,芒市
103,8L9932,B5825,芒市/1245,/,昆明
104,8L9933,B5248,昆明/1245,/,腾冲
105,8L9934,B5248,腾冲/1520,/,昆明
106,8L9935,B6198,昆明/1305,/,芒市
107,8L9936,B6198,芒市/2145,/,昆明
108,8L9945,B5823,昆明/2355,/,成都
109,8L9946,B5806,成都/2350,/,昆明
110,8L9947,B2677,昆明/1025,/,成都
111,8L9948,B2677,成都/1310,/,昆明
112,8L9955,B6015,昆明/2200,/,郑州
113,8L9956,B6809,郑州/1405,/,昆明
114,8L9971,B6221,昆明/1845,/,海口
115,8L9972,B6221,海口/2145,/,昆明
116,8L9979,B2677,昆明/1620,/,深圳
117,8L9980,B2677,深圳/1955,/,昆明
118,8L9983,B5407,昆明/1930,/,西安
119,8L9987,B6809,昆明/2130,/,北京
120,9C8595,B6707,绵阳/1755,/,昆明
121,9C8596,B6707,昆明/2035,/,绵阳
122,9C8729,B6562,扬州/1405,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
123,9C8730,B6562,昆明/1755,/,扬州
124,9C8823,B6645,遵义/1415,/,昆明
125,9C8824,B6645,昆明/1635,/,遵义
126,9C8827,B6840,芷江/0945,/,昆明
127,9C8828,B6840,昆明/1215,/,芷江
128,9C8829,B6612,常德/1630,/,昆明
129,9C8830,B6612,昆明/1935,/,常德
130,9C8937,B8327,石家庄/1035,/,昆明
131,9C8938,B8327,昆明/1450,/,石家庄
132,A67105,B8318,昆明/0940,/,南昌
133,A67106,B8285,南昌/1440,/,昆明
134,A67107,B8285,昆明/1825,/,郑州
135,A67108,B8285,郑州/2245,/,昆明
136,AK101,,VMKK/1305,/,昆明
137,AK102,,昆明/1740,/,吉隆坡
138,B7289,,高雄/0735,/,昆明
139,B7290,,昆明/1210,/,高雄
140,BK2797,B6026,长沙/0705,/,昆明
141,BK2798,B6026,昆明/1810,/,长沙
142,BK2845,B6026,昆明/1025,/,合肥
143,BK2846,B6026,合肥/1410,/,昆明
144,CA1401,B1418,天津/1530,/,昆明
