昆明机场飞行动态,,,,,
,,,,,2017年06月18日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
126,8L9955,B6809,昆明/2205,/,郑州
127,8L9956,B1587,郑州/1410,/,昆明
128,8L9959,B7167,昆明/0725,/,安庆
129,8L9960,B7167,安庆/1540,/,昆明
130,8L9965,B1586,昆明/0715,/,三亚
131,8L9966,B1586,三亚/1030,/,昆明
132,8L9971,B6943,昆明/1845,/,海口
133,8L9972,B6943,海口/2145,/,昆明
134,8L9973,B7992,昆明/0705,/,郑州
135,8L9974,B7993,郑州/2230,/,昆明
136,8L9975,B5407,昆明/1850,/,广州
137,8L9976,B5407,广州/2230,/,昆明
138,8L9979,B5971,昆明/1620,/,深圳
139,8L9980,B5971,深圳/1955,/,昆明
140,8L9983,B2677,昆明/1930,/,西安
141,8L9984,B2677,西安/2255,/,昆明
142,8L9985,B6800,昆明/1530,/,太原
143,8L9986,B6800,太原/2245,/,昆明
144,8L9988,B1825,北京/0620,/,昆明
145,8L9991,B7988,昆明/1140,/,兰州
146,8L9992,B7988,兰州/2310,/,昆明
147,8L9993,B7990,昆明/2200,/,西安
148,8L9994,B5732,西安/0625,/,昆明
149,9C8823,B6852,遵义/1415,/,昆明
150,9C8824,B6852,昆明/1635,/,遵义
151,9C8827,B1672,怀化/0945,/,昆明
152,9C8828,B1672,昆明/1215,/,怀化
153,9C8829,B8435,常德/1630,/,昆明
154,9C8830,B8435,昆明/1935,/,常德
155,9C8937,B9940,石家庄/1035,/,昆明
156,9C8938,B9940,昆明/1450,/,石家庄
157,A67105,B8318,昆明/0940,/,南昌
158,A67106,B8285,南昌/1440,/,昆明
159,A67107,B8285,昆明/1825,/,郑州
160,A67108,B8285,郑州/2245,/,昆明
161,A67113,B8432,昆明/0725,/,临沂
162,A67114,B8432,临沂/2015,/,昆明
163,AK101,,VMKK/1305,/,昆明
164,AK102,,昆明/1740,/,吉隆坡
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
165,B7289,,高雄/0735,/,昆明
166,B7290,,昆明/1210,/,高雄
167,BK2715,B1963,昆明/1010,/,南京
168,BK2716,B1963,南京/1400,/,昆明
169,BK2743,B7373,昆明/1425,/,版纳
170,BK2744,B7373,版纳/1615,/,昆明
171,BK2797,B1963,长沙/0705,/,昆明
172,BK2798,B1963,昆明/1810,/,长沙
173,BK2897,B7373,天津/0945,/,昆明
174,BK2898,B7373,昆明/1820,/,天津
175,CA1401,B7182,天津/1530,/,昆明
176,CA1402,B7182,昆明/2020,/,天津
177,CA1403,B5176,北京/0630,/,昆明
178,CA1404,B5176,昆明/1140,/,北京
179,CA1467,B5525,天津/1240,/,昆明
180,CA1468,B5525,昆明/1720,/,天津
181,CA1481,B5391,运城/1120,/,昆明
182,CA1482,B5391,昆明/1450,/,运城
183,CA1487,B5044,达州/1215,/,昆明
184,CA1488,B5044,昆明/1510,/,达州
185,CA1751,B6033,杭州/0715,/,昆明
186,CA1752,B8429,昆明/1230,/,杭州
187,CA1753,B6023,杭州/1455,/,昆明
188,CA1754,B6023,昆明/1940,/,杭州
189,CA1937,B6882,上海/1555,/,昆明
190,CA1938,B6882,昆明/2100,/,上海
191,CA1955,B8429,温州/0800,/,昆明
192,CA1956,B6033,昆明/1210,/,温州
193,CA1987,,温州/1730,/,昆明
194,CA1988,,昆明/2205,/,温州
195,CA415,B6478,成都/0815,昆明/1050,仰光
196,CA416,B6478,仰光/1400,昆明/1720,成都
197,CA4171,B6828,昆明/0725,/,北京
198,CA4172,B6828,北京/1155,/,昆明
199,CA4173,B6828,昆明/1645,/,北京
200,CA4174,B6828,北京/2120,/,昆明
201,CA4175,B6822,昆明/0710,/,沈阳
202,CA4176,B6822,沈阳/1130,/,昆明
203,CA4275,B6846,昆明/1545,/,哈尔滨
204,CA4276,B6846,哈尔滨/0925,/,昆明
205,CA4413,B1686,成都/1115,/,昆明
206,CA4414,B1686,昆明/1355,/,成都
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
207,CA4417,B6967,成都/2105,/,昆明
208,CA4418,B8490,昆明/0850,/,成都
209,CA4459,B6847,成都/2155,/,昆明
210,CA4460,B6822,昆明/1825,/,成都
211,CA8929,,郑州/1100,/,昆明
212,CA8930,,昆明/1450,/,郑州
213,CF9017,B2823,昆明/0005,/,南京
214,CZ3247,B5421,桂林/1220,/,昆明
215,CZ3248,B5421,昆明/1500,/,桂林
216,CZ3407,B6622,广州/1355,/,昆明
217,CZ3408,B6622,昆明/1735,/,广州
218,CZ3409,B6516,广州/0820,/,昆明
219,CZ3410,B6516,昆明/1155,/,广州
220,CZ3415,B1925,广州/1135,/,昆明
221,CZ3416,B1925,昆明/1500,/,广州
222,CZ3419,B2408,广州/2125,/,昆明
223,CZ3420,B6620,昆明/0735,/,广州
