昆明机场飞行动态,,,,,
,,,,,2017年06月23日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8129,B6448,昆明/0925,/,版纳
2,3U8130,B6448,版纳/1105,/,昆明
3,3U8201,B6778,昆明/1610,/,上海
4,3U8202,B6778,上海/2025,/,昆明
5,3U8205,B1661,昆明/1700,/,广州
6,3U8221,B1821,昆明/1155,/,南宁
7,3U8222,B1821,南宁/1935,/,昆明
8,3U8259,B6323,昆明/1120,/,南京
9,3U8260,B6323,南京/1510,/,昆明
10,3U8513,B1661,昆明/0715,/,重庆
11,3U8514,B1661,重庆/1545,/,昆明
12,3U8527,B6778,昆明/2320,/,西安
13,3U8528,B6953,西安/1950,/,昆明
14,3U8529,B8323,杭州/0900,/,昆明
15,3U8530,B8323,昆明/1305,/,杭州
16,3U8553,B8948,昆明/0845,/,重庆
17,3U8554,B8948,重庆/2235,/,昆明
18,3U8638,B1821,广州/0615,/,昆明
19,3U8661,B6323,成都/0720,/,昆明
20,3U8662,B6323,昆明/2300,/,成都
21,3U8667,B6719,成都/2200,/,昆明
22,3U8668,B6719,昆明/1830,/,成都
23,3U8669,B8329,昆明/0730,/,成都
24,3U8670,B8329,成都/1720,/,昆明
25,3U8723,B6955,北京/0720,/,昆明
26,3U8724,B6955,昆明/2150,/,北京
27,3U8761,B6325,昆明/1510,/,无锡
28,3U8762,B6325,无锡/1925,/,昆明
29,3U8767,B6719,昆明/0700,/,南宁
30,3U8768,B6719,南宁/1440,/,昆明
31,3U8817,B6175,昆明/0730,/,丽江
32,3U8818,B6175,丽江/1510,/,昆明
33,3U8823,B8329,昆明/2000,/,南昌
34,3U8824,B8329,南昌/2305,/,昆明
35,3U8837,B8499,昆明/1415,/,万州
36,3U8838,B6955,万州/1140,/,昆明
37,3U8847,B6697,昆明/0750,/,郑州
38,3U8848,B6697,郑州/1905,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8853,B6590,昆明/1615,/,徐州
