昆明机场飞行动态,,,,,
,,,,,2017年07月09日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8033,B6322,昆明/0655,/,丽江
2,3U8034,B6322,丽江/0855,/,昆明
3,3U8107,B8329,昆明/1405,/,常州
4,3U8108,B8329,常州/2235,/,昆明
5,3U8129,B6453,昆明/0925,/,版纳
6,3U8130,B6453,版纳/1115,/,昆明
7,3U8201,B8500,昆明/1610,/,上海
8,3U8202,B8500,上海/2025,/,昆明
9,3U8205,B1881,昆明/1700,/,广州
10,3U8221,B1819,昆明/1155,/,南宁
11,3U8222,B1819,南宁/1935,/,昆明
12,3U8227,B6348,昆明/1120,/,南京
13,3U8228,B6348,南京/2255,/,昆明
14,3U8513,B1820,昆明/0715,/,重庆
15,3U8514,B1820,重庆/1545,/,昆明
16,3U8527,B6956,昆明/2320,/,西安
17,3U8528,B1822,西安/1950,/,昆明
18,3U8529,B6905,杭州/0900,/,昆明
19,3U8530,B6905,昆明/1305,/,杭州
20,3U8553,B6955,昆明/0845,/,重庆
21,3U8554,B6955,重庆/2235,/,昆明
22,3U8619,B6448,昆明/2100,/,版纳
23,3U8620,B6175,版纳/2020,/,昆明
24,3U8638,B6772,广州/0615,/,昆明
25,3U8661,B6348,成都/0720,/,昆明
26,3U8662,B8331,昆明/2300,/,成都
27,3U8667,B1820,成都/2125,/,昆明
28,3U8668,B1820,昆明/1820,/,成都
29,3U8669,B6779,昆明/0730,/,成都
30,3U8670,B6779,成都/1710,/,昆明
31,3U8723,B8329,北京/0720,/,昆明
32,3U8724,B1819,昆明/2150,/,北京
33,3U8761,B6772,昆明/1510,/,无锡
34,3U8762,B6772,无锡/1925,/,昆明
35,3U8767,B1886,昆明/0700,/,南宁
36,3U8768,B1886,南宁/1440,/,昆明
37,3U8817,B6448,昆明/0730,/,丽江
38,3U8818,B6448,丽江/1510,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8823,B1886,昆明/1945,/,南昌
40,3U8824,B1886,南昌/2300,/,昆明
41,3U8837,B8656,昆明/1415,/,万州
42,3U8838,B8656,万州/1140,/,昆明
43,3U8847,B6956,昆明/0750,/,郑州
44,3U8848,B6956,郑州/1905,/,昆明
45,3U8853,B6836,昆明/1615,/,徐州
46,3U8854,B6836,徐州/1205,/,昆明
47,3U8901,B6453,昆明/1710,/,珠海
48,3U8902,B6453,珠海/2100,/,昆明
49,3U8917,B1881,昆明/0625,/,厦门
50,3U8918,B1881,厦门/1005,/,昆明
51,3U8929,B8331,昆明/0805,/,长沙
52,3U8930,B8331,长沙/1855,/,昆明
53,3U8947,B8500,昆明/0655,/,济南
54,3U8948,B8500,济南/1050,/,昆明
55,3U8967,B6322,昆明/1310,/,重庆
56,3U8968,B6322,重庆/2355,/,昆明
57,8L9519,B5248,昆明/1135,/,芒市
58,8L9520,B5248,芒市/1315,/,昆明
59,8L9555,B7988,昆明/2310,/,海口
60,8L9556,B8732,海口/0700,/,昆明
61,8L9583,B7167,昆明/0025,/,马尼拉
62,8L9595,B8445,昆明/0900,/,吉隆坡
63,8L9596,B8445,吉隆坡/1335,/,昆明
64,8L9597,B7992,昆明/1755,/,曼谷
65,8L9598,B7992,曼谷/2200,/,昆明
66,8L9633,B6800,昆明/1340,/,沙巴
67,8L9634,B6800,沙巴/1910,/,昆明
68,8L9639,B7993,昆明/0930,/,甲米
69,8L9640,B7993,甲米/1330,/,昆明
70,8L9647,B6943,昆明/0710,/,淮安
71,8L9648,B6943,淮安/1515,/,昆明
72,8L9651,B5409,昆明/0950,/,郑州
73,8L9652,B6015,郑州/0705,/,昆明
74,8L9655,B7988,昆明/0610,/,忻州
75,8L9656,B7988,忻州/1735,/,昆明
76,8L9675,B8445,昆明/1755,/,富国岛
77,8L9676,B8445,富国岛/2200,/,昆明
78,8L9689,B6198,昆明/1850,/,合肥
79,8L9690,B6198,合肥/2230,/,昆明
80,8L9709,B1587,昆明/0640,/,连城
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9710,B1587,连城/1435,/,昆明
82,8L9711,B5292,昆明/1510,/,桂林
83,8L9712,B5292,桂林/2220,/,昆明
84,8L9801,B5248,昆明/2310,/,丽江
85,8L9802,B6947,丽江/0715,/,昆明
86,8L9803,B1825,昆明/0715,/,丽江
87,8L9804,B5805,丽江/2100,/,昆明
88,8L9841,B5292,昆明/0845,/,普洱
89,8L9842,B5292,普洱/1100,/,昆明
90,8L9845,B6947,昆明/0915,/,赣州
91,8L9846,B6947,赣州/1815,/,昆明
92,8L9849,B5823,昆明/0705,/,迪庆
93,8L9850,B5823,迪庆/0850,/,昆明
94,8L9855,B7989,昆明/1550,/,绵阳
95,8L9856,B7990,绵阳/0705,/,昆明
96,8L9861,B8446,昆明/0645,/,合肥
97,8L9862,B8446,合肥/1040,/,昆明
98,8L9863,B2677,昆明/0700,/,重庆
99,8L9864,B2677,重庆/1555,/,昆明
100,8L9865,B5359,昆明/0710,/,济南
101,8L9866,B5359,济南/1130,/,昆明
102,8L9869,B6015,昆明/1420,/,武汉
103,8L9870,B6015,武汉/2325,/,昆明
104,8L9871,B8731,昆明/1350,/,宜昌
105,8L9872,B8731,宜昌/2230,/,昆明
106,8L9873,B6809,昆明/0700,/,赣州
107,8L9874,B6809,赣州/1425,/,昆明
108,8L9875,B6809,昆明/1755,/,厦门
109,8L9876,B6809,厦门/2150,/,昆明
110,8L9883,B7993,昆明/1755,/,南京
111,8L9884,B7993,南京/2150,/,昆明
112,8L9887,B1588,昆明/0830,/,宜春
113,8L9888,B1588,宜春/1740,/,昆明
114,8L9889,B8732,昆明/1655,/,上海
115,8L9891,B7167,昆明/0950,/,武汉
116,8L9892,B7167,武汉/2030,/,昆明
117,8L9893,B5732,昆明/0715,/,珠海
118,8L9894,B5732,珠海/1115,/,昆明
119,8L9897,B6016,昆明/1655,/,温州
120,8L9898,B6016,温州/2110,/,昆明
121,8L9903,B5823,版纳/2100,/,昆明
122,8L9904,B5823,昆明/1510,/,版纳
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
123,8L9905,B5292,版纳/0650,/,昆明
124,8L9906,B5272,昆明/2345,/,版纳
125,8L9913,B5823,版纳/0040,/,昆明
126,8L9914,B5823,昆明/2255,/,版纳
127,8L9915,B5272,版纳/0840,/,昆明
128,8L9916,B5272,昆明/0650,/,版纳
129,8L9921,B5823,昆明/1105,/,沧源
130,8L9922,B5823,沧源/1250,/,昆明
131,8L9923,B5272,昆明/1255,/,保山
132,8L9924,B5272,保山/2145,/,昆明
133,8L9941,B6198,昆明/0650,/,大理
134,8L9942,B6198,大理/1655,/,昆明
135,8L9945,B5805,昆明/2355,/,成都
136,8L9946,B5825,成都/2350,/,昆明
137,8L9947,B8732,昆明/1025,/,成都
138,8L9948,B8732,成都/1320,/,昆明
139,8L9955,B1588,昆明/2205,/,郑州
140,8L9956,B7992,郑州/1410,/,昆明
141,8L9957,B7989,昆明/0710,/,武汉
142,8L9958,B7989,武汉/1020,/,昆明
143,8L9959,B5407,昆明/0725,/,安庆
144,8L9960,B5407,安庆/1540,/,昆明
145,8L9965,B5971,昆明/0715,/,三亚
146,8L9966,B5971,三亚/1030,/,昆明
147,8L9971,B6221,昆明/1845,/,海口
148,8L9972,B6221,海口/2145,/,昆明
149,8L9973,B7991,昆明/0705,/,郑州
150,8L9975,B1587,昆明/1850,/,广州
151,8L9976,B1587,广州/2230,/,昆明
152,8L9979,B5732,昆明/1620,/,深圳
153,8L9980,B5732,深圳/1955,/,昆明
154,8L9983,B2677,昆明/1930,/,西安
155,8L9984,B2677,西安/2255,/,昆明
156,8L9985,B8446,昆明/1540,/,太原
157,8L9986,B8446,太原/2245,/,昆明
158,8L9987,B6943,昆明/2130,/,北京
159,8L9988,B8731,北京/0620,/,昆明
160,8L9991,B7990,昆明/1225,/,兰州
161,8L9992,B7990,兰州/2310,/,昆明
162,8L9993,B5407,昆明/2200,/,西安
163,8L9994,B6016,西安/0625,/,昆明
164,8L9995,B6221,昆明/0745,/,银川
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
165,8L9996,B6221,银川/1115,/,昆明
166,9C8823,B1627,遵义/1415,/,昆明
167,9C8824,B1627,昆明/1635,/,遵义
168,9C8827,B8647,芷江/0945,/,昆明
169,9C8828,B8647,昆明/1215,/,芷江
170,9C8829,B6645,常德/1630,/,昆明
171,9C8830,B6645,昆明/1935,/,常德
172,9C8937,B6646,石家庄/1035,/,昆明
173,9C8938,B6646,昆明/1450,/,石家庄
174,A67105,B8285,昆明/0940,/,南昌
175,A67106,B8318,南昌/1445,/,昆明
176,AK101,,VMKK/1305,/,昆明
177,AK102,,昆明/1740,/,吉隆坡
178,B7289,,高雄/0735,/,昆明
179,B7290,,昆明/1210,/,高雄
180,BK2715,B1963,昆明/1010,/,南京
181,BK2716,B1963,南京/1400,/,昆明
182,BK2743,B5562,昆明/1425,/,版纳
183,BK2744,B5562,版纳/1615,/,昆明
184,BK2797,B1963,长沙/0705,/,昆明
185,BK2798,B1963,昆明/1810,/,长沙
186,BK2897,B5562,天津/0945,/,昆明
187,BK2898,B5562,昆明/1820,/,天津
188,CA1401,B5525,天津/1530,/,昆明
189,CA1402,B5525,昆明/2020,/,天津
190,CA1403,B1529,北京/0630,/,昆明
191,CA1404,B1529,昆明/1140,/,北京
192,CA1467,,天津/1240,/,昆明
193,CA1481,B5696,运城/1120,/,昆明
194,CA1482,B5696,昆明/1450,/,运城
195,CA1487,B2613,达县/1215,/,昆明
196,CA1488,B2613,昆明/1510,/,达县
197,CA1751,B8493,杭州/0715,/,昆明
198,CA1752,B6023,昆明/1230,/,杭州
199,CA1753,B6033,杭州/1455,/,昆明
200,CA1754,B6033,昆明/1940,/,杭州
201,CA1937,B6918,上海/1555,/,昆明
202,CA1938,B6918,昆明/2100,/,上海
203,CA1955,B6023,温州/0800,/,昆明
204,CA1956,B8493,昆明/1210,/,温州
205,CA1987,,温州/1730,/,昆明
206,CA1988,,昆明/2205,/,温州
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
207,CA415,,昆明/0800,/,仰光
208,CA415,B6479,成都/0815,昆明/1050,仰光
209,CA416,B6479,仰光/1400,昆明/1720,成都
210,CA416,,仰光/0800,/,昆明
211,CA4171,B6916,昆明/0725,/,北京
212,CA4172,B6916,北京/1155,/,昆明
213,CA4173,B6916,昆明/1645,/,北京
214,CA4174,B6916,北京/2120,/,昆明
215,CA4175,B6793,昆明/0710,/,沈阳
